run_id,dataset,rmse,mean,max,std,median,scale_factor
2026-01-26_21-29-20MH01run1,f_dataset-MH01_stereo_inertial,GT_MH01,0.17263842308265648,0.13764746668295427,1.6042168204699556,0.1041978888472856,0.11566864083923875,0.977552205984778
2026-01-26_21-29-20MH01run10,f_dataset-MH01_stereo_inertial,GT_MH01,0.18251751637387756,0.12112848339326002,2.619701339748197,0.13653034202746803,0.09281291698527237,1.0108280031771302
2026-01-26_21-29-20MH01run2,f_dataset-MH01_stereo_inertial,GT_MH01,5.764662953905629,4.97255449185282,12.993703151841634,2.9163403089636684,4.051407370885039,0.30641225533904354
2026-01-26_21-29-20MH01run3,f_dataset-MH01_stereo_inertial,GT_MH01,0.26474983549547193,0.18460872459995298,2.9329747135704656,0.18976852793985136,0.1405280201538114,1.0076155188341656
2026-01-26_21-29-20MH01run4,f_dataset-MH01_stereo_inertial,GT_MH01,0.17501448689410407,0.10429845769119483,2.5809107786814334,0.14054146130606643,0.07601720226886086,1.0081422714798103
2026-01-26_21-29-20MH01run5,f_dataset-MH01_stereo_inertial,GT_MH01,0.2757024899964114,0.17484647119356056,3.4958064640742084,0.2131679490481173,0.16400707894557787,1.0128925543850145
2026-01-26_21-29-20MH01run6,f_dataset-MH01_stereo_inertial,GT_MH01,0.1395164605505505,0.0884614030886366,1.8151431401762035,0.10788615725913621,0.06381416032459641,1.0048466818542674
2026-01-26_21-29-20MH01run7,f_dataset-MH01_stereo_inertial,GT_MH01,0.17950380150935935,0.11355019660880256,2.2432322312368953,0.1390250610732243,0.0863176199080635,1.0105029089138655
2026-01-26_21-29-20MH01run8,f_dataset-MH01_stereo_inertial,GT_MH01,0.3807298780005407,0.17674569175956042,6.477455358904408,0.3372183275664907,0.12360160168639735,1.001670692200736
2026-01-26_21-29-20MH01run9,f_dataset-MH01_stereo_inertial,GT_MH01,0.14776148883116516,0.09051654830131974,1.936698233380693,0.11679131844969212,0.06269412832436452,1.0032718058795775
