run_id,dataset,rmse,mean,max,std,median,scale_factor
2026-01-26_18-28-11_result_stereo_inertial_oasis_MH01_0_run_1,f_dataset-MH01_stereo_imu,GT_MH01,0.04422133656651889,0.04046248128859647,0.09771160546559758,0.017841362495597743,0.04473405540968415,1.0076050295694332
2026-01-26_18-28-11_result_stereo_inertial_oasis_MH01_0_run_10,f_dataset-MH01_stereo_imu,GT_MH01,0.04040027518798845,0.03709893434358755,0.08013607290202267,0.015995352632417185,0.04328067108009807,1.0078242471809309
2026-01-26_18-28-11_result_stereo_inertial_oasis_MH01_0_run_2,f_dataset-MH01_stereo_imu,GT_MH01,0.05090624939735861,0.04570926508825851,0.10745761435926429,0.02240779580408088,0.05140436374341674,1.0097857165164685
2026-01-26_18-28-11_result_stereo_inertial_oasis_MH01_0_run_3,f_dataset-MH01_stereo_imu,GT_MH01,0.05002126210621371,0.04523840207213057,0.1084154722408907,0.02134510812010059,0.05295846231052556,1.0101795364882193
2026-01-26_18-28-11_result_stereo_inertial_oasis_MH01_0_run_4,f_dataset-MH01_stereo_imu,GT_MH01,0.048412491070978544,0.04434177389055532,0.10513595200064635,0.019431324708738835,0.05086735704856368,1.0097320363561388
2026-01-26_18-28-11_result_stereo_inertial_oasis_MH01_0_run_5,f_dataset-MH01_stereo_imu,GT_MH01,0.04634181779918635,0.04255185254054252,0.09579551262870001,0.01835494272126473,0.044772847810639546,1.0090212209532974
2026-01-26_18-28-11_result_stereo_inertial_oasis_MH01_0_run_6,f_dataset-MH01_stereo_imu,GT_MH01,0.03535082549943736,0.032223236572063746,0.09329739803809488,0.014537671351096222,0.032797193930216406,1.0060359449838228
2026-01-26_18-28-11_result_stereo_inertial_oasis_MH01_0_run_7,f_dataset-MH01_stereo_imu,GT_MH01,0.04084424893122666,0.0373296220032401,0.08411664893991667,0.016575644538032976,0.0413367338428687,1.0075995008966967
2026-01-26_18-28-11_result_stereo_inertial_oasis_MH01_0_run_8,f_dataset-MH01_stereo_imu,GT_MH01,0.04623208095294125,0.04269943290551607,0.10983854895690759,0.01772466470167049,0.047033809082268334,1.0079453249562864
2026-01-26_18-28-11_result_stereo_inertial_oasis_MH01_0_run_9,f_dataset-MH01_stereo_imu,GT_MH01,0.05630245219558427,0.04929875976468572,0.11810037053700166,0.02719555862452277,0.05585930260808725,1.0106515817827588
