#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015040,3,1,0,795
0.004832,4,1,0,1118
0.429861,5,1,0,1312
0.716744,6,1,0,1644
0.966316,7,1,0,1852
1.068653,8,1,0,1875
1.428913,9,1,0,2169
1.652884,10,1,0,2584
1.859991,0,0,0,0
67.156249,0,0,0,0
1.590996,0,0,0,0
2.150970,0,0,0,0
1.955320,0,0,0,0
2.144155,0,0,0,0
2.321404,0,0,0,0
2.556864,0,0,0,0
2.750242,0,0,0,0
3.208935,0,0,0,0
3.410218,0,0,0,0
3.454635,0,0,0,0
3.639725,0,0,0,0
4.995965,0,0,0,0
4.634809,0,0,0,0
4.885436,0,0,0,0
4.818107,0,0,0,0
5.110431,0,0,0,0
4.804635,0,0,0,0
4.870620,0,0,0,0
4.403638,0,0,0,0
4.896412,0,0,0,0
6.928693,0,0,0,0
5.234240,0,0,0,0
6.540368,0,0,0,0
6.542224,0,0,0,0
6.926645,0,0,0,0
6.191596,3,1,0,1039
7.197016,4,1,0,1333
0.005280,5,1,0,1677
0.004896,6,1,0,1968
0.248643,7,1,0,2294
1.170798,8,1,0,2648
1.818902,9,1,0,3008
2.244508,10,1,0,3381
2.484382,0,0,0,0
2.698978,0,0,0,0
2.495359,0,0,0,0
64.366167,0,0,0,0
1.957560,0,0,0,0
2.672833,0,0,0,0
2.322461,0,0,0,0
2.534527,0,0,0,0
3.035525,0,0,0,0
2.947556,0,0,0,0
3.395466,0,0,0,0
4.216724,0,0,0,0
3.086150,0,0,0,0
3.649357,0,0,0,0
4.232308,0,0,0,0
5.036606,0,0,0,0
4.806235,0,0,0,0
5.326145,0,0,0,0
4.799803,0,0,0,0
5.044094,0,0,0,0
5.620165,0,0,0,0
4.826747,0,0,0,0
4.979453,0,0,0,0
4.845243,0,0,0,0
4.870780,0,0,0,0
4.679162,0,0,0,0
4.671929,0,0,0,0
4.887676,0,0,0,0
4.783322,0,0,0,0
5.465475,0,0,0,0
4.768506,0,0,0,0
3.757935,0,0,0,0
3.886768,0,0,0,0
6.062186,0,0,0,0
4.010833,0,0,0,0
5.411203,0,0,0,0
6.173643,0,0,0,0
3.664429,0,0,0,0
5.084446,0,0,0,0
5.132767,0,0,0,0
3.571500,0,0,0,0
4.712698,0,0,0,0
4.315637,0,0,0,0
3.971536,0,0,0,0
4.913565,0,0,0,0
4.397526,0,0,0,0
5.264385,0,0,0,0
3.989585,0,0,0,0
2.962820,0,0,0,0
3.225383,0,0,0,0
5.466980,0,0,0,0
5.099839,0,0,0,0
4.191604,0,0,0,0
5.470723,0,0,0,0
4.183060,0,0,0,0
5.026845,0,0,0,0
4.427734,0,0,0,0
5.421667,0,0,0,0
5.529476,0,0,0,0
5.022205,0,0,0,0
4.319221,0,0,0,0
5.270369,0,0,0,0
3.182791,0,0,0,0
4.684954,0,0,0,0
3.880624,0,0,0,0
4.927676,0,0,0,0
5.675654,0,0,0,0
4.608729,0,0,0,0
4.648314,0,0,0,0
4.802811,0,0,0,0
5.013789,0,0,0,0
5.122047,0,0,0,0
5.480451,0,0,0,0
7.632894,0,0,0,0
5.129343,0,0,0,0
6.366734,0,0,0,0
6.207309,0,0,0,0
6.182188,0,0,0,0
4.214868,0,0,0,0
6.984246,0,0,0,0
3.917904,0,0,0,0
4.477239,0,0,0,0
5.569893,0,0,0,0
5.735015,0,0,0,0
5.922825,0,0,0,0
5.134143,0,0,0,0
4.852603,0,0,0,0
5.151103,0,0,0,0
4.487479,0,0,0,0
5.713351,0,0,0,0
5.620197,0,0,0,0
5.789160,0,0,0,0
4.840092,0,0,0,0
5.035006,0,0,0,0
5.366882,0,0,0,0
6.202157,0,0,0,0
8.015842,0,0,0,0
5.347938,0,0,0,0
6.662546,0,0,0,0
5.982922,0,0,0,0
6.243181,0,0,0,0
7.871841,0,0,0,0
8.388328,0,0,0,0
8.713515,0,0,0,0
10.146653,0,0,0,0
9.532054,0,0,0,0
10.518850,0,0,0,0
9.075471,0,0,0,0
9.121840,0,0,0,0
9.510485,0,0,0,0
7.778816,0,0,0,0
10.788421,0,0,0,0
10.823398,0,0,0,0
9.956026,0,0,0,0
9.225554,0,0,0,0
9.528277,0,0,0,0
8.481289,0,0,0,0
11.826642,0,0,0,0
9.243666,0,0,0,0
9.825529,0,0,0,0
13.074401,0,0,0,0
11.242251,0,0,0,0
10.930214,0,0,0,0
10.996327,0,0,0,0
9.111024,0,0,0,0
11.365548,0,0,0,0
9.175249,0,0,0,0
9.352339,0,0,0,0
9.469589,0,0,0,0
10.669380,0,0,0,0
9.288851,0,0,0,0
9.969402,0,0,0,0
7.056567,0,0,0,0
9.788632,0,0,0,0
9.273555,0,0,0,0
9.331987,0,0,0,0
12.357145,0,0,0,0
10.547522,0,0,0,0
10.103869,0,0,0,0
9.072752,0,0,0,0
10.922727,0,0,0,0
11.301388,0,0,0,0
10.233598,0,0,0,0
14.535571,0,0,0,0
8.276422,0,0,0,0
8.654891,0,0,0,0
9.537877,0,0,0,0
10.891175,0,0,0,0
10.914502,0,0,0,0
8.878830,0,0,0,0
13.332357,0,0,0,0
9.807097,0,0,0,0
8.639787,0,0,0,0
11.199274,0,0,0,0
8.498025,0,0,0,0
11.080361,0,0,0,0
9.423061,0,0,0,0
11.468686,0,0,0,0
10.132285,0,0,0,0
9.259730,0,0,0,0
12.524635,0,0,0,0
12.440538,0,0,0,0
12.409753,0,0,0,0
13.789066,0,0,0,0
14.266896,0,0,0,0
11.216523,0,0,0,0
12.740733,0,0,0,0
13.113282,0,0,0,0
16.697518,0,0,0,0
11.692721,0,0,0,0
12.472506,0,0,0,0
12.931167,0,0,0,0
14.050766,0,0,0,0
14.393394,0,0,0,0
14.409202,0,0,0,0
13.230244,0,0,0,0
14.765142,0,0,0,0
16.724751,0,0,0,0
13.049601,0,0,0,0
18.067071,0,0,0,0
15.197788,0,0,0,0
14.966297,0,0,0,0
15.048442,0,0,0,0
11.739697,0,0,0,0
19.116684,0,0,0,0
18.988267,0,0,0,0
15.913829,0,0,0,0
13.522887,0,0,0,0
15.675426,0,0,0,0
19.487985,0,0,0,0
13.152835,0,0,0,0
19.236173,0,0,0,0
19.045100,0,0,0,0
16.946610,0,0,0,0
14.449331,0,0,0,0
14.116270,0,0,0,0
