#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.147975,0.063969,0.698440,0.014912,0.014912,9.936528
9.933776,0.115425,1.379120,0.004352,0.004352,11.437217
10.282484,0.155970,1.931190,0.412164,0.412164,26.068390
10.624472,0.140802,2.548637,0.703368,0.703368,32.308685
10.921052,0.068929,3.238116,0.966731,0.966731,36.863329
11.381473,0.052096,3.757835,1.287535,1.287535,40.627371
11.744965,0.081409,4.519059,1.486929,1.486929,48.268642
12.083272,0.054209,5.387613,2.096504,2.096504,55.050382
12.533998,0.051360,6.219622,2.209561,2.209561,59.698018
13.016915,0.052832,7.555190,93.018587,93.018587,158.464990
13.345782,0.054209,8.627489,2.273017,2.273017,56.892034
9.369226,0.072609,0.856905,0.005024,0.005024,10.307988
9.939313,0.230626,1.949238,0.004672,0.004672,12.127817
10.512247,0.351780,9.805167,0.283075,0.283075,41.232242
11.047069,0.447205,14.307169,0.682920,0.682920,62.321472
11.713669,0.506726,15.706705,0.875978,0.875978,63.828690
11.801734,0.521734,20.635561,1.077644,1.077644,74.068997
11.713317,0.600582,16.075382,0.749161,0.749161,71.111684
11.359073,0.354468,17.465125,1.323247,1.323247,72.901880
12.749904,0.330596,24.912282,1.381840,1.381840,83.939509
10.374582,0.353604,32.062186,42.300638,42.300638,131.267788
13.359032,0.474053,37.817867,1.512241,1.512241,96.830631
13.101812,0.490374,26.285961,1.645363,1.645363,85.053282
12.882225,0.439877,28.478562,1.769876,1.769876,84.918976
11.160990,0.302244,29.419052,1.918101,1.918101,92.110001
12.123209,0.229891,27.539479,2.167769,2.167769,96.721670
11.538211,0.358020,38.653525,1.983222,1.983222,107.609857
10.907675,0.339684,40.407625,3.161348,3.161348,127.406273
12.790960,0.580711,41.087409,2.717918,2.717918,120.567091
16.655261,0.427717,40.719756,2.946114,2.946114,126.209396
14.644806,0.357988,33.178263,3.065539,3.065539,129.121397
15.993973,0.310371,32.692146,3.268197,3.268197,132.509498
17.259396,0.427844,54.197798,4.502131,4.502131,249.621032
14.020350,0.867690,44.275189,4.212719,4.212719,151.478289
12.814705,0.250371,34.338660,3.997581,3.997581,128.159114
12.085288,0.279651,30.896254,4.618964,4.618964,114.273004
7.829976,0.155330,19.599678,4.209072,4.209072,92.627320
8.708194,0.114273,21.334642,3.988653,3.988653,90.181436
9.624717,0.055073,0.648135,0.005280,0.005280,10.337237
9.933073,0.214818,1.603122,0.004896,0.004896,11.760069
10.333237,0.275939,2.306906,0.296067,0.296067,27.688441
10.683704,0.255043,3.175460,0.745225,0.745225,33.860159
11.074077,0.146498,3.810827,1.001163,1.001163,31.408227
11.443618,0.098689,4.386546,1.331503,1.331503,34.457126
11.827974,0.073697,5.204123,1.529585,1.529585,51.063266
12.253547,0.064545,5.870178,2.554909,2.554909,44.476248
12.634831,0.053568,6.709804,2.906785,2.906785,49.527088
13.105172,0.042145,7.124785,83.688499,83.688499,135.092377
11.768549,0.042337,6.720428,3.119395,3.119395,63.377709
9.381258,0.080705,0.928747,0.005600,0.005600,10.401014
10.302869,0.193026,1.754100,0.004448,0.004448,12.258283
10.620057,0.256579,2.326554,0.584103,0.584103,32.514033
10.972732,0.228547,3.175972,0.917162,0.917162,39.607392
11.372672,0.074465,3.397639,1.229582,1.229582,41.436469
11.855814,0.062305,4.307345,2.098744,2.098744,46.848051
12.266027,0.058049,5.123130,1.856085,1.856085,59.976200
12.816913,0.048992,5.920259,2.453820,2.453820,68.126340
13.393656,0.048225,7.017711,3.188196,3.188196,61.407352
13.868381,0.050400,7.993851,53.992356,53.992356,125.956627
14.684711,0.056704,9.074759,2.787391,2.787391,85.119877
9.414283,0.064001,0.713320,0.005632,0.005632,10.202164
9.593517,0.231299,1.520209,0.004736,0.004736,11.354113
10.051666,0.411172,2.734303,0.223171,0.223171,28.224992
10.608664,0.350340,10.490775,0.679720,0.679720,43.882962
11.178719,0.462277,15.190476,0.969803,0.969803,60.364717
11.820774,0.528998,19.202202,1.160270,1.160270,67.804930
10.077746,0.457029,22.133179,1.087661,1.087661,70.310686
12.774801,0.567494,28.026718,1.339023,1.339023,90.899463
13.281623,0.545286,31.490917,1.535025,1.535025,94.035179
13.822589,0.483942,35.360369,74.888786,74.888786,175.818060
10.584472,0.411428,34.067747,1.477808,1.477808,88.356458
14.015231,0.481317,46.257229,1.703956,1.703956,130.015556
14.710375,0.561639,45.902953,2.034743,2.034743,133.470699
15.276526,0.531494,47.321721,2.054551,2.054551,135.866663
15.728659,0.561126,49.074765,2.135481,2.135481,133.916337
15.847700,0.490278,51.006851,2.388540,2.388540,133.516013
15.788147,0.591271,55.928571,2.625406,2.625406,252.887320
16.079159,0.565286,44.934078,2.741887,2.741887,132.166941
16.801887,0.647176,55.360468,2.885921,2.885921,156.754037
12.935443,0.388261,41.480055,3.407399,3.407399,138.684072
17.649768,0.575591,56.117725,3.660297,3.660297,166.335809
18.323248,0.553542,54.759214,4.988377,4.988377,191.978085
17.068290,0.742313,43.617551,3.677770,3.677770,167.687986
11.911687,0.517382,39.231934,4.080718,4.080718,154.095158
16.791359,0.609223,51.637963,4.301585,4.301585,197.581925
17.458182,0.629800,48.304612,5.501695,5.501695,196.162197
14.992043,0.576614,33.775840,4.463539,4.463539,170.189198
15.371919,0.400004,34.633834,5.747681,5.747681,212.231148
10.595833,0.396100,27.120405,5.787649,5.787649,195.586544
12.638031,0.464422,30.912831,4.854647,4.854647,164.042696
9.239849,0.266435,23.524683,7.446644,7.446644,158.088740
8.715747,0.313475,22.522304,4.751286,4.751286,149.698597
9.250730,0.342308,22.198524,6.382825,6.382825,189.902703
10.939932,0.489254,27.521017,6.376616,6.376616,168.751454
8.421760,0.376004,20.836077,7.015056,7.015056,156.999705
8.392928,0.409988,21.017391,7.762905,7.762905,164.801074
16.343546,0.700936,46.510641,6.420297,6.420297,203.028068
11.391490,0.565990,28.468772,5.189339,5.189339,190.323476
12.139146,0.616775,31.120002,6.558091,6.558091,190.108818
11.332193,0.661831,29.503792,4.336114,4.336114,188.273949
11.133919,0.700872,29.965652,5.453375,5.453375,193.249974
