#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,20.587074,2.869348,0.005184,9.423670,2.603617,0.003264,28.264547
1403638518127829504.000000,0.000000,0.000000,22.654076,5.307203,0.080673,2.513312,2.147163,0.001088,31.810639
1403638518177829376.000000,0.000000,0.000000,21.953940,6.119020,0.092097,2.316925,1.997177,0.001056,32.115571
1403638518227829504.000000,0.000000,0.000000,20.224862,5.384899,0.090785,2.212891,2.103323,0.001152,29.798262
1403638518277829376.000000,0.000000,0.000000,20.679811,6.839765,0.121825,1.500626,2.053434,0.694089,31.828719
1403638518327829504.000000,0.000000,0.000000,19.782200,3.206856,0.098561,3.103943,2.903141,0.001216,27.266358
1403638518377829376.000000,0.000000,0.000000,19.894553,6.496978,0.121410,2.291613,3.166408,0.001152,30.624672
1403638518427829504.000000,0.000000,0.000000,20.832869,6.452913,0.103266,1.632789,3.578028,0.001248,31.607021
1403638518477829376.000000,0.000000,0.000000,19.165905,6.291503,0.125954,1.770646,3.629262,0.001504,29.547283
1403638518527829504.000000,0.000000,0.000000,22.220342,6.820373,0.129441,1.479251,3.794735,0.001088,33.251777
1403638518577829376.000000,0.000000,0.000000,24.257456,6.506738,0.126786,1.930904,3.398635,0.817514,35.118712
1403638518627829504.000000,0.000000,0.000000,19.094960,6.472657,0.118241,3.989106,3.698607,0.001088,29.892566
1403638518677829376.000000,0.000000,0.000000,21.270027,6.295247,0.115457,3.297418,4.896893,0.001088,31.961201
1403638518727829504.000000,0.000000,0.000000,20.819109,6.495186,0.120930,3.275273,4.157300,0.001184,31.627788
1403638518777829376.000000,0.000000,0.000000,20.188669,6.495633,0.129762,3.463244,4.289078,0.001088,31.062150
1403638518827829504.000000,0.000000,0.000000,19.029615,6.420720,0.124769,2.882981,3.713102,0.001152,29.865302
1403638518877829376.000000,0.000000,0.000000,19.656663,6.385872,0.138337,2.641217,3.805616,1.019661,30.166266
1403638518927829504.000000,0.000000,0.000000,18.505544,6.669844,0.118945,6.302127,8.660909,0.001184,29.271919
1403638518977829376.000000,0.000000,0.000000,19.874297,6.629619,0.123105,6.366927,7.150618,0.001248,30.834242
1403638519027829504.000000,0.000000,0.000000,21.797105,6.707828,0.121921,5.635207,6.253006,0.001088,32.819420
1403638519077829376.000000,0.000000,0.000000,19.874681,6.525394,0.122177,6.447633,7.007959,0.001184,30.746338
1403638519127829504.000000,0.000000,0.000000,20.401504,6.706677,0.129378,5.316450,6.583123,0.000992,31.551372
1403638519177829376.000000,0.000000,0.000000,21.244267,6.802165,0.118145,5.787817,6.118956,0.594247,32.413015
1403638519227829504.000000,0.000000,0.000000,18.661226,6.592338,0.119617,7.708257,8.114086,0.001504,29.476114
1403638519277829376.000000,0.000000,0.000000,22.964385,6.523153,0.120193,6.549011,8.043236,0.001600,33.863880
1403638519327829504.000000,0.000000,0.000000,20.747908,6.507858,0.125218,6.534322,7.384093,0.001056,31.625037
1403638519377829376.000000,0.000000,0.000000,19.772152,6.700564,0.150338,5.022911,6.953303,0.001184,31.210983
1403638519427829504.000000,0.000000,0.000000,19.858489,2.674177,0.064481,5.294434,7.693665,0.534087,26.408364
1403638519477829376.000000,0.000000,0.000000,19.800281,6.396112,0.122209,5.899594,7.241915,0.001056,30.731745
1403638519527829504.000000,0.000000,0.000000,19.281490,4.682299,0.123458,5.764616,8.547435,0.001281,28.091520
1403638519577829376.000000,0.000000,0.000000,19.677623,6.670996,0.122306,5.850633,8.122694,0.001696,30.865859
1403638519627829504.000000,0.000000,0.000000,19.398772,6.393392,0.121985,5.821449,8.054405,0.001376,30.279132
1403638519677829376.000000,0.000000,0.000000,20.253790,6.533010,0.127938,5.366435,8.600908,0.593095,31.163847
1403638519727829504.000000,0.000000,0.000000,20.349056,6.433104,0.120738,6.822070,7.706048,0.001344,31.186471
1403638519777829376.000000,0.000000,0.000000,18.859885,6.749972,0.117889,4.909405,7.741346,0.001216,30.114266
1403638519827829504.000000,0.000000,0.000000,21.196586,2.928869,0.160066,4.897053,8.355017,0.001760,28.799049
1403638519877829376.000000,0.000000,0.000000,19.171505,6.451153,0.120610,4.283574,8.693933,0.001408,29.733525
1403638519927829504.000000,0.000000,0.000000,20.419968,6.325200,0.126626,4.174037,9.290708,0.464453,31.310601
1403638519977829376.000000,0.000000,0.000000,20.778149,6.877846,0.120865,3.974770,8.294856,0.001184,31.987729
1403638520027829504.000000,0.000000,0.000000,19.512821,6.774933,0.122914,3.804688,7.906083,0.001056,30.599488
1403638520077829376.000000,0.000000,0.000000,21.163146,6.522706,0.121986,3.437099,8.486347,0.001344,31.834703
1403638520127829504.000000,0.000000,0.000000,19.184497,6.414896,0.128226,3.296713,8.755150,0.001216,29.995512
1403638520177829376.000000,0.000000,0.000000,19.968314,6.623667,0.124578,3.249673,9.056658,0.550695,31.171079
1403638520227829504.000000,0.000000,0.000000,21.003719,6.430704,0.124609,5.129376,10.341026,0.001888,31.765006
1403638520277829376.000000,0.000000,0.000000,20.174621,6.538258,0.117761,5.120193,8.828174,0.001056,30.834115
1403638520327829504.000000,0.000000,0.000000,19.373235,6.537842,0.125345,5.155329,8.969424,0.001408,30.375197
1403638520377829376.000000,0.000000,0.000000,21.111944,6.591346,0.122434,5.367076,8.764782,0.001216,32.020402
