#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715273262142976.000000,0.000000,0.000000,25.994437,4.673114,0.004544,15.051964,11.194189,0.003648,35.368667
1403715273312143104.000000,0.000000,0.000000,20.831941,6.161453,0.082593,6.838198,7.355260,0.001632,30.888579
1403715273362142976.000000,0.000000,0.000000,20.993767,7.645600,0.084385,6.947287,7.922403,0.001248,32.750586
1403715273412143104.000000,0.000000,0.000000,23.382533,9.261076,0.092577,5.152929,7.881667,0.001312,36.482825
1403715273462142976.000000,0.000000,0.000000,20.019226,10.273985,0.106561,5.776873,9.008272,1.328400,34.389775
1403715273512143104.000000,0.000000,0.000000,20.618371,12.272698,0.126082,9.066098,9.430550,0.001280,37.042448
1403715273562142976.000000,0.000000,0.000000,21.795377,12.182296,0.118945,6.856694,11.053483,0.000896,38.109629
1403715273612143104.000000,0.000000,0.000000,21.322571,12.143897,0.127906,5.723784,9.288820,0.000928,37.621047
1403715273662142976.000000,0.000000,0.000000,21.505645,12.158264,0.121666,6.020363,9.824123,0.001120,37.790426
1403715273712143104.000000,0.000000,0.000000,21.098632,12.503549,0.130210,6.056843,9.275893,1.094446,37.733433
1403715273762142976.000000,0.000000,0.000000,21.067272,6.497105,0.129154,8.161927,10.900424,0.001248,31.919696
1403715273812143104.000000,0.000000,0.000000,22.311576,12.052855,0.127682,6.199662,9.444790,0.001313,38.708517
1403715273862142976.000000,0.000000,0.000000,20.761220,12.494844,0.122369,5.735880,9.098738,0.000928,37.388596
1403715273912143104.000000,0.000000,0.000000,22.713276,12.551038,0.124834,5.397635,10.042078,0.001344,39.697137
1403715273962142976.000000,0.000000,0.000000,20.108700,12.200921,0.126978,5.226082,10.577508,0.782729,36.678732
1403715274012143104.000000,0.000000,0.000000,22.282231,12.348123,0.117858,7.275131,11.328142,0.001184,38.836423
1403715274062142976.000000,0.000000,0.000000,21.177801,7.933380,0.128930,5.799401,9.348949,0.001088,33.245504
1403715274112143104.000000,0.000000,0.000000,20.117660,12.408540,0.120194,6.302927,11.168940,0.001568,36.789741
1403715274162142976.000000,0.000000,0.000000,20.003674,12.177017,0.154082,5.964715,10.063550,0.001216,36.353191
1403715274212143104.000000,0.000000,0.000000,21.627119,12.246969,0.129250,5.765448,10.484131,0.824522,38.211678
1403715274262142976.000000,0.000000,0.000000,20.730243,12.369083,0.122690,8.984561,10.705286,0.001312,37.235379
1403715274312143104.000000,0.000000,0.000000,20.788164,12.480316,0.124258,6.432528,9.887356,0.001345,37.426197
1403715274362142976.000000,0.000000,0.000000,23.934412,12.418716,0.124450,7.045688,9.905244,0.001152,40.712574
1403715274412143104.000000,0.000000,0.000000,22.120213,12.246234,0.128162,8.397641,10.707846,0.000896,38.755814
1403715274462142976.000000,0.000000,0.000000,21.035815,12.254682,0.121442,7.139641,11.238221,0.741705,37.477269
1403715274512143104.000000,0.000000,0.000000,21.632783,12.544381,0.124545,9.042769,10.966857,0.001216,38.576260
1403715274562142976.000000,0.000000,0.000000,20.215102,12.217177,0.128609,8.352552,12.061271,0.001312,36.530569
1403715274612143104.000000,0.000000,0.000000,19.118575,12.300282,0.123202,7.797857,10.749159,0.000800,35.765376
1403715274662142976.000000,0.000000,0.000000,22.048820,12.602590,0.126562,7.545695,11.475279,0.001248,38.871367
1403715274712143104.000000,0.000000,0.000000,19.048367,12.509468,0.124642,7.039576,11.264621,0.760009,35.750880
1403715274762142976.000000,0.000000,0.000000,20.550401,12.270874,0.131586,10.971369,11.750612,0.001792,37.022576
1403715274812143104.000000,0.000000,0.000000,21.330924,12.696639,0.126497,8.770798,10.953065,0.001120,38.376609
1403715274862142976.000000,0.000000,0.000000,20.152508,7.117593,0.128385,6.814038,11.398159,0.001088,31.492747
1403715274912143104.000000,0.000000,0.000000,20.200797,12.367835,0.124737,6.649171,10.577669,0.000992,37.192818
1403715274962142976.000000,0.000000,0.000000,21.702864,12.374651,0.129378,7.777538,11.118635,0.802506,38.506498
1403715275012143104.000000,0.000000,0.000000,22.195318,12.427036,0.124225,9.006033,12.761568,0.001408,38.884200
1403715275062142976.000000,0.000000,0.000000,20.590370,6.076876,0.128770,6.848630,11.779412,0.001152,30.922883
1403715275112143104.000000,0.000000,0.000000,21.166153,12.335802,0.130082,6.437040,11.903093,0.000992,37.673720
1403715275162142976.000000,0.000000,0.000000,21.990963,12.180633,0.128578,6.411120,12.468092,0.001280,38.337281
1403715275212143104.000000,0.000000,0.000000,21.181290,12.316058,0.120865,6.323215,12.800576,0.734538,37.828697
1403715275262142976.000000,0.000000,0.000000,21.350764,12.485244,0.124450,10.254880,14.167218,0.001632,38.294208
1403715275312143104.000000,0.000000,0.000000,20.394591,10.880361,0.124577,7.671264,14.466230,0.001632,35.487421
1403715275362142976.000000,0.000000,0.000000,21.570030,12.516700,0.126594,4.977310,12.630302,0.001120,38.513763
1403715275412143104.000000,0.000000,0.000000,20.350399,12.321946,0.119874,5.172865,12.508829,0.001280,36.933519
1403715275462142976.000000,0.000000,0.000000,20.494913,12.418555,0.125538,4.809949,12.646814,0.945995,37.081489
1403715275512143104.000000,0.000000,0.000000,23.291460,12.037335,0.123266,8.652141,15.401697,0.001408,39.488718
1403715275562142976.000000,0.000000,0.000000,21.474317,12.421724,0.121601,5.536709,14.021200,0.001344,38.349184
1403715275612143104.000000,0.000000,0.000000,20.639971,12.286714,0.132385,0.138434,15.616740,0.130114,37.267411
1403715275662142976.000000,0.000000,0.000000,21.846514,12.245113,0.124738,0.103457,18.039362,0.144770,38.425825
1403715275712143104.000000,0.000000,0.000000,22.322680,12.215065,0.128545,0.119746,15.527234,1.171310,38.716389
1403715275762142976.000000,0.000000,0.000000,21.232074,4.496473,0.054593,0.184258,20.643907,0.185378,32.205587
1403715275812143104.000000,0.000000,0.000000,20.672323,12.252281,0.125377,0.118049,18.383302,0.124674,37.390005
1403715275862142976.000000,0.000000,0.000000,21.236874,12.416315,0.128706,0.130978,19.809496,0.125377,37.985948
1403715275912143104.000000,0.000000,0.000000,20.194109,5.243170,0.122113,0.117409,19.066351,0.117537,29.639572
1403715275962142976.000000,0.000000,0.000000,20.320575,12.034679,0.125953,0.127873,18.500647,0.119265,36.742764
1403715276012143104.000000,0.000000,0.000000,24.150319,12.289242,0.126017,0.119426,17.818815,0.113025,40.744318
1403715276062142976.000000,0.000000,0.000000,19.771543,12.361915,0.131394,0.129314,18.754859,0.124802,36.365511
1403715276112143104.000000,0.000000,0.000000,27.085523,12.296474,0.130562,0.129314,19.441555,0.129857,43.741764
1403715276162142976.000000,0.000000,0.000000,19.345170,12.158617,0.123906,0.112865,17.572060,0.115777,35.668223
1403715276212143104.000000,0.000000,0.000000,20.193917,12.345338,0.101249,0.119233,18.359750,1.083405,36.833037
1403715276262142976.000000,0.000000,0.000000,21.241130,12.365243,0.129281,0.256323,22.440570,0.334884,37.935388
1403715276312143104.000000,0.000000,0.000000,18.860524,12.583326,0.121857,0.134465,21.044488,0.188706,35.656415
1403715276362142976.000000,0.000000,0.000000,20.728996,12.199321,0.123937,0.138562,18.801675,0.126433,37.275699
1403715276412143104.000000,0.000000,0.000000,20.240286,12.275418,0.125602,0.132769,19.550453,0.130465,36.856750
1403715276462142976.000000,0.000000,0.000000,21.374572,12.148696,0.100226,0.130977,18.314886,0.929132,37.724825
1403715276512143104.000000,0.000000,0.000000,20.362175,12.258266,0.121729,0.238019,20.791428,0.302211,36.961008
1403715276562142976.000000,0.000000,0.000000,20.100924,12.192825,0.133410,0.125954,18.360998,0.152962,36.828462
1403715276612143104.000000,0.000000,0.000000,20.448000,12.558782,0.131393,0.082369,18.622122,0.161890,37.437878
1403715276662142976.000000,0.000000,0.000000,19.396691,8.979761,0.128385,0.126209,19.328210,0.121185,32.937373
1403715276712143104.000000,0.000000,0.000000,21.165129,12.461052,0.124065,0.117185,18.488296,0.114977,37.970331
1403715276762142976.000000,0.000000,0.000000,21.400300,12.691967,0.127649,0.128481,18.691467,0.976972,38.474466
1403715276812143104.000000,0.000000,0.000000,19.607029,12.908098,0.126274,0.233859,20.239966,0.361636,36.841998
1403715276862142976.000000,0.000000,0.000000,21.345196,12.333466,0.130850,0.133282,18.865036,0.157762,38.013500
1403715276912143104.000000,0.000000,0.000000,20.219134,12.477564,0.127778,0.100930,17.869791,0.142242,36.938351
1403715276962142976.000000,0.000000,0.000000,21.412493,12.712799,0.128930,0.124482,19.299346,0.128322,38.551619
1403715277012143104.000000,0.000000,0.000000,19.224273,12.876225,0.133026,0.115489,18.959918,0.133793,36.463560
1403715277062142976.000000,0.000000,0.000000,20.194685,13.005059,0.132002,0.110273,19.695191,1.096078,37.599607
1403715277112143104.000000,0.000000,0.000000,21.106057,12.300730,0.134113,0.255971,21.805809,0.294756,37.626552
1403715277162142976.000000,0.000000,0.000000,21.090856,12.557085,0.127073,0.126274,19.185648,0.189570,38.176062
1403715277212143104.000000,0.000000,0.000000,21.832529,12.802689,0.134145,0.121922,17.191319,0.123617,39.052202
1403715277262142976.000000,0.000000,0.000000,21.469773,12.863617,0.127073,0.114241,18.701611,0.118498,38.935336
1403715277312143104.000000,0.000000,0.000000,20.852581,12.198361,0.133889,0.111137,18.487656,0.946155,37.228594
1403715277362142976.000000,0.000000,0.000000,22.230230,12.438555,0.126049,0.242916,23.245827,0.299876,39.032905
1403715277412143104.000000,0.000000,0.000000,21.416269,12.779872,0.130690,0.136033,20.813029,0.221475,38.585347
1403715277462142976.000000,0.000000,0.000000,21.081320,12.122968,0.126978,0.101185,17.571836,0.129793,37.726552
1403715277512143104.000000,0.000000,0.000000,20.628611,12.509820,0.127586,0.127234,20.019355,0.129314,37.359700
1403715277562142976.000000,0.000000,0.000000,24.251984,12.632894,0.125026,0.113762,18.024993,0.115681,41.287237
1403715277612143104.000000,0.000000,0.000000,21.220426,12.477917,0.136514,0.104033,19.701367,1.092301,39.891028
1403715277662142976.000000,0.000000,0.000000,21.357612,12.554429,0.126561,0.188994,23.593384,0.223362,38.224543
1403715277712143104.000000,0.000000,0.000000,21.222122,12.309786,0.133410,0.131426,20.106588,0.187490,37.717497
1403715277762142976.000000,0.000000,0.000000,21.192074,12.647550,0.130850,0.117057,17.419099,0.952556,38.261983
1403715277812143104.000000,0.000000,0.000000,21.888274,13.016195,0.131490,0.265731,22.755645,0.198115,39.319533
1403715277862142976.000000,0.000000,0.000000,19.444212,12.699551,0.126177,0.140418,20.813413,0.215235,36.387783
1403715277912143104.000000,0.000000,0.000000,20.664323,12.560350,0.132546,0.118625,19.340818,0.134626,37.652248
1403715277962142976.000000,0.000000,0.000000,21.261738,12.513149,0.128962,0.125089,21.059272,1.047981,38.247935
1403715278012143104.000000,0.000000,0.000000,20.178396,13.086948,0.129026,0.258563,24.090350,0.399717,37.618743
1403715278062142976.000000,0.000000,0.000000,20.418175,12.732415,0.133505,0.134882,19.143055,0.179714,37.509014
1403715278112143104.000000,0.000000,0.000000,21.164009,12.523677,0.130625,0.076929,17.890112,0.166690,37.865755
1403715278162142976.000000,0.000000,0.000000,21.382636,12.679679,0.125570,0.131137,21.038024,0.139458,38.382753
1403715278212143104.000000,0.000000,0.000000,22.084853,13.052420,0.125410,0.134274,21.200458,1.019117,39.497007
1403715278262142976.000000,0.000000,0.000000,26.119880,12.826593,0.144066,0.095969,23.053569,0.196163,43.294302
1403715278312143104.000000,0.000000,0.000000,20.055515,7.541598,0.135554,0.134786,18.802731,0.191330,31.844719
1403715278362142976.000000,0.000000,0.000000,19.741335,12.767680,0.126882,0.134466,17.057333,0.115681,36.901774
1403715278412143104.000000,0.000000,0.000000,21.549038,12.499613,0.134561,0.129026,20.319518,0.129922,41.129891
