#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015648,3,1,0,2441
0.004800,4,1,0,3055
0.345733,5,1,0,3749
1.259792,6,1,0,4375
1.794840,7,1,0,4908
2.698339,8,1,0,5464
3.177513,9,1,0,5918
2.774148,10,1,0,6407
3.606286,0,0,0,0
82.414311,0,0,0,0
4.367800,0,0,0,0
5.257476,0,0,0,0
5.177027,0,0,0,0
6.357234,0,0,0,0
6.268305,0,0,0,0
8.440557,0,0,0,0
8.295467,0,0,0,0
8.988052,0,0,0,0
9.759613,0,0,0,0
10.814316,0,0,0,0
11.626934,0,0,0,0
12.970184,0,0,0,0
12.606050,0,0,0,0
11.957146,0,0,0,0
11.214032,0,0,0,0
13.233963,0,0,0,0
12.203838,0,0,0,0
14.921505,0,0,0,0
12.355744,0,0,0,0
14.750558,0,0,0,0
11.505461,0,0,0,0
13.840083,0,0,0,0
10.876909,0,0,0,0
12.904647,0,0,0,0
13.258795,0,0,0,0
10.909485,0,0,0,0
12.344448,0,0,0,0
11.970650,0,0,0,0
11.896505,0,0,0,0
10.446950,0,0,0,0
12.226750,0,0,0,0
11.463636,0,0,0,0
11.887577,0,0,0,0
11.620470,0,0,0,0
11.653878,0,0,0,0
11.237553,0,0,0,0
10.608169,0,0,0,0
9.045109,0,0,0,0
12.323967,0,0,0,0
8.506990,0,0,0,0
12.426784,0,0,0,0
9.069429,0,0,0,0
11.790424,0,0,0,0
8.711472,0,0,0,0
10.339845,0,0,0,0
8.627632,0,0,0,0
9.485946,0,0,0,0
8.031656,0,0,0,0
8.188873,0,0,0,0
8.060680,0,0,0,0
9.968705,0,0,0,0
9.089781,0,0,0,0
8.888082,0,0,0,0
13.127241,0,0,0,0
11.619061,0,0,0,0
9.546811,0,0,0,0
12.454784,0,0,0,0
10.545832,0,0,0,0
7.435552,0,0,0,0
5.955757,0,0,0,0
8.991188,0,0,0,0
8.793074,0,0,0,0
8.418605,0,0,0,0
7.947207,0,0,0,0
7.497665,0,0,0,0
5.959149,0,0,0,0
8.412620,0,0,0,0
8.209642,0,0,0,0
5.597352,0,0,0,0
6.546165,0,0,0,0
9.078325,0,0,0,0
8.656752,0,0,0,0
8.880243,0,0,0,0
10.563976,0,0,0,0
11.248433,0,0,0,0
10.051649,0,0,0,0
8.975188,0,0,0,0
9.346520,0,0,0,0
12.068347,0,0,0,0
9.211639,0,0,0,0
10.895661,0,0,0,0
15.728683,0,0,0,0
12.887014,0,0,0,0
14.230104,0,0,0,0
13.471438,0,0,0,0
13.270731,0,0,0,0
12.597699,0,0,0,0
13.527183,0,0,0,0
13.644880,0,0,0,0
13.762001,0,0,0,0
14.087222,0,0,0,0
12.112700,0,0,0,0
14.247352,0,0,0,0
17.201789,0,0,0,0
13.721296,0,0,0,0
14.335289,0,0,0,0
17.602499,0,0,0,0
15.367142,0,0,0,0
13.394253,0,0,0,0
16.245777,0,0,0,0
16.415923,0,0,0,0
15.983182,0,0,0,0
16.188785,0,0,0,0
16.403475,0,0,0,0
11.035887,0,0,0,0
13.575567,0,0,0,0
13.068009,0,0,0,0
12.828262,0,0,0,0
13.775122,0,0,0,0
12.795973,0,0,0,0
12.243550,0,0,0,0
10.317573,0,0,0,0
10.532424,0,0,0,0
10.818924,0,0,0,0
11.842264,0,0,0,0
15.229509,0,0,0,0
17.294815,0,0,0,0
15.932142,0,0,0,0
12.845861,0,0,0,0
12.540578,0,0,0,0
12.596226,0,0,0,0
15.256101,0,0,0,0
14.010229,0,0,0,0
13.261931,0,0,0,0
11.855800,0,0,0,0
11.139247,0,0,0,0
12.755173,0,0,0,0
13.966452,0,0,0,0
13.729617,0,0,0,0
11.700535,0,0,0,0
15.216196,0,0,0,0
14.892256,0,0,0,0
10.911084,0,0,0,0
15.212580,0,0,0,0
16.148784,0,0,0,0
12.257822,0,0,0,0
15.707979,0,0,0,0
16.972475,0,0,0,0
10.982574,0,0,0,0
16.713591,0,0,0,0
12.945446,0,0,0,0
13.681424,0,0,0,0
15.796300,0,0,0,0
19.767135,0,0,0,0
16.800761,0,0,0,0
19.470171,0,0,0,0
19.084118,0,0,0,0
20.092930,0,0,0,0
16.314290,0,0,0,0
20.153860,0,0,0,0
16.193809,0,0,0,0
15.774379,0,0,0,0
18.390701,0,0,0,0
16.001326,0,0,0,0
17.940551,0,0,0,0
18.855219,0,0,0,0
15.557320,0,0,0,0
14.843423,0,0,0,0
16.328274,0,0,0,0
19.558972,0,0,0,0
16.816600,0,0,0,0
19.211000,0,0,0,0
18.726897,0,0,0,0
16.113775,0,0,0,0
23.898132,0,0,0,0
19.974849,0,0,0,0
17.335775,0,0,0,0
16.245041,0,0,0,0
20.096099,0,0,0,0
11.521172,0,0,0,0
10.641225,0,0,0,0
11.290898,0,0,0,0
11.361107,0,0,0,0
9.265207,0,0,0,0
13.692849,0,0,0,0
12.911687,0,0,0,0
8.344875,0,0,0,0
15.907597,0,0,0,0
15.867725,0,0,0,0
15.944461,0,0,0,0
10.267524,0,0,0,0
10.600776,0,0,0,0
9.571643,0,0,0,0
16.189233,0,0,0,0
12.005306,0,0,0,0
12.671043,0,0,0,0
16.195537,0,0,0,0
28.049481,0,0,0,0
23.384205,0,0,0,0
34.719872,0,0,0,0
19.493307,0,0,0,0
19.488987,0,0,0,0
22.605155,0,0,0,0
16.479604,0,0,0,0
15.922029,0,0,0,0
19.207447,0,0,0,0
16.132688,0,0,0,0
8.927475,0,0,0,0
13.241130,0,0,0,0
13.718705,0,0,0,0
8.098441,0,0,0,0
14.404634,0,0,0,0
13.216170,0,0,0,0
8.727185,0,0,0,0
16.090415,0,0,0,0
12.791301,0,0,0,0
8.939027,0,0,0,0
13.674960,0,0,0,0
11.044782,0,0,0,0
10.260132,0,0,0,0
11.508725,0,0,0,0
14.412121,0,0,0,0
16.621046,0,0,0,0
14.220407,0,0,0,0
18.176747,0,0,0,0
17.872486,0,0,0,0
17.868614,0,0,0,0
18.064297,0,0,0,0
10.166563,0,0,0,0
16.447060,0,0,0,0
16.435220,0,0,0,0
16.420628,0,0,0,0
16.210929,0,0,0,0
16.605398,0,0,0,0
14.371289,0,0,0,0
14.582620,0,0,0,0
15.188548,0,0,0,0
15.106338,0,0,0,0
15.151651,0,0,0,0
12.575202,0,0,0,0
16.342931,0,0,0,0
12.409888,0,0,0,0
11.946809,0,0,0,0
11.451220,0,0,0,0
12.689667,0,0,0,0
14.527291,0,0,0,0
15.447207,0,0,0,0
13.828754,0,0,0,0
14.795710,0,0,0,0
10.067169,0,0,0,0
9.565852,0,0,0,0
12.165020,0,0,0,0
13.976276,0,0,0,0
13.768465,0,0,0,0
15.798732,0,0,0,0
15.975182,0,0,0,0
14.447450,0,0,0,0
15.951406,0,0,0,0
10.646345,0,0,0,0
14.307928,0,0,0,0
12.928550,0,0,0,0
10.382630,0,0,0,0
15.497927,0,0,0,0
15.879308,0,0,0,0
14.739549,0,0,0,0
19.211928,0,0,0,0
17.809061,0,0,0,0
56.389622,0,0,0,0
31.564855,0,0,0,0
30.582313,0,0,0,0
22.208798,0,0,0,0
27.664932,0,0,0,0
28.715250,0,0,0,0
28.835123,0,0,0,0
27.787142,0,0,0,0
24.869696,0,0,0,0
24.908641,0,0,0,0
26.849561,0,0,0,0
26.270098,0,0,0,0
23.148586,0,0,0,0
26.640247,0,0,0,0
26.591479,0,0,0,0
21.746392,0,0,0,0
24.332953,0,0,0,0
26.864154,0,0,0,0
29.609437,0,0,0,0
24.613405,0,0,0,0
22.985448,0,0,0,0
24.503932,0,0,0,0
26.992379,0,0,0,0
32.796934,0,0,0,0
26.685111,0,0,0,0
27.722885,0,0,0,0
28.929588,0,0,0,0
23.793970,0,0,0,0
30.810509,0,0,0,0
25.090659,0,0,0,0
28.720626,0,0,0,0
26.293779,0,0,0,0
26.991771,0,0,0,0
22.309151,0,0,0,0
20.561865,0,0,0,0
29.718847,0,0,0,0
21.742808,0,0,0,0
25.827693,0,0,0,0
22.696100,0,0,0,0
23.479310,0,0,0,0
23.184234,0,0,0,0
22.488194,0,0,0,0
20.502984,-1075005139,65535,65535,1080298398
22.393120,289,527046640,489365536,-859818093
