#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.527928,0.214179,2.293277,0.016512,0.016512,12.065240
12.003927,0.401477,5.786985,0.005152,0.005152,18.201093
13.464777,0.570152,8.377225,0.460678,0.460678,72.262029
14.073745,0.594855,14.578327,1.277360,1.277360,82.869234
15.317665,0.364708,18.313703,1.711030,1.711030,91.891332
9.847452,0.308932,14.282099,1.669109,1.669109,79.656650
16.371726,0.443205,26.596623,2.387295,2.387295,118.885464
10.748423,0.336356,17.981858,3.468587,3.468587,99.478563
18.409063,0.483334,34.751286,3.245096,3.245096,150.039135
18.310950,0.463622,36.843887,140.736427,140.736427,282.732197
19.095632,0.452262,35.316476,4.461528,4.461528,130.755821
16.318477,0.357284,30.174460,4.999871,4.999871,129.924290
17.417595,0.417125,37.848957,5.535941,5.535941,145.096769
22.484891,0.552999,48.469857,6.133133,6.133133,162.598685
14.635993,0.421733,35.991493,7.085273,7.085273,146.412082
15.151263,0.428421,35.232348,8.150247,8.150247,151.442706
19.171633,0.428806,46.341415,8.534827,8.534827,189.435535
15.893288,0.420485,43.080670,9.016242,9.016242,187.109490
16.325421,0.460166,40.702656,9.982526,9.982526,452.343707
18.069987,0.454598,45.153400,10.373986,10.373986,192.778585
29.526835,0.579335,71.444131,11.231565,11.231565,247.886734
18.957007,0.398181,44.767283,13.745709,13.745709,207.076045
14.977532,0.347301,38.062879,12.356763,12.356763,194.362509
14.386037,0.383621,34.995768,14.598648,14.598648,201.087618
12.796801,0.317956,34.116941,12.852930,12.852930,194.519951
13.110373,0.338724,34.250959,15.371105,15.371105,202.687670
12.733728,0.342436,32.761692,11.920790,11.920790,202.126799
12.728192,0.351973,33.001471,15.149279,15.149279,211.078624
14.605208,0.432965,41.996305,12.582046,12.582046,200.696605
16.014985,0.435718,54.242602,14.896604,14.896604,225.482357
22.058261,0.568744,45.257433,12.538781,12.538781,209.171527
23.655242,0.582855,61.810762,13.361480,13.361480,250.871476
14.518134,0.488902,37.501592,13.218855,13.218855,202.703894
13.150310,0.513478,36.113094,12.325595,12.325595,199.253931
15.483363,0.602759,44.013418,13.590251,13.590251,209.908369
20.566338,0.811467,56.179170,10.600806,10.600806,219.314823
12.698719,0.585416,42.754650,12.996900,12.996900,204.308458
20.298911,0.692041,56.581128,10.670599,10.670599,224.231461
21.437070,0.678057,57.386770,12.322843,12.322843,232.685456
15.493666,0.537447,42.034353,12.398172,12.398172,206.864170
20.201662,0.790890,56.920876,10.764583,10.764583,248.489302
12.562462,0.532934,39.721140,11.829300,11.829300,202.987737
12.583102,0.586791,39.701076,11.732852,11.732852,242.698125
11.743892,0.546246,31.829617,11.691091,11.691091,200.435929
12.192665,0.532807,28.725577,11.379087,11.379087,196.047042
11.507153,0.472934,28.314212,10.617414,10.617414,178.175298
14.405397,0.567303,40.489406,9.537560,9.537560,197.163280
12.493565,0.528679,33.347715,12.129528,12.129528,201.539624
10.700359,0.529414,27.384953,8.914993,8.914993,171.344460
14.727065,0.645288,37.705722,12.437789,12.437789,206.907659
11.103404,0.535846,29.893720,8.594700,8.594700,171.013895
15.243903,0.765802,37.753659,13.565002,13.565002,197.909369
11.532753,0.602535,29.026542,9.630010,9.630010,169.761624
18.353287,0.831402,49.284621,9.786075,9.786075,210.791004
9.706682,0.545223,25.917478,8.186087,8.186087,469.419282
9.162483,0.590887,23.772555,9.493048,9.493048,174.786807
10.566821,0.673769,29.833879,10.177024,10.177024,188.738407
9.820187,0.677225,26.964179,10.241761,10.241761,190.431292
10.129216,0.693417,28.307556,8.908592,8.908592,189.413135
9.696794,0.634792,26.521358,7.807458,7.807458,194.213100
10.316865,0.638952,28.155075,8.227399,8.227399,195.427386
10.321250,0.703849,27.924831,9.555896,9.555896,196.181380
8.361609,0.651688,24.597174,8.279176,8.279176,180.221659
10.031198,0.859371,29.572756,9.045778,9.045778,193.857607
8.421354,0.796938,26.153833,9.801372,9.801372,196.485096
8.032069,0.795466,24.353010,7.249211,7.249211,196.605353
7.640480,0.889867,22.228760,6.778901,6.778901,190.218297
4.982814,0.840555,12.832929,5.281250,5.281250,163.859117
3.611565,0.623560,9.188308,7.352188,7.352188,152.878339
13.064708,0.882603,36.462827,7.974117,7.974117,216.028894
10.555685,0.954476,29.932248,7.736353,7.736353,205.966111
14.302068,1.291984,37.793787,8.887248,8.887248,222.040297
14.180050,1.025805,36.858512,4.793500,4.793500,219.318983
14.667737,0.873163,38.500516,6.873910,6.873910,222.955605
10.798984,0.670728,31.129640,5.960907,5.960907,206.736841
10.841672,0.592679,30.196476,4.731900,4.731900,202.369778
12.919074,0.598408,33.521733,5.133217,5.133217,213.138105
14.448053,0.521191,27.425145,7.392669,7.392669,206.406564
17.612157,0.767370,47.654616,7.998277,7.998277,252.900846
17.564252,0.771114,48.230943,6.192814,6.192814,235.853495
18.076611,0.780682,49.239148,8.414569,8.414569,250.107338
17.925121,0.833803,50.534107,8.927088,8.927088,256.618012
