#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636858651666432.000000,0.000000,0.000000,29.259399,2.660708,0.004928,11.751805,4.228280,0.003488,35.072085
1403636858701666560.000000,0.000000,0.000000,23.710941,2.671364,0.069953,2.499457,2.871847,0.001472,30.303829
1403636858751666432.000000,0.000000,0.000000,24.589800,3.246988,0.071553,2.672036,3.501487,0.001664,31.856969
1403636858801666560.000000,0.000000,0.000000,23.726269,4.963779,0.090177,2.474274,3.372173,0.001248,32.563636
1403636858851666432.000000,0.000000,0.000000,22.831089,5.508745,0.108065,2.764261,3.664273,1.044814,32.526067
1403636858901666560.000000,0.000000,0.000000,25.184785,5.999856,0.125602,6.019440,5.942224,0.001152,36.944077
1403636858951666432.000000,0.000000,0.000000,24.943085,6.260244,0.117441,4.605598,5.377544,0.000960,35.373241
1403636859001666560.000000,0.000000,0.000000,23.434841,6.073841,0.108929,4.305241,5.560811,0.000992,33.859204
1403636859051666432.000000,0.000000,0.000000,26.969576,6.127441,0.116290,3.914388,6.337397,0.001344,38.690181
1403636859101666560.000000,0.000000,0.000000,24.648169,6.222067,0.127490,3.359917,5.541706,1.007277,51.783508
1403636859151666432.000000,0.000000,0.000000,24.979693,2.984968,0.164802,7.147487,7.096639,0.001408,37.870554
1403636859201666560.000000,0.000000,0.000000,25.650775,6.778171,0.127873,4.297465,6.425782,0.001184,42.860572
1403636859251666432.000000,0.000000,0.000000,29.144550,6.931164,0.130529,4.943490,7.676838,0.001280,46.385932
1403636859301666560.000000,0.000000,0.000000,25.779640,7.457475,0.130018,2.868934,5.802190,0.001056,44.865687
1403636859351666432.000000,0.000000,0.000000,27.547537,7.844392,0.135106,2.713188,5.785773,1.212976,51.735827
1403636859401666560.000000,0.000000,0.000000,26.525954,7.268002,0.114977,6.489495,8.503313,0.001408,47.975073
1403636859451666432.000000,0.000000,0.000000,25.032143,7.778504,0.128834,5.650827,8.038667,0.001408,46.915443
1403636859501666560.000000,0.000000,0.000000,26.148381,7.775912,0.131522,3.402541,6.319797,0.000960,48.701323
1403636859551666432.000000,0.000000,0.000000,24.367589,8.292079,0.127330,3.837267,7.234625,0.001312,46.881042
1403636859601666560.000000,0.000000,0.000000,24.616489,5.703692,0.133377,4.024790,6.965277,0.896908,49.038671
1403636859651666432.000000,0.000000,0.000000,23.088597,8.170797,0.126402,5.942159,6.234612,0.000928,46.598543
1403636859701666560.000000,0.000000,0.000000,26.501826,10.346442,0.153250,5.194917,7.973259,0.000992,53.763823
1403636859751666432.000000,0.000000,0.000000,24.743787,8.858422,0.131874,4.753151,6.795131,0.001056,46.452204
1403636859801666560.000000,0.000000,0.000000,24.339717,9.080601,0.099426,3.986005,6.851483,0.000992,47.306328
1403636859851666432.000000,0.000000,0.000000,23.786430,4.855809,0.086945,5.605451,8.039372,0.963981,48.835469
1403636859901666560.000000,0.000000,0.000000,23.819806,8.793430,0.142082,5.941519,7.558341,0.001568,50.729926
1403636859951666432.000000,0.000000,0.000000,25.118703,7.983787,0.119010,3.925301,7.726695,0.001088,47.064820
1403636860001666560.000000,0.000000,0.000000,22.342859,8.272270,0.137570,3.196555,7.795592,0.001152,45.842309
1403636860051666432.000000,0.000000,0.000000,23.833182,9.989894,0.128418,2.968935,8.182830,0.001216,50.277983
1403636860101666560.000000,0.000000,0.000000,26.512291,5.702956,0.129826,2.634467,7.700007,0.949772,48.619818
1403636860151666432.000000,0.000000,0.000000,25.235602,8.408944,0.134370,5.424777,8.746837,0.001280,51.009002
1403636860201666560.000000,0.000000,0.000000,25.261554,7.121887,0.123650,3.887188,9.064121,0.001280,48.253029
1403636860251666432.000000,0.000000,0.000000,23.856479,7.939658,0.126498,3.245419,8.917016,0.001376,46.753040
1403636860301666560.000000,0.000000,0.000000,25.660567,9.276508,0.165730,3.006440,8.456081,0.001280,54.033010
1403636860351666432.000000,0.000000,0.000000,22.413195,6.623192,0.121730,3.377101,9.855107,0.725962,47.062261
1403636860401666560.000000,0.000000,0.000000,22.634575,7.151999,0.133698,4.321850,8.948663,0.001344,45.665602
1403636860451666432.000000,0.000000,0.000000,21.502175,8.426256,0.137154,4.039702,8.181517,0.001024,45.263325
1403636860501666560.000000,0.000000,0.000000,22.900530,6.946301,0.153090,4.102807,7.962506,0.001152,45.301469
1403636860551666432.000000,0.000000,0.000000,21.958918,6.994877,0.164162,4.186872,8.367151,0.001312,44.772406
1403636860601666560.000000,0.000000,0.000000,22.500044,6.181683,0.163906,4.111703,8.449649,0.909612,47.382009
1403636860651666432.000000,0.000000,0.000000,23.571643,6.466551,0.166882,6.093746,9.616480,0.001408,47.430138
1403636860701666560.000000,0.000000,0.000000,25.059726,6.679449,0.171650,4.178776,9.341405,0.001216,48.641546
1403636860751666432.000000,0.000000,0.000000,24.579048,6.002577,0.177986,3.949876,9.479103,0.001184,46.672687
1403636860801666560.000000,0.000000,0.000000,24.394918,6.082545,0.194275,4.050838,8.643540,0.001184,49.468181
1403636860851666432.000000,0.000000,0.000000,25.100783,4.697087,0.116354,4.193880,9.048857,1.182544,48.035393
1403636860901666560.000000,0.000000,0.000000,23.171125,6.729849,0.170371,7.143967,8.682772,0.001536,46.745296
1403636860951666432.000000,0.000000,0.000000,24.205315,7.158303,0.168482,0.117122,10.812880,0.104417,47.872064
1403636861001666560.000000,0.000000,0.000000,21.910660,7.931722,0.168355,0.098274,10.961586,0.970732,47.036340
1403636861051666432.000000,0.000000,0.000000,23.415449,7.899561,0.172834,0.160482,16.724736,0.139298,49.334707
1403636861101666560.000000,0.000000,0.000000,21.984005,4.634782,0.154690,0.102401,12.424134,0.101121,46.657488
1403636861151666432.000000,0.000000,0.000000,22.849681,8.834326,0.151874,0.118530,17.312391,0.118241,49.610646
1403636861201666560.000000,0.000000,0.000000,23.060596,9.282844,0.158882,0.111714,13.768984,0.094818,50.049052
1403636861251666432.000000,0.000000,0.000000,22.479628,6.955901,0.142402,0.133729,15.755411,0.109762,46.537454
1403636861301666560.000000,0.000000,0.000000,23.666908,10.929202,0.161122,0.112257,13.343090,0.096833,53.523435
1403636861351666432.000000,0.000000,0.000000,24.112450,5.980272,0.127810,0.129538,16.499005,0.142434,50.180575
1403636861401666560.000000,0.000000,0.000000,21.341726,6.309172,0.120961,0.128417,16.261978,0.105250,42.372950
1403636861451666432.000000,0.000000,0.000000,22.402892,5.797165,0.141986,0.115585,12.931341,0.093314,44.518770
1403636861501666560.000000,0.000000,0.000000,25.166832,10.066407,0.149922,0.112833,14.709029,0.926285,56.909688
1403636861551666432.000000,0.000000,0.000000,24.183075,6.779163,0.150370,0.069985,12.241764,0.136034,47.369049
1403636861601666560.000000,0.000000,0.000000,24.550504,9.877892,0.181666,0.060449,10.928786,0.704905,56.567156
1403636861651666432.000000,0.000000,0.000000,23.237015,6.747098,0.147042,0.088353,11.417080,0.108993,48.182052
1403636861701666560.000000,0.000000,0.000000,24.057537,8.940056,0.159587,0.060833,11.539130,0.677993,53.594316
