#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014689,3,1,0,706
0.004608,4,1,0,905
0.418821,5,1,0,1144
0.693384,6,1,0,1361
0.951884,7,1,0,1538
1.284303,8,1,0,1742
1.695637,9,1,0,1936
2.242651,10,1,0,2151
2.357756,0,0,0,0
74.220228,3,1,0,801
2.710753,4,1,0,1191
0.005920,5,1,0,1526
0.004384,6,1,0,1874
0.521158,7,1,0,1880
0.961004,8,1,0,1920
0.869675,9,1,0,2288
1.045133,10,1,0,2747
1.299183,0,0,0,0
1.452530,0,0,0,0
1.458642,0,0,0,0
75.671669,0,0,0,0
2.408062,0,0,0,0
1.557363,0,0,0,0
1.768213,0,0,0,0
1.951095,0,0,0,0
2.511294,0,0,0,0
2.234171,0,0,0,0
2.466750,0,0,0,0
2.596223,0,0,0,0
2.781186,0,0,0,0
3.152358,0,0,0,0
3.415337,0,0,0,0
4.707705,0,0,0,0
4.700473,0,0,0,0
4.765754,3,1,0,599
4.629368,4,1,0,797
4.207635,5,1,0,1004
4.335284,6,1,0,1232
0.005696,7,1,0,1459
0.004576,8,1,0,1676
0.317380,9,1,0,1872
0.763433,10,1,0,2082
0.992492,0,0,0,0
1.391216,3,1,0,856
1.617075,4,1,0,1073
2.299196,5,1,0,1328
2.369629,6,1,0,1580
88.541875,7,1,0,1865
2.403741,8,1,0,2131
0.005312,9,1,0,2406
0.004512,10,1,0,2600
0.599144,0,0,0,0
0.942380,3,1,0,561
1.243471,4,1,0,875
1.626580,5,1,0,1168
1.722325,6,1,0,1508
2.446301,7,1,0,1949
3.166214,8,1,0,2356
57.035924,9,1,0,2719
3.543147,10,1,0,3011
0.004800,0,0,0,0
0.004768,0,0,0,0
0.236003,0,0,0,0
0.743049,0,0,0,0
0.963371,0,0,0,0
1.187150,0,0,0,0
1.180046,0,0,0,0
1.051437,0,0,0,0
1.002156,0,0,0,0
65.430235,0,0,0,0
1.711541,0,0,0,0
1.838710,0,0,0,0
1.872791,0,0,0,0
2.721729,0,0,0,0
2.353757,0,0,0,0
2.477310,0,0,0,0
2.757089,0,0,0,0
2.959780,0,0,0,0
3.334249,0,0,0,0
3.563051,0,0,0,0
3.834766,0,0,0,0
5.102718,0,0,0,0
4.085297,0,0,0,0
4.224947,0,0,0,0
5.667333,0,0,0,0
4.314900,0,0,0,0
5.595972,0,0,0,0
7.216472,0,0,0,0
4.613656,0,0,0,0
6.129194,0,0,0,0
6.149098,0,0,0,0
4.852635,0,0,0,0
6.230540,0,0,0,0
6.253645,0,0,0,0
5.147326,0,0,0,0
7.449275,0,0,0,0
5.856007,0,0,0,0
4.796347,0,0,0,0
5.690789,0,0,0,0
5.452835,0,0,0,0
4.801274,0,0,0,0
3.528139,0,0,0,0
3.698669,0,0,0,0
6.418286,0,0,0,0
3.630668,0,0,0,0
7.696638,0,0,0,0
4.925276,0,0,0,0
6.869907,0,0,0,0
7.651581,0,0,0,0
5.322753,0,0,0,0
5.601668,0,0,0,0
5.631717,0,0,0,0
6.017577,0,0,0,0
7.240952,0,0,0,0
7.002741,0,0,0,0
7.081526,0,0,0,0
5.266432,0,0,0,0
5.526435,0,0,0,0
7.403962,0,0,0,0
5.716549,0,0,0,0
6.079594,0,0,0,0
6.081866,0,0,0,0
4.856603,0,0,0,0
3.252776,0,0,0,0
5.716998,0,0,0,0
5.109630,0,0,0,0
5.108126,0,0,0,0
5.379905,0,0,0,0
5.160766,0,0,0,0
5.483715,0,0,0,0
5.275744,0,0,0,0
6.411854,0,0,0,0
5.414850,0,0,0,0
5.585796,0,0,0,0
5.220000,0,0,0,0
6.718674,0,0,0,0
3.888304,0,0,0,0
4.863003,0,0,0,0
7.921472,0,0,0,0
5.633636,0,0,0,0
6.006985,0,0,0,0
7.534587,0,0,0,0
8.278373,0,0,0,0
10.152668,0,0,0,0
10.205981,0,0,0,0
10.133692,0,0,0,0
10.720898,0,0,0,0
11.888081,0,0,0,0
9.245648,0,0,0,0
15.033687,0,0,0,0
9.414802,0,0,0,0
13.915466,0,0,0,0
8.614857,0,0,0,0
11.538925,0,0,0,0
5.976425,0,0,0,0
10.141276,0,0,0,0
7.959201,0,0,0,0
15.353211,0,0,0,0
12.644442,0,0,0,0
13.035166,0,0,0,0
10.527936,0,0,0,0
11.110759,0,0,0,0
8.378406,0,0,0,0
8.804044,0,0,0,0
19.058089,0,0,0,0
16.062116,0,0,0,0
20.456441,0,0,0,0
18.852581,0,0,0,0
19.248234,0,0,0,0
18.988135,0,0,0,0
17.804281,0,0,0,0
14.759988,0,0,0,0
15.142713,0,0,0,0
13.024063,0,0,0,0
18.270014,0,0,0,0
16.649867,0,0,0,0
12.413208,0,0,0,0
16.178149,0,0,0,0
18.113917,0,0,0,0
12.130676,0,0,0,0
9.633014,0,0,0,0
14.381072,0,0,0,0
10.309214,0,0,0,0
16.362984,0,0,0,0
11.614670,0,0,0,0
15.414107,0,0,0,0
19.694320,0,0,0,0
16.221222,0,0,0,0
13.748168,0,0,0,0
21.631944,0,0,0,0
21.343364,0,0,0,0
17.687192,0,0,0,0
16.197958,0,0,0,0
19.274635,0,0,0,0
22.914167,0,0,0,0
22.496786,0,0,0,0
18.562306,0,0,0,0
24.112806,0,0,0,0
20.794557,0,0,0,0
17.305235,0,0,0,0
22.487603,0,0,0,0
25.473110,0,0,0,0
27.097514,0,0,0,0
23.063737,0,0,0,0
27.870836,0,0,0,0
28.954658,0,0,0,0
25.625240,0,0,0,0
27.870580,0,0,0,0
23.273500,0,0,0,0
25.401750,0,0,0,0
19.025800,0,0,0,0
22.954616,0,0,0,0
22.947288,0,0,0,0
25.098514,0,0,0,0
20.265559,0,0,0,0
20.700573,0,0,0,0
16.626763,0,0,0,0
14.639506,0,0,0,0
22.944152,0,0,0,0
16.994927,0,0,0,0
22.099086,0,0,0,0
17.199570,0,0,0,0
16.550570,0,0,0,0
17.593687,0,0,0,0
12.004818,0,0,0,0
20.306392,0,0,0,0
13.633894,0,0,0,0
20.451257,0,0,0,0
20.128150,0,0,0,0
22.887351,0,0,0,0
17.258387,0,0,0,0
20.161334,0,0,0,0
22.445074,0,0,0,0
19.225451,0,0,0,0
17.353844,0,0,0,0
21.191523,0,0,0,0
16.889679,0,0,0,0
22.685109,0,0,0,0
16.666636,0,0,0,0
23.103739,0,0,0,0
23.238844,0,0,0,0
19.515310,0,0,0,0
24.124135,0,0,0,0
23.758274,0,0,0,0
21.663305,0,0,0,0
19.158954,0,0,0,0
15.457885,0,0,0,0
18.335520,0,0,0,0
12.353527,0,0,0,0
13.397315,0,0,0,0
16.287399,0,0,0,0
16.866926,0,0,0,0
11.742416,0,0,0,0
11.505613,0,0,0,0
10.951302,0,0,0,0
11.031687,0,0,0,0
11.767407,0,0,0,0
11.278122,0,0,0,0
11.872177,0,0,0,0
13.874345,0,0,0,0
12.759868,0,0,0,0
14.706484,0,0,0,0
14.877110,0,0,0,0
12.237429,0,0,0,0
10.453248,0,0,0,0
15.296635,0,0,0,0
16.571307,0,0,0,0
10.283838,0,0,0,0
10.655906,0,0,0,0
16.152229,0,0,0,0
11.581069,0,0,0,0
17.903259,0,0,0,0
17.308852,0,0,0,0
12.982238,0,0,0,0
13.942762,0,0,0,0
17.952571,0,0,0,0
12.534009,0,0,0,0
14.316335,0,0,0,0
15.459325,0,0,0,0
16.651019,0,0,0,0
15.753920,0,0,0,0
15.631647,0,0,0,0
15.542142,0,0,0,0
12.919454,0,0,0,0
14.716948,0,0,0,0
13.352259,0,0,0,0
14.456209,0,0,0,0
15.233786,0,0,0,0
11.581902,0,0,0,0
13.424261,0,0,0,0
13.282274,0,0,0,0
14.080524,0,0,0,0
11.474157,0,0,0,0
14.312976,0,0,0,0
17.542999,0,0,0,0
12.018259,0,0,0,0
9.350290,0,0,0,0
9.737559,0,0,0,0
9.584213,0,0,0,0
14.792949,0,0,0,0
9.465780,0,0,0,0
10.987238,0,0,0,0
9.644886,0,0,0,0
11.259978,0,0,0,0
