#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.157519,0.041536,0.451590,0.015296,0.015296,9.678837
9.387473,0.115425,0.884363,0.004832,0.004832,10.396125
9.539187,0.149282,1.519346,0.213379,0.213379,20.843004
9.914999,0.163746,2.411741,0.341124,0.341124,25.699286
10.160634,0.160482,3.207559,0.430085,0.430085,30.585745
10.535839,0.163970,20.300597,0.548199,0.548199,65.454230
11.299049,0.307332,24.448871,0.770313,0.770313,72.054758
12.227059,0.421829,27.810064,1.117518,1.117518,88.747375
12.662553,0.474790,27.142279,1.037708,1.037708,84.303577
13.508003,0.402245,32.931246,84.254681,84.254681,200.222769
11.254344,0.278371,23.708990,1.665556,1.665556,70.852759
15.394842,0.308996,41.909881,1.093262,1.093262,121.930336
16.622441,0.282179,39.970242,1.295472,1.295472,120.782194
16.933676,0.379077,38.949078,1.438738,1.438738,122.003585
16.637896,0.424677,35.951090,1.591060,1.591060,131.647413
17.871479,0.390565,41.341715,1.720821,1.720821,129.908672
19.573868,0.258851,42.388288,1.982456,1.982456,134.268404
20.406423,0.264803,40.956686,2.100890,2.100890,139.473556
20.970205,0.322308,38.468304,2.089081,2.089081,142.691834
16.965229,0.282915,35.672847,2.243163,2.243163,153.644127
14.647505,0.218723,29.803687,2.782370,2.782370,135.929897
24.895852,0.269923,47.720224,3.738862,3.738862,186.964721
24.265413,0.251075,48.335719,4.293940,4.293940,182.343129
23.179415,0.292868,48.010980,3.867278,3.867278,187.025713
19.627309,0.368740,43.653103,4.252307,4.252307,172.296896
19.584620,0.368900,41.809529,3.802094,3.802094,186.397962
19.121927,0.298372,42.403455,4.529495,4.529495,316.984115
12.542232,0.244067,33.633014,4.332308,4.332308,143.932458
23.250585,0.474278,59.646992,3.777902,3.777902,196.499397
24.187365,0.478181,70.144175,4.425717,4.425717,214.957444
22.636850,0.497190,63.744673,2.755745,2.755745,200.432404
17.661493,0.341924,39.205018,3.503242,3.503242,187.274677
20.126035,0.413989,40.585194,3.666316,3.666316,193.083707
19.390058,0.289891,38.746452,5.156030,5.156030,191.940365
26.344414,0.267555,51.267275,4.029329,4.029329,204.427556
17.889912,0.268643,41.197393,4.939836,4.939836,188.997162
17.029390,0.288899,36.991007,4.255955,4.255955,191.364359
18.260925,0.339204,40.595402,6.817427,6.817427,193.525474
14.832179,0.272131,33.202353,4.406933,4.406933,173.748562
18.685474,0.317540,40.421608,7.038485,7.038485,191.376584
16.376166,0.273699,35.051751,4.923964,4.923964,139.997243
17.077902,0.129698,45.126113,6.230732,6.230732,188.100416
17.480467,0.117761,48.859983,6.028361,6.028361,185.684163
9.806838,0.048961,0.571943,0.005216,0.005216,10.437566
9.772022,0.132354,0.965900,0.004640,0.004640,10.878980
9.861975,0.140898,1.256143,0.352868,0.352868,22.906997
10.134875,0.139809,1.729109,0.639655,0.639655,21.868424
10.422622,0.030496,2.202555,0.694408,0.694408,24.594025
10.577312,0.036704,2.815714,0.879787,0.879787,27.713455
10.874883,0.037569,3.078597,0.886794,0.886794,41.007855
9.277969,0.020256,1.349520,0.913419,0.913419,28.519577
11.500907,0.033760,4.041873,1.122894,1.122894,36.706204
11.713678,0.022240,4.772730,44.868382,44.868382,83.603058
12.171347,0.030784,5.001021,1.395441,1.395441,52.733181
9.151919,0.049985,0.562918,0.005696,0.005696,9.775030
9.686261,0.143042,1.080269,0.004288,0.004288,10.917636
9.899927,0.176706,1.369073,0.463142,0.463142,24.741227
10.150874,0.138178,1.837974,0.600167,0.600167,23.310329
10.302461,0.047264,2.032761,0.705704,0.705704,24.575305
10.597857,0.033344,2.532799,0.815914,0.815914,27.509549
10.788770,0.032000,2.992677,0.890251,0.890251,29.912713
11.090470,0.033216,3.537163,0.973324,0.973324,32.795724
11.396650,0.033408,4.056209,0.967148,0.967148,49.302132
11.659117,0.038912,4.545239,81.573593,81.573593,121.670430
11.839695,0.046145,5.065085,1.386224,1.386224,50.930343
9.099502,0.047648,0.559239,0.005600,0.005600,9.716405
9.674677,0.154370,1.420081,0.004896,0.004896,11.258152
10.238812,0.310371,5.857959,0.553254,0.553254,34.365855
10.759522,0.420741,11.252232,0.876170,0.876170,61.403174
11.443658,0.414149,11.905136,0.919499,0.919499,59.761234
12.124658,0.404485,18.659042,1.333104,1.333104,76.226361
12.799867,0.496678,25.226705,1.374289,1.374289,90.462662
14.205260,0.481317,28.309239,1.727412,1.727412,99.806966
14.826324,0.471077,33.116529,1.617108,1.617108,126.771549
15.793855,0.501830,38.414481,119.159681,119.159681,249.352039
16.539912,0.359940,39.584479,1.562738,1.562738,129.537918
17.267313,0.482566,42.855366,1.948792,1.948792,144.864792
17.978361,0.466726,47.771393,2.320092,2.320092,144.175311
18.913157,0.382532,44.220375,2.239323,2.239323,144.140847
