#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015712,3,1,0,1796
0.005312,4,1,0,2187
0.341701,5,1,0,2680
0.897963,6,1,0,3276
1.446578,7,1,0,3805
1.906744,8,1,0,4444
2.030489,9,1,0,5032
3.820016,10,1,0,5345
2.559520,0,0,0,0
82.189375,0,0,0,0
3.400011,0,0,0,0
3.601261,0,0,0,0
4.363446,0,0,0,0
4.540760,0,0,0,0
4.485271,0,0,0,0
5.084160,0,0,0,0
5.071039,0,0,0,0
5.782856,0,0,0,0
6.030251,0,0,0,0
6.500881,0,0,0,0
7.785601,0,0,0,0
8.095813,0,0,0,0
8.202054,0,0,0,0
6.553137,0,0,0,0
8.518186,0,0,0,0
6.853013,0,0,0,0
9.657496,0,0,0,0
7.400668,0,0,0,0
6.112940,0,0,0,0
5.831400,0,0,0,0
6.765940,0,0,0,0
7.170361,0,0,0,0
9.764090,0,0,0,0
10.228320,0,0,0,0
8.075300,0,0,0,0
7.550014,0,0,0,0
12.415803,0,0,0,0
8.461609,0,0,0,0
10.123422,0,0,0,0
10.359777,0,0,0,0
11.163435,0,0,0,0
11.499887,0,0,0,0
11.991318,0,0,0,0
12.014197,0,0,0,0
13.022498,0,0,0,0
13.185700,0,0,0,0
11.087626,0,0,0,0
14.389107,0,0,0,0
11.847859,0,0,0,0
14.769752,0,0,0,0
15.204765,0,0,0,0
14.055727,0,0,0,0
12.957601,0,0,0,0
13.913421,0,0,0,0
17.575162,0,0,0,0
17.123765,0,0,0,0
16.095913,0,0,0,0
12.329017,0,0,0,0
15.035228,0,0,0,0
10.891944,0,0,0,0
11.090570,0,0,0,0
11.743123,0,0,0,0
14.830937,0,0,0,0
8.362856,0,0,0,0
9.105201,0,0,0,0
11.205740,0,0,0,0
13.527496,0,0,0,0
13.213317,0,0,0,0
14.840281,0,0,0,0
15.363872,0,0,0,0
15.959111,0,0,0,0
16.197225,0,0,0,0
13.351238,0,0,0,0
12.631101,0,0,0,0
16.960340,0,0,0,0
10.835719,0,0,0,0
10.851143,0,0,0,0
14.462484,0,0,0,0
14.044047,0,0,0,0
10.449538,0,0,0,0
14.525269,0,0,0,0
19.676469,0,0,0,0
18.515270,0,0,0,0
17.650460,0,0,0,0
15.064219,0,0,0,0
28.066045,0,0,0,0
16.630863,0,0,0,0
17.417145,0,0,0,0
20.033018,0,0,0,0
17.120949,0,0,0,0
15.702787,0,0,0,0
17.324856,0,0,0,0
18.438725,0,0,0,0
18.549863,0,0,0,0
15.811205,0,0,0,0
15.170557,0,0,0,0
15.600547,0,0,0,0
15.132380,0,0,0,0
11.700689,0,0,0,0
10.465858,0,0,0,0
10.210400,0,0,0,0
15.339775,0,0,0,0
12.292985,0,0,0,0
15.079132,0,0,0,0
11.893108,0,0,0,0
12.634142,0,0,0,0
15.512353,0,0,0,0
18.601768,0,0,0,0
15.565698,0,0,0,0
19.755638,0,0,0,0
19.465459,0,0,0,0
16.073385,0,0,0,0
18.099329,0,0,0,0
17.172182,0,0,0,0
18.460582,0,0,0,0
20.025785,0,0,0,0
15.175709,0,0,0,0
11.355565,0,0,0,0
9.627896,0,0,0,0
9.731481,0,0,0,0
8.809230,0,0,0,0
9.145586,0,0,0,0
12.572125,0,0,0,0
13.647178,0,0,0,0
13.073155,0,0,0,0
10.200959,0,0,0,0
14.527605,0,0,0,0
14.377619,0,0,0,0
15.520290,0,0,0,0
9.812410,0,0,0,0
9.433718,0,0,0,0
12.237240,0,0,0,0
14.255569,0,0,0,0
16.738385,0,0,0,0
17.660828,0,0,0,0
12.849120,0,0,0,0
13.526344,0,0,0,0
16.481197,0,0,0,0
17.150325,0,0,0,0
15.197405,0,0,0,0
15.921894,0,0,0,0
13.997518,0,0,0,0
18.257027,0,0,0,0
22.327798,0,0,0,0
21.529484,0,0,0,0
23.085952,0,0,0,0
20.017017,0,0,0,0
24.439120,0,0,0,0
26.651052,0,0,0,0
26.060996,0,0,0,0
23.314883,0,0,0,0
25.257147,0,0,0,0
21.981938,0,0,0,0
18.735338,0,0,0,0
23.637383,0,0,0,0
22.695162,0,0,0,0
20.106266,0,0,0,0
22.496568,0,0,0,0
22.657787,0,0,0,0
18.589992,0,0,0,0
19.316208,0,0,0,0
21.074470,0,0,0,0
26.915215,0,0,0,0
16.669104,0,0,0,0
26.077220,0,0,0,0
21.101991,0,0,0,0
20.936069,0,0,0,0
20.830787,0,0,0,0
32.024207,0,0,0,0
29.800147,0,0,0,0
26.276007,0,0,0,0
25.645983,0,0,0,0
27.439510,0,0,0,0
29.211052,0,0,0,0
28.580068,0,0,0,0
26.868526,0,0,0,0
26.630988,0,0,0,0
27.269971,0,0,0,0
29.378766,0,0,0,0
29.346733,0,0,0,0
29.645746,0,0,0,0
28.430946,0,0,0,0
26.479818,0,0,0,0
25.990083,0,0,0,0
22.426552,0,0,0,0
27.108498,0,0,0,0
23.651367,0,0,0,0
23.627719,0,0,0,0
22.827996,0,0,0,0
25.945092,0,0,0,0
22.491000,0,0,0,0
15.742692,0,0,0,0
15.273662,0,0,0,0
16.771665,0,0,0,0
16.761649,0,0,0,0
17.681948,0,0,0,0
23.889450,0,0,0,0
28.233599,0,0,0,0
16.083145,0,0,0,0
23.913098,0,0,0,0
25.766977,0,0,0,0
21.200936,0,0,0,0
23.275106,0,0,0,0
22.283093,0,0,0,0
17.407961,0,0,0,0
23.539589,0,0,0,0
17.169814,0,0,0,0
24.915766,0,0,0,0
18.953452,0,0,0,0
24.611058,0,0,0,0
25.195962,0,0,0,0
26.442313,0,0,0,0
26.658540,0,0,0,0
26.655308,0,0,0,0
20.454463,0,0,0,0
25.275835,0,0,0,0
22.347862,0,0,0,0
22.465048,0,0,0,0
19.232431,0,0,0,0
18.443557,0,0,0,0
15.042140,0,0,0,0
20.828580,0,0,0,0
18.301956,0,0,0,0
22.812604,0,0,0,0
22.318614,0,0,0,0
24.546034,0,0,0,0
18.006144,0,0,0,0
22.830653,0,0,0,0
18.863851,0,0,0,0
19.778070,0,0,0,0
17.949760,0,0,0,0
21.921521,0,0,0,0
21.494988,0,0,0,0
24.835573,0,0,0,0
21.960626,0,0,0,0
31.820972,0,0,0,0
20.942917,0,0,0,0
36.380422,0,0,0,0
23.982955,0,0,0,0
23.524645,0,0,0,0
25.739425,0,0,0,0
24.182190,0,0,0,0
27.130418,0,0,0,0
25.657343,0,0,0,0
21.233065,0,0,0,0
21.396874,0,0,0,0
26.529578,0,0,0,0
32.441204,0,0,0,0
25.882563,0,0,0,0
31.855533,0,0,0,0
30.938593,0,0,0,0
27.107410,0,0,0,0
34.099273,0,0,0,0
26.418665,0,0,0,0
33.177661,0,0,0,0
29.531408,0,0,0,0
30.324474,0,0,0,0
33.095228,0,0,0,0
39.489132,0,0,0,0
30.358074,0,0,0,0
32.037648,0,0,0,0
31.202757,0,0,0,0
27.818202,0,0,0,0
25.429693,0,0,0,0
26.619243,0,0,0,0
25.781441,0,0,0,0
26.413897,0,0,0,0
23.051455,0,0,0,0
24.776661,0,0,0,0
33.676260,0,0,0,0
34.131370,0,0,0,0
34.541166,0,0,0,0
30.921474,0,0,0,0
34.952148,0,0,0,0
33.487266,0,0,0,0
34.336811,0,0,0,0
32.468340,0,0,0,0
32.502357,0,0,0,0
31.197509,0,0,0,0
31.800364,0,0,0,0
30.566429,0,0,0,0
31.957134,0,0,0,0
30.952194,0,0,0,0
31.739499,0,0,0,0
35.065365,0,0,0,0
28.275713,0,0,0,0
30.816384,0,0,0,0
35.771230,0,0,0,0
34.413613,0,0,0,0
37.160463,0,0,0,0
40.204117,0,0,0,0
35.201623,0,0,0,0
37.163983,0,0,0,0
34.382253,0,0,0,0
36.868907,0,0,0,0
43.668672,0,0,0,0
31.871950,0,0,0,0
35.484378,0,0,0,0
32.971162,0,0,0,0
47.739859,0,0,0,0
41.248386,0,0,0,0
42.185006,0,0,0,0
43.070937,0,0,0,0
41.023360,0,0,0,0
40.434136,0,0,0,0
37.576180,0,0,0,0
40.869918,0,0,0,0
53.153943,0,0,0,0
47.513456,0,0,0,0
38.786083,0,0,0,0
27.371477,0,0,0,0
20.441407,0,0,0,0
20.761346,0,0,0,0
18.947084,0,0,0,0
15.436961,0,0,0,0
10.794790,0,0,0,0
21.278953,0,0,0,0
22.351286,0,0,0,0
13.410791,0,0,0,0
11.862612,0,0,0,0
20.829668,0,0,0,0
15.054588,0,0,0,0
23.972331,0,0,0,0
28.941193,0,0,0,0
30.511836,0,0,0,0
18.953932,0,0,0,0
25.572671,0,0,0,0
22.200820,0,0,0,0
33.078012,0,0,0,0
27.728186,0,0,0,0
32.259698,0,0,0,0
32.804313,0,0,0,0
32.486869,0,0,0,0
38.423615,0,0,0,0
27.605496,0,0,0,0
32.055503,0,0,0,0
32.350932,0,0,0,0
50.701079,0,0,0,0
50.668471,0,0,0,0
34.776977,0,0,0,0
31.979662,0,0,0,0
33.369248,0,0,0,0
33.681540,0,0,0,0
33.008347,0,0,0,0
37.364946,0,0,0,0
31.483624,0,0,0,0
38.422911,0,0,0,0
30.234712,0,0,0,0
47.488240,0,0,0,0
41.375811,0,0,0,0
38.585281,0,0,0,0
38.991526,0,0,0,0
41.480357,0,0,0,0
40.378936,0,0,0,0
38.370654,0,0,0,0
38.385694,0,0,0,0
36.929420,0,0,0,0
39.360843,0,0,0,0
46.606596,0,0,0,0
40.601018,0,0,0,0
40.805756,0,0,0,0
42.274895,0,0,0,0
40.282806,0,0,0,0
40.982847,0,0,0,0
45.464087,0,0,0,0
34.780145,0,0,0,0
39.361611,0,0,0,0
41.204097,0,0,0,0
36.052545,0,0,0,0
45.796411,0,0,0,0
40.108276,0,0,0,0
44.079461,0,0,0,0
35.210679,0,0,0,0
42.867414,0,0,0,0
42.954679,0,0,0,0
44.776750,0,-1061302746,-1063105239,1080626100
38.005241,1197382016,976533076,-67992322,-1169880372
