#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.242643,0.055264,0.622760,0.014144,0.014144,9.946555
10.026493,0.244739,3.875568,0.005024,0.005024,14.156912
9.938716,0.335940,4.857245,0.727625,0.727625,44.881518
9.764825,0.428709,7.853602,0.892396,0.892396,64.557731
12.251961,0.416069,15.752804,1.279248,1.279248,72.820394
9.347988,0.426214,16.442732,1.290128,1.290128,73.161678
14.372306,0.636104,29.367885,1.898135,1.898135,117.128976
14.218160,0.652264,37.037933,2.029081,2.029081,131.924008
14.474292,0.743113,40.065939,1.991033,1.991033,120.268600
14.323538,0.821419,41.702630,63.627639,63.627639,186.739571
13.594601,0.603496,36.182978,3.284073,3.284073,118.342880
12.356090,0.563559,34.875793,3.025990,3.025990,120.354841
12.943649,0.626119,37.352785,3.046726,3.046726,117.822009
12.285913,0.505254,38.219388,3.421323,3.421323,120.422362
13.440103,0.468198,40.038354,3.958225,3.958225,124.673166
13.976046,0.498983,43.073367,4.049843,4.049843,132.117772
14.707671,0.526727,44.040708,4.517209,4.517209,138.564348
13.403783,0.365285,34.508781,4.645754,4.645754,130.691994
15.186013,0.478150,44.448425,5.156640,5.156640,156.122166
9.875899,0.377413,33.090075,5.953066,5.953066,138.250424
8.764269,0.367236,28.870471,6.486193,6.486193,137.606639
9.929948,0.474662,34.287114,7.858657,7.858657,152.381447
9.194866,0.421381,31.350118,8.095269,8.095269,145.837237
8.462538,0.391684,28.727814,7.617086,7.617086,140.560628
8.976303,0.412837,30.291097,8.316008,8.316008,144.281090
8.149797,0.402053,28.632804,7.516957,7.516957,139.355077
8.283719,0.438310,27.860282,7.651616,7.651616,138.816351
8.223558,0.417989,27.528983,6.991575,6.991575,336.937982
13.842828,1.022093,45.640024,7.018615,7.018615,141.211452
11.499887,1.137102,29.010889,5.588645,5.588645,164.225370
12.138583,1.358993,31.414343,1.698837,1.698837,156.947072
12.818495,1.132462,35.127029,1.510611,1.510611,173.946579
12.687262,1.053773,31.513576,2.219452,2.219452,155.434157
12.586365,0.887531,36.846282,1.459762,1.459762,165.486731
6.631634,0.425382,16.290858,1.812727,1.812727,147.776590
6.712467,0.470406,18.244547,2.465919,2.465919,136.961287
7.175258,0.542950,23.501573,2.885764,2.885764,147.914064
5.852361,0.565127,18.169890,2.183259,2.183259,139.276068
5.136992,0.570855,15.861765,2.967397,2.967397,136.180574
6.368367,0.570151,20.719906,3.960594,3.960594,143.573530
5.517636,0.417542,17.464665,3.027301,3.027301,136.730404
5.055422,0.417062,17.067284,3.803727,3.803727,135.604374
7.804865,0.374341,23.544709,4.315638,4.315638,146.618176
8.890607,0.957484,34.212073,3.604653,3.604653,177.749795
8.517002,0.789961,29.488943,3.772463,3.772463,154.723236
4.295414,0.319876,13.503527,4.426200,4.426200,133.590814
5.326178,0.488615,18.595783,3.269929,3.269929,79.823777
6.964791,0.587399,25.529406,5.507588,5.507588,154.522818
4.802299,0.285860,17.196566,2.635617,2.635617,75.714061
10.700261,0.288548,40.533080,10.617252,10.617252,168.484911
8.207302,0.327460,28.236127,5.087167,5.087167,140.728054
10.690821,0.401381,32.986330,12.172951,12.172951,153.123376
9.980668,0.476774,28.019357,6.937207,6.937207,139.121283
10.153982,0.427750,30.535451,7.372828,7.372828,143.059123
9.496854,0.446630,29.066474,7.480573,7.480573,141.850756
8.591531,0.465733,26.502474,8.558026,8.558026,139.724905
8.488457,0.581992,29.122154,5.454084,5.454084,140.741654
14.579317,0.987500,53.760829,4.589753,4.589753,192.026900
10.841383,0.828043,37.743189,5.371874,5.371874,159.934405
6.204205,0.426437,19.497459,4.269461,4.269461,130.593560
5.055967,0.633064,12.611485,4.654650,4.654650,131.744743
