#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,18.902861,7.478494,0.004640,16.748978,13.323976,0.003264,30.575616
1413393212305760512.000000,0.000000,0.000000,17.644030,9.242740,0.084513,11.842901,10.040254,0.001056,30.711554
1413393212355760384.000000,0.000000,0.000000,18.320519,12.659167,0.079169,11.078859,9.419255,0.001088,35.490206
1413393212405760512.000000,0.000000,0.000000,17.179352,12.611326,0.097409,9.264052,9.015634,0.000896,33.609862
1413393212455760384.000000,0.000000,0.000000,16.555792,16.784755,0.109089,10.052382,8.908240,0.733673,37.327701
1413393212505760512.000000,0.000000,0.000000,17.297689,19.087184,0.101793,11.836629,9.118610,0.001568,40.360283
1413393212555760384.000000,0.000000,0.000000,16.336430,19.042511,0.109665,8.930096,9.586297,0.001216,39.680595
1413393212605760512.000000,0.000000,0.000000,20.523362,19.201745,0.118401,9.740442,10.382947,0.001600,43.863335
1413393212655760384.000000,0.000000,0.000000,17.749791,19.108624,0.118626,10.299745,8.892208,0.000896,40.925634
1413393212705760512.000000,0.000000,0.000000,18.808748,19.093328,0.105409,9.170707,10.267393,0.001760,42.056369
1413393212755760384.000000,0.000000,0.000000,16.915637,13.846830,0.106817,8.472523,8.963440,0.672424,34.737908
1413393212805760512.000000,0.000000,0.000000,16.857012,19.175505,0.115138,10.420226,8.691854,0.001280,40.143512
1413393212855760384.000000,0.000000,0.000000,18.202917,19.505333,0.115138,8.689837,7.838018,0.001056,42.455093
1413393212905760512.000000,0.000000,0.000000,17.154968,18.900077,0.120578,9.496472,8.711341,0.000896,40.395931
1413393212955760384.000000,0.000000,0.000000,16.341805,19.250770,0.120034,8.481003,7.822402,0.000544,39.682450
1413393213005760512.000000,0.000000,0.000000,20.757861,18.903341,0.106402,8.812655,10.647269,0.001216,43.889416
1413393213055760384.000000,0.000000,0.000000,19.985051,19.102448,0.109665,9.388566,10.123487,0.674824,43.282880
1413393213105760512.000000,0.000000,0.000000,17.702783,19.268626,0.118626,11.802900,10.192928,0.001216,41.189541
1413393213155760384.000000,0.000000,0.000000,20.250558,19.154801,0.107265,9.309205,8.515051,0.001408,43.420673
1413393213205760512.000000,0.000000,0.000000,19.140753,18.980494,0.106274,9.528248,9.470775,0.001344,42.386101
1413393213255760384.000000,0.000000,0.000000,16.416110,19.263250,0.107681,9.646041,10.498852,0.000832,40.060855
1413393213305760512.000000,0.000000,0.000000,17.161688,19.193553,0.116994,8.359177,9.898076,0.000864,40.586238
1413393213355760384.000000,0.000000,0.000000,17.109207,18.332135,0.090273,8.845871,9.993118,0.708905,39.337902
1413393213405760512.000000,0.000000,0.000000,18.681930,19.231249,0.100866,10.877480,9.987454,0.001728,42.378420
1413393213455760384.000000,0.000000,0.000000,17.261849,15.359873,0.120738,9.175571,9.250677,0.000960,36.822766
1413393213505760512.000000,0.000000,0.000000,18.086660,19.141776,0.097665,9.416214,10.478980,0.001120,41.467817
1413393213555760384.000000,0.000000,0.000000,21.220171,18.684011,0.093729,9.057554,10.096223,0.000672,43.918216
1413393213605760512.000000,0.000000,0.000000,18.891501,19.179089,0.108737,7.709217,10.402403,0.695145,42.247955
1413393213655760384.000000,0.000000,0.000000,19.965018,19.189361,0.111841,11.460720,10.917993,0.002016,43.369057
1413393213705760512.000000,0.000000,0.000000,19.346707,19.264850,0.092962,8.953616,10.972106,0.001152,44.682066
1413393213755760384.000000,0.000000,0.000000,18.232805,19.143824,0.108833,8.197031,10.659782,0.001312,41.365031
1413393213805760512.000000,0.000000,0.000000,16.873588,19.360532,0.117474,8.908144,11.306542,0.001344,40.486621
1413393213855760384.000000,0.000000,0.000000,16.314573,19.457940,0.118914,7.618688,10.442947,0.806410,40.001430
1413393213905760512.000000,0.000000,0.000000,17.165784,19.045999,0.105345,10.509444,12.906082,0.001888,40.538269
1413393213955760384.000000,0.000000,0.000000,18.896813,19.113456,0.121762,8.592268,11.655538,0.001216,42.307667
1413393214005760512.000000,0.000000,0.000000,17.598557,18.986607,0.107521,7.899971,11.072876,0.001216,40.862914
1413393214055760384.000000,0.000000,0.000000,17.354842,19.402740,0.105186,8.542955,10.242305,0.001120,40.951554
1413393214105760512.000000,0.000000,0.000000,22.650077,18.834444,0.108834,7.775842,10.350978,0.749578,45.686622
1413393214155760384.000000,0.000000,0.000000,16.661586,18.814732,0.088673,10.066527,11.816596,0.002304,39.481072
1413393214205760512.000000,0.000000,0.000000,18.000322,17.055830,0.097666,8.130375,11.106251,0.001248,39.499633
1413393214255760384.000000,0.000000,0.000000,17.460155,14.053297,0.113281,8.138374,10.790759,0.001088,35.693537
1413393214305760512.000000,0.000000,0.000000,17.429467,19.324851,0.124225,7.683777,11.000298,0.000928,41.249798
1413393214355760384.000000,0.000000,0.000000,19.911514,19.462452,0.100449,7.181658,11.046379,0.692553,44.112746
1413393214405760512.000000,0.000000,0.000000,19.135760,19.566262,0.100642,11.690803,12.214265,0.001120,43.279072
1413393214455760384.000000,0.000000,0.000000,18.088131,19.372979,0.108705,9.149203,10.516452,0.001408,42.218483
1413393214505760512.000000,0.000000,0.000000,16.115851,19.440116,0.092385,7.864899,11.050091,0.001088,39.887797
1413393214555760384.000000,0.000000,0.000000,15.988041,18.805100,0.118497,6.689332,10.758152,0.000992,38.868488
1413393214605760512.000000,0.000000,0.000000,19.161456,19.156624,0.122146,7.091833,11.262125,0.813866,42.831290
1413393214655760384.000000,0.000000,0.000000,15.948808,19.381588,0.114657,10.973482,12.184057,0.001184,39.509681
1413393214705760512.000000,0.000000,0.000000,19.016495,19.088912,0.104769,7.813090,11.149516,0.001408,42.294068
1413393214755760384.000000,0.000000,0.000000,18.413640,19.413556,0.118241,7.954852,11.374254,0.001504,41.882190
1413393214805760512.000000,0.000000,0.000000,19.484277,19.281874,0.097857,0.146658,15.361441,0.138914,43.347200
1413393214855760384.000000,0.000000,0.000000,17.518812,19.202034,0.104290,0.125986,16.945877,0.134242,40.874978
1413393214905760512.000000,0.000000,0.000000,18.448840,19.077520,0.120738,0.130658,16.435886,0.948332,41.782061
1413393214955760384.000000,0.000000,0.000000,18.657386,19.208786,0.118914,0.212899,18.378503,0.163842,41.911215
1413393215005760512.000000,0.000000,0.000000,18.331591,19.149360,0.092353,0.150306,17.733854,0.135874,41.710028
1413393215055760384.000000,0.000000,0.000000,18.081763,19.361395,0.102081,0.137410,17.583581,0.135778,41.679116
1413393215105760512.000000,0.000000,0.000000,17.911873,19.519318,0.099361,0.140002,17.440283,0.113378,41.947567
1413393215155760384.000000,0.000000,0.000000,18.352806,19.083471,0.111009,0.141154,17.786335,0.110081,41.658379
1413393215205760512.000000,0.000000,0.000000,16.668401,19.539606,0.108417,0.139170,17.481532,0.885259,40.525853
1413393215255760384.000000,0.000000,0.000000,17.876320,19.251154,0.107362,0.268100,19.139440,0.253219,41.569994
1413393215305760512.000000,0.000000,0.000000,17.455676,19.170225,0.104385,0.142818,17.354906,0.145218,40.844546
1413393215355760384.000000,0.000000,0.000000,17.028214,12.429116,0.103745,0.175746,16.859188,0.110178,33.557445
1413393215405760512.000000,0.000000,0.000000,18.828685,19.123984,0.119233,0.172034,18.990575,0.113281,42.234003
1413393215455760384.000000,0.000000,0.000000,17.918433,19.669463,0.094530,0.139394,19.136944,0.118273,41.815693
1413393215505760512.000000,0.000000,0.000000,18.589770,18.788524,0.119266,0.148641,19.399444,0.124513,41.571562
1413393215555760384.000000,0.000000,0.000000,17.461276,14.474390,0.124674,0.142914,17.786943,0.113313,35.961092
1413393215605760512.000000,0.000000,0.000000,17.178840,18.976015,0.108609,0.169218,19.279122,1.260368,40.402587
1413393215655760384.000000,0.000000,0.000000,18.174276,19.289074,0.119298,0.260228,18.733803,0.266563,41.678827
1413393215705760512.000000,0.000000,0.000000,17.774303,19.136304,0.121569,0.143906,17.460668,0.142978,41.104612
1413393215755760384.000000,0.000000,0.000000,18.663306,18.905358,0.099170,0.148258,17.251192,0.122945,41.660971
1413393215805760512.000000,0.000000,0.000000,15.607813,13.550378,0.107905,0.142850,18.219909,0.112898,33.575814
1413393215855760384.000000,0.000000,0.000000,17.581404,19.605974,0.122530,0.147138,17.187832,0.108450,41.363080
1413393215905760512.000000,0.000000,0.000000,18.486888,19.037743,0.121058,0.137954,17.852000,0.112769,41.732844
1413393215955760384.000000,0.000000,0.000000,17.207544,18.998607,0.125026,0.141570,18.164868,1.022061,40.263545
1413393216005760512.000000,0.000000,0.000000,17.306330,18.785004,0.117153,0.271812,21.303243,0.301636,40.608318
1413393216055760384.000000,0.000000,0.000000,19.037551,19.500213,0.113889,0.136577,18.884366,0.170627,43.063837
1413393216105760512.000000,0.000000,0.000000,18.234629,18.828653,0.099137,0.155362,16.607665,0.181058,41.166085
1413393216155760384.000000,0.000000,0.000000,18.803245,18.791340,0.111009,0.140802,18.127172,0.113537,41.656299
1413393216205760512.000000,0.000000,0.000000,18.073219,18.834732,0.102210,0.144258,19.132432,0.123361,41.218405
1413393216255760384.000000,0.000000,0.000000,18.224133,19.483989,0.111585,0.134018,16.624849,1.068782,41.864846
1413393216305760512.000000,0.000000,0.000000,19.823161,18.963374,0.097185,0.254467,20.224286,0.265987,42.943452
1413393216355760384.000000,0.000000,0.000000,18.554666,18.889133,0.112705,0.125185,18.247238,0.148674,41.429672
1413393216405760512.000000,0.000000,0.000000,17.260857,12.936162,0.108129,0.134978,17.048502,0.161826,34.475378
1413393216455760384.000000,0.000000,0.000000,17.295129,14.189298,0.102081,0.138306,16.760851,0.108578,35.645664
1413393216505760512.000000,0.000000,0.000000,17.363418,18.822604,0.106785,0.153250,17.814176,0.109537,40.198009
1413393216555760384.000000,0.000000,0.000000,17.782848,18.911661,0.102209,0.137090,17.566429,0.110434,44.681425
1413393216605760512.000000,0.000000,0.000000,18.325127,18.905997,0.125442,0.148930,17.833344,0.108514,71.868103
1413393216655760384.000000,0.000000,0.000000,17.521980,13.048676,0.075489,0.142146,18.470888,0.114786,56.683657
1413393216705760512.000000,0.000000,0.000000,16.910644,13.202885,0.083713,0.142210,19.019407,0.116962,54.567341
1413393216755760384.000000,0.000000,0.000000,22.321177,10.644390,0.073185,0.140449,18.789900,0.997228,55.197430
1413393216805760512.000000,0.000000,0.000000,15.358945,10.560836,0.078753,0.249283,20.700356,0.296324,49.384684
1413393216855760384.000000,0.000000,0.000000,17.157976,11.348302,0.090497,0.109057,18.801645,0.174371,53.420831
1413393216905760512.000000,0.000000,0.000000,18.983471,11.024842,0.093985,0.154146,17.886593,0.180322,52.537173
1413393216955760384.000000,0.000000,0.000000,18.414856,11.053163,0.100577,0.141218,17.994018,0.116225,53.624865
1413393217005760512.000000,0.000000,0.000000,17.463868,11.043147,0.099777,0.149858,19.472565,0.117826,51.644457
1413393217055760384.000000,0.000000,0.000000,17.245497,10.848328,0.089569,0.143650,17.778784,1.107726,51.333381
1413393217105760512.000000,0.000000,0.000000,18.909326,10.167904,0.087457,0.257827,21.750673,0.285476,50.885855
1413393217155760384.000000,0.000000,0.000000,17.913185,9.550072,0.105825,0.144962,19.099472,0.162978,50.849086
1413393217205760512.000000,0.000000,0.000000,18.325159,8.903696,0.074465,0.134945,18.008963,0.171650,47.670807
1413393217255760384.000000,0.000000,0.000000,17.832768,9.917629,0.104577,0.154401,16.763027,0.117473,50.007764
1413393217305760512.000000,0.000000,0.000000,19.519477,8.348745,0.101345,0.140642,19.645334,0.124002,48.275038
1413393217355760384.000000,0.000000,0.000000,17.390107,9.531000,0.107874,0.126113,17.258329,0.996268,50.312536
1413393217405760512.000000,0.000000,0.000000,19.688791,10.276033,0.113473,0.272227,23.054306,0.286404,54.203209
1413393217455760384.000000,0.000000,0.000000,18.974127,11.137548,0.120866,0.146242,18.417863,0.151458,56.204034
1413393217505760512.000000,0.000000,0.000000,18.312263,9.552696,0.104257,0.137089,17.926146,0.145154,49.759377
1413393217555760384.000000,0.000000,0.000000,18.358439,10.117919,0.104193,0.153986,17.153592,0.127778,51.413734
1413393217605760512.000000,0.000000,0.000000,16.758067,10.355714,0.108897,0.130626,16.711762,0.132802,51.306309
1413393217655760384.000000,0.000000,0.000000,18.158084,9.150323,0.104769,0.130338,19.400211,0.155650,49.614031
1413393217705760512.000000,0.000000,0.000000,17.021622,9.396822,0.106593,0.127297,18.449160,0.143938,50.342776
1413393217755760384.000000,0.000000,0.000000,19.810456,9.099987,0.104226,0.135233,16.910965,0.955628,53.945126
1413393217805760512.000000,0.000000,0.000000,19.403636,9.390646,0.100193,0.267427,20.873446,0.258915,51.272068
1413393217855760384.000000,0.000000,0.000000,18.428263,9.777883,0.110466,0.162146,18.615818,0.149506,52.149999
1413393217905760512.000000,0.000000,0.000000,17.086327,9.897148,0.111489,0.148801,18.635275,0.185923,50.281816
1413393217955760384.000000,0.000000,0.000000,20.041052,9.826236,0.105281,0.132194,17.551036,0.102625,52.617077
1413393218005760512.000000,0.000000,0.000000,18.350535,9.743291,0.077345,0.159842,20.527906,0.111362,54.843601
1413393218055760384.000000,0.000000,0.000000,17.633245,7.429918,0.062625,0.146050,19.230545,0.107713,49.266859
1413393218105760512.000000,0.000000,0.000000,18.448168,8.786670,0.068960,0.166242,20.219070,0.110465,50.045333
1413393218155760384.000000,0.000000,0.000000,19.394260,10.106559,0.115394,0.147138,19.837113,0.111521,53.813220
1413393218205760512.000000,0.000000,0.000000,16.634865,9.602168,0.071649,0.149090,19.131024,0.112545,48.992039
