#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014400,3,1,0,795
0.004896,4,1,0,1118
0.428006,5,1,0,1311
0.693642,6,1,0,1644
0.774794,7,1,0,1851
1.305681,8,1,0,1876
1.444371,9,1,0,2168
1.403027,10,1,0,2581
1.497332,0,0,0,0
50.543169,0,0,0,0
1.899097,0,0,0,0
1.934074,0,0,0,0
2.033915,0,0,0,0
2.196029,0,0,0,0
2.410944,0,0,0,0
2.429376,0,0,0,0
2.897639,0,0,0,0
3.072297,0,0,0,0
3.599312,0,0,0,0
3.597040,0,0,0,0
3.861300,0,0,0,0
5.033955,0,0,0,0
4.713599,0,0,0,0
5.066052,0,0,0,0
4.885153,0,0,0,0
5.143813,0,0,0,0
4.755936,0,0,0,0
4.657758,0,0,0,0
5.102372,0,0,0,0
5.413544,0,0,0,0
4.761919,0,0,0,0
4.775008,0,0,0,0
6.359093,0,0,0,0
5.858766,0,0,0,0
6.155441,0,0,0,0
6.019920,0,0,0,0
6.667416,0,0,0,0
4.087383,0,0,0,0
6.271187,0,0,0,0
6.093393,0,0,0,0
8.277806,0,0,0,0
5.089923,0,0,0,0
7.168192,0,0,0,0
5.486345,0,0,0,0
5.513898,0,0,0,0
5.455880,0,0,0,0
6.673880,0,0,0,0
4.260856,0,0,0,0
5.311943,0,0,0,0
6.847804,0,0,0,0
5.593834,0,0,0,0
6.715833,0,0,0,0
6.195250,0,0,0,0
3.841267,0,0,0,0
4.311449,0,0,0,0
7.288353,0,0,0,0
8.048075,0,0,0,0
4.539516,0,0,0,0
5.549705,0,0,0,0
5.158692,0,0,0,0
5.660043,0,0,0,0
4.890273,0,0,0,0
6.453398,0,0,0,0
5.288902,0,0,0,0
7.981386,0,0,0,0
4.949794,0,0,0,0
7.779816,0,0,0,0
6.639544,0,0,0,0
4.929282,0,0,0,0
7.343490,0,0,0,0
4.896610,0,0,0,0
7.558629,0,0,0,0
5.933615,0,0,0,0
6.322964,0,0,0,0
5.898542,0,0,0,0
6.497398,0,0,0,0
7.722759,0,0,0,0
8.229902,0,0,0,0
7.819080,0,0,0,0
6.263987,0,0,0,0
6.645208,0,0,0,0
6.420502,0,0,0,0
8.476529,0,0,0,0
5.787757,0,0,0,0
7.152159,0,0,0,0
5.625195,0,0,0,0
5.605579,0,0,0,0
5.896495,0,0,0,0
8.452081,0,0,0,0
5.898735,0,0,0,0
6.167346,0,0,0,0
6.522423,0,0,0,0
6.000496,0,0,0,0
6.614744,0,0,0,0
9.247963,0,0,0,0
6.478134,0,0,0,0
5.659468,0,0,0,0
4.934978,0,0,0,0
5.878126,0,0,0,0
5.116516,0,0,0,0
6.545399,0,0,0,0
9.611104,0,0,0,0
7.755591,0,0,0,0
5.477417,0,0,0,0
6.750330,0,0,0,0
8.927351,0,0,0,0
8.850357,0,0,0,0
7.880553,0,0,0,0
5.984239,0,0,0,0
5.160837,0,0,0,0
7.083294,0,0,0,0
6.177170,0,0,0,0
5.135108,0,0,0,0
8.179981,0,0,0,0
7.003549,0,0,0,0
8.312207,0,0,0,0
8.817173,0,0,0,0
6.753786,0,0,0,0
5.601323,0,0,0,0
7.811816,0,0,0,0
8.260942,0,0,0,0
9.377309,0,0,0,0
9.675073,0,0,0,0
7.523044,0,0,0,0
8.104332,0,0,0,0
8.873110,0,0,0,0
6.653945,0,0,0,0
10.492588,0,0,0,0
