#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,27.303496,2.788549,0.004832,12.757672,5.643339,0.003008,35.239985
1403637130588318976.000000,0.000000,0.000000,23.776537,4.073909,0.074049,4.782623,4.692381,0.001056,31.874117
1403637130638319104.000000,0.000000,0.000000,24.066814,5.075939,0.088769,5.097795,3.660272,0.001537,33.105717
1403637130688318976.000000,0.000000,0.000000,25.372367,5.937902,0.084385,5.503177,4.301529,0.001409,35.387059
1403637130738319104.000000,0.000000,0.000000,24.075389,6.442517,0.120641,5.579401,4.605885,0.001472,36.048731
1403637130788318976.000000,0.000000,0.000000,24.859560,7.075421,0.134498,4.829792,4.951681,0.482439,55.326106
1403637130838319104.000000,0.000000,0.000000,24.214240,6.027887,0.186594,6.235602,5.318758,0.001408,44.184871
1403637130888318976.000000,0.000000,0.000000,27.779502,6.895803,0.128834,5.153828,4.257464,0.001376,47.721782
1403637130938319104.000000,0.000000,0.000000,24.503171,6.845435,0.105409,5.658187,5.119843,0.001600,45.479576
1403637130988318976.000000,0.000000,0.000000,24.127166,7.050205,0.127970,5.817421,3.833426,0.001152,45.908637
1403637131038319104.000000,0.000000,0.000000,23.765722,6.912475,0.135970,5.759436,4.881376,0.001216,45.221269
1403637131088318976.000000,0.000000,0.000000,24.902184,7.061982,0.137858,5.985263,5.412584,0.446214,47.966616
1403637131138319104.000000,0.000000,0.000000,25.667827,6.920763,0.129442,5.985007,5.499369,0.001408,46.390308
1403637131188318976.000000,0.000000,0.000000,23.371573,7.035613,0.130018,5.930798,4.265880,0.001248,45.360087
1403637131238319104.000000,0.000000,0.000000,23.416149,6.894139,0.135170,5.269253,5.544265,0.001216,44.269448
1403637131288318976.000000,0.000000,0.000000,22.688587,7.011197,0.124834,4.558332,5.608042,0.001376,44.663886
1403637131338319104.000000,0.000000,0.000000,24.995242,7.074909,0.132130,5.557449,4.041878,0.445926,48.052058
1403637131388318976.000000,0.000000,0.000000,24.327329,7.007165,0.130914,5.729867,4.946658,0.001248,47.365009
1403637131438319104.000000,0.000000,0.000000,23.690712,7.092925,0.137762,5.923246,4.030710,0.001216,45.199285
1403637131488318976.000000,0.000000,0.000000,25.043114,7.045021,0.133762,5.982895,4.229879,0.001184,47.100302
1403637131538319104.000000,0.000000,0.000000,24.560548,2.940679,0.051169,6.350964,5.774860,0.001312,41.702375
1403637131588318976.000000,0.000000,0.000000,24.172478,7.254015,0.126818,6.085520,4.707070,0.459974,45.742876
1403637131638319104.000000,0.000000,0.000000,24.951978,6.551350,0.141218,4.357850,4.364441,0.001184,46.533350
1403637131688318976.000000,0.000000,0.000000,24.245696,6.906587,0.161922,6.622040,5.131299,0.001056,45.668155
1403637131738319104.000000,0.000000,0.000000,22.363239,7.092509,0.138306,6.549751,4.918657,0.001376,43.829955
1403637131788318976.000000,0.000000,0.000000,25.211885,7.116510,0.129890,5.753004,5.181540,0.001184,48.732963
1403637131838319104.000000,0.000000,0.000000,23.220531,7.043453,0.130018,5.636234,5.246117,0.463622,46.020447
1403637131888318976.000000,0.000000,0.000000,24.105278,2.955783,0.063808,4.820639,4.985986,0.001376,39.830318
1403637131938319104.000000,0.000000,0.000000,24.386050,7.243648,0.137986,6.181585,5.448808,0.001312,47.693493
1403637131988318976.000000,0.000000,0.000000,24.422146,7.083901,0.132129,5.789516,5.051971,0.001376,47.172942
1403637132038319104.000000,0.000000,0.000000,23.334004,6.967676,0.135138,5.447496,5.565993,0.001184,45.580057
1403637132088318976.000000,0.000000,0.000000,22.769069,7.361281,0.128418,5.636747,4.999202,0.443334,46.099072
1403637132138319104.000000,0.000000,0.000000,23.479094,2.864614,0.066401,5.855725,4.820128,0.001568,40.364532
1403637132188318976.000000,0.000000,0.000000,23.047856,7.211679,0.132738,5.896974,4.729247,0.001216,46.192897
1403637132238319104.000000,0.000000,0.000000,25.054923,6.750073,0.138882,6.267410,4.855296,0.001408,46.835082
1403637132288318976.000000,0.000000,0.000000,23.535350,6.989500,0.142722,5.189892,5.692907,0.001312,45.852509
1403637132338319104.000000,0.000000,0.000000,24.515012,6.935964,0.132962,5.415175,5.623690,0.458982,46.638215
1403637132388318976.000000,0.000000,0.000000,25.253357,3.445197,0.075969,3.828722,5.033122,0.001344,43.285659
1403637132438319104.000000,0.000000,0.000000,24.958313,7.058077,0.134241,5.426888,4.643741,0.001728,47.070093
1403637132488318976.000000,0.000000,0.000000,24.656645,6.881499,0.136034,5.854542,5.413415,0.001568,47.875192
1403637132538319104.000000,0.000000,0.000000,22.844941,6.944156,0.132450,5.541833,4.983906,0.001440,45.289654
1403637132588318976.000000,0.000000,0.000000,26.041175,6.984732,0.136898,5.738668,4.808799,0.450150,49.017799
1403637132638319104.000000,0.000000,0.000000,22.124740,3.010600,0.052448,5.362055,5.202276,0.001408,38.091094
1403637132688318976.000000,0.000000,0.000000,23.732921,7.021117,0.141665,6.072816,5.902990,0.001280,45.379095
1403637132738319104.000000,0.000000,0.000000,24.989961,7.225663,0.136705,4.218072,5.088355,0.001120,47.685493
1403637132788318976.000000,0.000000,0.000000,23.623512,7.157790,0.136674,4.805440,4.766750,0.002048,45.492792
1403637132838319104.000000,0.000000,0.000000,23.070833,6.994780,0.101314,5.322470,5.374535,0.500935,45.169876
1403637132888318976.000000,0.000000,0.000000,24.927496,3.360236,0.075777,3.750482,6.170961,0.001312,43.411773
1403637132938319104.000000,0.000000,0.000000,27.366633,6.596951,0.132770,0.096322,9.937667,0.082529,50.563771
1403637132988318976.000000,0.000000,0.000000,23.171602,5.733003,0.115426,0.083105,10.310920,0.084706,42.224781
1403637133038319104.000000,0.000000,0.000000,22.965967,6.480470,0.125922,0.077761,12.580742,0.086433,43.427037
1403637133088318976.000000,0.000000,0.000000,23.574967,7.183295,0.130146,0.080737,11.926814,0.660905,47.567444
1403637133138319104.000000,0.000000,0.000000,22.390055,3.460366,0.074209,12.395299,5.417192,0.001408,39.936047
1403637133188318976.000000,0.000000,0.000000,23.657561,4.540796,0.130818,2.995879,3.579472,0.001024,42.477776
1403637133238319104.000000,0.000000,0.000000,24.354369,6.819226,0.145378,3.448077,4.536988,0.001248,46.065120
1403637133288318976.000000,0.000000,0.000000,23.632120,7.561252,0.148130,3.237195,4.149783,0.001536,48.480927
1403637133338319104.000000,0.000000,0.000000,23.826331,7.583012,0.150818,3.169738,4.908384,0.756074,48.316350
1403637133388318976.000000,0.000000,0.000000,24.843304,4.653278,0.154402,6.250930,5.500073,0.001536,33.381849
1403637133438319104.000000,0.000000,0.000000,24.313280,7.701061,0.142402,5.120580,5.885933,0.001216,50.605052
1403637133488318976.000000,0.000000,0.000000,23.254323,7.187359,0.102274,5.097955,5.158788,0.001280,35.967131
1403637133538319104.000000,0.000000,0.000000,23.554839,7.310400,0.157122,3.425581,4.461211,0.001056,53.536323
1403637133588318976.000000,0.000000,0.000000,22.944111,5.632139,0.121794,3.109833,4.567260,0.001376,39.829486
1403637133638319104.000000,0.000000,0.000000,23.555831,6.588375,0.125857,3.440333,5.136836,1.067791,42.316910
1403637133688318976.000000,0.000000,0.000000,23.410069,6.586743,0.097858,7.138206,7.361890,0.001184,41.502339
1403637133738319104.000000,0.000000,0.000000,22.934383,8.186316,0.137826,3.829522,6.044751,0.001056,44.221735
1403637133788318976.000000,0.000000,0.000000,24.804103,8.197868,0.135202,3.493710,6.058960,0.001248,49.125000
1403637133838319104.000000,0.000000,0.000000,24.703078,9.193594,0.099522,3.941844,6.381652,0.001089,49.545134
1403637133888318976.000000,0.000000,0.000000,30.400145,9.791873,0.111266,3.847443,6.673144,0.001088,59.173388
1403637133938319104.000000,0.000000,0.000000,23.452438,7.963113,0.124770,3.488366,6.820698,1.258800,43.477374
1403637133988318976.000000,0.000000,0.000000,23.519511,8.431119,0.132962,7.926185,9.946627,0.001536,43.746849
1403637134038319104.000000,0.000000,0.000000,24.850023,9.379387,0.099937,5.012482,7.549508,0.001120,48.294685
1403637134088318976.000000,0.000000,0.000000,25.521361,10.035205,0.085665,5.072675,7.636933,0.000992,54.711730
1403637134138319104.000000,0.000000,0.000000,26.325116,8.606065,0.090242,4.046294,7.153918,0.001120,49.395660
1403637134188318976.000000,0.000000,0.000000,23.126737,9.931907,0.138818,4.708030,8.190220,0.763402,46.865066
1403637134238319104.000000,0.000000,0.000000,21.669534,10.515371,0.145889,7.260383,8.873813,0.001280,46.808233
1403637134288318976.000000,0.000000,0.000000,23.516118,11.794876,0.140353,6.167153,8.382639,0.001024,50.312631
1403637134338319104.000000,0.000000,0.000000,22.080228,11.005905,0.136194,4.350074,7.145022,0.001024,48.885541
1403637134388318976.000000,0.000000,0.000000,21.286009,7.221535,0.119681,5.329670,8.622386,0.000992,51.023777
1403637134438319104.000000,0.000000,0.000000,22.509065,7.988681,0.122273,4.560828,8.790132,0.914029,47.224175
1403637134488318976.000000,0.000000,0.000000,23.028592,10.088645,0.119489,5.268741,10.224551,0.001472,50.041588
1403637134538319104.000000,0.000000,0.000000,25.019274,8.811988,0.125474,4.189399,8.449167,0.001120,49.215530
1403637134588318976.000000,0.000000,0.000000,22.788749,10.689837,0.133378,3.515535,9.121048,0.001185,51.214083
1403637134638319104.000000,0.000000,0.000000,22.102884,7.351041,0.153506,3.430061,10.498059,0.001312,49.877618
1403637134688318976.000000,0.000000,0.000000,24.819239,9.562302,0.115937,2.934279,10.137349,0.672105,53.310047
1403637134738319104.000000,0.000000,0.000000,20.806259,7.341409,0.144930,2.969511,7.948745,0.001376,43.731585
1403637134788318976.000000,0.000000,0.000000,20.920724,6.223570,0.150658,3.316299,8.125644,0.001184,45.399735
1403637134838319104.000000,0.000000,0.000000,21.403162,5.623562,0.151746,2.839269,7.161951,0.001280,45.587001
1403637134888318976.000000,0.000000,0.000000,22.124164,8.907957,0.152227,2.626883,7.413442,0.001088,51.139426
1403637134938319104.000000,0.000000,0.000000,23.378644,6.503862,0.161250,3.000104,8.338670,0.764234,46.777417
1403637134988318976.000000,0.000000,0.000000,22.846029,8.217740,0.184227,4.045654,7.116605,0.001472,48.099323
1403637135038319104.000000,0.000000,0.000000,22.139556,8.263181,0.177698,3.514990,8.000938,0.001344,48.830276
1403637135088318976.000000,0.000000,0.000000,23.224787,7.321505,0.109057,3.423149,8.380239,0.000992,48.630530
1403637135138319104.000000,0.000000,0.000000,23.253907,3.663856,0.173027,3.789842,8.787956,0.001472,42.394831
1403637135188318976.000000,0.000000,0.000000,26.355100,6.368276,0.171778,4.184439,8.590289,0.963565,48.506048
