#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.067077,0.034625,0.385606,0.015072,0.015072,9.513964
9.356425,0.114978,1.059888,0.004352,0.004352,10.540123
9.600013,0.206467,5.772916,0.248195,0.248195,27.112462
10.086964,0.288292,15.368257,0.507335,0.507335,61.325219
11.329254,0.385957,14.923867,0.778092,0.778092,61.463589
9.239783,0.296645,13.170081,0.404934,0.404934,61.301379
12.520664,0.463015,24.817547,0.955022,0.955022,84.065425
12.211923,0.402118,20.875218,1.067376,1.067376,83.534825
12.704218,0.279940,22.029539,1.316691,1.316691,87.726278
14.040750,0.221795,30.025976,68.830193,68.830193,171.688053
10.276438,0.207747,27.527476,1.320883,1.320883,82.867198
10.821151,0.269251,25.206098,1.190994,1.190994,85.120608
11.438440,0.317253,29.057994,1.307955,1.307955,93.722462
17.270909,0.369381,40.161645,1.314291,1.314291,122.677318
19.034231,0.398790,39.873320,1.703609,1.703609,131.975630
19.387356,0.323621,38.930714,1.955037,1.955037,132.213586
18.933366,0.420038,44.692847,1.806203,1.806203,149.113642
12.185202,0.151139,27.073228,1.820122,1.820122,124.210716
16.522514,0.292644,35.554377,2.016862,2.016862,145.189040
20.190728,0.335301,55.720305,2.375522,2.375522,179.775947
21.623197,0.297413,45.279767,2.767561,2.767561,159.193886
13.179937,0.184451,33.790895,3.594229,3.594229,144.693609
12.851517,0.267172,32.826817,3.861689,3.861689,142.276454
22.155749,0.407334,55.562190,3.480083,3.480083,195.410672
15.758663,0.325797,39.748966,3.723511,3.723511,188.535531
17.425759,0.340517,38.639895,3.688886,3.688886,294.425147
16.490065,0.343013,39.592357,3.834552,3.834552,162.655919
10.983777,0.208835,28.645956,3.690646,3.690646,134.300112
22.400616,0.429958,54.641729,3.452146,3.452146,184.833556
23.074834,0.358246,49.637047,3.692822,3.692822,191.480982
24.043233,0.413062,54.685601,2.310946,2.310946,183.624291
24.601897,0.461415,60.919484,4.161309,4.161309,195.292654
24.806764,0.392582,62.124878,2.980236,2.980236,238.466982
25.007726,0.469255,49.794681,4.200798,4.200798,187.102005
13.542758,0.318885,29.922102,3.470419,3.470419,161.218906
10.410745,0.163618,23.124659,5.600755,5.600755,166.647594
9.106565,0.161090,19.174169,3.180495,3.180495,131.618088
11.060418,0.130306,23.963423,5.448240,5.448240,143.078448
17.457280,0.184515,48.174849,2.973611,2.973611,187.332504
15.122750,0.174786,37.552390,4.659780,4.659780,159.263997
16.413104,0.224036,42.554063,6.096313,6.096313,193.284303
16.044235,0.243140,44.765935,2.463876,2.463876,159.767460
15.875881,0.150658,44.198983,2.479140,2.479140,161.631136
9.532427,0.043681,0.514600,0.005600,0.005600,10.100404
9.436970,0.125090,1.203250,0.005248,0.005248,10.774366
9.744782,0.218532,1.677112,0.339813,0.339813,24.486694
