#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403715273262142976.000000,0.000000,0.000000,24.003580,4.875712,0.004864,15.408779,11.251796,0.003489,32.344778
1403715273312143104.000000,0.000000,0.000000,23.047088,6.273426,0.068673,6.861435,7.402017,0.001312,33.154644
1403715273362142976.000000,0.000000,0.000000,20.985460,7.773702,0.081377,7.458850,8.300302,0.001504,33.050771
1403715273412143104.000000,0.000000,0.000000,19.330366,8.752020,0.092609,4.690302,7.089629,0.000960,31.958181
1403715273462142976.000000,0.000000,0.000000,20.454542,11.160147,0.112481,5.637674,8.896181,1.343409,35.771575
1403715273512143104.000000,0.000000,0.000000,23.287699,12.182720,0.123361,9.882114,10.043109,0.001408,39.670698
1403715273562142976.000000,0.000000,0.000000,22.369062,12.105312,0.115746,5.494248,8.773012,0.000768,38.609276
1403715273612143104.000000,0.000000,0.000000,19.753828,12.142752,0.126817,6.236498,9.964675,0.001248,36.567362
1403715273662142976.000000,0.000000,0.000000,20.778002,12.096831,0.119553,6.354772,10.100773,0.001472,37.197898
1403715273712143104.000000,0.000000,0.000000,21.075989,12.394115,0.128898,5.587369,8.531313,1.000365,37.824562
1403715273762142976.000000,0.000000,0.000000,21.411130,12.262369,0.125442,9.596862,10.452586,0.001152,37.808498
1403715273812143104.000000,0.000000,0.000000,21.192151,11.956318,0.125538,5.663530,8.959190,0.001120,37.351979
1403715273862142976.000000,0.000000,0.000000,23.461237,12.462372,0.122338,5.691915,9.690047,0.001088,40.318706
1403715273912143104.000000,0.000000,0.000000,20.400365,12.418691,0.119617,5.658859,11.607129,0.001312,36.944710
1403715273962142976.000000,0.000000,0.000000,21.327801,12.174848,0.129314,4.769406,9.732545,0.680425,37.699280
1403715274012143104.000000,0.000000,0.000000,21.617117,12.279714,0.119617,7.269792,11.662553,0.001312,38.301432
1403715274062142976.000000,0.000000,0.000000,20.160202,12.259745,0.125442,5.875469,9.365627,0.001056,36.600322
1403715274112143104.000000,0.000000,0.000000,20.971060,12.313922,0.119266,6.038319,10.198598,0.001216,37.557422
1403715274162142976.000000,0.000000,0.000000,19.983047,9.904194,0.131394,6.602903,10.518859,0.001440,34.133826
1403715274212143104.000000,0.000000,0.000000,20.623183,7.977353,0.130145,6.674776,11.620601,0.868780,32.921201
1403715274262142976.000000,0.000000,0.000000,21.383001,12.322082,0.122145,9.216154,10.300583,0.001280,37.884179
1403715274312143104.000000,0.000000,0.000000,19.920327,12.398883,0.125378,6.854938,10.376329,0.000960,36.503585
1403715274362142976.000000,0.000000,0.000000,22.306437,12.414532,0.126849,6.916027,9.217977,0.001024,40.067439
1403715274412143104.000000,0.000000,0.000000,20.647599,12.337154,0.130338,7.283680,10.573003,0.001504,37.306412
1403715274462142976.000000,0.000000,0.000000,20.148809,12.176352,0.124898,6.750905,10.820015,0.719434,36.789476
1403715274512143104.000000,0.000000,0.000000,21.930049,12.618630,0.123970,9.014263,10.931088,0.001408,38.730142
1403715274562142976.000000,0.000000,0.000000,21.121302,12.163392,0.131650,7.709606,11.116658,0.001568,37.502894
1403715274612143104.000000,0.000000,0.000000,20.894835,12.323011,0.124129,7.840359,11.910045,0.001088,37.760497
1403715274662142976.000000,0.000000,0.000000,20.981333,12.481796,0.127138,7.898504,11.313845,0.000992,37.669904
1403715274712143104.000000,0.000000,0.000000,22.151556,12.420516,0.126433,6.502869,10.726638,0.721706,38.990721
