#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015264,3,1,0,1796
0.005025,4,1,0,2195
0.365029,5,1,0,2708
0.850828,6,1,0,3339
1.581877,7,1,0,3848
1.925050,8,1,0,4500
1.918939,9,1,0,5071
2.150462,10,1,0,5537
2.780518,0,0,0,0
164.365020,0,0,0,0
3.455599,0,0,0,0
3.888021,0,0,0,0
4.392957,0,0,0,0
4.879427,0,0,0,0
4.923012,0,0,0,0
5.535821,0,0,0,0
5.915729,0,0,0,0
5.583149,0,0,0,0
6.246870,0,0,0,0
6.678908,0,0,0,0
7.154595,0,0,0,0
8.762297,0,0,0,0
7.981966,0,0,0,0
6.759133,0,0,0,0
7.992334,0,0,0,0
9.365409,0,0,0,0
7.795371,0,0,0,0
9.261247,0,0,0,0
9.481570,0,0,0,0
6.961728,0,0,0,0
7.190916,0,0,0,0
7.103010,0,0,0,0
7.611017,0,0,0,0
9.490083,0,0,0,0
7.411047,0,0,0,0
8.453973,0,0,0,0
8.704697,0,0,0,0
9.656453,0,0,0,0
10.045610,0,0,0,0
10.750869,0,0,0,0
11.863011,0,0,0,0
12.344234,0,0,0,0
12.309930,0,0,0,0
13.374393,0,0,0,0
13.133942,0,0,0,0
16.974154,0,0,0,0
14.174468,0,0,0,0
10.908983,0,0,0,0
12.419467,0,0,0,0
14.519720,0,0,0,0
13.899648,0,0,0,0
17.820886,0,0,0,0
14.357926,0,0,0,0
14.126403,0,0,0,0
15.930716,0,0,0,0
15.643640,0,0,0,0
15.731577,0,0,0,0
15.997341,0,0,0,0
16.196255,0,0,0,0
14.860557,0,0,0,0
12.627823,0,0,0,0
13.919168,0,0,0,0
13.233942,0,0,0,0
8.803066,0,0,0,0
9.290913,0,0,0,0
9.548772,0,0,0,0
12.895250,0,0,0,0
15.275826,0,0,0,0
9.563268,0,0,0,0
12.496332,0,0,0,0
13.339224,0,0,0,0
14.140259,0,0,0,0
14.773644,0,0,0,0
13.493306,0,0,0,0
11.581696,0,0,0,0
19.625903,0,0,0,0
16.241184,0,0,0,0
11.712897,0,0,0,0
17.080491,0,0,0,0
14.720043,0,0,0,0
11.365181,0,0,0,0
19.372267,0,0,0,0
27.018453,0,0,0,0
22.117841,0,0,0,0
21.404967,0,0,0,0
18.959589,0,0,0,0
18.830916,0,0,0,0
21.837198,0,0,0,0
21.569545,0,0,0,0
18.501536,0,0,0,0
19.191785,0,0,0,0
15.236114,0,0,0,0
20.286616,0,0,0,0
16.774024,0,0,0,0
16.048062,0,0,0,0
16.405922,0,0,0,0
17.766805,0,0,0,0
15.637623,0,0,0,0
11.172186,0,0,0,0
11.416830,0,0,0,0
15.712313,0,0,0,0
16.906537,0,0,0,0
17.067916,0,0,0,0
14.036833,0,0,0,0
14.070946,0,0,0,0
18.885956,0,0,0,0
16.284897,0,0,0,0
19.113160,0,0,0,0
18.130395,0,0,0,0
21.191589,0,0,0,0
21.654059,0,0,0,0
22.130865,0,0,0,0
18.807620,0,0,0,0
21.443976,0,0,0,0
20.339960,0,0,0,0
17.035083,0,0,0,0
16.258561,0,0,0,0
14.966926,0,0,0,0
13.977601,0,0,0,0
14.245892,0,0,0,0
14.051522,0,0,0,0
13.869695,0,0,0,0
13.872416,0,0,0,0
14.673258,0,0,0,0
15.587511,0,0,0,0
16.223008,0,0,0,0
12.915794,0,0,0,0
15.493846,0,0,0,0
17.293871,0,0,0,0
11.132570,0,0,0,0
16.525284,0,0,0,0
12.115175,0,0,0,0
11.362813,0,0,0,0
15.383156,0,0,0,0
20.529179,0,0,0,0
11.798755,0,0,0,0
18.615969,0,0,0,0
17.359631,0,0,0,0
17.121004,0,0,0,0
16.053566,0,0,0,0
15.189298,0,0,0,0
20.212567,0,0,0,0
17.444208,0,0,0,0
17.995897,0,0,0,0
23.983755,0,0,0,0
22.384565,0,0,0,0
19.073991,0,0,0,0
29.487031,0,0,0,0
28.038211,0,0,0,0
35.870415,0,0,0,0
24.360432,0,0,0,0
25.672291,0,0,0,0
20.795039,0,0,0,0
23.362178,0,0,0,0
22.901020,0,0,0,0
17.829078,0,0,0,0
20.975010,0,0,0,0
20.661501,0,0,0,0
21.008802,0,0,0,0
20.535003,0,0,0,0
20.780062,0,0,0,0
20.010612,0,0,0,0
20.731326,0,0,0,0
24.556659,0,0,0,0
18.484895,0,0,0,0
21.764653,0,0,0,0
23.042750,0,0,0,0
24.905976,0,0,0,0
32.822917,0,0,0,0
29.656185,0,0,0,0
21.639723,0,0,0,0
30.539365,0,0,0,0
24.444113,0,0,0,0
25.720643,0,0,0,0
29.235571,0,0,0,0
22.884188,0,0,0,0
27.856640,0,0,0,0
29.664985,0,0,0,0
29.554103,0,0,0,0
28.890670,0,0,0,0
33.274635,0,0,0,0
29.023569,0,0,0,0
28.183109,0,0,0,0
21.657099,0,0,0,0
24.591860,0,0,0,0
30.675559,0,0,0,0
23.344610,0,0,0,0
26.943316,0,0,0,0
21.221829,0,0,0,0
20.926625,0,0,0,0
17.674900,0,0,0,0
22.114225,0,0,0,0
17.064236,0,0,0,0
22.714201,0,0,0,0
24.943448,0,0,0,0
23.040638,0,0,0,0
16.187423,0,0,0,0
25.323773,0,0,0,0
20.274007,0,0,0,0
18.314781,0,0,0,0
17.520786,0,0,0,0
22.792250,0,0,0,0
23.029982,0,0,0,0
25.935782,0,0,0,0
15.580823,0,0,0,0
22.661657,0,0,0,0
25.360862,0,0,0,0
23.883146,0,0,0,0
24.424817,0,0,0,0
24.514994,0,0,0,0
26.303659,0,0,0,0
28.101571,0,0,0,0
25.376030,0,0,0,0
25.370238,0,0,0,0
25.305949,0,0,0,0
19.479341,0,0,0,0
17.013931,0,0,0,0
25.260572,0,0,0,0
18.444574,0,0,0,0
17.293518,0,0,0,0
20.820639,0,0,0,0
24.779542,0,0,0,0
17.417584,0,0,0,0
22.115313,0,0,0,0
22.345428,0,0,0,0
21.571113,0,0,0,0
20.189430,0,0,0,0
21.490056,0,0,0,0
18.608737,0,0,0,0
18.328925,0,0,0,0
21.850253,0,0,0,0
30.172609,0,0,0,0
20.748959,0,0,0,0
21.919599,0,0,0,0
39.950215,0,0,0,0
23.743975,0,0,0,0
25.449343,0,0,0,0
25.193436,0,0,0,0
27.914529,0,0,0,0
26.641584,0,0,0,0
28.064003,0,0,0,0
27.735903,0,0,0,0
25.248925,0,0,0,0
22.877052,0,0,0,0
27.622941,0,0,0,0
25.418079,0,0,0,0
27.256600,0,0,0,0
34.138103,0,0,0,0
35.011075,0,0,0,0
35.063555,0,0,0,0
32.280925,0,0,0,0
29.110610,0,0,0,0
37.053887,0,0,0,0
33.805042,0,0,0,0
31.274767,0,0,0,0
34.199927,0,0,0,0
34.473659,0,0,0,0
34.955266,0,0,0,0
32.461247,0,0,0,0
31.478866,0,0,0,0
30.447556,0,0,0,0
25.863269,0,0,0,0
28.523978,0,0,0,0
27.519515,0,0,0,0
23.168607,0,0,0,0
27.155894,0,0,0,0
22.837595,0,0,0,0
25.251708,0,0,0,0
35.018755,0,0,0,0
34.779744,0,0,0,0
32.842181,0,0,0,0
37.991020,0,0,0,0
37.967148,0,0,0,0
34.258265,0,0,0,0
34.957090,0,0,0,0
32.078811,0,0,0,0
34.046102,0,0,0,0
30.416228,0,0,0,0
32.159420,0,0,0,0
34.151191,0,0,0,0
31.088973,0,0,0,0
30.286625,0,0,0,0
33.711441,0,0,0,0
39.833606,0,0,0,0
35.172965,0,0,0,0
37.583366,0,0,0,0
35.060227,0,0,0,0
32.674531,0,0,0,0
42.770446,0,0,0,0
38.304720,0,0,0,0
37.659367,0,0,0,0
39.041819,0,0,0,0
36.638137,0,0,0,0
41.716671,0,0,0,0
42.857647,0,0,0,0
30.302242,0,0,0,0
42.698285,0,0,0,0
42.543051,0,0,0,0
36.425494,0,0,0,0
42.145797,0,0,0,0
43.398807,0,0,0,0
48.894179,0,0,0,0
44.112128,0,0,0,0
44.067936,0,0,0,0
41.531421,0,0,0,0
54.660498,0,0,0,0
54.049257,0,0,0,0
49.648653,0,0,0,0
40.044712,0,0,0,0
20.742750,0,0,0,0
15.730265,0,0,0,0
26.885843,0,0,0,0
12.012902,0,0,0,0
11.110169,0,0,0,0
13.294903,0,0,0,0
12.142279,0,0,0,0
27.183351,0,0,0,0
13.649340,0,0,0,0
26.312139,0,0,0,0
26.140904,0,0,0,0
20.191318,0,0,0,0
21.910575,0,0,0,0
31.721813,0,0,0,0
30.769736,0,0,0,0
30.194080,0,0,0,0
23.594981,0,0,0,0
31.751318,0,0,0,0
32.575361,0,0,0,0
33.942229,0,0,0,0
40.593840,0,0,0,0
33.548015,0,0,0,0
37.182785,0,0,0,0
37.250913,0,0,0,0
51.666952,0,0,0,0
48.035159,0,0,0,0
34.827073,0,0,0,0
37.955467,0,0,0,0
34.412922,0,0,0,0
40.494734,0,0,0,0
31.242895,0,0,0,0
37.183905,0,0,0,0
38.300081,0,0,0,0
37.368963,0,0,0,0
39.621634,0,0,0,0
40.513967,0,0,0,0
42.977201,0,0,0,0
46.619618,0,0,0,0
42.223366,0,0,0,0
42.184550,0,0,0,0
39.672131,0,0,0,0
39.768644,0,0,0,0
41.104471,0,0,0,0
33.326956,0,0,0,0
46.843206,0,0,0,0
45.981978,0,0,0,0
44.722473,0,0,0,0
44.985389,0,0,0,0
45.835640,0,0,0,0
44.346084,0,0,0,0
47.614224,0,0,0,0
39.806597,0,0,0,0
39.228541,0,0,0,0
41.448156,0,0,0,0
38.539955,0,0,0,0
47.977046,0,0,0,0
42.563115,0,0,0,0
44.102560,0,0,0,0
38.278640,0,0,0,0
44.218082,0,0,0,0
44.531494,0,0,0,0
47.319021,68,657542825,1285565075,-26113401
41.150712,0,1094614971,1094775444,1080624294
