#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.275294,0.055297,0.672457,0.014817,0.014817,10.028969
10.029097,0.214787,3.850068,0.004512,0.004512,14.103392
11.119319,0.415942,6.526713,0.842860,0.842860,65.683710
12.110821,0.543943,9.218270,1.092847,1.092847,63.512353
12.775502,0.597608,19.253574,1.069391,1.069391,82.547460
12.088068,0.606985,24.437996,1.720855,1.720855,94.215330
14.439301,0.654345,31.296362,1.235441,1.235441,120.682027
14.307683,0.689129,36.789493,2.041820,2.041820,129.497635
14.651848,0.753162,41.671735,2.111133,2.111133,129.363009
14.269122,0.820651,41.038415,111.514126,111.514126,237.303870
8.185168,0.541351,27.174738,2.784934,2.784934,93.160405
8.933657,0.362917,24.746961,2.901864,2.901864,90.950806
9.271646,0.421253,26.046499,3.252300,3.252300,94.205986
7.638952,0.298500,22.627508,3.705811,3.705811,91.135865
7.669865,0.303204,21.475940,3.997783,3.997783,94.301892
7.527815,0.265539,20.921949,4.230906,4.230906,97.527568
7.601095,0.281380,22.609140,4.497693,4.497693,102.884568
7.548166,0.269956,22.246831,5.461419,5.461419,108.076127
7.808106,0.286052,23.464768,5.576140,5.576140,124.897956
17.493358,0.544455,49.061404,5.680557,5.680557,178.280507
16.593314,0.525223,52.021028,6.356439,6.356439,186.499243
14.610311,0.557671,49.943592,7.711113,7.711113,181.993965
13.519384,0.617256,42.305984,7.402213,7.402213,142.875897
12.155814,0.328100,40.627049,8.391346,8.391346,161.732890
8.944314,0.418694,28.293217,8.008013,8.008013,142.216784
9.316862,0.439942,30.472575,7.823979,7.823979,144.092553
8.254192,0.395973,28.517989,7.727337,7.727337,141.105344
8.009901,0.431174,27.243699,7.783146,7.783146,140.139475
7.841739,0.437414,26.471496,7.595752,7.595752,253.620509
6.195637,0.631208,21.747560,7.259299,7.259299,104.002088
7.669064,0.348261,25.685949,6.549497,6.549497,143.435392
11.833345,1.226320,31.762993,6.831549,6.831549,167.441511
12.320583,1.181136,32.803775,5.809360,5.809360,183.587107
12.799983,1.286673,35.310753,1.412500,1.412500,163.114445
12.797390,1.004558,35.362593,1.711383,1.711383,179.325257
12.429609,0.977006,32.501690,1.825785,1.825785,163.050444
6.768028,0.467527,16.784132,2.135677,2.135677,130.428080
8.277713,0.650441,23.840612,1.966875,1.966875,154.042353
6.453016,0.531847,19.861007,2.101692,2.101692,142.016045
6.216597,0.571720,18.206231,5.438442,5.438442,143.121244
5.102309,0.567912,15.054125,4.099128,4.099128,136.467105
5.922321,0.541063,17.937365,5.696173,5.696173,141.050144
5.699886,0.452678,17.740465,4.210297,4.210297,137.228492
5.301608,0.432390,18.635069,5.764495,5.764495,137.907861
