#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014144,3,1,0,934
0.004384,4,1,0,942
0.324933,5,1,0,1400
0.733897,6,1,0,1906
0.799083,7,1,0,2171
0.718122,8,1,0,2519
0.725961,9,1,0,2848
1.446835,10,1,0,2914
1.106223,0,0,0,0
54.660854,0,0,0,0
1.409619,0,0,0,0
2.457024,0,0,0,0
1.954938,0,0,0,0
2.284671,0,0,0,0
2.457280,0,0,0,0
3.081001,0,0,0,0
2.874726,0,0,0,0
3.397581,0,0,0,0
3.353868,0,0,0,0
3.505263,0,0,0,0
3.763218,0,0,0,0
5.194245,0,0,0,0
5.097956,0,0,0,0
4.943298,0,0,0,0
5.789869,0,0,0,0
5.371080,0,0,0,0
4.666046,0,0,0,0
5.040515,0,0,0,0
5.833357,0,0,0,0
6.138578,0,0,0,0
4.927329,0,0,0,0
6.007056,0,0,0,0
6.201234,0,0,0,0
7.040221,0,0,0,0
4.720670,0,0,0,0
6.214610,0,0,0,0
7.171488,0,0,0,0
4.431066,0,0,0,0
7.065310,0,0,0,0
4.503899,0,0,0,0
6.041104,0,0,0,0
4.965218,0,0,0,0
7.747463,0,0,0,0
4.928513,0,0,0,0
6.521175,0,0,0,0
7.170240,0,0,0,0
5.381895,0,0,0,0
7.412002,0,0,0,0
5.577706,0,0,0,0
4.915169,0,0,0,0
5.884046,0,0,0,0
5.988815,0,0,0,0
5.343527,0,0,0,0
5.953615,0,0,0,0
6.075409,0,0,0,0
5.002435,0,0,0,0
7.122783,0,0,0,0
6.579607,0,0,0,0
7.307009,0,0,0,0
5.061379,0,0,0,0
7.212000,0,0,0,0
7.133183,0,0,0,0
5.928014,0,0,0,0
7.769479,0,0,0,0
5.720940,0,0,0,0
4.617693,0,0,0,0
7.105630,0,0,0,0
4.501628,0,0,0,0
6.359061,0,0,0,0
5.769325,0,0,0,0
4.723294,0,0,0,0
6.421013,0,0,0,0
7.158527,0,0,0,0
4.687710,0,0,0,0
6.432854,0,0,0,0
6.217811,0,0,0,0
4.900769,0,0,0,0
6.947965,0,0,0,0
4.540700,0,0,0,0
6.063857,0,0,0,0
6.879228,0,0,0,0
5.528938,0,0,0,0
4.336985,0,0,0,0
8.195661,0,0,0,0
5.015651,0,0,0,0
7.151934,0,0,0,0
4.028373,0,0,0,0
5.248966,0,0,0,0
5.331047,0,0,0,0
5.553738,0,0,0,0
4.510395,0,0,0,0
4.661053,0,0,0,0
6.298516,0,0,0,0
6.432341,0,0,0,0
5.986351,0,0,0,0
6.219826,0,0,0,0
6.800730,0,0,0,0
8.217005,0,0,0,0
9.111033,0,0,0,0
6.538071,0,0,0,0
7.005277,0,0,0,0
7.642725,0,0,0,0
9.278459,0,0,0,0
9.517694,0,0,0,0
9.771874,0,0,0,0
10.244552,0,0,0,0
10.603468,0,0,0,0
8.957559,0,0,0,0
10.064677,0,0,0,0
10.626061,0,0,0,0
10.720334,0,0,0,0
11.175636,0,0,0,0
9.404701,0,0,0,0
12.213538,0,0,0,0
11.940638,0,0,0,0
11.239253,0,0,0,0
11.491609,0,0,0,0
9.885859,0,0,0,0
11.536153,0,0,0,0
11.805661,0,0,0,0
11.904766,0,0,0,0
11.882109,0,0,0,0
10.309737,0,0,0,0
12.046399,0,0,0,0
11.838205,0,0,0,0
12.238691,0,0,0,0
12.098913,0,0,0,0
10.924785,0,0,0,0
12.566567,0,0,0,0
12.441606,0,0,0,0
13.487731,0,0,0,0
12.610248,0,0,0,0
10.665870,0,0,0,0
14.629058,0,0,0,0
15.989236,0,0,0,0
12.437349,0,0,0,0
15.603503,0,0,0,0
10.337993,0,0,0,0
12.495750,0,0,0,0
13.015277,0,0,0,0
12.142433,0,0,0,0
12.945611,0,0,0,0
14.937959,0,0,0,0
12.680936,0,0,0,0
10.948785,0,0,0,0
12.807658,0,0,0,0
12.758345,0,0,0,0
14.495264,0,0,0,0
10.388682,0,0,0,0
12.673800,0,0,0,0
9.740321,0,0,0,0
11.603930,0,0,0,0
13.166767,0,0,0,0
