#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.244283,0.132482,1.433971,0.014144,0.014144,10.836592
10.476715,0.398854,5.878158,0.004384,0.004384,16.762239
10.548044,0.544935,6.033840,0.324933,0.324933,40.206038
10.691470,0.422373,7.412291,0.733897,0.733897,41.376453
9.880675,0.327140,15.407629,0.799083,0.799083,74.690528
11.488761,0.485447,22.045284,0.718122,0.718122,74.718177
9.452125,0.478631,22.036485,0.725961,0.725961,71.837082
9.234235,0.429797,17.857134,1.446835,1.446835,70.765516
13.368402,0.518375,25.061837,1.106223,1.106223,92.198921
12.785834,0.456646,25.236847,54.660854,54.660854,146.858590
13.269969,0.303556,29.689226,1.409619,1.409619,87.957937
13.795479,0.516807,40.675740,2.457024,2.457024,110.467387
13.576500,0.328005,33.741184,1.954938,1.954938,93.073972
15.925364,0.607976,43.617763,2.284671,2.284671,119.889689
16.560508,0.410597,38.375870,2.457280,2.457280,123.962990
16.417722,0.415558,37.150925,3.081001,3.081001,123.532745
15.133993,0.448006,35.077394,2.874726,2.874726,126.965878
15.155177,0.360229,31.988873,3.397581,3.397581,116.046757
18.248306,0.347269,48.150304,3.353868,3.353868,139.469148
17.694891,0.373893,51.633774,3.505263,3.505263,152.408233
19.677574,0.479558,51.824464,3.763218,3.763218,344.072506
15.232234,0.395622,32.144331,5.194245,5.194245,131.668885
16.061366,0.274531,36.964363,5.097956,5.097956,132.395391
16.486363,0.418726,43.616259,4.943298,4.943298,148.206673
14.987527,0.372261,43.086108,5.789869,5.789869,160.197872
24.598087,0.478598,43.903752,5.371080,5.371080,164.091716
15.516302,0.400485,42.779352,4.666046,4.666046,154.072190
15.581871,0.433670,51.827056,5.040515,5.040515,164.864878
16.044373,0.494150,50.181531,5.833357,5.833357,166.075965
15.268106,0.551528,51.297321,6.138578,6.138578,185.305661
15.460301,0.592584,46.857423,4.927329,4.927329,163.547100
11.758460,0.379109,33.732608,6.007056,6.007056,144.520063
17.041346,0.596584,48.871241,6.201234,6.201234,185.532031
12.827178,0.468486,40.018740,7.040221,7.040221,161.262301
8.505425,0.271267,21.283899,4.720670,4.720670,130.095967
11.846589,0.318532,37.007212,6.214610,6.214610,146.356247
12.076673,0.405637,37.507026,7.171488,7.171488,149.275775
10.417930,0.378693,28.709245,4.431066,4.431066,134.851199
15.859634,0.534727,50.574496,7.065310,7.065310,168.497693
17.334598,0.517223,49.207981,4.503899,4.503899,185.283548
17.532584,0.418758,53.076417,6.041104,6.041104,190.605251
18.131248,0.443238,54.472404,4.965218,4.965218,188.969709
17.373351,0.544359,47.566487,7.747463,7.747463,190.449089
13.157583,0.394053,40.874623,4.928513,4.928513,149.097436
9.179833,0.282116,23.921790,6.521175,6.521175,132.540096
10.303273,0.442150,31.185918,7.170240,7.170240,138.918581
9.554271,0.357380,29.711979,5.381895,5.381895,129.870492
10.520939,0.418470,34.047972,7.412002,7.412002,142.310817
9.124537,0.373989,28.799647,5.577706,5.577706,129.996126
10.519211,0.410822,33.159416,4.915169,4.915169,133.030502
10.393770,0.447526,32.303405,5.884046,5.884046,136.808953
10.703343,0.395301,28.464474,5.988815,5.988815,132.234396
11.483001,0.420773,32.992278,5.343527,5.343527,135.452999
11.209557,0.350436,32.815124,5.953615,5.953615,140.619243
10.912721,0.359781,32.195403,6.075409,6.075409,138.483695
12.776746,0.590535,41.794603,5.002435,5.002435,157.672334
12.696329,0.550055,35.635449,7.122783,7.122783,155.507953
8.527921,0.351269,21.898754,6.579607,6.579607,129.281588
10.257896,0.362853,28.594907,7.307009,7.307009,138.169418
10.590733,0.416197,31.968617,5.061379,5.061379,133.568142
11.892766,0.415078,37.317519,7.212000,7.212000,147.046081
10.409098,0.421222,34.013923,7.133183,7.133183,142.944074
10.996818,0.413734,32.774451,5.928014,5.928014,132.700514
12.591367,0.426758,34.767533,7.769479,7.769479,287.593099
12.860555,0.509639,39.225385,5.720940,5.720940,138.915509
12.928684,0.404230,38.886948,4.617693,4.617693,142.100223
