#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,28.653120,3.789906,0.005312,12.849100,5.562986,0.003232,37.429013
1403637130588318976.000000,0.000000,0.000000,26.102206,5.377992,0.079137,3.966389,4.623614,0.001536,36.095555
1403637130638319104.000000,0.000000,0.000000,24.715691,3.060265,0.061025,4.948002,4.056374,0.001536,31.608168
1403637130688318976.000000,0.000000,0.000000,24.991215,6.314164,0.096577,5.572811,4.341850,0.001120,35.333017
1403637130738319104.000000,0.000000,0.000000,25.012623,6.976702,0.131233,5.629036,4.607006,0.001376,37.832187
1403637130788318976.000000,0.000000,0.000000,24.280965,6.952253,0.132386,4.859873,4.958370,0.482278,54.370232
1403637130838319104.000000,0.000000,0.000000,23.368697,2.859462,0.089729,6.258068,5.282183,0.001440,38.981323
1403637130888318976.000000,0.000000,0.000000,24.245893,6.809820,0.122114,5.146597,4.225785,0.001120,44.186065
1403637130938319104.000000,0.000000,0.000000,26.348610,6.767802,0.106017,5.644556,5.076516,0.001216,47.438748
1403637130988318976.000000,0.000000,0.000000,24.231205,6.607705,0.127777,5.876175,3.863348,0.001280,45.434689
1403637131038319104.000000,0.000000,0.000000,23.567132,6.824091,0.130914,5.792046,4.844801,0.001120,44.799992
1403637131088318976.000000,0.000000,0.000000,24.381350,7.075551,0.141314,6.002673,5.353831,0.448934,47.455708
1403637131138319104.000000,0.000000,0.000000,23.427322,6.839836,0.125281,3.387822,5.541418,0.001216,43.761610
1403637131188318976.000000,0.000000,0.000000,24.956142,6.948477,0.128898,4.918114,4.261657,0.001216,47.280665
1403637131238319104.000000,0.000000,0.000000,22.646799,6.812987,0.104001,5.358344,5.523082,0.001344,43.551656
1403637131288318976.000000,0.000000,0.000000,24.826445,6.944573,0.128162,5.302407,5.741677,0.001440,46.924181
1403637131338319104.000000,0.000000,0.000000,23.135446,6.969150,0.130017,5.564810,4.054807,0.452582,46.054217
1403637131388318976.000000,0.000000,0.000000,24.275653,3.108970,0.073313,5.225734,4.904385,0.001248,40.625472
1403637131438319104.000000,0.000000,0.000000,23.321496,3.304301,0.058465,5.937007,4.044214,0.001056,39.680020
1403637131488318976.000000,0.000000,0.000000,26.726278,7.012702,0.137346,6.091026,4.288953,0.001696,49.178323
1403637131538319104.000000,0.000000,0.000000,23.524123,7.005406,0.103425,6.327157,5.278438,0.001472,45.949704
1403637131588318976.000000,0.000000,0.000000,24.237733,7.146976,0.128290,6.120978,4.765024,0.450534,45.810182
1403637131638319104.000000,0.000000,0.000000,23.740958,3.511759,0.078369,5.490986,4.799936,0.001312,41.693711
1403637131688318976.000000,0.000000,0.000000,23.676669,6.842204,0.136866,6.701850,5.483881,0.001313,44.876570
