#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.284774,0.055905,0.656137,0.014816,0.014816,10.023248
9.977807,0.220739,3.818871,0.004448,0.004448,14.026473
11.149120,0.428646,6.478621,0.540743,0.540743,65.314730
12.038701,0.538376,9.169283,1.030287,1.030287,62.152733
12.782616,0.579400,19.337366,1.427317,1.427317,82.670276
14.065610,0.589129,23.857879,1.373300,1.373300,94.083176
14.463216,0.636393,29.420039,1.237970,1.237970,115.525084
14.226285,0.656649,35.996197,1.859738,1.859738,129.535525
14.850101,0.717803,41.695639,2.036318,2.036318,122.357982
8.520250,0.537736,24.758180,109.659752,109.659752,226.437717
7.501196,0.485191,20.671145,2.577381,2.577381,75.796673
8.013875,0.501959,29.792364,2.935179,2.935179,116.724973
8.025331,0.302117,29.843724,3.118541,3.118541,115.331193
8.658237,0.417254,33.731620,3.372976,3.372976,113.673185
9.235621,0.404422,32.273487,3.236495,3.236495,117.549977
9.162020,0.361477,32.341681,4.154139,4.154139,115.778944
9.771884,0.440518,33.387200,4.304670,4.304670,123.650992
15.446237,0.390918,45.061159,5.080009,5.080009,146.717275
10.558584,0.416166,37.559707,5.630161,5.630161,140.046748
9.997264,0.459686,33.501410,5.599344,5.599344,139.217680
9.894479,0.466566,33.547394,6.315515,6.315515,144.677791
10.615289,0.452294,35.774626,7.786352,7.786352,155.718493
9.009697,0.394246,27.856880,8.245175,8.245175,144.449691
8.864096,0.395173,29.215716,7.728015,7.728015,144.186487
8.118197,0.372357,29.196003,7.774575,7.774575,143.234377
8.247830,0.438727,27.068068,7.705870,7.705870,139.344241
8.143573,0.452518,28.180501,7.011653,7.011653,342.573464
10.777627,0.847564,37.153174,6.600895,6.600895,139.060974
9.082435,0.983150,24.517824,5.024648,5.024648,153.924291
12.304433,1.333331,31.535077,1.675832,1.675832,160.358176
12.608405,1.114512,34.329805,2.765288,2.765288,161.097962
12.746200,1.070991,36.072134,2.533829,2.533829,164.806080
12.655510,0.919725,36.535661,3.567411,3.567411,183.444107
