#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014433,3,1,0,1337
0.004480,4,1,0,1830
0.454854,5,1,0,2536
0.742059,6,1,0,3078
0.984431,7,1,0,3446
1.200434,8,1,0,3990
1.227443,9,1,0,4387
1.783675,10,1,0,4698
2.021151,0,0,0,0
91.367995,0,0,0,0
2.892908,0,0,0,0
2.938252,0,0,0,0
3.192208,0,0,0,0
3.855962,0,0,0,0
3.922619,0,0,0,0
4.203807,0,0,0,0
4.981611,0,0,0,0
5.279311,0,0,0,0
5.604244,0,0,0,0
6.308191,0,0,0,0
6.323167,0,0,0,0
8.063705,0,0,0,0
8.539168,0,0,0,0
8.300092,0,0,0,0
7.603634,0,0,0,0
7.787957,0,0,0,0
7.370639,0,0,0,0
7.673811,0,0,0,0
7.310446,0,0,0,0
7.023273,0,0,0,0
2.139168,0,0,0,0
3.123727,0,0,0,0
2.656232,0,0,0,0
3.581270,0,0,0,0
2.172576,0,0,0,0
2.438373,0,0,0,0
3.706008,0,0,0,0
4.249823,0,0,0,0
3.911643,0,0,0,0
2.210305,0,0,0,0
3.912379,0,0,0,0
5.296879,0,0,0,0
5.466866,0,0,0,0
2.665768,0,0,0,0
4.154750,0,0,0,0
3.404083,0,0,0,0
13.106052,0,0,0,0
5.286479,0,0,0,0
7.658675,0,0,0,0
6.214173,0,0,0,0
5.816983,0,0,0,0
5.867352,0,0,0,0
2.756233,0,0,0,0
4.565797,0,0,0,0
4.468131,0,0,0,0
5.217550,0,0,0,0
3.224113,0,0,0,0
2.418532,0,0,0,0
2.821802,0,0,0,0
2.207938,0,0,0,0
2.496422,0,0,0,0
1.885404,0,0,0,0
3.529397,0,0,0,0
3.356274,0,0,0,0
1.739066,0,0,0,0
3.550101,0,0,0,0
3.741112,0,0,0,0
2.420324,0,0,0,0
4.383906,0,0,0,0
4.665062,0,0,0,0
1.728121,0,0,0,0
4.570053,0,0,0,0
5.034731,0,0,0,0
1.246610,0,0,0,0
4.598053,0,0,0,0
4.525732,0,0,0,0
1.358516,0,0,0,0
4.525252,0,0,0,0
7.459536,0,0,0,0
5.067500,0,0,0,0
6.058107,0,0,0,0
5.501970,0,0,0,0
9.344652,0,0,0,0
5.274543,0,0,0,0
7.595410,0,0,0,0
6.444928,0,0,0,0
