#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393886005760512.000000,0.000000,0.000000,17.426975,4.329535,0.004800,15.524900,9.420042,0.003872,26.793897
1413393886055760384.000000,0.000000,0.000000,19.931109,4.971529,0.079297,7.033799,6.887941,0.001024,29.274125
1413393886105760512.000000,0.000000,0.000000,20.331018,7.580399,0.079617,7.285867,8.392187,0.001216,31.889652
1413393886155760384.000000,0.000000,0.000000,20.194728,6.738371,0.086113,7.918772,7.413805,0.001216,30.713699
1413393886205760512.000000,0.000000,0.000000,16.753782,9.557388,0.108578,8.269178,6.808996,0.001376,29.421104
1413393886255760384.000000,0.000000,0.000000,16.803670,8.352027,0.124578,5.754357,5.103659,1.361492,29.237197
1413393886305760512.000000,0.000000,0.000000,17.249981,9.491243,0.122018,14.390803,9.559341,0.001312,30.778468
1413393886355760384.000000,0.000000,0.000000,26.793769,4.871111,0.058721,10.122901,8.601918,0.001056,35.457480
1413393886405760512.000000,0.000000,0.000000,15.987178,5.351567,0.060641,8.661599,9.389482,0.000896,24.245188
1413393886455760384.000000,0.000000,0.000000,17.601346,8.984516,0.125762,7.829203,8.360347,0.001024,30.926245
1413393886505760512.000000,0.000000,0.000000,18.934837,5.595506,0.060929,7.022631,8.092631,0.000992,28.144509
1413393886555760384.000000,0.000000,0.000000,16.420241,4.122748,0.051584,7.065896,9.358697,0.996623,24.228772
1413393886605760512.000000,0.000000,0.000000,18.514512,12.200979,0.124033,9.245512,9.283784,0.001440,35.087491
1413393886655760384.000000,0.000000,0.000000,19.343452,11.701004,0.127682,8.647711,11.184996,0.000992,35.301894
1413393886705760512.000000,0.000000,0.000000,18.541456,11.827054,0.119298,8.387259,11.079107,0.000960,34.484890
1413393886755760384.000000,0.000000,0.000000,17.906183,8.227161,0.128130,7.732338,9.791503,0.001056,30.545664
1413393886805760512.000000,0.000000,0.000000,16.782615,12.056561,0.119170,8.132087,10.271351,0.751307,33.164423
1413393886855760384.000000,0.000000,0.000000,17.230684,4.183037,0.125441,10.488602,11.353990,0.001504,25.968445
1413393886905760512.000000,0.000000,0.000000,17.902439,11.768653,0.121762,8.604863,9.525163,0.001120,33.774544
1413393886955760384.000000,0.000000,0.000000,19.813731,12.112914,0.122914,8.703136,9.941394,0.000960,36.279988
1413393887005760512.000000,0.000000,0.000000,16.994489,7.909844,0.100769,9.115078,9.498443,0.001440,29.227917
1413393887055760384.000000,0.000000,0.000000,17.556738,6.350013,0.083169,9.357994,11.116611,0.693163,26.470660
1413393887105760512.000000,0.000000,0.000000,17.251325,6.387678,0.098113,9.454250,10.462010,0.001120,28.669988
1413393887155760384.000000,0.000000,0.000000,15.834120,11.297798,0.122498,8.742241,11.558953,0.001344,31.515598
1413393887205760512.000000,0.000000,0.000000,17.239645,12.018928,0.099393,7.461869,11.311014,0.001344,33.543308
1413393887255760384.000000,0.000000,0.000000,16.642356,5.307054,0.118977,7.505070,9.380777,0.000992,27.164078
1413393887305760512.000000,0.000000,0.000000,18.956086,9.446890,0.096513,7.969109,10.511130,0.794699,32.496989
1413393887355760384.000000,0.000000,0.000000,16.793943,11.926735,0.101121,9.353161,10.537275,0.001344,33.033540
