#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014272,3,1,0,787
0.004672,4,1,0,1121
0.428742,5,1,0,1313
0.724265,6,1,0,1654
0.977549,7,1,0,1876
0.934060,8,1,0,1906
1.503604,9,1,0,2184
1.384242,10,1,0,2629
1.479891,0,0,0,0
43.239659,0,0,0,0
1.487411,0,0,0,0
1.800375,0,0,0,0
2.043386,0,0,0,0
2.110011,0,0,0,0
2.053306,0,0,0,0
2.427519,0,0,0,0
2.839684,0,0,0,0
3.040135,0,0,0,0
3.505805,0,0,0,0
3.215209,0,0,0,0
3.772176,0,0,0,0
4.922911,0,0,0,0
4.926015,0,0,0,0
4.579291,0,0,0,0
4.872702,0,0,0,0
5.171651,0,0,0,0
4.898175,0,0,0,0
5.008640,0,0,0,0
3.929234,0,0,0,0
4.568603,0,0,0,0
5.711369,0,0,0,0
5.925196,0,0,0,0
7.355519,0,0,0,0
4.340632,0,0,0,0
5.560200,3,1,0,1040
5.338821,4,1,0,1350
0.005248,5,1,0,1686
0.005280,6,1,0,1995
0.291011,7,1,0,2295
1.184047,8,1,0,2630
1.979322,9,1,0,2992
2.116763,10,1,0,3363
2.454272,0,0,0,0
2.857284,0,0,0,0
2.425919,0,0,0,0
89.573086,0,0,0,0
1.901304,0,0,0,0
2.572738,0,0,0,0
2.426879,0,0,0,0
2.868837,0,0,0,0
2.608033,0,0,0,0
2.791044,0,0,0,0
3.325547,0,0,0,0
3.350796,0,0,0,0
3.546413,0,0,0,0
3.705775,0,0,0,0
3.960947,0,0,0,0
4.974464,0,0,0,0
4.871711,0,0,0,0
5.209251,0,0,0,0
5.231331,0,0,0,0
4.678876,0,0,0,0
5.236355,0,0,0,0
4.883135,0,0,0,0
4.963071,0,0,0,0
5.038785,0,0,0,0
4.996577,0,0,0,0
5.064993,0,0,0,0
5.182275,0,0,0,0
4.876510,0,0,0,0
4.650364,0,0,0,0
4.504634,0,0,0,0
4.494714,0,0,0,0
4.480890,0,0,0,0
4.706812,0,0,0,0
4.493465,0,0,0,0
3.434316,0,0,0,0
3.528749,0,0,0,0
6.184560,0,0,0,0
5.584808,0,0,0,0
5.016001,0,0,0,0
5.432550,0,0,0,0
4.113621,0,0,0,0
4.479321,0,0,0,0
2.778596,0,0,0,0
4.960416,0,0,0,0
4.835294,0,0,0,0
3.497453,0,0,0,0
4.725309,0,0,0,0
3.897778,0,0,0,0
4.084821,0,0,0,0
5.142562,0,0,0,0
3.688880,0,0,0,0
5.453062,0,0,0,0
5.927884,0,0,0,0
2.612866,0,0,0,0
5.546055,0,0,0,0
2.651778,0,0,0,0
5.714185,0,0,0,0
3.114152,0,0,0,0
4.208918,0,0,0,0
4.190646,0,0,0,0
3.259946,0,0,0,0
5.200418,0,0,0,0
4.259831,0,0,0,0
5.278276,0,0,0,0
4.007252,0,0,0,0
5.183011,0,0,0,0
4.639996,0,0,0,0
3.851921,0,0,0,0
4.888319,0,0,0,0
5.832907,0,0,0,0
5.091969,0,0,0,0
3.566446,0,0,0,0
6.385842,0,0,0,0
5.525959,0,0,0,0
4.483450,0,0,0,0
4.288599,0,0,0,0
4.284503,0,0,0,0
4.411993,0,0,0,0
5.592776,0,0,0,0
5.133954,0,0,0,0
6.397746,0,0,0,0
7.011354,0,0,0,0
6.325234,0,0,0,0
5.139234,0,0,0,0
7.383743,0,0,0,0
3.701744,0,0,0,0
5.826955,0,0,0,0
5.275716,0,0,0,0
4.435897,0,0,0,0
4.956671,0,0,0,0
5.026368,0,0,0,0
7.730531,0,0,0,0
6.740343,0,0,0,0
5.076833,0,0,0,0
7.442623,0,0,0,0
7.652739,0,0,0,0
8.123913,0,0,0,0
8.289578,0,0,0,0
6.882488,0,0,0,0
6.614773,0,0,0,0
9.135029,0,0,0,0
10.118274,0,0,0,0
11.260081,0,0,0,0
10.484614,0,0,0,0
9.319351,0,0,0,0
9.149462,0,0,0,0
8.329163,0,0,0,0
9.085172,0,0,0,0
11.360338,0,0,0,0
9.502202,0,0,0,0
10.055521,0,0,0,0
9.685980,0,0,0,0
12.370175,0,0,0,0
8.409420,0,0,0,0
12.141628,0,0,0,0
9.707421,0,0,0,0
13.008807,0,0,0,0
12.481248,0,0,0,0
12.332095,0,0,0,0
7.663523,0,0,0,0
11.121999,0,0,0,0
9.187542,0,0,0,0
9.677116,0,0,0,0
9.087604,0,0,0,0
7.399327,0,0,0,0
10.657097,0,0,0,0
11.291089,0,0,0,0
11.917241,0,0,0,0
9.394521,0,0,0,0
7.641474,0,0,0,0
9.043669,0,0,0,0
9.542235,0,0,0,0
9.760702,0,0,0,0
10.299876,0,0,0,0
10.029185,0,0,0,0
10.159363,0,0,0,0
9.236151,0,0,0,0
10.815083,0,0,0,0
12.297246,0,0,0,0
10.261284,0,0,0,0
11.205264,0,0,0,0
8.080360,0,0,0,0
8.416940,0,0,0,0
9.325303,0,0,0,0
13.666191,0,0,0,0
10.515591,0,0,0,0
9.089333,0,0,0,0
8.447277,0,0,0,0
8.869554,0,0,0,0
11.722103,0,0,0,0
9.367832,0,0,0,0
11.419858,0,0,0,0
10.073281,0,0,0,0
10.129858,0,0,0,0
13.039688,0,0,0,0
9.839966,0,0,0,0
13.009896,0,0,0,0
11.413619,0,0,0,0
12.010587,0,0,0,0
13.628495,0,0,0,0
10.000225,0,0,0,0
12.161116,0,0,0,0
12.361023,0,0,0,0
12.623106,0,0,0,0
13.340875,0,0,0,0
12.621026,0,0,0,0
14.238807,0,0,0,0
15.515048,0,0,0,0
14.981473,0,0,0,0
11.984890,0,0,0,0
12.254878,0,0,0,0
14.187703,0,0,0,0
15.801132,0,0,0,0
12.485120,0,0,0,0
16.155280,0,0,0,0
18.574542,0,0,0,0
15.637769,0,0,0,0
15.763339,0,0,0,0
15.546088,0,0,0,0
16.596117,0,0,0,0
17.688708,0,0,0,0
14.803998,0,0,0,0
15.016641,0,0,0,0
14.752317,0,0,0,0
15.124355,0,0,0,0
15.378213,0,0,0,0
13.525998,0,0,0,0
15.428390,0,0,0,0
15.333477,0,0,0,0
18.437005,0,0,0,0
14.750878,0,0,0,0
18.685168,0,0,0,0
14.948736,0,0,0,0
17.172637,0,0,0,0
11.405267,0,0,0,0
14.990785,0,0,0,0
14.382041,0,0,0,0
10.991245,0,0,0,0
11.021677,0,0,0,0
10.274148,0,0,0,0
17.282366,0,0,0,0
14.550715,0,0,0,0
14.213975,0,0,0,0
13.934867,0,0,0,0
