#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.152917,0.063393,0.683497,0.014848,0.014848,9.956351
9.852478,0.118785,1.371218,0.004768,0.004768,11.352017
10.287076,0.154625,1.881848,0.421349,0.421349,26.074445
10.586055,0.142850,2.524992,0.693001,0.693001,31.952024
11.054253,0.068097,3.259178,0.990989,0.990989,36.831990
11.360273,0.055585,3.801168,1.265200,1.265200,40.401188
11.729430,0.053825,4.489305,1.926744,1.926744,48.432266
12.121019,0.055904,5.392517,2.084123,2.084123,62.978532
12.626177,0.052129,6.245776,2.244797,2.244797,61.190445
12.997798,0.051680,7.663458,77.008342,77.008342,137.659324
13.374634,0.054785,9.092788,2.579233,2.579233,63.408777
9.314295,0.070336,0.830123,0.005312,0.005312,10.224066
9.896958,0.241156,1.934232,0.004928,0.004928,12.081402
10.428229,0.370213,9.945823,0.433541,0.433541,40.756840
10.980141,0.449541,14.399576,0.746793,0.746793,69.437430
11.734069,0.504327,15.842122,0.986605,0.986605,65.144767
11.833175,0.515847,20.600678,1.064302,1.064302,75.227296
11.716310,0.585895,16.443058,1.502579,1.502579,72.072344
11.144910,0.362949,17.671233,1.433586,1.433586,74.492726
11.301361,0.280003,23.239817,1.488595,1.488595,81.603090
13.031558,0.428230,35.463332,105.463042,105.463042,205.894147
13.696207,0.441573,35.911467,1.508339,1.508339,95.085917
12.860260,0.448806,31.461649,1.687029,1.687029,87.893473
13.645678,0.434086,28.195976,1.719445,1.719445,88.653259
12.983526,0.438629,30.757769,2.028858,2.028858,97.959490
12.081690,0.325156,26.523091,2.028762,2.028762,94.166929
14.013331,0.252419,30.773641,2.475584,2.475584,121.977781
15.341156,0.413541,52.682272,2.803428,2.803428,140.938983
16.429361,0.481414,42.275900,2.565985,2.565985,136.455597
15.061216,0.393957,31.903799,2.896965,2.896965,127.186967
15.479301,0.396197,31.831990,2.864772,2.864772,136.644207
17.051353,0.351397,46.143948,3.400107,3.400107,136.637263
