#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638518077829376.000000,0.000000,0.000000,19.110545,2.599585,0.004448,10.961739,2.611904,0.003808,26.828114
1403638518127829504.000000,0.000000,0.000000,19.688600,2.659649,0.067776,2.504896,2.227580,0.001472,26.564494
1403638518177829376.000000,0.000000,0.000000,18.778157,5.264002,0.078049,2.316317,2.048506,0.001088,28.196035
1403638518227829504.000000,0.000000,0.000000,22.866272,5.413604,0.087585,2.186651,2.165308,0.001088,32.573690
1403638518277829376.000000,0.000000,0.000000,21.132810,6.836822,0.118817,1.516851,2.093754,0.657000,32.296823
1403638518327829504.000000,0.000000,0.000000,19.542231,6.433297,0.094849,3.133704,2.881284,0.001472,30.079675
1403638518377829376.000000,0.000000,0.000000,20.590212,6.443857,0.121762,2.255293,3.179880,0.001184,31.387403
1403638518427829504.000000,0.000000,0.000000,19.185266,6.413264,0.100289,1.690197,3.581837,0.001312,29.849145
1403638518477829376.000000,0.000000,0.000000,18.684555,6.241998,0.125665,1.796214,3.674191,0.001280,29.028717
1403638518527829504.000000,0.000000,0.000000,21.056425,6.744245,0.126530,1.405042,3.517932,0.001120,32.057876
1403638518577829376.000000,0.000000,0.000000,19.753305,6.455057,0.125441,1.977753,3.363851,0.751785,30.323679
1403638518627829504.000000,0.000000,0.000000,19.974651,2.814116,0.058272,4.325559,4.011666,0.001152,26.429837
1403638518677829376.000000,0.000000,0.000000,22.046134,6.235471,0.114753,3.246248,4.378424,0.001024,32.555835
1403638518727829504.000000,0.000000,0.000000,19.687704,6.410544,0.122177,2.993413,4.101332,0.000960,30.467552
1403638518777829376.000000,0.000000,0.000000,18.790413,6.537842,0.128513,3.156552,4.056019,0.001120,29.519380
1403638518827829504.000000,0.000000,0.000000,19.010735,6.446097,0.123650,2.935909,3.771568,0.001248,32.427481
1403638518877829376.000000,0.000000,0.000000,21.259052,6.356720,0.120674,2.632482,3.652782,1.038317,31.804337
1403638518927829504.000000,0.000000,0.000000,20.125821,3.183624,0.060001,6.481106,8.622412,0.001312,27.752061
1403638518977829376.000000,0.000000,0.000000,20.137886,6.606451,0.124993,7.012184,7.499582,0.001504,31.033799
1403638519027829504.000000,0.000000,0.000000,20.519682,6.658547,0.119394,6.163021,6.437585,0.001088,31.451757
