#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.758394,0.137729,1.515571,0.015584,0.015584,11.439023
11.352014,0.352516,4.858653,0.004800,0.004800,16.572399
12.078295,0.663304,7.444350,0.832330,0.832330,61.916040
12.827201,0.732297,14.112945,0.865899,0.865899,74.124993
13.703596,0.565639,16.715729,1.547411,1.547411,78.168595
14.337620,0.504134,19.611126,1.572116,1.572116,84.476867
10.259680,0.441478,16.269963,2.377885,2.377885,77.179686
13.173798,0.378308,16.538991,3.297354,3.297354,87.418120
17.041846,0.512166,35.274170,2.898404,2.898404,130.281600
16.314348,0.707977,39.758898,140.547041,140.547041,268.188096
8.976272,0.442022,17.897664,3.346410,3.346410,83.255027
16.407726,0.839306,47.815959,3.821296,3.821296,147.475704
16.976564,0.803499,47.357681,4.383479,4.383479,153.500643
17.158839,0.779178,46.289508,4.737627,4.737627,153.200799
17.112566,0.782026,45.123349,5.491301,5.491301,158.848710
17.241304,0.767082,45.533562,5.481764,5.481764,163.408287
14.061457,0.568935,32.045489,5.768585,5.768585,150.732545
13.974159,0.584616,34.037578,5.740200,5.740200,152.800187
16.989141,0.851211,44.450829,6.434705,6.434705,175.991293
11.595633,0.645640,33.921801,6.624979,6.624979,163.729155
14.874011,0.546950,29.382929,6.966103,6.966103,441.137207
16.231979,0.556167,34.193644,8.761678,8.761678,181.536322
18.266564,0.656169,48.835075,8.089573,8.089573,213.314704
14.588118,0.511719,35.419867,7.674144,7.674144,173.240026
10.341730,0.310948,25.683362,8.228071,8.228071,155.612958
18.471719,0.690217,49.742095,7.173530,7.173530,208.333874
14.930587,0.525830,37.265811,8.541867,8.541867,179.653643
18.253605,0.639496,50.076435,7.673184,7.673184,207.939501
17.705278,0.642408,50.506680,8.979120,8.979120,210.782544
11.686706,0.639464,40.978081,9.105779,9.105779,208.890905
17.389850,0.720233,47.558260,7.214874,7.214874,207.455655
17.376954,0.887115,47.823063,6.667955,6.667955,215.524684
17.135862,0.895691,49.402091,5.768456,5.768456,224.055191
16.389838,0.964556,46.788650,6.728628,6.728628,224.464412
17.597180,0.865675,48.848452,6.697140,6.697140,266.622892
18.335398,0.720201,49.919569,6.275118,6.275118,264.046252
17.528603,0.765290,49.582381,8.726349,8.726349,257.973087
18.763691,0.693769,49.989842,7.794850,7.794850,236.939481
18.768364,0.649320,52.799829,8.503594,8.503594,267.879932
19.354514,0.706953,47.634613,11.687282,11.687282,237.994854
19.424275,0.764457,57.638387,9.502743,9.502743,282.073645
14.883674,0.669576,36.368552,9.356501,9.356501,222.437218
19.907450,0.737673,49.414571,9.512823,9.512823,266.535435
20.034523,0.753161,54.605740,11.096491,11.096491,267.938237
21.168297,0.747722,50.916222,13.456905,13.456905,266.086790
13.435241,0.644328,36.030275,12.236506,12.236506,227.741446
21.911027,0.867211,57.010794,12.626846,12.626846,268.015294
11.732659,0.588008,30.012568,13.720043,13.720043,222.628774
16.535247,0.762602,41.641514,11.308013,11.308013,596.491985
19.036878,1.504691,59.367560,14.036751,14.036751,263.847881
9.496215,0.662408,27.410744,13.997776,13.997776,212.711369
18.166148,0.911755,57.574801,16.745137,16.745137,260.643969
16.857395,0.915116,57.776916,17.206135,17.206135,275.322137
14.385396,0.842987,37.957371,14.369492,14.369492,237.684802
11.268526,0.717257,30.731553,13.457385,13.457385,223.766548
8.967409,0.739625,23.540711,16.658864,16.658864,221.088594
17.447418,1.044077,52.715349,16.132554,16.132554,268.555332
16.762002,0.857227,45.194038,16.035529,16.035529,245.839816
14.585335,0.681672,33.460803,17.331929,17.331929,236.119054
16.150698,0.956972,57.415312,14.032976,14.032976,268.737767
8.668844,0.562087,24.464787,12.023606,12.023606,215.412330
8.966288,0.638952,24.311473,12.119064,12.119064,209.208765
15.656996,0.782794,42.978715,13.114052,13.114052,240.716552
17.751487,0.826954,56.231168,11.468624,11.468624,265.053977
15.245631,0.551078,47.482611,9.608152,9.608152,266.986096
10.773415,0.514054,30.952580,13.889358,13.889358,226.630359
10.782215,0.591528,37.882202,9.861883,9.861883,253.271589
15.885095,0.936236,53.759521,12.991074,12.991074,269.990998
11.754003,0.731689,37.097265,13.648203,13.648203,253.999566
11.524497,0.769545,39.025833,9.241235,9.241235,252.893568
19.258706,0.884395,59.527817,11.884757,11.884757,285.336375
13.356968,0.695656,42.364499,14.825658,14.825658,252.044054
13.530762,0.671656,44.692208,16.173547,16.173547,260.596993
13.998192,0.752905,44.599407,16.875508,16.875508,258.434278
12.036119,0.554183,31.923888,16.184235,16.184235,238.875089
11.251629,0.730665,31.264552,10.742087,10.742087,240.951787
14.494869,0.876843,46.117506,11.582641,11.582641,282.011757
14.605783,1.012877,46.947308,14.725465,14.725465,273.203679
15.262911,1.031405,48.482016,14.666584,14.666584,285.758076
15.892968,0.864906,50.126036,14.445653,14.445653,279.740017
15.929512,0.946155,53.265980,14.696440,14.696440,278.204029
17.058582,0.854155,55.921372,15.483810,15.483810,275.591613
19.270737,0.839563,58.078487,15.915880,15.915880,280.487162
23.381477,1.031180,66.165341,25.562272,25.562272,293.137752
22.650363,0.910988,65.829497,19.548053,19.548053,294.556010
21.723056,0.766058,56.566021,23.189506,23.189506,282.839416
16.476334,0.696937,40.527035,19.218609,19.218609,245.559780
21.046216,0.898283,59.366248,20.544898,20.544898,279.363852
13.316551,0.709001,43.512419,20.368897,20.368897,246.197913
21.768730,0.924204,61.453855,16.733018,16.733018,274.124585
12.433314,0.572327,35.847762,20.276039,20.276039,231.210204
13.628977,0.648233,38.097455,18.190988,18.190988,234.324420
13.508656,0.654664,37.110466,13.330381,13.330381,232.373131
17.293633,0.701513,44.988105,15.258022,15.258022,249.781069
19.180442,0.892075,61.262556,19.137625,19.137625,275.699838
9.500571,0.598280,27.020831,14.619486,14.619486,218.810010
9.697342,0.597512,26.787132,16.691449,16.691449,218.002352
9.314969,0.602216,27.090143,13.379470,13.379470,216.184632
8.426413,0.636520,25.114662,11.992155,11.992155,209.462752
7.831398,0.571527,24.258907,18.281293,18.281293,214.954984
6.936794,0.591592,23.282830,15.118500,15.118500,207.281700
12.899176,1.023949,49.670053,10.817932,10.817932,258.688480
14.674719,1.044077,55.896214,16.369781,16.369781,271.268740
7.283999,0.484134,23.938231,15.404232,15.404232,215.616721
7.411393,0.522950,22.338275,14.814816,14.814816,215.192139
11.981659,0.716746,37.424806,15.332007,15.332007,258.008407
8.324332,0.534279,25.321449,10.510761,10.510761,220.014858
15.980208,0.791466,53.335253,15.172389,15.172389,272.081102
14.594462,0.572455,35.165737,16.019056,16.019056,258.534814
9.029749,0.620968,27.777033,14.101591,14.101591,229.896905
11.325012,0.602503,37.965901,17.691878,17.691878,243.287992
10.920430,0.565447,32.695561,16.925436,16.925436,230.884470
13.230284,0.605896,34.249596,19.253434,19.253434,234.071391
11.814234,0.604392,31.344471,14.235065,14.235065,228.939325
19.382268,0.885963,53.687257,20.051172,20.051172,267.467921
13.135851,0.815210,36.332248,18.593809,18.593809,250.530581
16.656664,0.958253,54.106750,17.276576,17.276576,263.170233
15.718764,1.060750,50.088010,13.473263,13.473263,264.688621
15.514633,1.143311,53.147858,12.925895,12.925895,266.295905
14.848193,0.837515,34.211932,14.392155,14.392155,239.275203
10.842605,0.882219,33.308081,12.590723,12.590723,221.623197
8.242891,0.783115,25.281320,12.804358,12.804358,212.018049
15.444520,0.906540,55.392879,12.972104,12.972104,259.763884
15.272743,0.935084,41.655261,13.141547,13.141547,239.042112
9.977185,0.758666,29.841923,14.048407,14.048407,210.679567
15.533897,0.994381,53.160018,11.945467,11.945467,244.350980
11.178513,0.684233,38.034990,12.540003,12.540003,226.277689
9.111862,0.711114,26.720858,12.682309,12.682309,209.959398
9.403866,0.682473,27.676615,13.836595,13.836595,211.746429
9.093974,0.560295,26.451256,15.995183,15.995183,216.985824
8.948468,0.663977,25.777743,14.324890,14.324890,212.543655
8.966421,0.750921,27.686408,15.914927,15.914927,220.748754
12.923752,0.780362,37.950221,12.126494,12.126494,231.935587
10.988783,0.766634,34.799204,14.199896,14.199896,233.043857
15.432617,0.866539,50.934613,15.933039,15.933039,264.082180
7.718116,0.610984,23.069195,15.163653,15.163653,212.522022
7.647747,0.568200,22.151743,15.157413,15.157413,215.279434
15.522762,0.869195,55.757076,11.272626,11.272626,271.522244
8.870291,0.685769,26.003762,10.241637,10.241637,226.230552
11.844794,0.764682,50.576240,13.734514,13.734514,272.784757
12.549186,0.708362,47.549609,17.393986,17.393986,273.418140
18.412239,0.831082,62.283849,12.575939,12.575939,285.482424
18.107019,0.820202,48.851354,12.850727,12.850727,272.506096
12.589219,0.727402,39.809860,13.673937,13.673937,259.725898
19.016246,0.899724,61.606239,12.900487,12.900487,287.064940
19.817409,0.836331,66.756419,20.145509,20.145509,292.830936
13.702353,0.663625,44.519906,16.838715,16.838715,259.362725
13.247852,0.578760,46.419258,16.800666,16.800666,258.452538
10.841996,0.475911,34.437982,17.416482,17.416482,242.507114
14.304154,0.616808,50.618385,25.368809,25.368809,272.543440
22.478883,0.721674,71.075194,16.484918,16.484918,289.737679
22.437539,0.739849,75.914137,19.272058,19.272058,298.101115
15.349223,0.567591,51.558973,27.420644,27.420644,282.332110
23.509457,0.760586,75.249264,27.086112,27.086112,304.691025
16.785401,0.792075,57.688684,22.075135,22.075135,280.838683
24.919619,0.689705,75.244656,22.595365,22.595365,301.802602
23.277038,0.696137,69.181153,18.906837,18.906837,292.399024
23.212525,0.741546,78.194134,19.871714,19.871714,311.993487
23.168812,0.808555,68.967550,20.418825,20.418825,296.323715
14.814080,0.692137,52.580618,19.257082,19.257082,282.514032
23.497713,0.798698,67.782767,20.169414,20.169414,299.873809
22.454628,0.853675,66.964868,19.116855,19.116855,299.273705
21.906780,0.701257,63.521976,20.375624,20.375624,295.591865
22.045182,0.734217,61.998724,24.393341,24.393341,296.784457
20.811534,0.627496,58.645593,20.035076,20.035076,289.763502
20.700940,0.696553,62.850511,26.414615,26.414615,295.369398
20.457353,0.667497,63.500887,20.006435,20.006435,289.159973
21.940669,0.723337,72.103079,24.304315,24.304315,310.625532
21.153939,0.811722,63.202035,22.344609,22.344609,289.241862
14.268473,0.689353,49.137149,23.744308,23.744308,285.450485
21.025648,0.952077,60.742707,20.257734,20.257734,294.702732
13.024649,0.779434,43.248497,21.776122,21.776122,271.979526
12.301856,0.749705,37.922412,29.080505,29.080505,272.015655
12.666500,0.686121,40.296843,25.489355,25.489355,266.556704
20.363368,0.927116,62.241799,25.361609,25.361609,294.591499
20.224390,0.898059,63.050578,23.187149,23.187149,298.862466
20.908559,0.871148,62.088868,27.733544,27.733544,301.437316
20.990672,0.944428,61.711968,22.965258,22.965258,297.158476
13.719121,0.691945,39.204253,27.804840,27.804840,262.285831
16.760793,0.749450,42.198211,26.693178,26.693178,273.902174
15.823245,0.929292,63.433238,25.913648,25.913648,293.942273
13.626737,1.092974,45.469357,23.322798,23.322798,274.942539
18.878517,0.958093,56.578877,27.225505,27.225505,287.039689
12.823494,0.906092,51.896256,28.684692,28.684692,277.703631
12.879783,0.867947,54.528099,27.415011,27.415011,286.114908
12.359744,0.694761,44.435136,30.286153,30.286153,275.911544
20.885166,0.992205,66.947140,26.224116,26.224116,306.347426
11.668376,0.712233,41.349976,25.996017,25.996017,273.231957
10.944494,0.674632,37.524007,28.124173,28.124173,277.473164
