#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,19.975279,7.233858,0.004384,17.140743,13.400918,0.003488,32.134707
1413393212305760512.000000,0.000000,0.000000,17.507373,10.313804,0.075521,9.788356,8.453395,0.000832,31.703021
1413393212355760384.000000,0.000000,0.000000,18.118262,11.436891,0.076353,10.386605,9.016410,0.001152,33.393348
1413393212405760512.000000,0.000000,0.000000,17.339723,12.294534,0.098017,10.202442,9.668355,0.001728,33.488165
1413393212455760384.000000,0.000000,0.000000,17.384844,17.165608,0.098882,10.407917,8.777431,0.742410,39.688217
1413393212505760512.000000,0.000000,0.000000,18.590204,18.756702,0.113506,10.396429,9.093275,0.001152,41.320848
1413393212555760384.000000,0.000000,0.000000,17.554670,18.895615,0.109089,9.557345,9.845637,0.001024,40.554885
1413393212605760512.000000,0.000000,0.000000,18.827551,18.745566,0.118690,8.609844,8.573428,0.000672,41.673076
1413393212655760384.000000,0.000000,0.000000,16.224795,18.785439,0.104737,9.880422,9.304574,0.000736,39.045873
1413393212705760512.000000,0.000000,0.000000,17.205001,18.852511,0.136705,8.978073,8.751127,0.001248,40.084254
1413393212755760384.000000,0.000000,0.000000,18.906496,18.896416,0.115041,9.473280,9.871814,0.653352,41.811190
1413393212805760512.000000,0.000000,0.000000,17.390380,18.888352,0.113026,10.827987,9.851141,0.001632,40.490212
1413393212855760384.000000,0.000000,0.000000,16.601217,18.915840,0.115233,9.270717,9.707684,0.001024,39.545655
1413393212905760512.000000,0.000000,0.000000,17.234665,11.680830,0.121314,9.525153,10.034727,0.001152,33.109728
1413393212955760384.000000,0.000000,0.000000,16.839620,18.807038,0.119617,8.247824,8.521523,0.001248,39.879803
1413393213005760512.000000,0.000000,0.000000,20.718969,18.798879,0.110241,9.549506,10.522766,0.001376,43.661039
1413393213055760384.000000,0.000000,0.000000,16.811044,18.820831,0.117410,8.205103,9.043163,0.703210,39.663384
1413393213105760512.000000,0.000000,0.000000,15.984761,18.842719,0.109249,10.854579,8.446514,0.001568,38.966992
1413393213155760384.000000,0.000000,0.000000,17.468909,18.914592,0.117890,9.405887,8.801943,0.001120,40.448868
1413393213205760512.000000,0.000000,0.000000,17.157512,18.718909,0.115873,9.379071,10.058312,0.001248,39.894684
1413393213255760384.000000,0.000000,0.000000,17.570253,18.689757,0.118306,10.264875,10.535215,0.001280,40.337730
1413393213305760512.000000,0.000000,0.000000,16.024793,18.714462,0.106657,10.017191,11.361722,0.001504,38.824302
1413393213355760384.000000,0.000000,0.000000,16.789091,13.751514,0.124193,9.857958,10.541902,0.736490,34.570228
1413393213405760512.000000,0.000000,0.000000,17.175208,18.830719,0.106977,12.673228,11.484859,0.002208,40.008382
1413393213455760384.000000,0.000000,0.000000,20.059535,18.842943,0.116066,10.574095,11.478460,0.001376,42.987206
1413393213505760512.000000,0.000000,0.000000,18.501754,18.854143,0.112898,8.986233,10.006024,0.001216,41.505138
1413393213555760384.000000,0.000000,0.000000,16.566081,18.403225,0.115586,10.068936,9.068667,0.001152,39.252435
1413393213605760512.000000,0.000000,0.000000,15.729813,18.878560,0.117762,8.969401,10.333484,0.742698,38.623307
1413393213655760384.000000,0.000000,0.000000,19.500968,18.286903,0.112993,11.690622,10.507694,0.001248,41.858710
1413393213705760512.000000,0.000000,0.000000,17.701296,18.376441,0.107585,8.316208,10.322540,0.001376,40.251969
1413393213755760384.000000,0.000000,0.000000,16.607041,19.017858,0.116386,7.185729,9.243677,0.000960,39.687801
1413393213805760512.000000,0.000000,0.000000,17.338955,18.966369,0.106081,8.493779,9.900453,0.000992,40.367586
1413393213855760384.000000,0.000000,0.000000,19.143459,18.707677,0.108193,7.530981,10.263947,0.732714,41.878551
1413393213905760512.000000,0.000000,0.000000,17.410284,18.763966,0.113090,11.583389,11.493019,0.001248,40.332962
1413393213955760384.000000,0.000000,0.000000,19.077314,18.823647,0.121825,8.006796,11.273144,0.001152,42.188251
1413393214005760512.000000,0.000000,0.000000,17.658255,18.646620,0.121122,7.570406,10.557903,0.001344,40.340162
1413393214055760384.000000,0.000000,0.000000,18.543291,18.717661,0.118305,9.201884,10.726417,0.000832,41.283695
1413393214105760512.000000,0.000000,0.000000,17.523469,18.591708,0.114625,6.621338,10.778258,0.716778,40.305313
1413393214155760384.000000,0.000000,0.000000,17.652879,13.985213,0.114785,10.155882,11.527323,0.001088,35.741283
1413393214205760512.000000,0.000000,0.000000,18.278807,18.977665,0.119905,8.765686,12.274918,0.001440,41.264878
1413393214255760384.000000,0.000000,0.000000,17.510157,18.985217,0.111426,7.674280,9.874470,0.000992,40.678918
1413393214305760512.000000,0.000000,0.000000,18.382584,18.984961,0.123234,8.728758,12.059747,0.001056,41.549074
1413393214355760384.000000,0.000000,0.000000,19.470408,19.175523,0.116450,7.402628,10.551950,0.651049,42.890116
1413393214405760512.000000,0.000000,0.000000,16.781475,14.456131,0.119682,10.869651,11.546108,0.001440,35.477024
1413393214455760384.000000,0.000000,0.000000,18.129782,18.863647,0.117186,8.269104,10.510158,0.001696,41.021579
1413393214505760512.000000,0.000000,0.000000,18.221334,11.474556,0.113730,7.807017,10.100233,0.001344,34.026061
1413393214555760384.000000,0.000000,0.000000,17.600398,18.468346,0.119585,7.060223,11.025973,0.001344,40.076670
1413393214605760512.000000,0.000000,0.000000,17.149704,18.854431,0.114721,6.622745,11.327322,0.796971,40.100062
1413393214655760384.000000,0.000000,0.000000,18.308440,18.740605,0.115586,10.756722,11.734270,0.001120,41.268046
1413393214705760512.000000,0.000000,0.000000,16.643297,18.864864,0.117986,6.826333,10.323947,0.001568,39.859068
1413393214755760384.000000,0.000000,0.000000,17.312778,13.349237,0.117986,0.140738,15.608915,0.153698,34.750359
1413393214805760512.000000,0.000000,0.000000,16.221692,18.867743,0.111329,0.136194,17.342154,0.144418,39.633113
1413393214855760384.000000,0.000000,0.000000,18.407385,18.768638,0.123425,0.138018,15.704820,0.817931,41.382160
1413393214905760512.000000,0.000000,0.000000,18.570363,12.557546,0.102209,0.234979,18.629564,0.188931,35.390910
1413393214955760384.000000,0.000000,0.000000,16.025433,18.388568,0.099170,0.142402,17.761584,0.198179,38.374279
1413393215005760512.000000,0.000000,0.000000,18.776286,18.651516,0.112737,0.130498,16.388542,0.107650,41.660532
1413393215055760384.000000,0.000000,0.000000,17.372523,18.704317,0.110466,0.145634,17.497932,0.110081,40.153983
1413393215105760512.000000,0.000000,0.000000,18.524603,19.237668,0.122242,0.145314,17.892146,0.116609,41.959287
1413393215155760384.000000,0.000000,0.000000,17.577486,18.780158,0.111201,0.148322,18.810174,0.123105,40.437347
1413393215205760512.000000,0.000000,0.000000,18.657980,18.956321,0.111650,0.147618,18.903200,0.126530,41.654964
1413393215255760384.000000,0.000000,0.000000,18.267799,18.269399,0.113026,0.127937,17.030375,1.039150,40.554597
