#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015264,3,1,0,2441
0.004896,4,1,0,3052
0.490727,5,1,0,3704
1.270576,6,1,0,4357
1.806392,7,1,0,4944
1.773368,8,1,0,5465
2.190556,9,1,0,6001
2.889734,10,1,0,6421
3.465901,0,0,0,0
109.331191,0,0,0,0
4.535963,0,0,0,0
5.323845,0,0,0,0
5.296613,0,0,0,0
6.461621,0,0,0,0
6.519701,0,0,0,0
7.231327,0,0,0,0
8.455183,0,0,0,0
8.961045,0,0,0,0
9.599581,0,0,0,0
10.555498,0,0,0,0
11.374965,0,0,0,0
12.543140,0,0,0,0
12.367970,0,0,0,0
11.134610,0,0,0,0
12.944458,0,0,0,0
13.368655,0,0,0,0
13.933846,0,0,0,0
11.594967,0,0,0,0
13.243438,0,0,0,0
13.048171,0,0,0,0
13.155628,0,0,0,0
13.642002,0,0,0,0
10.510506,0,0,0,0
12.392290,0,0,0,0
12.061854,0,0,0,0
10.888590,0,0,0,0
12.096350,0,0,0,0
13.878326,0,0,0,0
11.705241,0,0,0,0
11.706137,0,0,0,0
11.371861,0,0,0,0
10.906702,0,0,0,0
10.600171,0,0,0,0
9.344379,0,0,0,0
12.525636,0,0,0,0
8.947765,0,0,0,0
12.254721,0,0,0,0
8.908500,0,0,0,0
11.568951,0,0,0,0
8.679826,0,0,0,0
10.006659,0,0,0,0
8.246508,0,0,0,0
9.425756,0,0,0,0
6.639575,0,0,0,0
10.998895,0,0,0,0
8.297997,0,0,0,0
9.384859,0,0,0,0
8.139658,0,0,0,0
11.147570,0,0,0,0
8.492879,0,0,0,0
10.866990,0,0,0,0
9.541117,0,0,0,0
7.566307,0,0,0,0
7.677700,0,0,0,0
5.960878,0,0,0,0
6.037103,0,0,0,0
6.690423,0,0,0,0
5.990414,0,0,0,0
7.768518,0,0,0,0
6.441620,0,0,0,0
6.544054,0,0,0,0
7.147902,0,0,0,0
4.464635,0,0,0,0
8.564592,0,0,0,0
7.238143,0,0,0,0
9.223545,0,0,0,0
7.726213,0,0,0,0
9.708127,0,0,0,0
8.759539,0,0,0,0
7.144605,0,0,0,0
9.373915,0,0,0,0
7.637476,0,0,0,0
8.395502,0,0,0,0
9.064886,0,0,0,0
12.781895,0,0,0,0
13.761012,0,0,0,0
10.637388,0,0,0,0
12.214816,0,0,0,0
15.152998,0,0,0,0
13.185580,0,0,0,0
13.946647,0,0,0,0
15.791758,0,0,0,0
14.973187,0,0,0,0
13.251661,0,0,0,0
14.466493,0,0,0,0
13.284142,0,0,0,0
13.554993,0,0,0,0
14.921667,0,0,0,0
12.932713,0,0,0,0
15.688045,0,0,0,0
15.862607,0,0,0,0
11.783194,0,0,0,0
18.160942,0,0,0,0
16.756603,0,0,0,0
17.218273,0,0,0,0
13.877941,0,0,0,0
15.614092,0,0,0,0
15.055940,0,0,0,0
16.602681,0,0,0,0
17.022399,0,0,0,0
16.533048,0,0,0,0
14.042488,0,0,0,0
13.467952,0,0,0,0
14.011256,0,0,0,0
12.235744,0,0,0,0
16.489463,0,0,0,0
13.191309,0,0,0,0
12.548900,0,0,0,0
12.929865,0,0,0,0
12.904489,0,0,0,0
12.192447,0,0,0,0
13.069259,0,0,0,0
10.355752,0,0,0,0
10.830029,0,0,0,0
12.722502,0,0,0,0
12.669797,0,0,0,0
17.885386,0,0,0,0
13.250221,0,0,0,0
12.412066,0,0,0,0
10.975919,0,0,0,0
12.307360,0,0,0,0
14.696864,0,0,0,0
14.091192,0,0,0,0
13.329422,0,0,0,0
12.131646,0,0,0,0
10.278471,0,0,0,0
9.984322,0,0,0,0
8.271725,0,0,0,0
12.822824,0,0,0,0
12.211583,0,0,0,0
13.950006,0,0,0,0
14.307546,0,0,0,0
14.373884,0,0,0,0
14.501341,0,0,0,0
12.207327,0,0,0,0
15.083333,0,0,0,0
15.841487,0,0,0,0
10.587946,0,0,0,0
13.685043,0,0,0,0
14.600254,0,0,0,0
15.721581,0,0,0,0
15.601260,0,0,0,0
12.450211,0,0,0,0
15.798383,0,0,0,0
16.729723,0,0,0,0
14.408060,0,0,0,0
14.355676,0,0,0,0
14.010967,0,0,0,0
15.526731,0,0,0,0
15.624365,0,0,0,0
14.415676,0,0,0,0
14.394332,0,0,0,0
17.231521,0,0,0,0
15.717038,0,0,0,0
17.648550,0,0,0,0
16.988926,0,0,0,0
18.784565,0,0,0,0
15.233223,0,0,0,0
18.631891,0,0,0,0
15.970800,0,0,0,0
20.489036,0,0,0,0
15.830543,0,0,0,0
18.156173,0,0,0,0
15.777966,0,0,0,0
24.066874,0,0,0,0
23.471922,0,0,0,0
18.197454,0,0,0,0
13.825524,0,0,0,0
13.722323,0,0,0,0
10.120389,0,0,0,0
10.112644,0,0,0,0
10.663787,0,0,0,0
9.919458,0,0,0,0
15.429225,0,0,0,0
8.021801,0,0,0,0
8.056489,0,0,0,0
10.037411,0,0,0,0
10.646027,0,0,0,0
9.232216,0,0,0,0
10.312839,0,0,0,0
10.622987,0,0,0,0
17.619654,0,0,0,0
15.614603,0,0,0,0
10.430888,0,0,0,0
20.678957,0,0,0,0
17.651910,0,0,0,0
28.870361,0,0,0,0
37.552298,0,0,0,0
20.937041,0,0,0,0
20.280681,0,0,0,0
23.870103,0,0,0,0
16.269588,0,0,0,0
16.100818,0,0,0,0
19.882755,0,0,0,0
12.285600,0,0,0,0
8.970677,0,0,0,0
8.290636,0,0,0,0
13.650290,0,0,0,0
6.043247,0,0,0,0
7.937415,0,0,0,0
11.223570,0,0,0,0
13.113323,0,0,0,0
10.769005,0,0,0,0
12.396449,0,0,0,0
8.665649,0,0,0,0
16.344214,0,0,0,0
17.662023,0,0,0,0
16.331317,0,0,0,0
9.771583,0,0,0,0
11.592663,0,0,0,0
14.074648,0,0,0,0
18.929719,0,0,0,0
12.357025,0,0,0,0
18.122796,0,0,0,0
18.839222,0,0,0,0
18.419280,0,0,0,0
17.819880,0,0,0,0
15.800142,0,0,0,0
16.931421,0,0,0,0
16.801563,0,0,0,0
16.850556,0,0,0,0
16.746299,0,0,0,0
13.273997,0,0,0,0
14.933603,0,0,0,0
13.123819,0,0,0,0
15.668877,0,0,0,0
16.863772,0,0,0,0
14.736800,0,0,0,0
11.923996,0,0,0,0
9.065462,0,0,0,0
13.194156,0,0,0,0
16.211187,0,0,0,0
15.303303,0,0,0,0
14.576189,0,0,0,0
16.476854,0,0,0,0
12.134590,0,0,0,0
15.201670,0,0,0,0
10.027555,0,0,0,0
15.252967,0,0,0,0
10.521289,0,0,0,0
15.199399,0,0,0,0
10.123204,0,0,0,0
14.726560,0,0,0,0
15.917552,0,0,0,0
15.484617,0,0,0,0
15.003332,0,0,0,0
13.288013,0,0,0,0
17.303170,0,0,0,0
12.501826,0,0,0,0
16.420662,0,0,0,0
15.744206,0,0,0,0
10.683595,0,0,0,0
16.746170,0,0,0,0
15.418185,0,0,0,0
15.096389,0,0,0,0
19.736898,0,0,0,0
14.611870,0,0,0,0
16.157683,0,0,0,0
19.762369,0,0,0,0
49.502405,0,0,0,0
35.606480,0,0,0,0
28.453491,0,0,0,0
22.608743,0,0,0,0
24.796132,0,0,0,0
26.862302,0,0,0,0
19.438909,0,0,0,0
23.331600,0,0,0,0
21.458711,0,0,0,0
21.839708,0,0,0,0
22.530789,0,0,0,0
21.059795,0,0,0,0
22.968043,0,0,0,0
29.406527,0,0,0,0
24.473822,0,0,0,0
22.219361,0,0,0,0
24.653569,0,0,0,0
24.801379,0,0,0,0
25.013893,0,0,0,0
27.159042,0,0,0,0
21.545177,0,0,0,0
23.018859,0,0,0,0
20.333897,0,0,0,0
23.910647,0,0,0,0
29.594946,0,0,0,0
30.322283,0,0,0,0
21.490840,0,0,0,0
21.562329,0,0,0,0
29.333310,0,0,0,0
28.536019,0,0,0,0
29.535713,0,0,0,0
25.673262,0,0,0,0
23.751670,0,0,0,0
25.537645,0,0,0,0
18.610866,0,0,0,0
22.656679,0,0,0,0
21.603866,0,0,0,0
20.242120,0,0,0,0
22.360579,0,0,0,0
26.808861,0,0,0,0
18.984855,0,0,0,0
22.205569,0,0,0,0
20.293672,0,0,0,0
23.188238,0,0,0,0
20.411690,0,0,0,0
18.189965,0,0,0,0
21.147475,1092969387,1089799873,1092742648,1080264515
23.424913,-975979082,705298645,-10129522,1276807878
