#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.130669,0.091777,0.691784,0.014912,0.014912,9.941846
9.961751,0.116385,1.375568,0.005024,0.005024,11.463528
10.316123,0.152737,1.879319,0.431013,0.431013,25.881619
10.676094,0.136194,2.564703,0.688872,0.688872,32.151229
11.092195,0.067905,3.247719,0.953835,0.953835,36.884149
11.512136,0.050785,3.767213,1.269071,1.269071,40.758435
11.872237,0.053473,4.538102,1.502066,1.502066,56.903268
12.876985,0.054113,4.983707,2.075064,2.075064,60.404397
12.500596,0.053377,6.319691,2.300443,2.300443,65.253254
12.953690,0.054561,7.553625,97.991084,97.991084,165.460397
8.933802,0.040321,5.349983,1.944664,1.944664,42.391224
11.330343,0.023520,8.447588,2.219291,2.219291,52.769587
9.338607,0.071041,0.870410,0.005184,0.005184,10.289818
10.012150,0.246435,1.925879,0.004192,0.004192,12.192912
10.534205,0.392516,9.934230,0.456613,0.456613,41.460460
9.282510,0.363524,11.782156,0.872266,0.872266,48.922180
8.953034,0.397573,12.930585,0.981292,0.981292,60.503342
11.818380,0.521671,20.682133,1.046445,1.046445,74.239858
11.772075,0.609928,16.267265,1.788085,1.788085,73.872749
11.434056,0.373636,17.512624,1.333424,1.333424,73.095812
12.819257,0.359172,24.791078,1.704276,1.704276,84.992626
13.074268,0.454693,34.276087,43.259074,43.259074,138.226698
10.407036,0.344996,31.382613,1.510962,1.510962,85.205717
10.921474,0.435621,23.028145,1.675092,1.675092,78.045247
10.902594,0.401924,25.339374,1.804982,1.804982,80.116152
11.570249,0.299588,25.754226,1.720884,1.720884,83.628033
11.090500,0.230467,24.481475,1.930359,1.930359,84.504460
14.767152,0.316067,41.258027,2.402653,2.402653,123.966081
15.934397,0.504774,47.786936,2.364764,2.364764,127.209639
15.954877,0.419973,47.071440,3.331047,3.331047,132.341124
11.988590,0.463494,38.031524,3.118917,3.118917,131.294872
11.991727,0.384260,33.226443,2.948387,2.948387,127.394730
13.373215,0.386437,31.776281,3.136325,3.136325,118.097179
13.351807,0.331428,32.571171,4.182002,4.182002,127.859024
17.975510,0.235395,42.089556,4.385812,4.385812,135.692237
18.517756,0.527302,52.548081,5.152190,5.152190,256.897293
19.153220,0.588455,53.870144,4.670967,4.670967,163.286517
10.373819,0.194243,25.910932,5.323551,5.323551,105.530982
8.026783,0.222851,20.819959,4.557302,4.557302,93.074994
8.861961,0.156162,21.650529,4.315124,4.315124,95.126827
8.377251,0.085217,20.006286,4.365939,4.365939,96.492923
9.622770,0.056321,0.621671,0.005536,0.005536,10.310682
9.930422,0.212739,1.599795,0.004416,0.004416,11.751340
10.361979,0.278628,2.214042,0.457541,0.457541,27.850251
10.693535,0.252611,3.101125,0.739049,0.739049,31.263892
10.275674,0.135201,3.126117,1.028588,1.028588,35.986891
11.352007,0.100130,4.378100,1.385488,1.385488,36.920119
11.773484,0.072417,5.402944,1.735957,1.735957,39.525430
12.185361,0.067713,5.926278,2.490781,2.490781,44.416496
12.632598,0.045633,6.653871,2.953187,2.953187,49.535405
13.125692,0.043392,7.136053,61.023062,61.023062,118.513761
13.650594,0.041824,8.261891,3.140165,3.140165,68.819058
9.502161,0.076897,0.898666,0.004864,0.004864,10.486780
10.283898,0.192066,1.757077,0.004288,0.004288,12.241265
10.659903,0.261059,2.345820,0.558886,0.558886,32.776838
11.379176,0.226979,3.188197,0.949259,0.949259,39.908379
11.600874,0.074881,3.655915,1.365936,1.365936,42.796477
11.977903,0.065985,4.288403,1.614963,1.614963,39.162994
12.333843,0.056416,5.235902,1.753909,1.753909,58.758395
12.853849,0.047905,6.079560,2.535422,2.535422,65.860784
13.447520,0.050177,7.225398,3.201542,3.201542,67.046238
14.240073,0.052929,8.160097,50.324759,50.324759,122.463665
12.769656,0.049600,7.726172,2.346172,2.346172,97.203397
9.477777,0.063072,0.726505,0.005024,0.005024,10.276954
9.694004,0.226147,1.518322,0.004480,0.004480,11.449833
10.137785,0.420805,2.722976,0.275908,0.275908,28.584661
10.607102,0.366405,11.277894,0.737513,0.737513,45.160954
11.281958,0.469542,15.403895,0.968812,0.968812,61.552797
10.371771,0.459878,17.263789,1.139182,1.139182,70.973613
12.333555,0.542023,23.928221,1.319696,1.319696,77.589373
12.748920,0.543495,27.762026,1.397328,1.397328,88.088825
13.368832,0.550662,31.991837,1.651347,1.651347,95.274543
13.703651,0.518726,35.889036,77.873152,77.873152,183.068965
13.581602,0.431013,39.752249,1.659316,1.659316,100.807345
14.074535,0.542343,45.788993,1.949048,1.949048,110.808616
14.492556,0.574759,47.928795,1.890487,1.890487,128.847999
15.129972,0.583559,48.653508,2.385885,2.385885,138.436914
15.520473,0.582503,50.087989,2.155673,2.155673,157.316339
16.190369,0.582311,51.565127,2.426333,2.426333,148.694316
16.214754,0.600647,52.047116,2.472222,2.472222,264.749460
8.750376,0.390565,24.204320,3.129093,3.129093,99.423073
16.632070,0.591751,51.276931,3.225831,3.225831,149.003088
17.145324,0.572615,55.535510,3.665196,3.665196,162.855669
12.334611,0.418053,44.159535,3.775053,3.775053,157.405557
17.815412,0.562279,48.236927,5.035196,5.035196,197.694036
16.850281,0.767529,40.664741,3.842126,3.842126,159.459789
17.199565,0.548582,52.654004,5.072925,5.072925,191.978609
16.596742,0.602471,46.888207,4.072401,4.072401,189.937593
16.687271,0.640584,50.281815,4.255443,4.255443,208.352980
17.263854,0.606183,51.086338,5.478882,5.478882,205.838775
18.318107,0.574823,53.069016,5.798534,5.798534,202.544656
11.437928,0.441062,34.922592,4.621560,4.621560,178.584594
11.561034,0.442885,33.112619,5.800774,5.800774,185.144480
11.386376,0.422309,32.317729,6.360556,6.360556,191.640238
8.681320,0.344932,22.838192,4.619703,4.619703,148.337257
16.311651,0.606023,38.964721,7.187029,7.187029,189.919193
11.209733,0.524807,29.368606,4.629623,4.629623,161.194882
10.605631,0.621319,33.250381,5.006331,5.006331,179.338747
10.710944,0.561190,33.253581,6.914450,6.914450,207.357033
8.252162,0.476550,20.992218,4.919514,4.919514,157.262067
9.713876,0.604263,29.269853,6.771697,6.771697,180.682251
10.016055,0.570023,27.915437,5.883398,5.883398,170.643635
13.645827,0.742217,38.141415,6.587246,6.587246,216.555671
7.427768,0.584647,19.409128,2.970019,2.970019,160.122198
12.015536,0.892682,34.277241,5.984424,5.984424,196.769068
10.408764,0.876554,25.828404,3.269223,3.269223,178.097644
13.902085,0.819466,43.020417,4.579351,4.579351,212.761482
9.756180,0.689000,28.568501,6.431885,6.431885,194.381871
10.417692,0.649320,26.341722,5.301855,5.301855,190.387392
10.194137,0.657160,26.312378,6.808305,6.808305,192.610522
9.339663,0.571399,23.653210,6.114985,6.114985,180.925199
12.397012,0.758569,32.586788,8.672071,8.672071,199.338378
10.813025,0.590215,27.358407,5.741797,5.741797,199.320491
10.323899,0.613447,26.754144,7.349432,7.349432,196.200133
