#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,34.046347,3.585197,0.004672,12.855009,5.729032,0.003296,43.197053
1403637130588318976.000000,0.000000,0.000000,24.688598,5.109600,0.095617,4.446168,4.257749,0.001216,33.951338
1403637130638319104.000000,0.000000,0.000000,25.857092,5.077919,0.097218,5.145473,4.052306,0.001088,34.912278
1403637130688318976.000000,0.000000,0.000000,22.593979,3.835568,0.090625,5.509157,4.271670,0.001312,30.452510
1403637130738319104.000000,0.000000,0.000000,27.176564,6.911895,0.134145,5.604230,4.575674,0.001856,40.547868
1403637130788318976.000000,0.000000,0.000000,28.087200,6.965431,0.133986,4.822332,4.915454,0.486470,58.476861
1403637130838319104.000000,0.000000,0.000000,23.022528,6.247246,0.175010,6.272398,5.284451,0.001216,42.322707
1403637130888318976.000000,0.000000,0.000000,23.393285,6.814645,0.130498,5.115552,4.220309,0.001088,43.566242
1403637130938319104.000000,0.000000,0.000000,23.378117,6.767445,0.107265,5.687719,5.095040,0.001344,44.340844
1403637130988318976.000000,0.000000,0.000000,22.695132,6.930327,0.127329,5.894409,3.845361,0.001472,44.314251
1403637131038319104.000000,0.000000,0.000000,22.994689,6.840565,0.132450,5.787625,4.876189,0.001440,44.589327
1403637131088318976.000000,0.000000,0.000000,24.317425,7.012792,0.142178,5.990091,5.392164,0.450022,47.143855
1403637131138319104.000000,0.000000,0.000000,23.542375,6.837622,0.148226,5.955947,5.456196,0.001120,44.094664
1403637131188318976.000000,0.000000,0.000000,24.114542,6.976344,0.129698,5.955594,4.266230,0.001152,46.046369
1403637131238319104.000000,0.000000,0.000000,23.410981,6.782485,0.106274,5.322595,5.514917,0.001088,44.115048
1403637131288318976.000000,0.000000,0.000000,24.174286,6.973591,0.129378,5.277570,5.778760,0.001312,46.304773
1403637131338319104.000000,0.000000,0.000000,22.096853,6.965336,0.131778,5.578437,4.078676,0.472518,45.055892
1403637131388318976.000000,0.000000,0.000000,21.956307,3.836144,0.131265,3.256808,4.893278,0.001472,41.568873
1403637131438319104.000000,0.000000,0.000000,24.499923,6.970136,0.109410,6.006796,4.048978,0.001184,45.877791
1403637131488318976.000000,0.000000,0.000000,24.126382,6.951959,0.134882,5.777001,4.294998,0.001280,46.209731
1403637131538319104.000000,0.000000,0.000000,26.283433,6.942167,0.101762,6.288367,5.745640,0.001600,48.815651
1403637131588318976.000000,0.000000,0.000000,24.092462,7.215930,0.126626,6.065932,4.745531,0.482918,45.552058
1403637131638319104.000000,0.000000,0.000000,24.295120,3.243241,0.073921,5.456420,4.980798,0.001216,39.959796
1403637131688318976.000000,0.000000,0.000000,24.187183,6.846165,0.137121,6.761909,5.529061,0.001344,45.253847
1403637131738319104.000000,0.000000,0.000000,25.302877,3.014054,0.067873,6.654867,5.683304,0.001312,42.451699
1403637131788318976.000000,0.000000,0.000000,24.015629,6.979607,0.132290,5.263746,4.556569,0.001312,47.395698
1403637131838319104.000000,0.000000,0.000000,24.592500,7.039225,0.132354,5.343714,5.415140,0.473894,47.199439
1403637131888318976.000000,0.000000,0.000000,23.871595,5.995915,0.133282,4.769851,4.247606,0.001248,44.611887
1403637131938319104.000000,0.000000,0.000000,23.768138,7.135098,0.138530,3.756975,5.290690,0.001376,47.582004
1403637131988318976.000000,0.000000,0.000000,26.231624,7.343388,0.134402,5.276354,4.601306,0.001344,50.714043
1403637132038319104.000000,0.000000,0.000000,25.757731,6.597970,0.125665,5.870218,5.558758,0.001440,46.632553
1403637132088318976.000000,0.000000,0.000000,24.234064,6.965400,0.129762,5.654247,5.699976,0.452486,46.886347
1403637132138319104.000000,0.000000,0.000000,29.494673,6.417777,0.151490,4.256150,5.252386,0.001472,49.172712
1403637132188318976.000000,0.000000,0.000000,24.716502,3.209800,0.075617,6.745524,4.997279,0.001312,41.160420
1403637132238319104.000000,0.000000,0.000000,25.771522,5.976394,0.124225,6.313295,5.167329,0.001216,45.709309
1403637132288318976.000000,0.000000,0.000000,25.136059,6.956087,0.140385,6.399728,5.946538,0.001312,47.690773
1403637132338319104.000000,0.000000,0.000000,24.258544,6.892343,0.134977,5.989547,5.574470,0.455621,47.359761
1403637132388318976.000000,0.000000,0.000000,23.549543,2.977573,0.070240,5.540742,5.569350,0.001312,40.321049
1403637132438319104.000000,0.000000,0.000000,23.819754,3.927441,0.138434,5.841737,4.924158,0.001248,43.695524
1403637132488318976.000000,0.000000,0.000000,23.384965,6.805526,0.152354,6.200909,5.105056,0.001408,46.377093
1403637132538319104.000000,0.000000,0.000000,22.797502,7.077144,0.128898,6.247534,5.271234,0.001312,46.599528
1403637132588318976.000000,0.000000,0.000000,25.757251,6.870550,0.138081,6.532466,5.535333,0.459238,49.242473
1403637132638319104.000000,0.000000,0.000000,22.954592,2.939397,0.067072,5.792841,5.222657,0.001312,41.232292
1403637132688318976.000000,0.000000,0.000000,22.788286,6.908694,0.136994,5.201729,5.368804,0.001344,44.632496
1403637132738319104.000000,0.000000,0.000000,23.062593,7.061080,0.134594,5.402788,6.442929,0.001408,46.175362
1403637132788318976.000000,0.000000,0.000000,23.067745,7.057369,0.139682,5.767368,5.009983,0.001344,46.253796
1403637132838319104.000000,0.000000,0.000000,24.719190,7.108057,0.128802,5.449636,6.004747,0.520806,48.736643
1403637132888318976.000000,0.000000,0.000000,24.716213,3.501164,0.076065,6.289102,6.415185,0.001440,43.382112
1403637132938319104.000000,0.000000,0.000000,24.692885,6.893335,0.133666,0.093889,10.014846,0.088449,46.379045
1403637132988318976.000000,0.000000,0.000000,25.418879,6.850198,0.135105,0.077249,10.334913,0.077569,48.434591
1403637133038319104.000000,0.000000,0.000000,23.250275,6.864374,0.137282,0.073089,12.613022,0.746858,45.448089
1403637133088318976.000000,0.000000,0.000000,23.969132,7.123962,0.132514,12.640511,6.406352,0.001824,47.470770
1403637133138319104.000000,0.000000,0.000000,24.016749,3.492747,0.129954,3.800400,4.352919,0.001120,44.732785
1403637133188318976.000000,0.000000,0.000000,23.424709,7.121882,0.134370,3.980146,4.874717,0.001216,45.217815
1403637133238319104.000000,0.000000,0.000000,23.323268,6.747989,0.147234,3.644014,4.901789,0.001376,45.521659
1403637133288318976.000000,0.000000,0.000000,24.039725,7.479262,0.150434,3.826960,5.112736,0.001248,49.778288
1403637133338319104.000000,0.000000,0.000000,24.500659,3.825936,0.159266,3.218472,5.171809,0.770762,32.066962
1403637133388318976.000000,0.000000,0.000000,24.837687,7.218683,0.146274,5.284546,6.611059,0.001536,47.669109
1403637133438319104.000000,0.000000,0.000000,26.453067,7.629376,0.120673,4.524728,5.222210,0.001312,39.732466
1403637133488318976.000000,0.000000,0.000000,23.051425,7.092281,0.158498,5.113024,6.865334,0.001440,53.985188
1403637133538319104.000000,0.000000,0.000000,24.284912,5.549446,0.136194,5.042463,5.918314,0.001376,42.454100
1403637133588318976.000000,0.000000,0.000000,24.840791,7.258043,0.137154,3.668302,5.747560,0.001344,45.454074
1403637133638319104.000000,0.000000,0.000000,24.037581,6.882390,0.134370,3.872657,5.881482,1.178095,44.168618
1403637133688318976.000000,0.000000,0.000000,24.979929,7.248283,0.096993,7.280379,7.718913,0.001440,45.461178
1403637133738319104.000000,0.000000,0.000000,26.140840,8.112293,0.140130,4.438743,6.678963,0.001056,47.721654
1403637133788318976.000000,0.000000,0.000000,25.625761,8.171431,0.120322,4.188916,6.909335,0.001632,50.184501
1403637133838319104.000000,0.000000,0.000000,25.853380,7.576831,0.139746,4.095731,6.958359,0.001056,47.382642
