#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015136,3,1,0,397
0.004960,4,1,0,542
0.225410,5,1,0,672
0.321860,6,1,0,1144
0.430021,7,1,0,1659
0.521702,8,1,0,2229
0.545574,9,1,0,2584
0.846091,10,1,0,2909
1.001292,0,0,0,0
59.072672,0,0,0,0
1.525042,0,0,0,0
1.088845,0,0,0,0
1.286415,0,0,0,0
1.378769,0,0,0,0
1.595123,0,0,0,0
1.912535,0,0,0,0
1.919127,0,0,0,0
2.172570,0,0,0,0
2.064120,0,0,0,0
2.170970,0,0,0,0
2.632607,0,0,0,0
4.065361,0,0,0,0
4.125713,0,0,0,0
4.275636,0,0,0,0
4.344564,0,0,0,0
3.740941,0,0,0,0
3.760109,0,0,0,0
4.255219,0,0,0,0
4.191858,0,0,0,0
4.365492,0,0,0,0
3.171622,0,0,0,0
3.148966,0,0,0,0
3.308743,0,0,0,0
6.001416,0,0,0,0
4.119121,0,0,0,0
4.976060,0,0,0,0
4.350196,0,0,0,0
6.755057,0,0,0,0
4.228786,0,0,0,0
6.861618,0,0,0,0
4.142641,0,0,0,0
5.059196,3,1,0,468
5.852742,4,1,0,571
0.005536,5,1,0,699
0.004768,6,1,0,828
0.238563,7,1,0,926
0.500934,8,1,0,1027
0.739176,9,1,0,1152
0.865323,10,1,0,1279
0.963308,0,0,0,0
0.939627,3,1,0,485
1.017452,4,1,0,633
42.598396,5,1,0,770
1.542131,6,1,0,894
0.005280,7,1,0,1024
0.004544,8,1,0,1156
0.459718,9,1,0,1291
0.650984,10,1,0,1402
0.742345,0,0,0,0
0.763913,3,1,0,684
0.942027,4,1,0,1062
0.984588,5,1,0,1381
1.085613,6,1,0,2089
68.522195,7,1,0,2704
1.417617,8,1,0,3186
0.006112,9,1,0,3794
0.005408,10,1,0,4459
0.253411,0,0,0,0
0.923755,0,0,0,0
0.990156,0,0,0,0
1.123149,0,0,0,0
1.622868,0,0,0,0
1.669908,0,0,0,0
1.604883,0,0,0,0
73.173451,0,0,0,0
1.641524,0,0,0,0
1.723285,0,0,0,0
1.973016,0,0,0,0
2.049880,0,0,0,0
1.767445,0,0,0,0
2.726753,0,0,0,0
2.581407,0,0,0,0
2.645696,0,0,0,0
2.958243,0,0,0,0
3.547499,0,0,0,0
3.883407,0,0,0,0
5.014940,0,0,0,0
5.257375,0,0,0,0
5.168254,0,0,0,0
4.647576,0,0,0,0
5.261311,0,0,0,0
4.049169,0,0,0,0
5.450433,0,0,0,0
4.462934,0,0,0,0
6.353068,0,0,0,0
4.545526,0,0,0,0
6.292171,0,0,0,0
4.651896,0,0,0,0
5.996264,0,0,0,0
5.529410,0,0,0,0
3.659244,0,0,0,0
3.965136,0,0,0,0
3.925103,0,0,0,0
3.875279,0,0,0,0
3.893103,0,0,0,0
7.080533,0,0,0,0
7.463737,0,0,0,0
5.200990,0,0,0,0
6.401069,0,0,0,0
6.089385,0,0,0,0
8.129665,0,0,0,0
6.723280,0,0,0,0
8.035904,0,0,0,0
5.860519,0,0,0,0
6.464461,0,0,0,0
7.170037,0,0,0,0
5.713060,0,0,0,0
5.678404,0,0,0,0
6.557999,0,0,0,0
4.454645,0,0,0,0
5.647939,0,0,0,0
6.255563,0,0,0,0
5.697956,0,0,0,0
6.682672,0,0,0,0
7.552507,0,0,0,0
5.156670,0,0,0,0
8.800905,0,0,0,0
3.889647,0,0,0,0
8.743304,0,0,0,0
8.091713,0,0,0,0
5.425377,0,0,0,0
6.791025,0,0,0,0
7.153494,0,0,0,0
5.579171,0,0,0,0
5.714949,0,0,0,0
9.820949,0,0,0,0
7.705085,0,0,0,0
6.521486,0,0,0,0
8.386852,0,0,0,0
10.338332,0,0,0,0
8.800713,0,0,0,0
10.388604,0,0,0,0
7.197398,0,0,0,0
7.304599,0,0,0,0
9.902582,0,0,0,0
8.233123,0,0,0,0
8.941355,0,0,0,0
9.855062,0,0,0,0
8.333060,0,0,0,0
10.417181,0,0,0,0
12.406965,0,0,0,0
8.723785,0,0,0,0
9.195598,0,0,0,0
10.776449,0,0,0,0
7.768925,0,0,0,0
8.829802,0,0,0,0
6.847314,0,0,0,0
8.503238,0,0,0,0
10.278011,0,0,0,0
7.671676,0,0,0,0
12.952987,0,0,0,0
12.059761,0,0,0,0
12.334932,0,0,0,0
9.243567,0,0,0,0
11.301000,0,0,0,0
11.018180,0,0,0,0
8.828490,0,0,0,0
10.177530,0,0,0,0
11.373832,0,0,0,0
12.061457,0,0,0,0
11.279719,0,0,0,0
9.070957,0,0,0,0
9.048013,0,0,0,0
9.615411,0,0,0,0
12.684696,0,0,0,0
10.436477,0,0,0,0
10.259323,0,0,0,0
11.195846,0,0,0,0
10.163130,0,0,0,0
9.916983,0,0,0,0
11.801550,0,0,0,0
6.936723,0,0,0,0
6.616239,0,0,0,0
5.474338,0,0,0,0
9.046125,0,0,0,0
7.318519,0,0,0,0
8.734217,0,0,0,0
5.752484,0,0,0,0
10.092793,0,0,0,0
8.451142,0,0,0,0
7.623259,0,0,0,0
8.282275,0,0,0,0
9.067565,0,0,0,0
6.478349,0,0,0,0
6.867666,0,0,0,0
8.105922,0,0,0,0
8.332388,0,0,0,0
5.941383,0,0,0,0
6.375116,0,0,0,0
9.031692,0,0,0,0
10.977636,0,0,0,0
10.245307,0,0,0,0
10.012345,0,0,0,0
10.506590,0,0,0,0
6.340172,0,0,0,0
9.154286,0,0,0,0
9.552115,0,0,0,0
9.660883,0,0,0,0
9.417041,0,0,0,0
9.559475,0,0,0,0
11.498282,0,0,0,0
9.297392,0,0,0,0
10.915714,0,0,0,0
9.368145,0,0,0,0
10.324220,0,0,0,0
10.689825,0,0,0,0
5.291808,0,0,0,0
5.002140,0,0,0,0
6.843154,0,0,0,0
7.966272,0,0,0,0
7.515738,0,0,0,0
8.324612,0,0,0,0
10.034840,0,0,0,0
5.029468,0,0,0,0
5.305056,0,0,0,0
6.525230,0,0,0,0
7.142614,0,0,0,0
6.915667,0,0,0,0
7.193078,0,0,0,0
13.182142,0,0,0,0
8.431909,0,0,0,0
8.648552,0,0,0,0
8.617319,0,0,0,0
8.460518,0,0,0,0
11.894158,0,0,0,0
10.261403,0,0,0,0
7.913695,0,0,0,0
8.799434,0,0,0,0
10.130649,0,0,0,0
7.560987,0,0,0,0
9.983096,0,0,0,0
9.748373,0,0,0,0
9.379568,0,0,0,0
6.481710,0,0,0,0
5.957095,0,0,0,0
11.735917,0,0,0,0
8.405700,0,0,0,0
10.261883,0,0,0,0
11.820718,0,0,0,0
10.454557,0,0,0,0
8.140833,0,0,0,0
11.646988,0,0,0,0
7.814302,0,0,0,0
7.708605,0,0,0,0
9.769878,0,0,0,0
8.780266,0,0,0,0
9.701173,0,0,0,0
8.245283,0,0,0,0
9.963128,0,0,0,0
7.835166,0,0,0,0
9.811638,0,0,0,0
8.133666,0,0,0,0
8.525414,0,0,0,0
12.500982,0,0,0,0
12.417206,0,0,0,0
10.514622,0,0,0,0
14.356428,0,0,0,0
8.061345,0,0,0,0
7.429465,0,0,0,0
7.484378,0,0,0,0
9.594035,0,0,0,0
11.043460,0,0,0,0
12.080913,0,0,0,0
12.677400,0,0,0,0
11.676428,0,0,0,0
14.456493,0,0,0,0
15.799294,0,0,0,0
11.794958,0,0,0,0
14.104041,0,0,0,0
12.294004,0,0,0,0
17.387889,0,0,0,0
12.963708,0,0,0,0
14.201291,0,0,0,0
12.096433,0,0,0,0
15.326360,0,0,0,0
11.787342,0,0,0,0
17.023052,0,0,0,0
12.102226,0,0,0,0
13.738149,0,0,0,0
11.435338,0,0,0,0
17.765238,0,0,0,0
14.818995,0,0,0,0
16.917515,0,0,0,0
11.789806,0,0,0,0
16.769961,0,0,0,0
10.943588,0,0,0,0
16.588359,0,0,0,0
16.264100,0,0,0,0
15.417529,0,0,0,0
16.495718,0,0,0,0
11.877583,0,0,0,0
15.835006,0,0,0,0
11.215591,0,0,0,0
15.829022,0,0,0,0
12.758170,0,0,0,0
12.713561,0,0,0,0
19.317065,0,0,0,0
14.525487,0,0,0,0
13.023804,0,0,0,0
19.863567,0,0,0,0
14.827666,0,0,0,0
21.515395,0,0,0,0
15.679901,0,0,0,0
19.446218,0,0,0,0
19.513546,0,0,0,0
18.188315,0,0,0,0
22.043529,0,0,0,0
15.943328,0,0,0,0
18.300700,0,0,0,0
17.201359,0,0,0,0
19.230535,0,0,0,0
18.662017,0,0,0,0
17.118254,0,0,0,0
18.678913,0,0,0,0
24.121858,0,0,0,0
19.800622,0,0,0,0
23.624636,0,0,0,0
18.219035,0,0,0,0
18.303516,0,0,0,0
11.500075,0,0,0,0
10.336541,0,0,0,0
11.345320,0,0,0,0
9.614419,0,0,0,0
12.183922,0,0,0,0
13.396225,0,0,0,0
11.152870,0,0,0,0
19.058917,0,0,0,0
18.878595,0,0,0,0
18.960804,0,0,0,0
17.790134,0,0,0,0
13.178270,0,0,0,0
19.050949,0,0,0,0
16.452934,0,0,0,0
16.929452,0,0,0,0
19.199687,0,0,0,0
18.279100,0,0,0,0
13.910823,0,0,0,0
19.349609,0,0,0,0
22.146154,0,0,0,0
17.605524,0,0,0,0
22.726898,0,0,0,0
21.274400,0,0,0,0
17.388305,0,0,0,0
24.536039,0,0,0,0
19.086726,0,0,0,0
17.256367,0,0,0,0
26.307741,0,0,0,0
18.716802,0,0,0,0
19.504555,0,0,0,0
15.853631,0,0,0,0
23.788702,0,0,0,0
22.596176,0,0,0,0
20.764442,0,0,0,0
25.413522,0,0,0,0
26.531840,0,0,0,0
23.676285,0,0,0,0
27.385994,0,0,0,0
16.810091,0,0,0,0
23.207672,0,0,0,0
23.354873,0,0,0,0
24.481831,0,0,0,0
23.990753,0,0,0,0
24.153603,0,0,0,0
25.307793,0,0,0,0
21.129342,0,0,0,0
18.413245,0,0,0,0
21.309121,0,0,0,0
23.253689,0,0,0,0
25.263344,0,0,0,0
23.823231,0,0,0,0
26.071194,0,0,0,0
28.678202,0,0,0,0
28.566168,0,0,0,0
29.624677,0,0,0,0
27.078918,0,0,0,0
26.603617,0,0,0,0
27.358730,0,0,0,0
27.364298,0,0,0,0
30.201964,0,0,0,0
32.975949,0,0,0,0
28.244020,0,0,0,0
29.246529,0,0,0,0
33.468787,0,0,0,0
30.409647,0,0,0,0
29.044094,0,0,0,0
31.318297,65535,65535,1071045583,1080161601
28.485975,5,32,-1073741824,1391706843
24.944620,65535,0,1072554756,1080191281
24.380070,1266351024,52,-2147483648,-1976097273
16.334309,65535,0,1072663097,1080234156
24.408807,656,-1263270949,0,390876384
24.682890,0,65520,-1077628380,1080131810
