#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.576760,0.137601,1.499795,0.014240,0.014240,11.238764
12.416059,0.364004,4.783388,0.004832,0.004832,17.573147
12.036374,0.654536,7.425309,0.330084,0.330084,61.244156
12.711838,0.713353,14.055280,1.170799,1.170799,75.178250
13.636458,0.571176,16.589743,1.539380,1.539380,75.507759
14.453493,0.512006,19.560404,1.978105,1.978105,83.596916
15.259966,0.526247,22.601594,2.422878,2.422878,92.082077
15.935559,0.521990,28.472643,2.953733,2.953733,125.765249
16.955027,0.517479,35.204919,2.996293,2.996293,128.236160
16.195370,0.744137,40.496122,104.494744,104.494744,232.458581
16.008840,0.716425,33.932168,3.385610,3.385610,135.305081
12.743423,0.616520,29.041098,3.921617,3.921617,126.422282
16.598031,0.809578,46.413187,4.495448,4.495448,156.826565
16.750833,0.794090,46.074399,4.548760,4.548760,155.886233
16.893811,0.765802,45.332918,5.353507,5.353507,157.824082
17.533274,0.815467,45.508696,4.984094,4.984094,162.602445
10.886504,0.562663,32.519830,5.580678,5.580678,146.435332
17.128694,0.764489,45.092051,6.056716,6.056716,172.086468
16.372780,0.829674,45.999870,5.986602,5.986602,197.255005
16.706704,0.829931,46.062175,6.213934,6.213934,333.635172
17.475578,0.811146,51.765319,6.868534,6.868534,217.925888
17.418169,0.639528,48.752896,8.228646,8.228646,216.319979
18.294373,0.707433,52.116746,6.754292,6.754292,210.465123
19.101870,0.675592,48.339004,7.628095,7.628095,205.576997
12.053783,0.464902,33.841030,8.754573,8.754573,189.962819
12.107607,0.394661,37.495220,9.508439,9.508439,208.928144
15.433185,0.487430,34.662065,7.538206,7.538206,201.006957
17.672092,0.789194,53.189752,9.148594,9.148594,220.937317
12.065270,0.628712,36.521320,5.610694,5.610694,206.579378
16.971412,0.906411,49.623660,7.002583,7.002583,223.644199
17.391097,0.882795,47.864502,6.743316,6.743316,235.550172
16.992916,0.828651,39.930354,7.066361,7.066361,218.132227
17.342840,0.874251,47.796501,6.536689,6.536689,232.655768
17.651645,0.676360,49.591243,7.859234,7.859234,235.426043
15.027484,0.516198,34.587344,8.234663,8.234663,213.457833
17.927775,0.753770,50.688184,7.221946,7.221946,261.427710
18.542216,0.744585,53.835104,7.822434,7.822434,249.674157
19.586869,0.704008,49.194694,10.603141,10.603141,238.662275
13.964559,0.564551,35.736158,9.940988,9.940988,218.178595
20.417182,0.814251,55.405523,11.697810,11.697810,261.847204
20.573825,0.768009,55.412852,14.824601,14.824601,264.700360
19.708790,0.726761,53.062038,13.729291,13.729291,267.560555
13.310022,0.659016,43.025273,11.048362,11.048362,256.391936
12.315993,0.638888,32.625143,15.798533,15.798533,222.875933
10.784550,0.532487,27.311189,15.580739,15.580739,216.301804
10.857000,0.584519,27.576984,16.892435,16.892435,217.445018
10.468451,0.527687,26.818414,9.183058,9.183058,210.801735
19.049901,0.774378,45.010290,16.889362,16.889362,265.258670
19.819768,0.876906,55.248274,11.028937,11.028937,581.400249
11.908725,1.206927,41.718377,12.534013,12.534013,247.632243
17.762462,1.084110,58.484346,14.372852,14.372852,267.477419
17.029588,0.864619,54.488040,18.199939,18.199939,267.784014
16.433773,1.085902,53.891456,16.614095,16.614095,264.501445
16.523214,0.973292,54.979854,16.339084,16.339084,273.582774
9.389141,0.753962,25.497790,14.780376,14.780376,216.484846
10.985865,0.790762,36.691754,15.481857,15.481857,236.954605
11.516656,0.725033,36.184227,15.468929,15.468929,237.698839
11.814836,0.679176,36.597001,18.085729,18.085729,231.474825
11.132363,0.674953,41.419685,16.523630,16.523630,241.075553
13.704011,0.814698,43.124954,15.887431,15.887431,266.154554
9.180274,0.669705,28.406978,16.338348,16.338348,221.038343
17.118326,0.858634,53.792864,16.072680,16.072680,272.286535
18.270052,0.909228,57.271755,11.701074,11.701074,270.147980
18.286148,0.728681,54.392231,10.555780,10.555780,267.230951
11.550256,0.590375,32.074128,14.763192,14.763192,282.472005
16.936723,0.766794,55.987707,14.245746,14.245746,273.206450
13.875725,0.690536,41.285028,10.086749,10.086749,270.075563
12.009334,1.054189,40.762013,14.970171,14.970171,259.883052
16.071785,0.767722,44.074214,15.797925,15.797925,261.065691
19.805495,0.881899,59.628841,16.625615,16.625615,288.123916
20.534304,0.840362,51.807239,17.554267,17.554267,281.680379
22.331062,0.862219,58.389785,13.412743,13.412743,290.702540
22.090772,0.803210,61.068698,20.788899,20.788899,289.436317
21.451084,0.671657,58.149653,13.217253,13.217253,284.218972
13.424136,0.669288,30.431676,17.417977,17.417977,243.099034
15.391329,0.854090,41.398309,11.156811,11.156811,272.304583
14.393491,1.059886,48.155801,16.147914,16.147914,286.101107
13.397543,0.718249,29.722163,12.860128,12.860128,245.597337
15.960199,0.937484,51.137886,12.044471,12.044471,281.465465
15.740869,0.841290,53.896993,11.598865,11.598865,277.783532
16.698737,0.926027,54.315334,11.861300,11.861300,273.184306
18.708905,0.822794,59.162563,24.170990,24.170990,291.007792
20.681410,0.816171,58.676508,20.286525,20.286525,289.050296
23.878794,0.962316,67.242599,17.264408,17.264408,289.870018
23.096864,0.991213,60.411218,16.828882,16.828882,280.817169
13.131524,0.576679,39.323147,23.200513,23.200513,250.771194
21.027462,0.841451,50.420853,20.661058,20.661058,281.710812
13.805900,0.977676,41.209858,22.089683,22.089683,267.417321
14.622903,0.880075,46.660902,22.723004,22.723004,282.701385
22.619291,0.978732,62.904465,19.859960,19.859960,285.972498
22.400280,0.770378,64.639398,19.074511,19.074511,296.289971
13.236742,0.627239,38.910150,19.472691,19.472691,242.390802
20.191196,0.932844,60.876375,20.598305,20.598305,279.866629
19.679126,0.902667,62.290025,16.585135,16.585135,288.383887
18.725258,0.916075,58.260887,20.363294,20.363294,275.575119
9.798170,0.633192,28.597093,19.149231,19.149231,229.312270
12.861376,0.781482,39.672463,18.785898,18.785898,258.731261
8.903983,0.638344,28.475332,11.332397,11.332397,224.082829
10.518884,0.800330,36.335749,12.019798,12.019798,239.854162
11.168683,0.902987,38.809061,14.982459,14.982459,255.099696
7.238074,0.650504,25.068729,14.827929,14.827929,226.699117
11.797683,0.771786,37.764919,18.576328,18.576328,261.904165
8.026372,0.472198,25.545823,14.387091,14.387091,233.731941
10.513699,0.602728,32.835129,12.731071,12.731071,262.810608
8.349896,0.476774,26.608044,14.614902,14.614902,239.167401
10.941961,0.549607,34.533039,16.232683,16.232683,262.102888
18.153251,0.863178,60.232880,12.977058,12.977058,286.495224
12.772543,0.615336,38.887717,15.211614,15.211614,258.076917
9.390197,0.527111,29.881909,19.770135,19.770135,237.720887
12.062487,0.711113,33.849798,19.510516,19.510516,239.765169
12.757759,0.673129,38.152060,19.095919,19.095919,240.153494
12.583293,0.606504,32.520278,20.553537,20.553537,235.506812
20.275549,0.977100,58.229367,20.508160,20.508160,274.121757
19.133774,0.909164,52.159787,18.681545,18.681545,278.752695
16.525550,0.976109,50.630616,19.557684,19.557684,266.299708
15.650307,0.958636,56.486945,16.575791,16.575791,270.041642
10.777446,0.953612,43.086682,20.221404,20.221404,260.277264
10.295457,0.851402,39.217930,17.207351,17.207351,237.928954
13.458024,1.029933,36.544392,12.557085,12.557085,232.419829
14.903739,1.140302,53.314713,11.761299,11.761299,246.696392
11.226892,1.113582,41.845098,12.240729,12.240729,230.993667
14.578998,1.060301,52.358254,11.648657,11.648657,262.550829
15.184030,1.109773,52.830228,11.388206,11.388206,242.590676
15.569698,0.944876,54.658026,12.507196,12.507196,267.344937
10.305025,0.760489,31.228934,12.435803,12.435803,212.555837
15.634371,0.929996,43.915844,13.436488,13.436488,255.445717
10.576484,0.826186,32.571575,13.139556,13.139556,222.781501
12.328378,0.920843,37.936826,9.640569,9.640569,233.451138
15.332063,1.048109,51.504675,10.021309,10.021309,264.081440
9.545527,0.842987,30.309306,9.837563,9.837563,226.141895
15.103996,0.969644,50.741370,10.562852,10.562852,272.605994
8.184358,0.689769,27.043025,9.476823,9.476823,226.601805
14.380980,1.019949,57.393516,9.728633,9.728633,282.472486
16.259115,0.986028,54.810348,14.682712,14.682712,275.271820
17.093557,0.853291,56.819461,17.378488,17.378488,281.505946
15.759045,0.675369,41.098177,17.984544,17.984544,277.120707
18.724138,0.804522,60.305393,11.792084,11.792084,284.832900
15.086748,0.597928,45.901725,18.340133,18.340133,268.986750
17.129750,0.719593,50.179635,15.663171,15.663171,273.984828
19.866936,0.920011,70.598897,15.796261,15.796261,297.415520
19.582101,0.825450,61.595233,15.716388,15.716388,278.129744
15.653155,0.626280,51.103998,14.680855,14.680855,278.339570
17.172822,0.606248,52.330029,20.539617,20.539617,274.315552
10.978537,0.560487,35.090518,15.255582,15.255582,239.238602
21.227881,0.858922,72.074244,20.847717,20.847717,302.022650
13.263814,0.571815,49.133925,19.901784,19.901784,260.852792
23.098080,0.788266,72.056932,25.708897,25.708897,289.870594
18.844843,0.623848,54.046147,24.473618,24.473618,286.828093
11.956053,0.452582,41.396421,22.617530,22.617530,244.973202
23.246882,0.701993,74.940263,27.129459,27.129459,297.942887
23.181505,0.763658,72.441608,24.281936,24.281936,292.382434
24.087053,0.707081,73.371828,20.306493,20.306493,293.300878
12.214456,0.540391,38.572258,23.789417,23.789417,245.569561
23.601767,0.872811,71.058679,18.179971,18.179971,294.838369
19.212879,0.610504,57.057736,19.207983,19.207983,287.740775
24.144110,0.846666,74.055517,19.446962,19.446962,308.595788
23.712904,0.690184,68.586745,21.190857,21.190857,310.923497
22.898078,0.801802,67.751469,20.916997,20.916997,300.627400
22.791197,0.785002,63.345462,24.447249,24.447249,292.285281
22.415896,0.756937,59.776586,22.209525,22.209525,284.643809
21.648559,0.642696,61.570528,20.789731,20.789731,286.783804
14.611223,0.468070,39.886386,21.470252,21.470252,272.325352
20.934118,0.631015,63.308695,26.139943,26.139943,292.283841
21.827697,0.752041,60.795575,18.619368,18.619368,282.885131
22.341175,0.683817,66.019800,25.327644,25.327644,298.707057
22.196661,0.839018,62.667342,25.749185,25.749185,292.964776
22.491352,0.911116,63.658650,25.976069,25.976069,294.107927
21.654351,0.957164,64.117696,25.471422,25.471422,297.356544
21.023014,0.881963,53.514620,26.440810,26.440810,283.921752
15.333023,0.761033,41.512007,27.060050,27.060050,273.588567
18.300932,0.721001,53.994210,25.376765,25.376765,281.161397
