#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015552,3,1,0,2441
0.004704,4,1,0,3055
0.468902,5,1,0,3749
1.648565,6,1,0,4375
1.909688,7,1,0,4897
2.544992,8,1,0,5461
3.012038,9,1,0,5925
2.880324,10,1,0,6443
3.595597,0,0,0,0
81.090613,0,0,0,0
4.161236,0,0,0,0
4.847965,0,0,0,0
5.623174,0,0,0,0
6.469713,0,0,0,0
6.525425,0,0,0,0
7.788641,0,0,0,0
8.787310,0,0,0,0
9.287604,0,0,0,0
10.482403,0,0,0,0
10.879336,0,0,0,0
11.258188,0,0,0,0
13.314438,0,0,0,0
14.071440,0,0,0,0
12.282810,0,0,0,0
12.749184,0,0,0,0
10.907657,0,0,0,0
12.182424,0,0,0,0
14.309715,0,0,0,0
11.750419,0,0,0,0
14.476629,0,0,0,0
11.846388,0,0,0,0
13.626602,0,0,0,0
11.860756,0,0,0,0
13.340391,0,0,0,0
13.716939,0,0,0,0
10.837288,0,0,0,0
12.873504,0,0,0,0
13.048003,0,0,0,0
10.517604,0,0,0,0
12.860609,0,0,0,0
12.843745,0,0,0,0
12.300314,0,0,0,0
11.859988,0,0,0,0
12.284634,0,0,0,0
12.727935,0,0,0,0
9.271700,0,0,0,0
12.049495,0,0,0,0
8.926447,0,0,0,0
10.406594,0,0,0,0
9.066545,0,0,0,0
11.815732,0,0,0,0
8.623020,0,0,0,0
11.180203,0,0,0,0
8.554347,0,0,0,0
9.710745,0,0,0,0
8.059108,0,0,0,0
10.730598,0,0,0,0
10.152415,0,0,0,0
10.290176,0,0,0,0
9.226068,0,0,0,0
7.795233,0,0,0,0
10.760103,0,0,0,0
9.585176,0,0,0,0
8.162118,0,0,0,0
8.770189,0,0,0,0
10.894184,0,0,0,0
7.193786,0,0,0,0
7.782274,0,0,0,0
7.798849,0,0,0,0
9.247412,0,0,0,0
6.893558,0,0,0,0
7.564702,0,0,0,0
8.097573,0,0,0,0
7.680992,0,0,0,0
5.245025,0,0,0,0
5.299234,0,0,0,0
6.109420,0,0,0,0
