#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,19.161935,6.798805,0.004128,17.486235,14.085776,0.002784,32.009713
1413393212305760512.000000,0.000000,0.000000,18.994606,8.372457,0.071649,9.832859,8.501194,0.001152,31.212070
1413393212355760384.000000,0.000000,0.000000,18.849868,11.762707,0.073824,11.372814,8.829710,0.001120,34.443630
1413393212405760512.000000,0.000000,0.000000,19.127343,14.741849,0.096705,9.432790,9.133490,0.000896,37.709432
1413393212455760384.000000,0.000000,0.000000,16.911795,15.617347,0.099297,9.246996,8.602475,0.724617,36.463400
1413393212505760512.000000,0.000000,0.000000,18.443303,18.795723,0.117570,10.611109,8.862031,0.001024,41.307172
1413393212555760384.000000,0.000000,0.000000,18.431238,18.912109,0.110082,8.980720,9.579992,0.001088,41.449831
1413393212605760512.000000,0.000000,0.000000,17.214008,18.753130,0.119586,9.930940,9.334964,0.001280,40.032885
1413393212655760384.000000,0.000000,0.000000,21.570926,18.993966,0.119713,9.985660,9.649304,0.001056,44.697999
1413393212705760512.000000,0.000000,0.000000,19.428242,18.781226,0.122465,9.348533,9.136786,0.001120,42.481747
1413393212755760384.000000,0.000000,0.000000,17.838207,18.874764,0.116706,9.165970,9.732762,0.665449,40.736989
1413393212805760512.000000,0.000000,0.000000,18.067554,18.798667,0.105601,10.301632,9.417078,0.001216,40.901471
1413393212855760384.000000,0.000000,0.000000,18.248228,18.959405,0.113057,8.825455,9.410709,0.001312,41.302500
1413393212905760512.000000,0.000000,0.000000,19.140271,18.458119,0.120226,8.371689,9.048753,0.000864,42.027565
1413393212955760384.000000,0.000000,0.000000,17.706142,18.845452,0.121442,8.056580,8.651564,0.000928,40.848191
1413393213005760512.000000,0.000000,0.000000,18.887692,18.790411,0.122017,8.491691,9.182898,0.001088,41.868172
1413393213055760384.000000,0.000000,0.000000,16.593808,18.787019,0.119169,9.948412,9.267572,0.649096,39.419565
1413393213105760512.000000,0.000000,0.000000,18.882412,18.849131,0.118370,10.571877,10.117694,0.001632,42.107214
1413393213155760384.000000,0.000000,0.000000,17.720093,18.968878,0.118305,9.190579,9.173715,0.001184,40.680956
1413393213205760512.000000,0.000000,0.000000,17.045333,18.719242,0.113633,9.981437,9.549783,0.001088,39.798673
1413393213255760384.000000,0.000000,0.000000,17.220727,18.708810,0.117249,9.495127,10.625221,0.001152,39.957204
1413393213305760512.000000,0.000000,0.000000,17.421882,16.390733,0.120706,8.880111,10.043902,0.001152,38.025596
1413393213355760384.000000,0.000000,0.000000,17.503739,18.631433,0.121122,8.623723,10.629669,0.649096,40.406425
1413393213405760512.000000,0.000000,0.000000,16.580623,18.717738,0.105985,10.339042,9.630808,0.001601,39.270283
1413393213455760384.000000,0.000000,0.000000,17.554299,18.817772,0.117761,8.539723,8.636524,0.000928,40.478330
1413393213505760512.000000,0.000000,0.000000,17.118518,15.555843,0.103297,10.174112,10.522371,0.001184,36.786508
1413393213555760384.000000,0.000000,0.000000,16.950868,18.374629,0.109634,8.686029,10.335137,0.001120,39.665360
1413393213605760512.000000,0.000000,0.000000,17.806175,18.574888,0.107650,8.827150,10.042270,0.694889,40.359033
1413393213655760384.000000,0.000000,0.000000,17.033397,18.684842,0.110049,9.392789,10.759079,0.001504,39.758705
1413393213705760512.000000,0.000000,0.000000,17.738110,18.820267,0.104609,9.904828,11.015209,0.001216,40.691197
1413393213755760384.000000,0.000000,0.000000,17.429626,19.000494,0.116577,7.894883,11.558640,0.001600,40.484954
1413393213805760512.000000,0.000000,0.000000,16.918420,18.910284,0.114370,8.432201,10.250592,0.001408,40.091381
1413393213855760384.000000,0.000000,0.000000,17.680350,18.880428,0.121729,8.002756,11.407438,0.779177,40.602652
