#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.133531,0.051329,0.601160,0.013920,0.013920,9.811108
9.790947,0.184195,1.910841,0.004256,0.004256,11.894560
10.338955,0.311524,7.038527,0.433126,0.433126,38.516294
10.630607,0.444998,14.157918,0.681033,0.681033,68.151093
11.295480,0.521895,15.124876,0.986317,0.986317,59.845509
12.017858,0.458566,17.560364,1.041870,1.041870,70.024014
11.322360,0.547719,19.950893,1.253681,1.253681,73.681023
11.321593,0.440134,16.192985,1.387442,1.387442,71.669348
11.386041,0.302692,20.659030,0.959437,0.959437,81.151363
12.721931,0.441702,31.466503,60.076712,60.076712,151.999004
12.915086,0.371749,33.073309,1.463699,1.463699,86.335593
13.949532,0.590408,32.904026,1.729752,1.729752,98.177801
13.572247,0.414501,27.696565,2.063260,2.063260,90.690404
11.059796,0.344773,23.467132,2.143325,2.143325,82.403124
11.477979,0.276387,25.036721,2.394528,2.394528,88.780650
15.038570,0.365893,40.375327,2.674564,2.674564,127.644372
15.231629,0.324357,42.822784,2.589699,2.589699,127.039085
12.268005,0.422054,33.421921,3.313196,3.313196,128.887077
17.813903,0.412198,36.916720,3.343020,3.343020,132.793722
17.508587,0.363781,34.095754,3.799955,3.799955,131.371206
16.011672,0.318532,30.360472,3.919765,3.919765,128.319678
18.456057,0.383973,47.440734,5.572939,5.572939,318.532572
19.179202,0.392517,50.836779,4.801632,4.801632,165.891831
18.128788,0.418150,47.846019,5.037603,5.037603,156.245301
14.872360,0.269860,35.479645,5.104485,5.104485,133.241248
18.685659,0.408358,47.413021,5.334759,5.334759,158.282608
14.398945,0.381637,45.009086,4.763040,4.763040,143.580330
19.425093,0.498823,44.948572,4.341659,4.341659,152.815847
17.480459,0.661225,46.103660,4.426524,4.426524,154.679872
16.489438,0.356069,45.100126,5.764237,5.764237,173.186969
14.011101,0.443622,37.402231,5.805966,5.805966,148.010022
11.442522,0.361956,29.974003,5.295623,5.295623,139.134543
14.535011,0.666281,40.771780,5.422888,5.422888,155.120261
14.671109,0.482855,44.169937,6.465975,6.465975,170.491380
14.534020,0.455110,44.203666,4.307194,4.307194,151.241426
15.252653,0.409222,43.217285,6.126867,6.126867,158.623093
10.215465,0.300324,28.934181,6.638777,6.638777,138.793738
11.520987,0.441542,32.314898,4.675935,4.675935,134.143308
14.132670,0.688618,45.765063,6.892477,6.892477,156.364663
13.701400,0.730186,47.154298,6.815355,6.815355,160.723728
13.382452,0.693930,43.563081,4.134040,4.134040,148.861938
13.895611,0.541543,45.769159,4.881761,4.881761,161.749918
7.921834,0.307972,20.272177,7.836490,7.836490,137.631546
12.724747,0.432454,31.025281,5.578187,5.578187,134.323374
15.335566,0.438502,41.199562,5.949200,5.949200,151.211729
