#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014336,3,1,0,700
0.004320,4,1,0,903
0.430053,5,1,0,1140
0.690057,6,1,0,1355
0.956301,7,1,0,1553
1.237936,8,1,0,1747
1.462131,9,1,0,1968
2.062011,10,1,0,2163
2.374015,0,0,0,0
80.334086,3,1,0,827
2.694372,4,1,0,1198
0.005409,5,1,0,1516
0.005056,6,1,0,1863
0.275299,7,1,0,1841
0.719849,8,1,0,1875
0.880459,9,1,0,2205
1.079022,10,1,0,2652
1.365938,0,0,0,0
0.960780,0,0,0,0
1.386706,0,0,0,0
59.292271,0,0,0,0
1.547061,0,0,0,0
1.664918,0,0,0,0
1.768183,0,0,0,0
2.303006,0,0,0,0
1.940729,0,0,0,0
2.242942,0,0,0,0
2.806597,0,0,0,0
2.584258,0,0,0,0
3.204811,0,0,0,0
3.082185,0,0,0,0
3.394797,0,0,0,0
4.442587,0,0,0,0
4.480892,0,0,0,0
4.421755,0,0,0,0
4.190584,3,1,0,666
4.636061,4,1,0,834
4.040566,5,1,0,1053
4.292472,6,1,0,1281
0.005440,7,1,0,1488
0.004928,8,1,0,1732
0.538695,9,1,0,1957
0.703017,10,1,0,2178
1.052014,0,0,0,0
1.354706,3,1,0,856
1.666422,4,1,0,1076
2.056443,5,1,0,1320
2.480768,6,1,0,1580
64.966299,7,1,0,1855
3.064073,8,1,0,2124
0.005504,9,1,0,2404
0.004448,10,1,0,2600
0.585640,0,0,0,0
0.941612,3,1,0,562
1.250672,4,1,0,866
1.845240,5,1,0,1170
1.802328,6,1,0,1498
2.182141,7,1,0,1930
2.963592,8,1,0,2334
54.385998,9,1,0,2726
2.429696,10,1,0,3067
0.005344,0,0,0,0
0.004704,0,0,0,0
0.235875,0,0,0,0
0.771338,0,0,0,0
0.966829,0,0,0,0
1.261105,0,0,0,0
1.139279,0,0,0,0
1.373810,0,0,0,0
1.543316,0,0,0,0
90.189224,0,0,0,0
1.862073,0,0,0,0
1.741975,0,0,0,0
2.217757,0,0,0,0
2.216638,0,0,0,0
2.693188,0,0,0,0
2.529281,0,0,0,0
2.937895,0,0,0,0
2.938663,0,0,0,0
3.351757,0,0,0,0
4.129239,0,0,0,0
3.839922,0,0,0,0
