#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403638127295097088.000000,0.000000,0.000000,23.094889,2.668230,0.004896,11.346049,2.796232,0.003200,31.655363
1403638127345096960.000000,0.000000,0.000000,19.182801,2.963594,0.086465,2.294273,3.115532,0.001376,25.972050
1403638127395097088.000000,0.000000,0.000000,19.382548,4.562497,0.080865,2.332801,2.673670,0.001088,27.793100
1403638127445096960.000000,0.000000,0.000000,21.315887,6.006262,0.104065,2.485187,2.850953,0.001120,31.421119
1403638127495097088.000000,0.000000,0.000000,19.385876,6.504189,0.127682,2.562149,2.692678,0.433958,30.400081
1403638127545096960.000000,0.000000,0.000000,21.834166,6.602622,0.128226,2.780615,2.712327,0.001152,32.804691
1403638127595097088.000000,0.000000,0.000000,20.916393,6.357051,0.123490,2.773992,2.880041,0.001408,31.415392
1403638127645096960.000000,0.000000,0.000000,20.573509,6.382683,0.124225,2.505188,3.092268,0.001184,31.298973
1403638127695097088.000000,0.000000,0.000000,19.891611,6.467900,0.127234,2.525252,3.356336,0.001216,30.679317
1403638127745096960.000000,0.000000,0.000000,18.801644,6.420795,0.131330,2.534084,3.100844,0.602312,29.372514
1403638127795097088.000000,0.000000,0.000000,19.559414,6.110135,0.124706,3.633875,3.501106,0.001120,29.837097
1403638127845096960.000000,0.000000,0.000000,21.453842,6.388347,0.125762,2.765351,3.335216,0.001024,32.306988
1403638127895097088.000000,0.000000,0.000000,18.728778,6.361595,0.126722,2.781416,3.483409,0.001152,29.499619
1403638127945096960.000000,0.000000,0.000000,20.561637,6.229305,0.124130,2.922282,3.541426,0.001120,30.943800
1403638127995097088.000000,0.000000,0.000000,18.053633,6.577470,0.123778,2.978539,3.520690,0.581545,28.785530
1403638128045096960.000000,0.000000,0.000000,20.306753,6.529981,0.121186,3.975992,3.513714,0.001376,31.348158
1403638128095097088.000000,0.000000,0.000000,19.450933,6.449052,0.120705,3.016619,4.097242,0.001184,30.060844
1403638128145096960.000000,0.000000,0.000000,18.837292,6.683519,0.127841,2.971626,4.036985,0.001280,29.707623
1403638128195097088.000000,0.000000,0.000000,19.373076,6.323162,0.121249,3.032267,3.896119,0.001216,29.777704
