#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015328,3,1,0,244
0.004640,4,1,0,448
0.165506,5,1,0,941
0.336901,6,1,0,1448
0.444710,7,1,0,2023
0.591912,8,1,0,2597
0.704649,9,1,0,3068
1.082063,10,1,0,3430
1.115823,0,0,0,0
46.973274,0,0,0,0
1.885978,0,0,0,0
2.151453,0,0,0,0
3.203211,0,0,0,0
2.988265,0,0,0,0
3.465039,0,0,0,0
3.965941,0,0,0,0
4.326170,0,0,0,0
4.248313,0,0,0,0
5.089125,0,0,0,0
5.407113,0,0,0,0
5.862255,0,0,0,0
7.232289,0,0,0,0
7.003870,0,0,0,0
6.972894,0,0,0,0
7.676968,0,0,0,0
7.488293,0,0,0,0
6.724123,0,0,0,0
6.771675,0,0,0,0
6.175732,0,0,0,0
6.745019,0,0,0,0
6.807164,0,0,0,0
6.814396,0,0,0,0
7.093632,0,0,0,0
7.300770,0,0,0,0
6.682330,0,0,0,0
6.255125,0,0,0,0
6.052050,0,0,0,0
6.764252,0,0,0,0
6.149331,0,0,0,0
3.495503,0,0,0,0
2.819526,0,0,0,0
3.879253,0,0,0,0
3.562576,0,0,0,0
5.299303,0,0,0,0
3.771442,0,0,0,0
3.931317,0,0,0,0
5.041668,0,0,0,0
3.966262,0,0,0,0
5.093349,0,0,0,0
6.665530,0,0,0,0
4.569629,0,0,0,0
6.602585,0,0,0,0
5.257703,0,0,0,0
6.088531,0,0,0,0
5.524651,0,0,0,0
9.140732,0,0,0,0
8.013804,0,0,0,0
5.483146,0,0,0,0
9.241212,0,0,0,0
9.160028,0,0,0,0
6.779227,0,0,0,0
6.884669,0,0,0,0
6.553945,0,0,0,0
6.769628,0,0,0,0
5.908240,0,0,0,0
6.470615,0,0,0,0
3.299180,0,0,0,0
7.188449,0,0,0,0
10.270955,0,0,0,0
8.299217,0,0,0,0
7.291970,0,0,0,0
5.999665,0,0,0,0
9.300350,0,0,0,0
4.891042,0,0,0,0
8.399345,0,0,0,0
8.370033,0,0,0,0
13.647704,0,0,0,0
17.259561,0,0,0,0
22.819828,0,0,0,0
12.745964,0,0,0,0
13.999069,0,0,0,0
13.037424,0,0,0,0
7.261378,0,0,0,0
6.418359,0,0,0,0
5.955568,0,0,0,0
11.481275,0,0,0,0
12.133635,0,0,0,0
11.747327,0,0,0,0
8.737174,0,0,0,0
7.303234,0,0,0,0
7.921995,0,0,0,0
10.268971,0,0,0,0
9.329598,0,0,0,0
17.788816,0,0,0,0
16.119674,0,0,0,0
15.347247,0,0,0,0
13.430550,0,0,0,0
10.077224,0,0,0,0
11.060374,0,0,0,0
10.342892,0,0,0,0
7.340291,0,0,0,0
5.335368,0,0,0,0
5.672845,0,0,0,0
1.836600,0,0,0,0
3.545776,0,0,0,0
6.542904,0,0,0,0
7.063455,0,0,0,0
7.141792,0,0,0,0
7.643624,0,0,0,0
9.460544,0,0,0,0
8.371025,0,0,0,0
8.106926,0,0,0,0
10.755281,0,0,0,0
10.443949,0,0,0,0
7.221730,0,0,0,0
11.438266,0,0,0,0
11.099670,0,0,0,0
10.590607,0,0,0,0
11.925249,0,0,0,0
7.014623,0,0,0,0
13.280788,0,0,0,0
12.969551,0,0,0,0
9.550433,0,0,0,0
16.154202,0,0,0,0
16.051096,0,0,0,0
17.075654,0,0,0,0
22.554801,0,0,0,0
21.733510,0,0,0,0
18.985761,0,0,0,0
20.871162,0,0,0,0
17.933746,0,0,0,0
17.881330,0,0,0,0
11.225367,0,0,0,0
19.545768,0,0,0,0
20.476277,0,0,0,0
23.656768,0,0,0,0
13.934460,0,0,0,0
20.345490,0,0,0,0
19.207812,0,0,0,0
15.691380,0,0,0,0
17.935538,0,0,0,0
15.559218,0,0,0,0
9.564514,0,0,0,0
11.046997,0,0,0,0
17.346666,0,0,0,0
13.424725,0,0,0,0
10.326859,0,0,0,0
4.289626,0,0,0,0
10.731217,0,0,0,0
25.815900,0,0,0,0
25.616698,0,0,0,0
17.292298,0,0,0,0
18.990433,0,0,0,0
20.489909,0,0,0,0
24.030373,0,0,0,0
18.387800,0,0,0,0
20.258065,0,0,0,0
19.238756,0,0,0,0
19.029409,0,0,0,0
15.147596,0,0,0,0
14.521540,0,0,0,0
20.521653,0,0,0,0
17.134120,0,0,0,0
20.279858,0,0,0,0
15.285647,0,0,0,0
20.099408,0,0,0,0
17.254185,0,0,0,0
18.152246,0,0,0,0
18.789758,0,0,0,0
12.903406,0,0,0,0
18.167222,0,0,0,0
20.051247,0,0,0,0
18.975745,0,0,0,0
14.630822,0,0,0,0
14.158847,0,0,0,0
12.281734,0,0,0,0
10.716049,0,0,0,0
12.765644,0,0,0,0
12.508201,0,0,0,0
12.069795,0,0,0,0
12.071107,0,0,0,0
12.891310,0,0,0,0
7.149216,0,0,0,0
12.632523,0,0,0,0
0.000000,0,0,0,0
22.802260,0,0,0,0
18.719709,0,0,0,0
12.316646,0,0,0,0
17.853489,0,0,0,0
20.446484,0,0,0,0
17.949010,0,0,0,0
20.629495,0,0,0,0
16.440830,0,0,0,0
21.838599,0,0,0,0
18.173173,0,0,0,0
18.921376,0,0,0,0
17.347819,0,0,0,0
19.107554,0,0,0,0
23.062968,0,0,0,0
19.180771,0,0,0,0
20.603350,0,0,0,0
21.226975,0,0,0,0
20.056911,0,0,0,0
18.881791,0,0,0,0
17.398795,0,0,0,0
16.766883,0,0,0,0
18.715453,0,0,0,0
15.026411,0,0,0,0
17.494316,0,0,0,0
18.991808,0,0,0,0
17.422828,0,0,0,0
17.365835,0,0,0,0
16.540991,0,0,0,0
21.384833,0,0,0,0
21.021948,0,0,0,0
26.398053,0,0,0,0
21.539683,0,0,0,0
24.409802,0,0,0,0
24.150503,0,0,0,0
21.428258,0,0,0,0
26.272035,0,0,0,0
21.653093,0,0,0,0
22.498672,0,0,0,0
25.541657,0,0,0,0
30.042966,0,0,0,0
38.046915,0,0,0,0
36.517742,0,0,0,0
30.686911,0,0,0,0
22.416495,0,0,0,0
27.865977,0,0,0,0
21.228607,0,0,0,0
21.706437,0,0,0,0
26.414757,0,0,0,0
30.347866,0,0,0,0
24.384969,0,0,0,0
26.441061,0,0,0,0
38.595914,0,0,0,0
32.466263,0,0,0,0
22.454543,0,0,0,0
20.758136,0,0,0,0
25.722044,0,0,0,0
25.712284,0,0,0,0
20.857722,0,0,0,0
19.321286,0,0,0,0
22.783156,0,0,0,0
24.006724,0,0,0,0
27.063086,0,0,0,0
22.933718,0,0,0,0
26.633448,0,0,0,0
27.801816,0,0,0,0
18.468729,0,0,0,0
26.286083,0,0,0,0
25.881758,0,0,0,0
25.654075,0,0,0,0
29.416494,0,0,0,0
21.891592,0,0,0,0
22.147756,0,0,0,0
26.964812,0,0,0,0
22.891285,0,0,0,0
24.991122,0,0,0,0
17.635694,0,0,0,0
22.484976,0,0,0,0
20.373395,0,0,0,0
26.692617,0,0,0,0
25.025875,0,0,0,0
36.464973,0,0,0,0
31.291143,0,0,0,0
33.522661,0,0,0,0
24.826576,0,0,0,0
40.046814,0,0,0,0
33.640551,0,0,0,0
35.018745,0,0,0,0
33.219265,0,0,0,0
30.492540,0,0,0,0
31.207174,0,0,0,0
29.048905,0,0,0,0
32.240116,0,0,0,0
30.529500,0,0,0,0
30.881506,0,0,0,0
33.215585,0,0,0,0
28.714020,0,0,0,0
34.918104,0,0,0,0
26.564776,0,0,0,0
23.539743,0,0,0,0
24.025733,0,0,0,0
24.326249,0,0,0,0
25.223350,0,-582654104,1323574043,735023523
23.363996,0,1094512132,1094793099,1080893598
28.594659,0,1708078290,-2066352786,-1439260721
