#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.248702,0.055105,0.593544,0.013984,0.013984,9.923111
10.037865,0.217507,3.863508,0.005152,0.005152,14.128672
11.044310,0.423782,6.493336,0.848172,0.848172,50.597680
10.452046,0.424902,6.498008,0.896620,0.896620,68.761991
12.517483,0.590632,19.312262,1.363346,1.363346,82.170494
13.925790,0.586600,23.973862,1.228177,1.228177,95.126286
14.325571,0.637544,31.288394,1.257425,1.257425,117.801890
14.216994,0.666217,36.794292,1.939354,1.939354,122.389985
9.302367,0.507399,24.395916,1.961499,1.961499,93.635194
9.233277,0.594920,24.437293,101.325026,101.325026,214.924779
7.939340,0.523175,24.454605,2.511010,2.511010,84.542430
8.372338,0.350213,23.759075,2.668996,2.668996,87.857963
7.636808,0.352197,21.925450,3.208492,3.208492,86.093908
9.049276,0.353668,29.789558,4.346811,4.346811,126.349975
8.751831,0.358277,31.274377,3.579569,3.579569,112.192726
9.620899,0.394342,34.136816,4.281402,4.281402,123.996503
9.192317,0.333892,32.441497,4.396923,4.396923,118.720366
10.201770,0.470759,37.661472,4.657120,4.657120,135.342449
10.067529,0.320580,33.747435,5.567403,5.567403,132.229222
11.182232,0.414085,39.571899,6.153780,6.153780,146.853997
8.785911,0.396326,29.293870,6.557401,6.557401,140.179090
9.622051,0.443430,31.106983,7.869291,7.869291,149.778645
9.261630,0.414054,31.792144,8.279281,8.279281,147.592472
9.017626,0.380838,28.805063,7.781450,7.781450,142.849207
8.861881,0.422470,30.289308,7.776457,7.776457,144.234570
8.550868,0.415878,28.602597,7.370469,7.370469,141.090207
8.342385,0.442918,28.094590,7.222307,7.222307,139.534538
7.845803,0.436102,25.860544,7.728969,7.728969,252.234343
6.044722,0.568520,21.670022,7.412484,7.412484,115.037276
7.793514,0.361189,25.761406,7.132801,7.132801,136.658499
12.040739,1.255921,32.567483,7.007295,7.007295,174.518021
12.440906,1.290225,32.610972,4.757824,4.757824,165.474571
12.665740,1.237841,35.953033,3.036265,3.036265,166.777725
7.093056,0.496551,15.983066,3.631954,3.631954,144.580079
6.967454,0.485639,15.932185,2.637220,2.637220,134.168833
8.535188,0.584712,22.436881,2.756102,2.756102,145.401210
7.594792,0.467974,20.143026,3.052841,3.052841,144.513966
7.533159,0.491079,22.173165,3.171787,3.171787,149.943672
6.259349,0.473895,19.791053,5.573996,5.573996,147.551863
5.869872,0.552584,18.261816,4.758464,4.758464,144.613135
5.835632,0.548519,16.657155,3.617553,3.617553,142.997465
5.374953,0.515367,15.807927,4.648831,4.648831,141.163520
5.336136,0.427846,15.455859,3.805876,3.805876,138.046102
5.253799,0.388005,15.876248,4.262970,4.262970,138.308537
7.265859,0.359909,21.075871,3.162027,3.162027,94.166753
9.748581,0.921452,39.444633,7.230338,7.230338,185.667006
8.826328,0.891788,30.205979,4.165561,4.165561,166.063379
8.105359,0.712521,31.300234,4.067735,4.067735,118.489964
7.997133,0.498567,31.265897,3.215308,3.215308,127.946349
7.172162,0.553351,27.379572,4.727264,4.727264,195.403586
5.776846,0.408422,20.718874,3.344205,3.344205,80.394982
11.753600,0.226723,44.697664,14.342947,14.342947,177.575856
13.555289,0.541255,46.492057,8.994266,8.994266,168.268433
13.887805,0.453127,38.755919,4.587966,4.587966,147.884508
15.798967,0.758442,51.010678,7.684649,7.684649,185.239416
9.278430,0.743146,33.390855,5.356937,5.356937,141.140352
8.747607,0.762474,34.330643,6.282741,6.282741,149.113484
8.626134,0.726858,31.917586,3.258284,3.258284,138.979523
8.407826,0.541703,30.510719,3.446895,3.446895,141.606406
4.968387,0.677386,14.796553,6.691835,6.691835,126.248725
5.416617,0.721130,15.237840,2.542179,2.542179,82.426337
8.374738,0.800075,25.290072,3.100938,3.100938,123.999415
12.233638,0.856268,37.411165,3.267661,3.267661,165.107174
8.567380,0.838476,26.284741,3.809140,3.809140,158.004261
7.595047,1.210321,19.805997,4.139864,4.139864,145.382554
6.402231,0.537895,15.548308,3.697491,3.697491,131.208121
7.813898,0.663369,18.067446,4.035447,4.035447,133.123475
9.332991,0.689770,22.162221,3.231660,3.231660,144.747121
12.273639,1.196272,31.486444,4.381691,4.381691,185.137430
13.247093,1.210704,34.516150,4.671487,4.671487,188.110079
11.544573,0.886636,23.975846,4.661727,4.661727,155.275104
7.535527,0.662473,16.576865,5.304712,5.304712,141.045023
12.762958,1.140047,33.513832,4.814785,4.814785,188.046398
12.760046,1.008782,31.087271,5.116326,5.116326,191.515438
12.378280,1.035150,34.278802,5.533387,5.533387,201.891418
12.566891,1.234289,35.663621,6.117812,6.117812,207.647785
11.676703,1.038478,29.052875,2.552323,2.552323,189.969144
9.350815,0.866828,21.415523,2.748870,2.748870,481.836347
6.909918,0.840619,16.411552,2.069788,2.069788,106.088739
11.189561,1.478772,32.716669,2.222398,2.222398,202.718758
11.335450,1.457844,33.755948,2.138813,2.138813,200.934830
7.515815,1.172432,24.092711,0.000000,0.000000,32.782398
8.211216,0.812779,33.709546,11.906370,11.906370,200.248804
13.959006,1.112815,56.159516,0.000000,0.000000,71.233481
14.616359,0.885740,54.046239,5.280231,5.280231,220.393494
14.035487,1.134096,55.059053,5.265255,5.265255,222.147182
7.897611,0.776427,40.681865,9.361472,9.361472,207.514247
4.144568,0.739402,17.737202,5.331336,5.331336,162.709413
2.246751,0.418853,8.659222,5.106886,5.106886,77.373885
3.955830,0.547495,14.460933,5.790351,5.790351,84.469981
8.101391,0.595688,32.367992,6.287222,6.287222,208.711640
7.316323,0.464390,26.442312,5.413257,5.413257,196.622898
6.949055,0.507623,21.716359,5.931056,5.931056,170.400814
4.486621,0.330981,14.060543,6.622330,6.622330,156.573042
5.082181,0.340772,14.892011,7.309475,7.309475,161.698391
5.870416,0.356708,17.198730,8.289488,8.289488,167.419653
5.892176,0.479110,17.083081,7.672073,7.672073,168.860153
8.317937,0.827020,25.645724,8.102414,8.102414,199.922016
8.140047,0.655017,24.803345,9.376992,9.376992,198.276970
8.604821,0.727914,25.356217,8.873497,8.873497,200.183011
8.183024,0.725257,24.016519,9.251422,9.251422,185.643550
10.472238,0.912492,35.303649,9.144093,9.144093,212.001476
9.069084,0.721130,23.400702,9.658307,9.658307,196.336431
9.484161,0.703785,24.574607,10.028328,10.028328,199.899423
9.183197,0.666281,25.098518,11.256441,11.256441,197.589536
8.734711,0.680361,24.281546,11.826465,11.826465,202.845191
8.913689,0.582824,23.846309,7.214883,7.214883,198.072391
9.500770,0.617864,24.698704,10.955029,10.955029,198.474701
17.763569,0.822379,52.509547,12.250663,12.250663,255.769431
18.022645,0.807627,47.308164,11.491804,11.491804,257.096201
11.428731,0.578088,29.295855,8.021965,8.021965,202.245279
17.881779,0.768363,41.360786,11.893410,11.893410,222.166510
14.512741,0.886444,43.741651,9.206141,9.206141,228.068478
8.212944,0.701513,27.356340,9.051675,9.051675,199.557371
6.109555,0.627241,22.665908,12.149574,12.149574,185.118935
9.346495,0.588520,31.715023,12.881199,12.881199,201.801305
4.586079,0.383941,14.371204,12.901903,12.901903,168.457652
10.218475,0.610184,37.648608,13.509272,13.509272,216.866566
7.132129,0.472358,26.761068,10.437422,10.437422,194.563767
7.718185,0.504327,26.451208,14.665063,14.665063,186.864174
6.156596,0.393573,20.691034,9.499298,9.499298,170.273197
7.859691,0.479718,30.208827,12.011107,12.011107,186.294790
6.466872,0.326501,22.902967,10.888820,10.888820,169.617700
9.732741,0.566247,34.952028,11.924867,11.924867,197.894469
14.018879,0.917932,47.803499,11.551229,11.551229,220.146419
12.384137,0.735946,40.731370,14.971788,14.971788,207.604905
10.728882,0.597737,37.285051,12.975184,12.975184,205.958163
8.166287,0.452646,21.911786,14.174080,14.174080,174.312035
10.593841,0.505510,29.807222,13.372182,13.372182,193.504361
9.447905,0.466886,28.912809,14.758569,14.758569,192.613405
8.337201,0.535303,25.290520,11.414363,11.414363,172.393577
10.559600,0.602536,33.349478,16.333631,16.333631,188.999436
8.568245,0.485094,27.011280,13.183827,13.183827,174.787274
10.457582,0.550216,36.432431,13.971327,13.971327,190.211132
7.094465,0.511207,21.143871,10.334348,10.334348,158.564014
8.753047,0.549575,32.786942,13.454039,13.454039,180.987518
7.453605,0.465447,22.999512,10.172107,10.172107,157.203291
6.453880,0.332229,19.767405,13.985918,13.985918,152.970945
6.019122,0.397125,18.982338,13.154067,13.154067,152.658461
5.857551,0.393702,19.447784,13.685210,13.685210,153.096930
6.052146,0.400294,22.568051,16.292445,16.292445,158.221288
9.002395,0.748938,33.979246,13.515448,13.515448,171.290267
9.456513,0.609640,33.585193,11.897346,11.897346,169.885320
10.674705,0.565960,46.331190,13.524760,13.524760,193.515017
8.688470,0.522504,27.515190,11.657950,11.657950,157.457278
13.926013,0.746570,44.683360,11.676702,11.676702,194.455477
15.046925,0.720682,53.845468,12.917007,12.917007,209.728581
10.517615,0.527975,36.791061,13.701338,13.701338,196.280654
9.497601,0.517031,32.251287,12.978320,12.978320,171.202809
10.444750,0.632393,35.397441,11.349946,11.349946,175.476947
10.778066,0.644201,36.901622,13.465399,13.465399,190.084346
10.054121,0.624905,38.168135,12.714221,12.714221,190.781028
10.157514,0.721290,40.372837,18.470908,18.470908,200.805100
9.291775,0.652201,36.480624,17.238730,17.238730,194.400821
7.978189,0.618248,33.979726,15.127054,15.127054,180.657626
9.406112,0.601961,41.023214,16.625634,16.625634,193.865838
7.336996,0.489990,32.990241,14.387364,14.387364,181.661095
6.249877,0.548231,26.730860,13.713787,13.713787,160.978606
7.940780,0.563432,34.828473,11.676831,11.676831,175.224208
9.517921,0.578344,41.192112,11.779904,11.779904,190.783331
10.553103,0.824683,40.739595,8.613717,8.613717,202.447138
15.015852,1.310898,53.205748,7.631336,7.631336,222.171247
15.375986,1.226800,54.473125,11.468892,11.468892,225.241817
13.232692,0.928972,40.632233,12.522923,12.522923,206.908575
9.600707,0.727178,26.738955,7.184898,7.184898,179.468042
11.125335,0.799435,35.816456,9.725412,9.725412,201.540982
8.390803,0.653992,28.109535,10.475375,10.475375,186.655308
10.067177,0.989390,32.779934,8.254960,8.254960,196.465905
8.544980,0.869164,27.291699,8.723479,8.723479,201.337811
8.052013,0.834668,24.456108,8.829816,8.829816,186.344455
13.087154,1.103151,44.053368,6.179156,6.179156,164.725185
13.743835,1.004078,47.904364,10.162666,10.162666,232.209880
14.957355,1.080847,52.935536,11.231001,11.231001,256.321951
15.718262,0.963373,55.463603,13.493560,13.493560,265.902242
15.930969,0.754378,53.454039,13.891133,13.891133,266.453097
16.161084,0.702986,52.943920,9.142653,9.142653,253.617755
11.286970,0.616488,31.430764,8.093070,8.093070,206.066260
9.168285,0.571176,27.485398,8.498644,8.498644,198.866386
8.630453,0.593096,24.103464,11.983491,11.983491,198.181768
7.977516,0.538759,23.307166,7.555463,7.555463,198.310730
7.578183,0.717578,23.754275,11.293018,11.293018,199.430650
12.936912,1.013934,39.160693,6.538873,6.538873,223.486241
11.315354,1.188656,42.467266,11.196376,11.196376,235.873417
14.412644,1.280497,47.563367,7.313284,7.313284,254.441446
10.792915,0.801643,35.926569,12.460905,12.460905,215.770072
16.680099,1.034478,57.878227,14.938475,14.938475,256.905287
9.051612,0.594280,30.634336,9.064859,9.064859,201.127249
7.909323,0.557800,24.679792,7.970669,7.970669,198.392043
5.858256,0.685545,18.684831,12.355272,12.355272,176.710565
9.738308,1.162576,38.534732,8.455955,8.455955,217.727378
10.617648,0.723242,33.179492,12.892560,12.892560,200.279717
10.539311,1.013102,32.746877,13.934014,13.934014,202.998122
10.443534,0.684265,33.208196,14.817482,14.817482,202.820904
10.807763,0.636745,33.324005,15.963770,15.963770,207.620297
20.720026,0.787083,71.280425,16.796229,16.796229,258.605887
14.651367,0.643273,43.087722,13.530776,13.530776,214.670697
20.277940,0.970669,61.408100,13.334037,13.334037,258.045847
22.107565,0.902540,64.042791,12.715597,12.715597,252.854544
14.398916,0.629353,41.390515,20.740698,20.740698,217.320429
