#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393886005760512.000000,0.000000,0.000000,23.396498,4.333497,0.004640,15.582923,9.099575,0.003296,32.566634
1413393886055760384.000000,0.000000,0.000000,20.183816,6.428340,0.075553,7.010907,6.802713,0.001472,30.678737
1413393886105760512.000000,0.000000,0.000000,17.986763,7.764773,0.074753,6.888346,8.338701,0.001280,29.555490
1413393886155760384.000000,0.000000,0.000000,19.037433,6.155344,0.085345,6.570966,6.267154,0.000928,28.947322
1413393886205760512.000000,0.000000,0.000000,17.208449,9.820032,0.101249,8.069226,6.581462,0.001152,31.382586
1413393886255760384.000000,0.000000,0.000000,18.609715,10.977136,0.115681,6.621911,5.844940,1.396754,33.948443
1413393886305760512.000000,0.000000,0.000000,18.674324,11.728121,0.119489,13.692434,8.517616,0.001312,34.514947
1413393886355760384.000000,0.000000,0.000000,18.694100,11.479958,0.118625,10.596234,8.878612,0.001248,34.508131
1413393886405760512.000000,0.000000,0.000000,19.292316,11.444053,0.122241,8.671505,9.310394,0.000992,35.052106
1413393886455760384.000000,0.000000,0.000000,17.037118,11.344853,0.119970,9.169175,8.694610,0.001376,32.629258
1413393886505760512.000000,0.000000,0.000000,18.035788,11.759545,0.123330,7.230047,8.298860,0.001056,34.111997
1413393886555760384.000000,0.000000,0.000000,18.903638,11.499062,0.121410,8.125258,9.209784,1.047854,34.854503
1413393886605760512.000000,0.000000,0.000000,17.483365,11.707193,0.123489,11.060753,10.866798,0.001728,33.833530
1413393886655760384.000000,0.000000,0.000000,16.862716,11.516950,0.124258,8.264108,11.385557,0.000960,35.594353
1413393886705760512.000000,0.000000,0.000000,18.540082,11.517302,0.119393,7.714405,9.863393,0.000960,34.311265
1413393886755760384.000000,0.000000,0.000000,18.997624,11.397461,0.126113,8.769011,11.396437,0.000992,34.735686
1413393886805760512.000000,0.000000,0.000000,18.567986,11.958269,0.119554,7.965736,10.608587,0.783883,34.912392
1413393886855760384.000000,0.000000,0.000000,17.105024,11.901211,0.139714,12.122206,9.662750,0.001696,33.329971
1413393886905760512.000000,0.000000,0.000000,18.324431,11.573847,0.118722,8.628721,10.100771,0.001408,34.004604
1413393886955760384.000000,0.000000,0.000000,18.839126,11.912988,0.144226,8.502287,10.685739,0.001344,35.182508
1413393887005760512.000000,0.000000,0.000000,16.594457,12.006108,0.099426,8.841908,9.136215,0.000832,32.954894
1413393887055760384.000000,0.000000,0.000000,18.527282,11.790810,0.119458,9.205464,10.395944,0.619368,34.611108
1413393887105760512.000000,0.000000,0.000000,16.433111,11.320852,0.096865,10.663243,10.226566,0.001600,31.931745
1413393887155760384.000000,0.000000,0.000000,18.785429,11.142929,0.121281,7.736581,11.245491,0.000864,34.265120
1413393887205760512.000000,0.000000,0.000000,17.769224,6.340627,0.102145,7.782694,10.891150,0.001056,28.496053
