#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.014913,3,1,0,934
0.004480,4,1,0,942
0.442278,5,1,0,1400
0.732586,6,1,0,1906
0.847148,7,1,0,2171
1.032205,8,1,0,2519
0.710506,9,1,0,2848
1.446387,10,1,0,2913
1.100942,0,0,0,0
49.915420,0,0,0,0
1.760888,0,0,0,0
2.092572,0,0,0,0
1.980698,0,0,0,0
2.493409,0,0,0,0
2.602499,0,0,0,0
2.427840,0,0,0,0
2.945639,0,0,0,0
3.237835,0,0,0,0
3.226220,0,0,0,0
3.583024,0,0,0,0
3.938452,0,0,0,0
5.303527,0,0,0,0
4.955811,0,0,0,0
5.143141,0,0,0,0
4.920066,0,0,0,0
5.051396,0,0,0,0
4.867393,0,0,0,0
5.315688,0,0,0,0
5.536842,0,0,0,0
4.859137,0,0,0,0
5.920239,0,0,0,0
5.870991,0,0,0,0
5.803597,0,0,0,0
6.137778,0,0,0,0
6.357749,0,0,0,0
7.412579,0,0,0,0
4.865249,0,0,0,0
6.269396,0,0,0,0
6.755418,0,0,0,0
4.566365,0,0,0,0
6.089298,0,0,0,0
6.080434,0,0,0,0
4.889569,0,0,0,0
6.961021,0,0,0,0
6.141811,0,0,0,0
4.463068,0,0,0,0
6.547864,0,0,0,0
6.749146,0,0,0,0
7.448580,0,0,0,0
5.150181,0,0,0,0
6.155538,0,0,0,0
7.487205,0,0,0,0
5.285991,0,0,0,0
6.363541,0,0,0,0
6.164946,0,0,0,0
6.598169,0,0,0,0
7.933258,0,0,0,0
6.029969,0,0,0,0
6.347157,0,0,0,0
6.593176,0,0,0,0
6.743898,0,0,0,0
7.776200,0,0,0,0
4.983779,0,0,0,0
7.426499,0,0,0,0
6.928637,0,0,0,0
5.725485,0,0,0,0
7.853321,0,0,0,0
4.362138,0,0,0,0
5.053731,0,0,0,0
5.884783,0,0,0,0
5.859535,0,0,0,0
5.959119,0,0,0,0
5.427913,0,0,0,0
9.882916,0,0,0,0
4.599933,0,0,0,0
5.098244,0,0,0,0
7.238880,0,0,0,0
4.895585,0,0,0,0
7.307489,0,0,0,0
5.603371,0,0,0,0
6.704890,0,0,0,0
5.442249,0,0,0,0
6.635576,0,0,0,0
4.472380,0,0,0,0
6.966685,0,0,0,0
4.014038,0,0,0,0
7.088959,0,0,0,0
5.279110,0,0,0,0
5.058596,0,0,0,0
4.409659,0,0,0,0
4.550717,0,0,0,0
4.806816,0,0,0,0
6.385077,0,0,0,0
6.353845,0,0,0,0
6.463926,0,0,0,0
6.026544,0,0,0,0
5.662220,0,0,0,0
6.088369,0,0,0,0
7.860777,0,0,0,0
7.761896,0,0,0,0
9.664353,0,0,0,0
8.458737,0,0,0,0
7.507717,0,0,0,0
9.994309,0,0,0,0
10.984467,0,0,0,0
10.020582,0,0,0,0
9.842692,0,0,0,0
10.160584,0,0,0,0
8.845590,0,0,0,0
12.469638,0,0,0,0
9.664417,0,0,0,0
10.721231,0,0,0,0
10.639918,0,0,0,0
9.415070,0,0,0,0
10.826032,0,0,0,0
11.146229,0,0,0,0
11.107925,0,0,0,0
11.258902,0,0,0,0
10.113159,0,0,0,0
11.179765,0,0,0,0
11.067763,0,0,0,0
11.433369,0,0,0,0
11.774654,0,0,0,0
9.982213,0,0,0,0
11.778334,0,0,0,0
11.913375,0,0,0,0
12.469127,0,0,0,0
12.834667,0,0,0,0
10.499212,0,0,0,0
12.382310,0,0,0,0
12.017121,0,0,0,0
13.004078,0,0,0,0
12.503047,0,0,0,0
11.741245,0,0,0,0
14.082236,0,0,0,0
14.155485,0,0,0,0
13.883514,0,0,0,0
14.827270,0,0,0,0
10.404971,0,0,0,0
11.900639,0,0,0,0
12.493830,0,0,0,0
11.277623,0,0,0,0
11.520186,0,0,0,0
12.641481,0,0,0,0
10.072294,0,0,0,0
12.472615,0,0,0,0
12.130882,0,0,0,0
12.092578,0,0,0,0
14.124029,0,0,0,0
10.438891,0,0,0,0
10.785456,0,0,0,0
12.499847,0,0,0,0
13.457972,0,0,0,0
10.372650,0,0,0,0
13.387155,0,0,0,0
10.436235,0,0,0,0
13.634966,0,0,0,0
9.743682,0,0,0,0
10.107495,0,0,0,0
17.872174,0,0,0,0
11.953504,0,0,0,0
12.307652,0,0,0,0
11.645307,0,0,0,0
12.712234,0,0,0,0
16.487324,0,0,0,0
9.225435,0,0,0,0
17.039811,0,0,0,0
12.201187,0,0,0,0
12.129378,0,0,0,0
12.674025,0,0,0,0
10.452396,0,0,0,0
13.925114,0,0,0,0
9.133818,0,0,0,0
13.072558,0,0,0,0
13.328274,0,0,0,0
11.787390,0,0,0,0
11.753213,0,0,0,0
14.181981,0,0,0,0
16.001302,0,0,0,0
12.674249,0,0,0,0
14.725924,0,0,0,0
15.397550,0,0,0,0
12.548776,0,0,0,0
13.246353,0,0,0,0
16.114519,0,0,0,0
14.147069,0,0,0,0
12.534248,0,0,0,0
16.642622,0,0,0,0
19.973482,0,0,0,0
16.459419,0,0,0,0
16.541181,0,0,0,0
16.844353,0,0,0,0
15.993781,0,0,0,0
15.129962,0,0,0,0
14.302335,0,0,0,0
17.964912,0,0,0,0
12.545448,0,0,0,0
15.044233,0,0,0,0
20.237294,0,0,0,0
15.642481,0,0,0,0
19.939018,0,0,0,0
14.719620,0,0,0,0
19.262017,0,0,0,0
19.869225,0,0,0,0
19.577541,0,0,0,0
18.211059,0,0,0,0
