#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,29.845840,2.797253,0.005088,12.802540,5.455401,0.003360,36.057475
1403637130588318976.000000,0.000000,0.000000,26.013821,3.591152,0.072129,4.188632,3.997717,0.001120,33.630850
1403637130638319104.000000,0.000000,0.000000,26.220223,4.243321,0.085025,4.637630,3.691089,0.001920,34.423917
1403637130688318976.000000,0.000000,0.000000,22.690416,5.423720,0.096673,5.562730,4.320314,0.001216,32.047885
1403637130738319104.000000,0.000000,0.000000,23.898752,6.644089,0.121857,5.616108,4.628446,0.001728,36.131492
1403637130788318976.000000,0.000000,0.000000,29.052517,6.960413,0.135937,4.860066,4.951170,0.488263,59.000406
1403637130838319104.000000,0.000000,0.000000,24.384967,5.520554,0.161186,6.305173,5.384168,0.001696,42.370903
1403637130888318976.000000,0.000000,0.000000,25.205009,6.201779,0.119586,5.161893,4.239833,0.001056,43.829195
1403637130938319104.000000,0.000000,0.000000,23.138742,6.509623,0.103874,5.672524,5.086020,0.001472,43.718890
1403637130988318976.000000,0.000000,0.000000,24.809773,6.944957,0.128929,5.788334,3.817779,0.001216,46.607728
1403637131038319104.000000,0.000000,0.000000,25.839515,6.808859,0.134081,5.766606,4.903745,0.001152,47.038998
1403637131088318976.000000,0.000000,0.000000,23.401562,7.001917,0.140354,5.990609,5.296838,0.415877,46.408429
1403637131138319104.000000,0.000000,0.000000,26.044381,6.823036,0.127906,5.647211,4.725215,0.001376,46.494671
1403637131188318976.000000,0.000000,0.000000,23.448314,6.941501,0.129057,5.283367,4.626590,0.001696,45.544162
1403637131238319104.000000,0.000000,0.000000,23.820191,6.804987,0.133666,5.978000,5.560778,0.001376,44.651446
1403637131288318976.000000,0.000000,0.000000,23.314136,6.967293,0.130625,5.859342,5.240070,0.001312,45.478882
1403637131338319104.000000,0.000000,0.000000,26.051901,6.962685,0.131010,2.864230,3.224907,0.444006,49.067473
1403637131388318976.000000,0.000000,0.000000,23.168918,4.095351,0.128993,5.721965,5.378056,0.001376,41.977107
1403637131438319104.000000,0.000000,0.000000,23.006037,6.972605,0.109186,5.962191,4.862946,0.000992,44.091727
1403637131488318976.000000,0.000000,0.000000,25.593815,6.965565,0.132290,5.856270,4.548573,0.001376,48.620396
1403637131538319104.000000,0.000000,0.000000,23.311576,6.965661,0.134274,5.881967,4.663454,0.001088,45.554306
1403637131588318976.000000,0.000000,0.000000,23.298009,2.982024,0.071681,6.220115,4.547581,0.471206,36.967471
1403637131638319104.000000,0.000000,0.000000,24.774284,6.958013,0.145666,6.245396,4.545981,0.001632,47.244345
1403637131688318976.000000,0.000000,0.000000,23.849920,6.888316,0.133890,6.387286,5.712077,0.001312,45.869671
1403637131738319104.000000,0.000000,0.000000,23.784095,6.944701,0.135298,6.863292,5.604747,0.001024,45.423680
1403637131788318976.000000,0.000000,0.000000,24.405446,6.976253,0.129826,5.520522,4.788192,0.001216,46.307884
1403637131838319104.000000,0.000000,0.000000,23.980385,6.781339,0.133058,5.328968,5.222310,0.452806,47.461372
1403637131888318976.000000,0.000000,0.000000,24.373607,4.892321,0.131138,6.573912,4.938594,0.001408,44.594133
1403637131938319104.000000,0.000000,0.000000,25.286451,7.128448,0.135169,6.462007,5.885039,0.001568,48.846575
1403637131988318976.000000,0.000000,0.000000,23.800287,7.030110,0.133986,6.145299,5.737101,0.001248,47.872065
1403637132038319104.000000,0.000000,0.000000,23.937824,6.858428,0.133442,5.876431,5.195526,0.001152,45.465985
1403637132088318976.000000,0.000000,0.000000,23.453594,6.939677,0.129921,5.888270,4.693503,0.446470,45.724164
1403637132138319104.000000,0.000000,0.000000,23.719902,3.425902,0.131714,3.471086,4.869378,0.001408,42.822014
1403637132188318976.000000,0.000000,0.000000,22.890514,7.012990,0.130722,5.797486,5.790510,0.001664,46.451950
1403637132238319104.000000,0.000000,0.000000,23.132022,6.673946,0.136897,5.132933,4.784672,0.001248,46.108713
1403637132288318976.000000,0.000000,0.000000,26.931560,6.952637,0.139841,5.499017,5.010211,0.001376,49.119602
1403637132338319104.000000,0.000000,0.000000,25.735129,6.872892,0.132929,4.243993,5.767661,0.483846,47.999875
1403637132388318976.000000,0.000000,0.000000,26.757126,2.881575,0.067969,6.480855,4.979843,0.001248,41.976338
1403637132438319104.000000,0.000000,0.000000,25.796729,6.994813,0.138498,6.636313,5.785966,0.001600,48.700076
1403637132488318976.000000,0.000000,0.000000,28.112952,6.259348,0.122209,5.564139,4.967170,0.001152,48.730349
1403637132538319104.000000,0.000000,0.000000,23.070485,6.862684,0.132066,6.269364,4.538684,0.001184,44.708247
1403637132588318976.000000,0.000000,0.000000,24.753707,3.127017,0.082945,5.968464,4.536989,0.462790,42.480601
1403637132638319104.000000,0.000000,0.000000,25.410164,4.471676,0.141474,6.686394,4.891586,0.001664,45.935528
1403637132688318976.000000,0.000000,0.000000,26.827080,6.936317,0.138017,3.204459,5.102244,0.001408,50.361251
1403637132738319104.000000,0.000000,0.000000,23.490331,6.432598,0.125346,4.957251,5.835374,0.001248,44.544884
1403637132788318976.000000,0.000000,0.000000,23.947841,7.054943,0.145378,5.233062,6.415574,0.001216,46.020905
1403637132838319104.000000,0.000000,0.000000,24.171876,7.166240,0.129954,5.572043,5.881007,0.526567,46.524463
1403637132888318976.000000,0.000000,0.000000,25.293010,6.946269,0.138529,6.298868,6.309941,0.001792,48.581226
1403637132938319104.000000,0.000000,0.000000,24.995279,2.962280,0.064737,0.066369,9.493247,0.090977,40.335965
1403637132988318976.000000,0.000000,0.000000,22.345643,6.463927,0.122273,0.093441,10.306634,0.657096,43.740778
1403637133038319104.000000,0.000000,0.000000,22.881523,6.898268,0.138850,12.461894,6.364630,0.001344,45.876423
1403637133088318976.000000,0.000000,0.000000,24.235236,7.175328,0.130530,3.692146,4.212824,0.001120,47.711839
1403637133138319104.000000,0.000000,0.000000,24.577833,7.424580,0.132226,3.611761,4.383483,0.001184,49.077682
1403637133188318976.000000,0.000000,0.000000,23.100150,3.519279,0.078593,3.647345,4.812096,0.001248,40.337916
1403637133238319104.000000,0.000000,0.000000,23.924417,5.839534,0.147682,3.803155,5.066788,0.001248,45.196989
1403637133288318976.000000,0.000000,0.000000,23.092213,4.223161,0.159202,3.185323,5.088996,0.772650,31.647368
1403637133338319104.000000,0.000000,0.000000,28.557118,7.535845,0.144258,5.204454,6.540472,0.001345,54.550587
1403637133388318976.000000,0.000000,0.000000,25.966972,7.226625,0.140930,4.891682,5.720972,0.001152,37.684921
1403637133438319104.000000,0.000000,0.000000,23.917377,7.662214,0.118114,5.056227,6.766555,0.001248,37.572728
1403637133488318976.000000,0.000000,0.000000,23.616220,7.148768,0.080769,3.980885,4.653279,0.001088,54.573307
1403637133538319104.000000,0.000000,0.000000,24.598633,5.669580,0.121281,3.340301,5.260902,0.001184,42.862686
1403637133588318976.000000,0.000000,0.000000,24.276677,6.612505,0.137474,3.531792,5.392648,1.075055,43.085121
1403637133638319104.000000,0.000000,0.000000,24.660843,6.910396,0.132866,6.632569,7.202401,0.001248,45.685284
1403637133688318976.000000,0.000000,0.000000,23.848287,7.190529,0.096225,4.450139,6.759099,0.000992,44.435891
1403637133738319104.000000,0.000000,0.000000,22.628303,8.144173,0.140193,3.841971,6.115922,0.001440,44.218928
1403637133788318976.000000,0.000000,0.000000,25.927771,8.135309,0.128961,4.114487,6.676153,0.001344,50.376547
1403637133838319104.000000,0.000000,0.000000,23.566299,3.995285,0.138050,3.508078,6.667162,0.001184,42.425080
1403637133888318976.000000,0.000000,0.000000,24.767243,9.527136,0.120801,3.678161,6.338997,1.228368,50.627078
1403637133938319104.000000,0.000000,0.000000,24.034114,8.566451,0.133314,7.486373,9.824739,0.001024,45.382144
1403637133988318976.000000,0.000000,0.000000,24.333158,9.307325,0.137346,6.137778,8.047500,0.000736,46.508271
