#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.047771,0.041792,0.472231,0.013952,0.013952,9.587618
9.321983,0.117890,0.872172,0.004576,0.004576,10.320813
9.519778,0.154882,1.510100,0.211043,0.211043,20.801723
9.938279,0.165250,2.379393,0.337541,0.337541,25.781087
10.183275,0.163202,3.197260,0.457798,0.457798,30.752035
10.492366,0.157219,19.747245,0.628425,0.628425,67.133970
11.339515,0.300644,24.480077,0.734826,0.734826,72.655518
12.411753,0.439654,27.668281,0.843339,0.843339,84.854883
12.740174,0.468870,30.125883,0.522887,0.522887,90.996888
13.399959,0.390821,32.211863,65.289465,65.289465,163.574580
14.174753,0.328997,35.676582,0.917324,0.917324,95.990300
15.327600,0.243076,39.428921,1.091119,1.091119,119.431802
16.398271,0.469031,40.113730,1.285074,1.285074,118.205386
16.635170,0.290660,37.294620,1.399411,1.399411,118.439373
16.512609,0.372773,38.053831,1.519477,1.519477,118.794130
18.757024,0.413829,42.551364,1.648951,1.648951,138.435582
20.116050,0.233475,43.011210,1.861081,1.861081,137.035658
20.872605,0.299780,39.427129,2.126397,2.126397,138.999397
21.224833,0.319236,37.699234,2.026332,2.026332,143.094461
20.126322,0.328389,37.774210,2.621092,2.621092,147.480185
16.230205,0.200131,32.449466,2.704549,2.704549,141.409862
18.760608,0.299556,40.451175,4.283834,4.283834,166.554300
12.121861,0.121122,28.855497,4.086967,4.086967,140.844158
13.478040,0.198755,34.077712,4.226073,4.226073,148.913292
24.037799,0.445734,49.582467,4.327515,4.327515,187.034963
20.215539,0.426854,44.783170,4.124824,4.124824,167.570506
23.716131,0.392421,57.738963,3.899477,3.899477,368.430393
15.037005,0.312868,37.749058,3.788211,3.788211,154.723675
24.522414,0.520935,61.626151,4.266586,4.266586,200.176102
24.387052,0.471750,67.646361,3.924885,3.924885,243.856248
23.490399,0.492327,57.427566,3.311565,3.311565,191.303053
17.355404,0.360773,47.193954,3.576817,3.576817,190.496866
16.419231,0.334917,36.975959,3.717971,3.717971,188.876204
18.504668,0.305604,41.303698,5.260616,5.260616,192.992580
26.810253,0.325316,52.883216,4.283546,4.283546,217.769525
15.939321,0.261540,37.359548,5.111718,5.111718,190.330688
18.279512,0.279428,39.545211,3.915861,3.915861,189.826680
13.788156,0.305764,32.544955,6.794812,6.794812,195.451109
13.348758,0.256484,31.318794,5.357353,5.357353,172.361739
17.793234,0.256612,37.989925,6.671483,6.671483,192.271066
13.597082,0.173122,30.619169,3.852405,3.852405,133.453530
16.929639,0.170370,46.127156,5.530379,5.530379,199.869314
17.645521,0.129985,47.330885,5.925841,5.925841,190.181630
9.721572,0.050945,0.585800,0.005696,0.005696,10.367981
9.779461,0.128162,0.939981,0.004288,0.004288,10.856052
9.869542,0.131298,1.282417,0.243619,0.243619,23.003289
10.196971,0.136385,1.825369,0.511367,0.511367,22.243823
10.430158,0.027808,2.237534,0.752810,0.752810,24.739760
10.518799,0.038112,2.782406,0.849611,0.849611,27.511382
10.931988,0.035777,3.073130,0.884460,0.884460,40.809163
11.143736,0.031968,3.547408,0.932268,0.932268,33.378054
11.487549,0.039232,3.821204,1.084687,1.084687,36.455537
11.692383,0.022432,4.698016,50.397775,50.397775,88.912027
12.222502,0.037441,4.872066,1.440532,1.440532,52.658253
9.194813,0.047233,0.569447,0.004897,0.004897,9.820518
9.657828,0.137121,1.105071,0.005152,0.005152,10.910133
9.792294,0.173250,1.400723,0.333668,0.333668,23.883110
10.198923,0.138882,1.775480,0.651305,0.651305,28.276225
10.324333,0.040256,1.948891,0.674473,0.674473,26.702540
10.695922,0.030976,2.562019,0.798539,0.798539,28.787176
10.885045,0.029312,2.793542,0.857227,0.857227,40.544040
10.975222,0.025568,3.517264,1.007853,1.007853,32.985121
11.381563,0.028160,3.898517,1.161264,1.161264,38.768368
11.651646,0.032929,4.522301,74.302612,74.302612,112.288057
11.907938,0.043009,5.039972,1.361682,1.361682,52.049348
9.167197,0.048033,0.557351,0.005344,0.005344,9.782885
9.711940,0.151458,1.421267,0.004576,0.004576,11.293593
10.188267,0.300964,5.927920,0.291620,0.291620,35.687910
10.666225,0.420710,11.458300,0.917677,0.917677,63.906758
11.417596,0.445702,12.059588,1.073903,1.073903,59.111781
12.082532,0.419718,18.759903,1.122800,1.122800,76.172781
12.823630,0.546312,25.381881,1.478933,1.478933,90.578065
14.093536,0.521415,28.608390,1.500629,1.500629,99.868208
14.814314,0.461318,33.327238,1.733527,1.733527,126.584251
16.224317,0.469446,37.488606,58.229561,58.229561,180.654075
16.468992,0.366757,41.197264,1.734424,1.734424,130.809492
17.577968,0.383525,41.204881,1.838553,1.838553,134.366981
18.451163,0.522503,46.381688,2.111613,2.111613,137.415919
19.139493,0.396165,42.543043,2.189566,2.189566,138.827554
13.243893,0.363749,35.740006,2.340096,2.340096,130.569202
13.284724,0.348133,33.347302,2.542115,2.542115,131.395516
12.962960,0.352773,30.439678,2.790662,2.790662,132.730606
19.768589,0.517383,47.842251,3.100906,3.100906,187.306197
19.761677,0.559656,51.636703,2.975752,2.975752,194.146099
19.847022,0.549095,49.238174,3.651409,3.651409,187.261940
20.152466,0.582568,51.432476,3.849748,3.849748,198.053256
21.003006,0.495175,54.461317,5.322920,5.322920,205.719568
16.516193,0.462247,42.773286,4.807073,4.807073,194.748251
14.780201,0.455750,39.809950,5.269352,5.269352,440.690926
8.923929,0.399590,23.629761,5.493706,5.493706,153.092867
15.093517,0.575208,39.867583,4.662496,4.662496,184.550064
11.164984,0.480518,31.938387,5.414346,5.414346,163.264430
7.971500,0.320485,21.119295,5.363945,5.363945,144.527631
9.591458,0.366053,23.886213,5.276455,5.276455,160.203332
14.830378,0.551688,36.860341,3.467760,3.467760,171.584064
8.420467,0.259299,20.037265,4.911619,4.911619,150.733316
8.384978,0.318661,19.863694,3.774515,3.774515,151.350892
8.873817,0.336485,20.681049,6.081490,6.081490,161.270803
13.989406,0.496263,26.613866,7.235139,7.235139,177.596561
7.948269,0.270307,19.401032,5.089734,5.089734,155.051295
8.570996,0.316421,21.390339,7.013247,7.013247,167.422022
7.817226,0.338341,19.197701,6.384631,6.384631,164.962117
7.907724,0.314404,20.109490,4.605535,4.605535,161.803194
7.986573,0.316132,20.541912,5.025028,5.025028,168.912571
7.600743,0.306405,19.219109,3.949718,3.949718,163.488305
7.581607,0.309892,19.720109,5.083429,5.083429,196.131853
9.411776,0.461543,25.023764,3.440495,3.440495,201.870972
9.158620,0.392870,26.700523,3.489903,3.489903,196.232814
10.201611,0.409317,26.191877,3.831573,3.831573,199.901441
10.164747,0.400133,27.323924,5.711406,5.711406,188.070176
15.245263,0.442278,37.970373,4.855842,4.855842,212.787952
11.284634,0.341220,29.529586,4.923491,4.923491,206.011732
10.584720,0.330405,26.513065,5.261511,5.261511,193.622539
15.101198,0.413509,38.830417,4.086968,4.086968,213.290199
9.962503,0.335333,28.225824,4.034839,4.034839,202.266848
10.796787,0.380005,27.488822,5.868048,5.868048,199.987554
10.123337,0.388422,26.664907,6.158548,6.158548,207.098402
17.219370,0.526343,49.416481,7.645224,7.645224,236.589268
