#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413393212255760384.000000,0.000000,0.000000,24.304380,6.869250,0.004544,16.671023,13.446112,0.003360,36.388329
1413393212305760512.000000,0.000000,0.000000,18.301094,7.921618,0.087425,11.822889,10.118033,0.001024,30.049070
1413393212355760384.000000,0.000000,0.000000,19.490839,12.632085,0.078177,11.064222,9.322662,0.001088,36.233478
1413393212405760512.000000,0.000000,0.000000,17.996546,14.321165,0.094242,10.677369,9.445895,0.001312,36.133797
1413393212455760384.000000,0.000000,0.000000,18.034915,16.065638,0.100097,9.103619,8.402392,0.745738,38.595272
1413393212505760512.000000,0.000000,0.000000,19.688346,19.043089,0.101729,11.555045,8.922720,0.001536,42.688227
1413393212555760384.000000,0.000000,0.000000,18.466344,19.080082,0.107937,9.385286,9.964879,0.001120,41.677461
1413393212605760512.000000,0.000000,0.000000,17.833663,18.992752,0.117346,10.056784,9.308229,0.001024,40.876969
1413393212655760384.000000,0.000000,0.000000,20.709577,19.242804,0.116354,10.362516,9.282661,0.001152,44.029078
1413393212705760512.000000,0.000000,0.000000,17.411577,18.668108,0.106594,8.586267,8.487578,0.001024,40.163263
1413393212755760384.000000,0.000000,0.000000,19.660698,19.117618,0.120290,9.981263,9.563688,0.675082,43.003240
1413393212805760512.000000,0.000000,0.000000,17.795102,19.094802,0.114977,11.922539,9.882510,0.001376,41.213646
1413393212855760384.000000,0.000000,0.000000,17.420473,18.189285,0.107873,8.527706,8.889535,0.001088,39.765241
1413393212905760512.000000,0.000000,0.000000,18.063299,18.734028,0.120674,9.552041,8.804094,0.001216,40.998987
1413393212955760384.000000,0.000000,0.000000,18.765836,19.100434,0.122721,8.931136,8.363320,0.001216,42.115195
1413393213005760512.000000,0.000000,0.000000,18.712204,19.079537,0.117217,8.101588,10.270355,0.001184,42.026169
1413393213055760384.000000,0.000000,0.000000,19.100754,15.256090,0.119394,8.166421,9.130658,0.651049,38.576392
1413393213105760512.000000,0.000000,0.000000,18.180805,11.927050,0.120578,10.969213,9.269861,0.001440,34.503214
1413393213155760384.000000,0.000000,0.000000,17.373113,19.115185,0.116386,10.019056,11.175744,0.001184,40.605189
1413393213205760512.000000,0.000000,0.000000,18.016482,17.229719,0.117058,9.670442,10.396085,0.001216,39.552598
1413393213255760384.000000,0.000000,0.000000,16.962611,19.084401,0.108001,9.886030,10.249715,0.001248,40.215680
1413393213305760512.000000,0.000000,0.000000,16.837457,19.178002,0.118626,8.388920,9.281989,0.000832,40.420707
1413393213355760384.000000,0.000000,0.000000,17.322648,18.892495,0.120194,8.798878,9.774028,0.694442,40.943306
1413393213405760512.000000,0.000000,0.000000,17.739678,19.134290,0.094145,11.945931,10.784218,0.001792,41.230798
1413393213455760384.000000,0.000000,0.000000,24.815875,19.368309,0.103170,9.154627,10.471606,0.001184,48.481494
1413393213505760512.000000,0.000000,0.000000,17.062324,18.939247,0.103074,8.777213,11.237857,0.001120,40.151838
1413393213555760384.000000,0.000000,0.000000,18.893135,18.311622,0.104514,8.839583,9.610761,0.000960,41.174637
1413393213605760512.000000,0.000000,0.000000,18.939791,19.102994,0.118017,8.217493,9.229573,0.717418,42.328478
1413393213655760384.000000,0.000000,0.000000,19.016945,18.938095,0.104066,10.609432,10.739322,0.001728,42.195548
1413393213705760512.000000,0.000000,0.000000,19.579192,18.257541,0.100354,8.827519,10.468822,0.001312,42.143067
1413393213755760384.000000,0.000000,0.000000,18.001250,19.001360,0.094754,8.092628,11.425987,0.001376,41.038475
1413393213805760512.000000,0.000000,0.000000,18.533321,19.197203,0.118434,9.245700,11.210401,0.001344,42.253053
1413393213855760384.000000,0.000000,0.000000,17.518554,19.417174,0.089057,7.382570,10.064400,0.773675,41.282447
1413393213905760512.000000,0.000000,0.000000,18.101283,18.950768,0.114786,9.875149,11.493861,0.002176,41.445233
1413393213955760384.000000,0.000000,0.000000,18.230885,19.060977,0.105953,6.934948,10.610007,0.000768,41.519122
1413393214005760512.000000,0.000000,0.000000,18.826478,18.924559,0.105505,8.334423,10.782971,0.001344,42.246813
1413393214055760384.000000,0.000000,0.000000,15.838851,19.286356,0.105250,7.573388,10.733434,0.000928,39.571127
1413393214105760512.000000,0.000000,0.000000,17.615548,18.822509,0.117442,7.477707,10.744473,0.699178,40.808296
1413393214155760384.000000,0.000000,0.000000,17.974242,19.131250,0.096257,10.020496,11.771496,0.002240,42.776196
1413393214205760512.000000,0.000000,0.000000,18.392616,15.263706,0.108962,6.971364,10.600792,0.001504,38.246403
1413393214255760384.000000,0.000000,0.000000,19.514711,19.575481,0.113826,7.429674,11.050334,0.001344,43.453166
1413393214305760512.000000,0.000000,0.000000,18.690763,19.416150,0.125410,7.826032,11.405380,0.001504,42.465792
1413393214355760384.000000,0.000000,0.000000,18.999088,19.397397,0.116130,7.509804,10.422805,0.675465,42.403999
1413393214405760512.000000,0.000000,0.000000,17.153014,19.578872,0.108865,10.333748,11.962667,0.001600,41.127149
1413393214455760384.000000,0.000000,0.000000,17.678557,19.453270,0.116226,7.789807,9.650794,0.000768,41.428369
1413393214505760512.000000,0.000000,0.000000,16.953875,19.339349,0.141410,7.412010,10.761722,0.000960,40.846024
1413393214555760384.000000,0.000000,0.000000,17.447866,18.696972,0.106402,6.862274,9.980399,0.000928,40.176287
1413393214605760512.000000,0.000000,0.000000,18.505865,19.061233,0.119202,6.593951,10.168113,0.697962,41.873208
1413393214655760384.000000,0.000000,0.000000,17.852895,18.522698,0.106818,9.324165,11.251521,0.002368,40.539748
1413393214705760512.000000,0.000000,0.000000,17.292887,18.950543,0.117473,6.076471,8.902815,0.002176,40.404611
1413393214755760384.000000,0.000000,0.000000,19.066385,19.068977,0.107202,0.143554,11.346307,0.156098,42.052794
1413393214805760512.000000,0.000000,0.000000,16.226728,19.031729,0.102690,0.115842,12.767287,0.157443,39.467445
1413393214855760384.000000,0.000000,0.000000,20.990124,19.145298,0.103586,0.133922,15.245402,0.742827,44.276825
1413393214905760512.000000,0.000000,0.000000,18.470664,18.915567,0.106178,0.094785,17.507643,0.153154,42.980967
1413393214955760384.000000,0.000000,0.000000,16.840401,18.655467,0.100385,0.127329,12.873945,0.102114,39.483477
1413393215005760512.000000,0.000000,0.000000,20.425540,18.821357,0.099714,0.132386,15.995173,0.767659,43.480879
1413393215055760384.000000,0.000000,0.000000,18.293382,12.828695,0.090913,0.094241,16.360778,0.154882,35.938499
1413393215105760512.000000,0.000000,0.000000,19.477623,19.244340,0.096385,0.140802,14.896757,0.121666,43.012424
1413393215155760384.000000,0.000000,0.000000,17.395673,18.775501,0.098241,0.127938,17.662301,0.136354,40.192415
1413393215205760512.000000,0.000000,0.000000,18.443272,19.148786,0.101601,0.155874,17.455258,0.110786,41.904247
1413393215255760384.000000,0.000000,0.000000,17.950625,10.854972,0.109473,0.170050,20.396100,0.128482,33.042585
1413393215305760512.000000,0.000000,0.000000,18.720012,19.038032,0.102818,0.143938,17.571164,0.110690,41.926552
1413393215355760384.000000,0.000000,0.000000,16.150887,19.037297,0.105858,0.158082,19.159699,0.114754,39.166449
1413393215405760512.000000,0.000000,0.000000,17.778654,18.983535,0.103425,0.165762,19.721786,0.124290,41.062476
1413393215455760384.000000,0.000000,0.000000,18.460488,19.559064,0.093569,0.141346,17.888512,0.115650,42.219068
1413393215505760512.000000,0.000000,0.000000,16.983475,18.617387,0.094978,0.137026,18.300198,1.076815,39.683960
1413393215555760384.000000,0.000000,0.000000,16.108519,18.673707,0.098241,0.290948,20.790218,0.237859,38.999534
1413393215605760512.000000,0.000000,0.000000,16.801168,15.957060,0.105410,0.152738,17.162325,0.141922,37.028786
1413393215655760384.000000,0.000000,0.000000,16.720559,19.117394,0.107298,0.086305,16.078342,0.162115,40.062302
1413393215705760512.000000,0.000000,0.000000,17.368185,19.047665,0.102817,0.138562,17.856160,1.071471,40.561636
1413393215755760384.000000,0.000000,0.000000,17.631612,18.824622,0.111201,0.282564,22.807430,0.362918,40.647430
1413393215805760512.000000,0.000000,0.000000,18.506633,18.887502,0.117730,0.151234,18.302982,0.171330,41.595636
1413393215855760384.000000,0.000000,0.000000,17.890496,19.186546,0.119234,0.109153,16.532045,0.138466,41.215245
1413393215905760512.000000,0.000000,0.000000,16.886738,18.886703,0.095714,0.151426,17.441114,0.117378,39.772921
1413393215955760384.000000,0.000000,0.000000,18.702092,18.933519,0.119234,0.141411,18.525993,1.046863,41.893528
1413393216005760512.000000,0.000000,0.000000,17.536699,14.587377,0.117986,0.274020,21.694199,0.257123,36.510571
1413393216055760384.000000,0.000000,0.000000,17.241815,18.989776,0.099681,0.116418,16.762672,0.158499,40.297824
1413393216105760512.000000,0.000000,0.000000,16.935123,18.912622,0.104642,0.142114,17.529115,0.174242,41.269679
1413393216155760384.000000,0.000000,0.000000,18.074691,18.599466,0.090882,0.126850,16.782352,0.128738,40.636165
1413393216205760512.000000,0.000000,0.000000,17.315608,18.746061,0.103393,0.141858,18.384135,0.121922,40.251520
1413393216255760384.000000,0.000000,0.000000,16.501996,19.096881,0.121282,0.144898,18.226949,1.155665,39.614551
1413393216305760512.000000,0.000000,0.000000,17.242422,18.499528,0.119906,0.294437,20.316546,0.230660,40.158015
1413393216355760384.000000,0.000000,0.000000,18.921103,19.148338,0.110082,0.140322,17.843391,0.143458,42.336414
