#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
9.484939,0.118626,1.345140,0.013824,0.013824,10.973953
7.703921,0.218467,3.137454,0.003296,0.003296,11.066594
8.749120,0.379141,7.488302,0.313701,0.313701,61.517990
13.483846,0.821260,14.408339,1.135153,1.135153,80.681408
14.277490,0.604841,18.045544,2.031806,2.031806,91.869220
15.093022,0.517351,22.520203,2.255681,2.255681,116.853106
9.616525,0.350150,16.444113,2.476420,2.476420,81.374538
9.906194,0.437414,21.207735,2.353794,2.353794,112.672405
12.803963,0.553577,21.767647,2.717928,2.717928,116.639311
16.007659,0.630985,40.459090,83.031842,83.031842,222.757380
15.129246,0.615369,24.935918,3.628181,3.628181,122.658919
14.969372,0.609001,31.109352,4.391585,4.391585,117.283545
17.463905,0.665001,34.290327,4.537442,4.537442,128.971940
15.986283,0.684266,31.019207,4.557475,4.557475,129.477900
16.366288,0.681738,32.736928,5.171756,5.171756,132.952414
15.829288,0.928110,39.324737,5.550898,5.550898,149.189613
16.970457,0.858508,44.861778,6.008440,6.008440,160.342128
17.802246,0.836876,50.174528,6.092121,6.092121,184.223215
18.378830,0.803820,42.648625,6.760323,6.760323,162.066154
10.827871,0.503911,29.272749,7.279658,7.279658,142.794383
21.366202,0.843244,52.547683,7.870324,7.870324,190.149798
16.186317,0.610537,43.995077,9.200903,9.200903,187.757986
14.797209,0.521927,42.157995,8.953988,8.953988,374.920507
11.273989,0.458151,30.657985,9.044548,9.044548,158.146319
9.884497,0.392902,28.916456,9.077093,9.077093,152.607743
9.615341,0.421446,28.875720,7.982677,7.982677,151.968277
9.211751,0.425670,27.281425,8.478077,8.478077,155.479497
9.398890,0.480487,27.815128,10.580603,10.580603,167.518394
9.237672,0.459366,27.369970,9.522091,9.522091,156.181107
7.637104,0.505639,23.897119,7.943733,7.943733,144.839405
7.982741,0.514023,25.306580,11.063298,11.063298,153.978098
8.300409,0.472167,23.441880,8.525149,8.525149,144.666314
7.669744,0.450247,21.849152,7.862931,7.862931,139.821859
13.647081,0.619561,37.834379,9.053893,9.053893,190.934161
11.716204,0.710890,35.086083,9.862865,9.862865,184.713878
10.122581,0.566152,29.619635,7.638480,7.638480,153.670286
8.491229,0.377573,21.912162,8.682815,8.682815,149.032138
8.527933,0.456871,21.517915,8.966500,8.966500,149.776565
8.354811,0.423814,20.162471,6.754403,6.754403,137.451744
9.502379,0.448263,23.798941,8.878754,8.878754,152.057910
8.108791,0.410342,20.810929,8.143543,8.143543,141.054357
8.066038,0.377990,20.163368,6.753123,6.753123,138.628242
8.062294,0.441318,20.428396,10.429561,10.429561,148.569251
7.586063,0.481799,18.881365,8.110199,8.110199,137.073563
6.422238,0.496967,15.758247,4.463105,4.463105,129.698190
7.829746,0.621386,21.308824,7.428109,7.428109,147.270736
7.710993,0.664554,20.413676,6.618369,6.618369,142.099877
9.548908,0.652682,24.928429,5.941975,5.941975,147.969498
10.018611,0.550344,25.596280,7.455310,7.455310,188.200041
8.364443,0.692938,24.543848,6.349917,6.349917,148.061148
6.395070,0.480135,20.063334,8.747617,8.747617,146.661032
4.036731,0.663178,10.466010,5.091819,5.091819,81.909682
13.290019,1.206065,46.204934,6.948038,6.948038,198.691874
16.052428,1.534550,54.479775,7.701585,7.701585,198.137435
13.468966,0.738443,40.524722,8.508860,8.508860,174.737667
8.688160,0.447078,25.255827,8.324890,8.324890,155.167972
7.190634,0.573960,23.735612,8.423228,8.423228,148.389825
7.740241,0.482119,23.718108,9.448042,9.448042,152.061302
14.549781,0.896621,41.757477,7.504878,7.504878,186.019432
9.661678,0.685322,34.270358,6.806020,6.806020,172.512706
18.082441,1.053488,60.139730,9.916082,9.916082,211.731650
16.595379,0.798988,44.431052,9.502955,9.502955,193.976733
12.294484,0.716843,37.420453,8.376059,8.376059,172.344960
18.126954,1.076208,61.678569,8.612126,8.612126,207.814216
12.762427,0.623818,43.238970,11.001345,11.001345,193.435958
13.150529,0.606921,40.688437,10.202805,10.202805,183.281088
12.434838,0.608713,37.155521,11.406887,11.406887,183.140094
12.804892,0.596584,40.621876,7.386316,7.386316,184.096588
12.289205,0.534727,43.087000,9.098309,9.098309,197.291502
12.458231,0.655626,37.314019,8.838625,8.838625,170.374051
17.411903,0.882061,45.473339,10.372472,10.372472,190.584939
10.393112,0.664618,32.850018,6.323644,6.323644,163.876803
8.596927,0.439430,26.324002,10.173141,10.173141,160.143277
8.830850,0.515655,25.714361,6.717315,6.717315,156.571257
11.686507,0.748779,38.856634,9.469835,9.469835,187.651520
12.323316,0.606153,35.768909,6.459839,6.459839,183.492899
12.381526,0.757163,37.879019,9.375977,9.375977,422.392819
7.476493,0.666986,21.780063,6.745731,6.745731,149.632434
13.524551,1.067023,43.133369,8.682047,8.682047,204.588889
13.513990,1.638232,37.601032,5.350062,5.350062,198.760195
13.250914,1.400405,37.656296,3.751287,3.751287,199.601295
9.849232,0.908237,27.037549,5.319598,5.319598,165.995746
14.017614,0.884461,41.448224,3.384370,3.384370,198.883141
9.830512,0.631465,33.166471,4.060859,4.060859,189.172790
15.338369,0.698762,45.634046,7.082568,7.082568,201.892369
13.403845,0.578120,34.091572,7.142888,7.142888,194.345026
17.346142,0.732939,50.652775,8.524253,8.524253,227.997231
17.827973,0.728907,48.687498,9.229639,9.229639,230.686871
12.254580,0.596457,35.220452,10.488250,10.488250,203.608906
16.673076,0.772012,42.383149,15.143486,15.143486,223.805202
11.796109,0.647593,35.379111,12.577880,12.577880,206.843929
11.877518,1.036943,35.819662,7.564815,7.564815,196.535330
19.049015,1.044048,54.710754,10.849663,10.849663,232.558258
18.614705,1.066992,52.669892,11.028994,11.028994,251.609226
12.341045,0.831085,34.554522,11.483080,11.483080,205.587239
9.428811,0.637385,24.585064,11.779501,11.779501,195.871321
9.168006,0.567176,24.021761,9.330665,9.330665,195.110637
8.527005,0.551752,24.805580,8.573917,8.573917,191.355702
8.156183,0.650634,23.481528,8.643583,8.643583,193.664024
7.972309,0.629801,22.878447,7.858068,7.858068,189.833920
8.721152,0.647530,25.003567,8.728896,8.728896,194.027134
15.544804,1.085104,52.579299,11.456072,11.456072,259.049655
14.773913,1.271378,45.344473,8.609790,8.609790,223.692304
9.112358,1.089168,26.944011,8.762145,8.762145,196.290271
8.404316,0.737514,23.848350,7.903796,7.903796,204.481335
8.657439,0.832940,24.074881,9.236231,9.236231,185.379870
10.191605,0.957166,27.471891,9.956018,9.956018,198.511711
8.430619,0.871373,21.412890,7.676593,7.676593,175.921780
12.939070,1.094960,37.722697,6.573312,6.573312,210.023272
12.823036,1.122321,36.170706,5.728148,5.728148,204.881501
13.179521,1.108145,38.331058,4.818310,4.818310,208.348527
10.417177,1.046895,25.181649,5.695700,5.695700,199.455245
10.330648,0.784587,26.020222,3.553972,3.553972,191.920543
14.250193,0.886605,40.322159,5.967480,5.967480,211.589951
9.994227,0.700522,27.166639,7.124936,7.124936,195.246704
14.123727,0.664521,28.725478,3.881241,3.881241,206.364850
9.043972,0.691722,23.177300,6.951942,6.951942,193.184433
8.491197,0.631305,22.934192,8.323034,8.323034,184.113260
9.985971,0.728875,25.910747,4.096572,4.096572,193.215762
9.107941,0.701707,24.639081,6.382910,6.382910,198.037944
8.806465,0.720267,22.782158,9.617741,9.617741,201.060293
8.368987,0.725035,19.686848,6.496095,6.496095,197.429871
8.388635,0.757963,18.604849,9.128198,9.128198,198.115609
13.138209,1.123056,35.448712,6.964550,6.964550,223.834962
12.755739,0.958799,32.386458,1.929469,1.929469,216.670058
7.535471,0.857100,16.024427,4.472482,4.472482,179.790893
9.406474,0.943822,22.402824,6.496384,6.496384,198.575936
7.982709,0.882221,18.683698,5.447984,5.447984,176.567453
10.955520,1.291731,25.990206,5.484305,5.484305,196.414816
7.384588,0.970926,18.529776,5.417711,5.417711,173.477647
10.670557,1.427253,30.406398,5.493649,5.493649,214.935536
6.779780,0.926413,17.634115,2.899947,2.899947,191.917727
9.142759,1.011182,21.896065,2.941451,2.941451,193.153425
9.061573,0.896973,21.838944,6.415326,6.415326,194.700359
