#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.015009,3,1,0,1302
0.005184,4,1,0,1892
0.516455,5,1,0,2475
1.045551,6,1,0,2849
1.247506,7,1,0,3225
0.963182,8,1,0,3534
1.672153,9,1,0,3796
2.115007,10,1,0,3856
1.724921,0,0,0,0
66.412359,0,0,0,0
1.932221,0,0,0,0
2.121183,0,0,0,0
2.146111,0,0,0,0
2.827881,0,0,0,0
2.559621,0,0,0,0
2.927211,0,0,0,0
3.023628,0,0,0,0
3.550228,0,0,0,0
3.835415,0,0,0,0
4.449024,0,0,0,0
4.716773,0,0,0,0
5.503696,0,0,0,0
5.521712,0,0,0,0
5.102507,0,0,0,0
5.336270,0,0,0,0
5.069738,0,0,0,0
5.307438,0,0,0,0
4.798438,0,0,0,0
5.305902,0,0,0,0
4.287582,0,0,0,0
4.675044,0,0,0,0
4.169149,0,0,0,0
4.754053,0,0,0,0
4.801478,0,0,0,0
4.794630,0,0,0,0
4.739525,0,0,0,0
4.995433,0,0,0,0
6.057624,0,0,0,0
6.121113,0,0,0,0
5.423215,0,0,0,0
5.332622,0,0,0,0
5.109098,0,0,0,0
6.077976,0,0,0,0
6.418109,0,0,0,0
3.626196,0,0,0,0
4.743813,0,0,0,0
2.681895,0,0,0,0
2.564549,0,0,0,0
2.135551,0,0,0,0
2.270049,0,0,0,0
1.992477,0,0,0,0
2.669607,0,0,0,0
4.021467,0,0,0,0
4.340703,0,0,0,0
4.859463,0,0,0,0
2.691431,0,0,0,0
3.393041,0,0,0,0
2.381635,0,0,0,0
4.625123,0,0,0,0
2.841674,0,0,0,0
5.014985,0,0,0,0
4.313823,0,0,0,0
5.645618,0,0,0,0
5.283213,0,0,0,0
7.127783,0,0,0,0
6.180634,0,0,0,0
6.248347,0,0,0,0
5.401070,0,0,0,0
7.177064,0,0,0,0
5.903606,0,0,0,0
7.188424,0,0,0,0
5.112074,0,0,0,0
5.220396,0,0,0,0
6.284700,0,0,0,0
5.185643,0,0,0,0
6.842500,0,0,0,0
4.886471,0,0,0,0
5.867061,0,0,0,0
6.619328,0,0,0,0
4.337119,0,0,0,0
7.652944,0,0,0,0
5.125387,0,0,0,0
3.536948,0,0,0,0
5.652434,0,0,0,0
5.267725,0,0,0,0
1.530390,0,0,0,0
4.334143,0,0,0,0
1.343571,0,0,0,0
3.037228,0,0,0,0
3.374225,0,0,0,0
4.227262,0,0,0,0
3.847640,0,0,0,0
4.053435,0,0,0,0
2.909738,0,0,0,0
4.092476,0,0,0,0
3.310544,0,0,0,0
7.813234,0,0,0,0
7.574319,0,0,0,0
13.522821,0,0,0,0
4.796166,0,0,0,0
5.183500,0,0,0,0
5.998615,0,0,0,0
9.424458,0,0,0,0
10.514969,0,0,0,0
6.547104,0,0,0,0
14.005388,0,0,0,0
5.599826,0,0,0,0
5.385486,0,0,0,0
6.915780,0,0,0,0
