run_id,dataset,rmse,mean,max,std,median,scale_factor
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH01_0_run_1,f_dataset-MH01_stereo_imu,GT_MH01,0.03603488793575788,0.0330339963426363,0.07096618829662255,0.01439681333411394,0.037519091965942594,1.0054179457856658
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH01_0_run_10,f_dataset-MH01_stereo_imu,GT_MH01,0.04253263661046344,0.03941619517015138,0.10141810545737236,0.015980886563212615,0.04115107710796158,1.0087639597045215
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH01_0_run_2,f_dataset-MH01_stereo_imu,GT_MH01,0.04864745085783171,0.04371964807207961,0.09322471238296416,0.02133463961304845,0.05263265736997585,1.009412143850064
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH01_0_run_3,f_dataset-MH01_stereo_imu,GT_MH01,0.04702209622966821,0.03871856135135587,0.12670588259758642,0.02668240132959306,0.03260131240046097,1.009020231057768
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH01_0_run_4,f_dataset-MH01_stereo_imu,GT_MH01,0.041600648707800586,0.03844857674100633,0.09223236553589313,0.0158846126644869,0.04242073167206929,1.0082691479880899
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH01_0_run_5,f_dataset-MH01_stereo_imu,GT_MH01,0.04880719073683447,0.04471884054354265,0.09531442200615357,0.019554211005891952,0.0513881237344,1.0093118201486135
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH01_0_run_6,f_dataset-MH01_stereo_imu,GT_MH01,0.05749232292013572,0.04945373745465846,0.15744462412411758,0.02932055672252615,0.04589834885865353,1.0118486176034776
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH01_0_run_7,f_dataset-MH01_stereo_imu,GT_MH01,0.01747236688837399,0.015623803572336616,0.0463218184522695,0.007821787942343447,0.014624265134534662,1.0013600325969363
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH01_0_run_8,f_dataset-MH01_stereo_imu,GT_MH01,0.04162426362508933,0.0387607117061739,0.0844954961020551,0.015171900024776343,0.04284874857074207,1.0082578959171509
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH01_0_run_9,f_dataset-MH01_stereo_imu,GT_MH01,0.035160130785279714,0.03236048019604901,0.07415093193174895,0.013748967900140527,0.03517098634540684,1.0063397043580558
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH02_0_run_1,f_dataset-MH02_stereo_imu,GT_MH02,0.04503806341957316,0.0373605274755328,0.13003233214629062,0.025151901386087153,0.02688958926530572,1.0008236112324809
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH02_0_run_10,f_dataset-MH02_stereo_imu,GT_MH02,0.06945257910092019,0.0597562609144768,0.17568852109201075,0.03539562155536401,0.05169342075874109,0.9969673744220312
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH02_0_run_2,f_dataset-MH02_stereo_imu,GT_MH02,0.04512241722832961,0.03589981380991024,0.14140368334588127,0.027335616051979417,0.024892631962459912,0.9995831435728805
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH02_0_run_3,f_dataset-MH02_stereo_imu,GT_MH02,0.047125557913603226,0.03954295860570717,0.14103699328871763,0.025635378549490946,0.03009005367385633,0.9967176496719358
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH02_0_run_4,f_dataset-MH02_stereo_imu,GT_MH02,0.037784570606866866,0.030364265366941073,0.11706337195711977,0.022487444600738652,0.023079993980277644,0.9987406579647548
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH02_0_run_5,f_dataset-MH02_stereo_imu,GT_MH02,0.0597726236989799,0.0498603653922218,0.16423283269215616,0.03296529245758308,0.039331300487514764,0.9954108392822963
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH02_0_run_6,f_dataset-MH02_stereo_imu,GT_MH02,0.041023440535500846,0.0355430726569286,0.11071804672407236,0.02048444921090311,0.029090200539394387,0.9965493084852699
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH02_0_run_7,f_dataset-MH02_stereo_imu,GT_MH02,0.04495871354622826,0.03731425228887485,0.1424507799464414,0.02507852666832736,0.028107091327849498,0.998426169185947
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH02_0_run_8,f_dataset-MH02_stereo_imu,GT_MH02,0.05577395544921623,0.05019351514367307,0.133657562513696,0.024317589189165517,0.044624143243913394,0.9924005780413251
2026-01-26_13-13-28_result_stereo_inertial_oasis_MH02_0_run_9,f_dataset-MH02_stereo_imu,GT_MH02,0.04062314990233477,0.0358724839354086,0.10307801810861811,0.019063189772213163,0.030387839111477452,0.9957589357035219
