run_id,dataset,rmse,mean,max,std,median,scale_factor
2026-01-30_16-01-32_result_normal_MH01_MaskRandom_run1,f_dataset-MH01_stereo_imu,GT_MH01,0.043598814649003774,0.040711328409415014,0.08237650828242439,0.015602704186740956,0.04601326360688014,1.008637522421297
2026-01-30_16-01-32_result_normal_MH01_MaskRandom_run10,f_dataset-MH01_stereo_imu,GT_MH01,0.04652231135648263,0.04281382505394067,0.08696160541854514,0.018201698772369428,0.049394532370959594,1.0092234782168268
2026-01-30_16-01-32_result_normal_MH01_MaskRandom_run2,f_dataset-MH01_stereo_imu,GT_MH01,0.0368195076423851,0.034539734614510556,0.08085021143277349,0.012754719745523054,0.03779191496471733,1.0070522891432625
2026-01-30_16-01-32_result_normal_MH01_MaskRandom_run3,f_dataset-MH01_stereo_imu,GT_MH01,0.0462026113951147,0.04285107577502395,0.08989624069662056,0.017276186056278103,0.04815971121648978,1.0089592578375675
2026-01-30_16-01-32_result_normal_MH01_MaskRandom_run4,f_dataset-MH01_stereo_imu,GT_MH01,0.033325469204050974,0.03063086918651886,0.06898097238435169,0.013127709265082,0.032760069248715155,1.0057196147889782
2026-01-30_16-01-32_result_normal_MH01_MaskRandom_run5,f_dataset-MH01_stereo_imu,GT_MH01,0.03621128537832086,0.033712942375738464,0.0769956839907245,0.013217212456502774,0.036941544862790714,1.006885890700007
2026-01-30_16-01-32_result_normal_MH01_MaskRandom_run6,f_dataset-MH01_stereo_imu,GT_MH01,0.041932912548808224,0.038762652559673184,0.08707572239694118,0.015994559117526803,0.04436932116170138,1.008646458610842
2026-01-30_16-01-32_result_normal_MH01_MaskRandom_run7,f_dataset-MH01_stereo_imu,GT_MH01,0.03805918436247946,0.035406587403122,0.08010653440414527,0.01395976657406144,0.03826125085540569,1.0068270166264814
2026-01-30_16-01-32_result_normal_MH01_MaskRandom_run8,f_dataset-MH01_stereo_imu,GT_MH01,0.04120865922475971,0.03772690981359218,0.0811175278296263,0.016578114217831185,0.044379675681094785,1.0083916272969804
2026-01-30_16-01-32_result_normal_MH01_MaskRandom_run9,f_dataset-MH01_stereo_imu,GT_MH01,0.035445781719765306,0.03238224397646717,0.07409542149867902,0.014415051743708869,0.03637334373140723,1.0062393188843595
2026-01-30_16-01-32_result_normal_MH02_MaskRandom_run1,f_dataset-MH02_stereo_imu,GT_MH02,0.033003487620012824,0.028037591553003675,0.09887952006784925,0.01741044672003784,0.022495098320499007,0.9976469185643762
2026-01-30_16-01-32_result_normal_MH02_MaskRandom_run10,f_dataset-MH02_stereo_imu,GT_MH02,0.026869009351856148,0.023325735940137638,0.07730091713022447,0.013336180352751102,0.020044981449020664,1.0004106554980519
2026-01-30_16-01-32_result_normal_MH02_MaskRandom_run2,f_dataset-MH02_stereo_imu,GT_MH02,0.03444483364684277,0.028120658083103378,0.10285335608186827,0.01989158500300728,0.02169341039719218,0.9993138521234203
2026-01-30_16-01-32_result_normal_MH02_MaskRandom_run3,f_dataset-MH02_stereo_imu,GT_MH02,0.030207399716177363,0.02545351598945107,0.09221900421814201,0.0162666997693961,0.02011485337648784,0.9982410789567895
2026-01-30_16-01-32_result_normal_MH02_MaskRandom_run4,f_dataset-MH02_stereo_imu,GT_MH02,0.032897258740091785,0.027965823536329197,0.09489741082620642,0.01732461677923763,0.02147791868923281,1.001508430714223
2026-01-30_16-01-32_result_normal_MH02_MaskRandom_run5,f_dataset-MH02_stereo_imu,GT_MH02,0.026834647814172635,0.02224119356084997,0.08848027643273579,0.01501424764347139,0.018138314231166172,0.9982659344180367
2026-01-30_16-01-32_result_normal_MH02_MaskRandom_run6,f_dataset-MH02_stereo_imu,GT_MH02,0.044144476277844805,0.03592407628501124,0.13070184930900988,0.025655321649004813,0.02696413850172137,0.9989955448768602
2026-01-30_16-01-32_result_normal_MH02_MaskRandom_run7,f_dataset-MH02_stereo_imu,GT_MH02,0.0418857311188425,0.03442692526388784,0.12697272783176214,0.023857939731557976,0.02710915982365228,1.0003756769776775
2026-01-30_16-01-32_result_normal_MH02_MaskRandom_run8,f_dataset-MH02_stereo_imu,GT_MH02,0.027061652363708354,0.022643812776126728,0.08537115274591488,0.01481859546697736,0.018165795018975806,0.9998148493129559
2026-01-30_16-01-32_result_normal_MH02_MaskRandom_run9,f_dataset-MH02_stereo_imu,GT_MH02,0.03929447125630046,0.0334126630734112,0.10968777548660216,0.020679686111131544,0.026483005856567814,0.9997064028998471
2026-01-30_16-01-32_result_normal_MH03_MaskRandom_run1,f_dataset-MH03_stereo_imu,GT_MH03,0.029975415369952824,0.02626175017016612,0.11398823303169443,0.014451505271112209,0.02633969266358063,1.0024682335127548
2026-01-30_16-01-32_result_normal_MH03_MaskRandom_run10,f_dataset-MH03_stereo_imu,GT_MH03,0.028971992593080035,0.02571247930963413,0.10237174031959619,0.013350833777900207,0.025608187408615223,0.9998922414801346
2026-01-30_16-01-32_result_normal_MH03_MaskRandom_run2,f_dataset-MH03_stereo_imu,GT_MH03,0.02690656880979341,0.02339748879638718,0.10601702450550307,0.013286119190308516,0.021816908693767897,0.9989182188517091
2026-01-30_16-01-32_result_normal_MH03_MaskRandom_run3,f_dataset-MH03_stereo_imu,GT_MH03,0.02635135962739782,0.022622770421550618,0.10769851287562504,0.013513120019679628,0.020293484285094712,1.0011801408619645
2026-01-30_16-01-32_result_normal_MH03_MaskRandom_run4,f_dataset-MH03_stereo_imu,GT_MH03,0.0291556903122954,0.025598562291131315,0.09433447467612356,0.013955926562344251,0.024139235857004993,0.9988980016992685
2026-01-30_16-01-32_result_normal_MH03_MaskRandom_run5,f_dataset-MH03_stereo_imu,GT_MH03,0.02590157566589593,0.0221815428947331,0.10130715693528014,0.013374257990081077,0.020401994168539203,0.9992399744348849
2026-01-30_16-01-32_result_normal_MH03_MaskRandom_run6,f_dataset-MH03_stereo_imu,GT_MH03,0.027019588900942387,0.02368484419311085,0.10385970424757926,0.013003320342281525,0.022745571126948704,0.9999897807523881
2026-01-30_16-01-32_result_normal_MH03_MaskRandom_run7,f_dataset-MH03_stereo_imu,GT_MH03,0.02611953887951227,0.02292328873980557,0.10189502240862804,0.012520109609338742,0.02174851937456097,0.9993539935861198
