#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008027,3,1,0,800
0.002636,4,1,0,854
0.292290,5,1,0,1285
0.323406,6,1,0,1652
0.911130,7,1,0,1879
0.669363,8,1,0,2122
0.882484,9,1,0,2406
0.682268,10,1,0,2529
0.683608,0,0,0,0
40.156942,0,0,0,0
1.291254,0,0,0,0
1.193937,0,0,0,0
1.211496,0,0,0,0
1.302440,0,0,0,0
1.499811,0,0,0,0
1.524929,0,0,0,0
1.585051,0,0,0,0
1.825324,0,0,0,0
2.147562,0,0,0,0
2.435459,0,0,0,0
2.477205,0,0,0,0
3.690603,0,0,0,0
3.219328,0,0,0,0
4.204876,0,0,0,0
3.305864,0,0,0,0
4.066362,0,0,0,0
3.471908,0,0,0,0
4.557579,0,0,0,0
3.525612,0,0,0,0
3.606279,0,0,0,0
3.586552,0,0,0,0
3.261056,0,0,0,0
3.113710,0,0,0,0
2.687051,0,0,0,0
3.341329,0,0,0,0
4.097482,0,0,0,0
5.299296,0,0,0,0
2.917795,0,0,0,0
5.549079,0,0,0,0
4.100427,0,0,0,0
4.511770,0,0,0,0
3.932633,0,0,0,0
4.552439,0,0,0,0
2.493978,0,0,0,0
4.347560,0,0,0,0
3.884283,0,0,0,0
2.804981,0,0,0,0
4.762194,0,0,0,0
3.425638,0,0,0,0
2.968988,0,0,0,0
2.394715,0,0,0,0
4.296922,0,0,0,0
4.199922,0,0,0,0
2.437237,0,0,0,0
2.828182,0,0,0,0
5.189647,0,0,0,0
3.688204,0,0,0,0
6.183444,0,0,0,0
3.568967,0,0,0,0
4.593465,0,0,0,0
2.996632,0,0,0,0
5.300393,0,0,0,0
3.765890,0,0,0,0
3.632600,0,0,0,0
4.656952,0,0,0,0
3.412276,0,0,0,0
3.428394,0,0,0,0
6.485148,0,0,0,0
4.354182,0,0,0,0
3.790586,0,0,0,0
3.963064,0,0,0,0
5.627285,0,0,0,0
3.887839,0,0,0,0
4.440855,0,0,0,0
3.338158,0,0,0,0
4.119651,0,0,0,0
6.222733,0,0,0,0
6.650332,0,0,0,0
2.968195,0,0,0,0
5.389341,0,0,0,0
4.992352,0,0,0,0
4.914259,0,0,0,0
4.298746,0,0,0,0
5.012009,0,0,0,0
4.225526,0,0,0,0
4.258044,0,0,0,0
4.183311,0,0,0,0
5.599090,0,0,0,0
5.232471,0,0,0,0
5.419472,0,0,0,0
5.308172,0,0,0,0
4.796683,0,0,0,0
5.069954,0,0,0,0
5.166441,0,0,0,0
3.527908,0,0,0,0
4.468775,0,0,0,0
3.685713,0,0,0,0
4.699355,0,0,0,0
4.026006,0,0,0,0
4.376427,0,0,0,0
5.971075,0,0,0,0
4.744188,0,0,0,0
3.915549,0,0,0,0
2.982892,0,0,0,0
5.215307,0,0,0,0
4.118426,0,0,0,0
4.793498,0,0,0,0
4.262008,0,0,0,0
3.081324,0,0,0,0
4.415555,0,0,0,0
3.582107,0,0,0,0
3.893978,0,0,0,0
3.063049,0,0,0,0
5.086256,0,0,0,0
3.860024,0,0,0,0
3.570518,0,0,0,0
5.127598,0,0,0,0
5.370181,0,0,0,0
2.784060,0,0,0,0
5.787589,0,0,0,0
4.191513,0,0,0,0
3.618387,0,0,0,0
3.033904,0,0,0,0
3.616890,0,0,0,0
3.826761,0,0,0,0
4.703158,0,0,0,0
5.124567,0,0,0,0
4.484680,0,0,0,0
4.946948,0,0,0,0
4.193713,0,0,0,0
4.396007,0,0,0,0
4.293474,0,0,0,0
5.313873,0,0,0,0
7.561114,0,0,0,0
6.491831,0,0,0,0
7.086522,0,0,0,0
7.146876,0,0,0,0
9.350650,0,0,0,0
10.504347,0,0,0,0
9.640131,0,0,0,0
9.422812,0,0,0,0
8.946184,0,0,0,0
8.565163,0,0,0,0
9.534357,0,0,0,0
12.013493,0,0,0,0
9.293740,0,0,0,0
9.837164,0,0,0,0
9.889854,0,0,0,0
8.405708,0,0,0,0
9.293833,0,0,0,0
9.855615,0,0,0,0
10.942652,0,0,0,0
12.952300,0,0,0,0
9.960748,0,0,0,0
11.698455,0,0,0,0
10.600446,0,0,0,0
13.020093,0,0,0,0
9.315461,0,0,0,0
8.689467,0,0,0,0
10.487456,0,0,0,0
10.926376,0,0,0,0
10.712682,0,0,0,0
11.315756,0,0,0,0
11.723377,0,0,0,0
10.984943,0,0,0,0
10.281312,0,0,0,0
11.479932,0,0,0,0
11.869854,0,0,0,0
12.555997,0,0,0,0
11.223306,0,0,0,0
10.342741,0,0,0,0
12.128732,0,0,0,0
12.905308,0,0,0,0
9.516970,0,0,0,0
10.317955,0,0,0,0
12.555493,0,0,0,0
9.940197,0,0,0,0
9.836099,0,0,0,0
8.028023,0,0,0,0
10.550142,0,0,0,0
13.959698,0,0,0,0
8.793670,0,0,0,0
9.866862,0,0,0,0
6.907775,0,0,0,0
11.248522,0,0,0,0
7.762414,0,0,0,0
8.944119,0,0,0,0
7.913979,0,0,0,0
12.053495,0,0,0,0
7.335873,0,0,0,0
9.721164,0,0,0,0
8.002172,0,0,0,0
8.158605,0,0,0,0
7.779770,0,0,0,0
8.727939,0,0,0,0
9.183152,0,0,0,0
8.367975,0,0,0,0
7.634384,0,0,0,0
7.629699,0,0,0,0
