#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636579763555584.000000,0.000000,0.000000,17.996908,4.307946,0.002242,6.130887,3.602254,0.001295,24.477421
1403636579813555456.000000,0.000000,0.000000,14.445872,3.877576,0.065525,1.841015,3.007036,0.000525,21.604861
1403636579863555584.000000,0.000000,0.000000,14.076141,4.240528,0.046651,1.685060,2.963082,0.000472,21.379414
1403636579913555456.000000,0.000000,0.000000,13.338421,4.191746,0.055259,1.349770,2.969883,0.000651,20.026151
1403636579963555584.000000,0.000000,0.000000,13.653744,4.329801,0.047040,1.299474,2.877608,0.396837,21.788315
1403636580013555456.000000,0.000000,0.000000,15.358742,4.109270,0.045351,2.555901,3.296996,0.000534,32.748488
1403636580063555584.000000,0.000000,0.000000,13.530039,4.074433,0.104864,3.074762,6.288335,0.000794,25.518044
1403636580113555456.000000,0.000000,0.000000,13.653316,4.138847,0.053237,1.340514,3.536966,0.000697,25.246919
1403636580163555584.000000,0.000000,0.000000,15.549334,3.989735,0.052254,1.151467,3.660780,0.000453,27.058319
1403636580213555456.000000,0.000000,0.000000,13.282279,3.401546,0.074198,0.867612,2.954112,0.295647,24.366048
1403636580263555584.000000,0.000000,0.000000,15.271749,7.783714,0.107189,1.385936,1.944258,0.000438,32.644829
1403636580313555456.000000,0.000000,0.000000,13.426547,6.907416,0.099496,1.780485,4.089933,0.000940,33.563764
1403636580363555584.000000,0.000000,0.000000,13.942800,3.223466,0.074970,1.649122,3.861011,0.000598,25.385957
1403636580413555456.000000,0.000000,0.000000,13.968715,4.509638,0.066597,0.880214,2.251197,0.000669,26.704670
1403636580463555584.000000,0.000000,0.000000,12.600384,3.374967,0.072700,1.907220,4.866080,0.649743,22.827118
1403636580513555456.000000,0.000000,0.000000,13.965729,2.274656,0.062831,1.819505,2.266791,0.000556,22.804565
1403636580563555584.000000,0.000000,0.000000,13.234587,5.214202,0.105491,1.305874,2.450174,0.000720,28.379142
1403636580613555456.000000,0.000000,0.000000,13.596409,5.907001,0.124767,1.204499,2.692156,0.000535,28.663894
1403636580663555584.000000,0.000000,0.000000,12.707687,2.794334,0.062785,0.960942,2.542106,0.000518,21.544699
1403636580713555456.000000,0.000000,0.000000,12.295986,6.125498,0.123182,0.992245,2.884201,0.502544,29.721699
1403636580763555584.000000,0.000000,0.000000,13.299637,3.269002,0.056360,2.485076,3.126296,0.000680,24.115464
1403636580813555456.000000,0.000000,0.000000,12.906356,3.635808,0.064625,1.723833,3.529691,0.001006,23.574904
1403636580863555584.000000,0.000000,0.000000,13.854357,4.210230,0.069480,1.357297,3.538294,0.000820,25.292758
1403636580913555456.000000,0.000000,0.000000,13.285300,4.201458,0.095272,1.232610,3.420270,0.000461,24.036675
1403636580963555584.000000,0.000000,0.000000,12.928773,4.000377,0.072101,0.993856,3.352495,0.550822,24.566611
1403636581013555456.000000,0.000000,0.000000,14.157065,3.946813,0.053751,2.666204,4.143507,0.000589,27.069948
1403636581063555584.000000,0.000000,0.000000,15.391039,4.350825,0.043348,2.157086,4.139441,0.000542,27.783069
1403636581113555456.000000,0.000000,0.000000,13.317143,4.524826,0.048524,3.973863,6.587652,0.000723,25.945597
1403636581163555584.000000,0.000000,0.000000,13.411373,4.750739,0.064884,2.763266,6.068425,0.000722,25.711687
1403636581213555456.000000,0.000000,0.000000,14.030298,4.477661,0.054020,1.680144,5.360046,0.548256,26.894350
1403636581263555584.000000,0.000000,0.000000,13.484382,5.002045,0.052997,4.099048,6.258070,0.000746,28.855983
1403636581313555456.000000,0.000000,0.000000,13.178176,4.405841,0.057190,3.494027,7.228601,0.000670,27.292782
1403636581363555584.000000,0.000000,0.000000,13.376004,9.431112,0.139573,2.017807,4.795794,0.000612,37.210720
1403636581413555456.000000,0.000000,0.000000,14.064738,7.148393,0.118305,2.718352,6.400830,0.000670,33.440526
1403636581463555584.000000,0.000000,0.000000,13.928364,4.943375,0.083862,2.815996,8.046901,0.591463,29.194942
1403636581513555456.000000,0.000000,0.000000,13.394966,8.425723,0.110447,4.102673,5.785259,0.000681,35.240308
1403636581563555584.000000,0.000000,0.000000,13.673781,8.138291,0.104334,4.796436,6.860117,0.000773,36.105374
1403636581613555456.000000,0.000000,0.000000,13.602815,4.935383,0.079220,3.232329,7.041410,0.000717,28.635044
1403636581663555584.000000,0.000000,0.000000,13.268826,7.812519,0.111928,2.764329,6.329856,0.000680,33.676894
1403636581713555456.000000,0.000000,0.000000,12.827927,8.237792,0.112178,1.529213,4.828721,0.403288,35.991524
1403636581763555584.000000,0.000000,0.000000,13.061529,9.132181,0.113214,3.222070,7.080058,0.001066,35.750072
1403636581813555456.000000,0.000000,0.000000,14.066772,7.174201,0.108147,1.781882,4.662471,0.000489,36.643697
1403636581863555584.000000,0.000000,0.000000,13.807805,7.130221,0.114041,2.296517,6.623796,0.000638,34.465107
1403636581913555456.000000,0.000000,0.000000,14.920003,6.061355,0.105600,1.361501,4.640493,0.000522,33.592137
1403636581963555584.000000,0.000000,0.000000,13.188133,4.145050,0.083318,1.777772,6.534530,0.486787,27.381851
1403636582013555456.000000,0.000000,0.000000,14.975568,5.523816,0.095366,2.324561,3.897799,0.000565,34.275311
1403636582063555584.000000,0.000000,0.000000,12.250004,3.452648,0.072175,0.043709,6.642003,0.516896,25.640807
1403636582113555456.000000,0.000000,0.000000,12.844593,5.579582,0.105096,0.046714,4.095944,0.026031,31.089986
1403636582163555584.000000,0.000000,0.000000,16.674382,5.890743,0.086385,0.039169,8.170909,0.049153,31.557219
1403636582213555456.000000,0.000000,0.000000,14.764146,5.642475,0.121217,0.038221,9.781658,0.049406,32.782393
1403636582263555584.000000,0.000000,0.000000,13.399453,6.442359,0.131645,0.036510,5.736624,0.031474,29.535030
1403636582313555456.000000,0.000000,0.000000,13.157676,6.017183,0.117277,0.034721,5.249934,0.427266,29.569350
1403636582363555584.000000,0.000000,0.000000,12.706950,6.232070,0.073904,0.060228,6.723227,0.054114,26.587643
1403636582413555456.000000,0.000000,0.000000,12.609347,6.583242,0.078364,0.051011,10.502736,0.058290,30.699783
1403636582463555584.000000,0.000000,0.000000,13.285931,7.666282,0.114765,0.041591,6.437706,0.526164,33.914013
1403636582513555456.000000,0.000000,0.000000,14.198011,7.384134,0.081322,0.061395,10.410728,0.082434,30.505299
1403636582563555584.000000,0.000000,0.000000,13.267871,3.471803,0.081272,0.058886,9.078425,0.629475,25.498444
1403636582613555456.000000,0.000000,0.000000,12.992250,4.187453,0.090095,0.080542,14.175207,0.103735,27.879642
1403636582663555584.000000,0.000000,0.000000,13.835778,8.990349,0.120961,0.053600,8.302325,0.464258,36.490392
1403636582713555456.000000,0.000000,0.000000,13.197734,4.387514,0.084898,0.057077,7.625417,0.064017,27.614064
1403636582763555584.000000,0.000000,0.000000,12.990551,6.910112,0.113745,0.045667,6.548294,0.481614,34.063600
1403636582813555456.000000,0.000000,0.000000,12.817914,7.917079,0.142724,0.066395,9.117278,0.085037,34.353256
1403636582863555584.000000,0.000000,0.000000,13.775900,10.437612,0.131451,0.044696,6.473883,0.432403,41.914687
1403636582913555456.000000,0.000000,0.000000,14.013232,7.249392,0.120406,0.072176,11.919671,0.078902,32.984249
1403636582963555584.000000,0.000000,0.000000,14.772394,5.045562,0.039112,0.050601,8.597094,0.065990,30.784471
1403636583013555456.000000,0.000000,0.000000,13.047900,4.894148,0.093167,0.078513,8.274294,0.052470,28.804997
1403636583063555584.000000,0.000000,0.000000,14.274900,5.017697,0.104866,0.047974,7.846508,0.358466,31.602689
1403636583113555456.000000,0.000000,0.000000,12.595273,5.646642,0.141301,0.074112,8.830985,0.076518,28.188010
1403636583163555584.000000,0.000000,0.000000,12.791978,7.709836,0.138113,0.056375,9.398742,0.060785,35.772147
