#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.711187,0.105241,1.091756,0.008456,0.008456,8.923921
8.486097,0.300643,3.929302,0.002756,0.002756,12.721235
8.314697,0.648552,4.323964,0.329866,0.329866,27.761959
9.995330,0.425011,6.473480,0.441231,0.441231,31.126330
8.768827,0.255192,10.867624,0.608132,0.608132,45.460224
8.973055,0.348166,13.333952,0.425975,0.425975,61.820652
9.596502,0.397858,8.499410,0.749317,0.749317,37.351160
7.760352,0.319261,16.228402,0.934413,0.934413,57.608466
6.354435,0.187197,7.720570,0.669715,0.669715,32.904613
7.838975,0.190421,7.505032,58.321483,58.321483,104.835764
6.163356,0.077176,7.527431,1.084652,1.084652,37.169377
10.205666,0.283591,27.552964,0.906285,0.906285,74.174228
7.360421,0.213775,16.739631,1.357014,1.357014,66.826146
10.543451,0.150910,16.849793,1.236277,1.236277,66.207905
9.236119,0.260610,18.951064,1.350671,1.350671,71.610803
8.393353,0.250049,15.011544,1.700476,1.700476,62.644236
6.300892,0.173935,12.160388,1.456597,1.456597,72.075703
11.826251,0.229019,26.351536,1.704519,1.704519,82.919062
7.910664,0.164347,16.309011,1.993921,1.993921,74.292502
7.727468,0.145930,19.492794,2.280310,2.280310,80.308370
6.920741,0.118497,13.809262,2.193819,2.193819,78.772656
6.800767,0.106332,13.655342,3.246289,3.246289,77.766314
11.530858,0.119600,28.701764,3.515844,3.515844,106.948282
7.329606,0.110195,17.821967,3.336370,3.336370,86.081351
10.037648,0.179571,23.323044,5.207548,5.207548,101.611585
7.008730,0.111139,18.333903,4.122603,4.122603,91.066670
11.567328,0.155925,32.980478,3.341910,3.341910,270.173014
13.520674,0.405072,37.283555,3.280864,3.280864,123.053122
11.279105,0.156212,27.548126,3.498559,3.498559,98.202812
6.179282,0.119336,16.741953,3.686599,3.686599,84.688499
7.551952,0.121491,13.337769,3.241930,3.241930,78.173952
6.852425,0.096297,12.244967,2.954628,2.954628,78.991176
8.156514,0.073748,0.793139,0.002967,0.002967,9.029558
9.442435,0.407789,2.914941,0.003642,0.003642,12.771215
9.080621,0.356009,3.123242,0.498439,0.498439,31.151233
9.267860,0.321883,4.551691,0.862519,0.862519,38.969675
8.041066,0.218341,5.358132,0.981882,0.981882,29.287903
9.913622,0.319726,13.739947,1.230490,1.230490,61.024207
9.671558,0.387338,17.760149,1.303112,1.303112,59.280854
10.169734,0.371872,22.426422,1.275904,1.275904,71.190461
10.688229,0.312560,19.594093,1.740545,1.740545,65.524865
11.260450,0.311466,22.647628,51.671263,51.671263,121.681601
9.037281,0.156143,12.696765,1.192663,1.192663,61.009523
11.573130,0.264491,26.195394,1.702821,1.702821,83.299156
9.405492,0.166251,10.625088,1.738692,1.738692,63.949477
8.486363,0.108678,11.695020,1.908043,1.908043,61.955229
10.153628,0.221214,18.891214,2.355184,2.355184,75.677990
7.361815,0.129133,12.212751,2.124582,2.124582,68.848693
8.552834,0.137788,20.814033,3.009427,3.009427,79.703961
7.307929,0.134284,15.828434,2.468589,2.468589,74.695277
7.384651,0.148761,19.999573,3.319189,3.319189,86.844672
6.684891,0.149130,14.931852,2.729038,2.729038,80.638791
