#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008513,3,1,0,787
0.002846,4,1,0,1122
0.177684,5,1,0,1316
0.453845,6,1,0,1661
0.374783,7,1,0,1885
0.669119,8,1,0,1933
0.758905,9,1,0,2220
1.028201,10,1,0,2630
0.658724,0,0,0,0
57.957050,0,0,0,0
0.804489,0,0,0,0
1.175636,0,0,0,0
1.225706,0,0,0,0
1.320168,0,0,0,0
1.951079,0,0,0,0
1.467093,0,0,0,0
1.944289,0,0,0,0
1.772310,0,0,0,0
2.056655,0,0,0,0
2.486753,0,0,0,0
2.554248,0,0,0,0
3.452962,0,0,0,0
3.148984,0,0,0,0
3.363111,0,0,0,0
3.869060,0,0,0,0
3.175465,0,0,0,0
3.162288,0,0,0,0
3.480336,0,0,0,0
4.453984,0,0,0,0
3.042559,0,0,0,0
2.972104,0,0,0,0
3.975330,0,0,0,0
5.757353,0,0,0,0
5.072136,0,0,0,0
2.895874,0,0,0,0
4.151388,0,0,0,0
4.033227,3,1,0,1099
3.309891,4,1,0,1415
0.002870,5,1,0,1691
0.002637,6,1,0,2005
0.204413,7,1,0,2428
0.829258,8,1,0,2820
1.626849,9,1,0,3109
1.896637,10,1,0,3203
1.642732,0,0,0,0
1.457587,0,0,0,0
0.857874,0,0,0,0
63.405472,0,0,0,0
0.943362,0,0,0,0
1.472248,0,0,0,0
1.741642,0,0,0,0
1.848948,0,0,0,0
2.009872,0,0,0,0
1.869592,0,0,0,0
1.740715,0,0,0,0
2.198116,0,0,0,0
1.989869,0,0,0,0
2.238558,0,0,0,0
2.385284,0,0,0,0
5.972209,0,0,0,0
3.356932,0,0,0,0
3.186953,0,0,0,0
3.374167,0,0,0,0
3.497485,0,0,0,0
2.999444,0,0,0,0
4.248452,0,0,0,0
3.085432,0,0,0,0
3.092609,0,0,0,0
3.066280,0,0,0,0
3.020680,0,0,0,0
3.060858,0,0,0,0
3.322412,0,0,0,0
2.690398,0,0,0,0
2.802675,0,0,0,0
3.679874,0,0,0,0
2.884220,0,0,0,0
2.979057,0,0,0,0
2.690784,0,0,0,0
2.693170,0,0,0,0
1.911678,0,0,0,0
3.287026,0,0,0,0
2.402570,0,0,0,0
3.003586,0,0,0,0
3.745435,0,0,0,0
3.286793,0,0,0,0
3.107647,0,0,0,0
3.043446,0,0,0,0
3.270126,0,0,0,0
2.386123,0,0,0,0
3.262000,0,0,0,0
2.811022,0,0,0,0
2.647329,0,0,0,0
2.680912,0,0,0,0
2.164344,0,0,0,0
2.642170,0,0,0,0
2.450751,0,0,0,0
2.193041,0,0,0,0
3.804971,0,0,0,0
3.707574,0,0,0,0
1.735186,0,0,0,0
3.521312,0,0,0,0
2.462970,0,0,0,0
2.334619,0,0,0,0
2.402951,0,0,0,0
3.680726,0,0,0,0
2.278918,0,0,0,0
4.316786,0,0,0,0
2.919689,0,0,0,0
4.101228,0,0,0,0
3.105326,0,0,0,0
2.722604,0,0,0,0
3.086600,0,0,0,0
2.190620,0,0,0,0
3.885221,0,0,0,0
2.968555,0,0,0,0
2.429304,0,0,0,0
2.229809,0,0,0,0
3.101035,0,0,0,0
3.733234,0,0,0,0
2.746528,0,0,0,0
4.310439,0,0,0,0
2.677670,0,0,0,0
1.903241,0,0,0,0
2.652149,0,0,0,0
3.161198,0,0,0,0
3.983419,0,0,0,0
5.276858,0,0,0,0
2.791495,0,0,0,0
2.536876,0,0,0,0
3.016996,0,0,0,0
3.112186,0,0,0,0
4.427848,0,0,0,0
3.166962,0,0,0,0
3.973161,0,0,0,0
3.051165,0,0,0,0
5.210739,0,0,0,0
3.498760,0,0,0,0
4.403602,0,0,0,0
3.625430,0,0,0,0
4.278655,0,0,0,0
3.547552,0,0,0,0
2.932649,0,0,0,0
3.410338,0,0,0,0
2.012100,0,0,0,0
4.963925,0,0,0,0
3.280422,0,0,0,0
3.918972,0,0,0,0
3.250917,0,0,0,0
4.059631,0,0,0,0
3.393391,0,0,0,0
3.251540,0,0,0,0
5.346223,0,0,0,0
3.628540,0,0,0,0
3.348443,0,0,0,0
3.844284,0,0,0,0
4.600850,0,0,0,0
2.533155,0,0,0,0
4.725558,0,0,0,0
3.570158,0,0,0,0
5.215066,0,0,0,0
4.124332,0,0,0,0
3.050630,0,0,0,0
3.488545,0,0,0,0
3.858725,0,0,0,0
3.750075,0,0,0,0
3.839746,0,0,0,0
4.306901,0,0,0,0
3.867140,0,0,0,0
4.651164,0,0,0,0
4.002523,0,0,0,0
4.346110,0,0,0,0
2.998097,0,0,0,0
4.941932,0,0,0,0
4.329649,0,0,0,0
3.806233,0,0,0,0
4.268467,0,0,0,0
4.386317,0,0,0,0
4.275045,0,0,0,0
5.238961,0,0,0,0
4.133543,0,0,0,0
3.715014,0,0,0,0
2.871546,0,0,0,0
4.595505,0,0,0,0
3.963614,0,0,0,0
2.962277,0,0,0,0
3.457812,0,0,0,0
3.634992,0,0,0,0
5.947674,0,0,0,0
5.515578,0,0,0,0
4.168498,0,0,0,0
5.135418,0,0,0,0
5.898561,0,0,0,0
5.996263,0,0,0,0
5.452529,0,0,0,0
4.594859,0,0,0,0
4.925599,0,0,0,0
6.049818,0,0,0,0
5.189566,0,0,0,0
4.264291,0,0,0,0
6.552498,0,0,0,0
6.924882,0,0,0,0
5.940292,0,0,0,0
7.869528,0,0,0,0
5.558546,0,0,0,0
6.563856,0,0,0,0
7.237564,0,0,0,0
6.421364,0,0,0,0
7.468664,0,0,0,0
4.663999,0,0,0,0
6.720905,0,0,0,0
6.025783,0,0,0,0
6.892702,0,0,0,0
4.703580,0,0,0,0
5.988136,0,0,0,0
5.847831,0,0,0,0
5.961711,0,0,0,0
5.827101,0,0,0,0
7.175506,0,0,0,0
5.849630,0,0,0,0
7.352221,0,0,0,0
