#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403637130538319104.000000,0.000000,0.000000,17.496590,2.810814,0.006919,7.003130,3.578250,0.002420,22.395182
1403637130588318976.000000,0.000000,0.000000,16.946695,2.798194,0.085099,2.796395,1.391079,0.000547,22.605288
1403637130638319104.000000,0.000000,0.000000,18.078559,3.447113,0.045304,1.931895,1.370735,0.000703,24.263004
1403637130688318976.000000,0.000000,0.000000,16.637008,3.635745,0.059639,3.710914,2.995633,0.000720,22.748964
1403637130738319104.000000,0.000000,0.000000,18.350687,5.693933,0.082529,4.069623,3.571215,0.000699,28.416746
1403637130788318976.000000,0.000000,0.000000,18.705286,5.722407,0.103415,1.542893,1.633038,0.166633,38.859620
1403637130838319104.000000,0.000000,0.000000,19.162973,5.697617,0.170628,2.452536,2.380386,0.000574,32.466654
1403637130888318976.000000,0.000000,0.000000,16.996631,5.222171,0.092362,1.930082,1.381185,0.000523,28.929492
1403637130938319104.000000,0.000000,0.000000,17.125241,5.938601,0.105708,1.607332,1.602229,0.000446,32.852117
1403637130988318976.000000,0.000000,0.000000,18.387420,6.277948,0.105498,1.849272,1.187705,0.000504,35.728484
1403637131038319104.000000,0.000000,0.000000,17.376939,2.555417,0.045427,3.771969,3.881168,0.000587,26.831503
1403637131088318976.000000,0.000000,0.000000,19.371347,2.491851,0.047849,1.904233,1.475664,0.159786,30.102661
1403637131138319104.000000,0.000000,0.000000,18.443229,3.341941,0.062643,4.677836,4.124573,0.000791,28.470642
1403637131188318976.000000,0.000000,0.000000,17.684486,2.429453,0.076459,1.976668,1.543515,0.000519,26.011822
1403637131238319104.000000,0.000000,0.000000,17.433861,4.751602,0.055108,1.565582,1.875107,0.000418,28.544509
1403637131288318976.000000,0.000000,0.000000,18.331487,5.914046,0.099334,3.917471,3.484846,0.000775,35.287942
1403637131338319104.000000,0.000000,0.000000,18.027759,2.521150,0.059010,1.788456,1.415724,0.157261,26.997633
1403637131388318976.000000,0.000000,0.000000,17.726537,4.446042,0.108031,2.053397,1.635454,0.000572,34.122656
1403637131438319104.000000,0.000000,0.000000,17.124178,6.001186,0.105229,1.865376,1.331115,0.000380,29.576063
1403637131488318976.000000,0.000000,0.000000,16.827415,2.276918,0.057358,1.866127,1.652872,0.000499,25.197587
1403637131538319104.000000,0.000000,0.000000,17.729407,5.820762,0.099718,1.732099,1.735539,0.000377,34.754964
1403637131588318976.000000,0.000000,0.000000,17.683366,2.616223,0.049242,1.919174,1.348748,0.150308,26.697477
1403637131638319104.000000,0.000000,0.000000,18.107150,2.512056,0.050954,4.393375,3.665880,0.000917,27.645712
1403637131688318976.000000,0.000000,0.000000,18.772624,2.298445,0.055899,2.102121,1.934994,0.000413,27.248507
1403637131738319104.000000,0.000000,0.000000,16.976670,2.398770,0.056697,4.368783,3.839734,0.000871,25.368909
1403637131788318976.000000,0.000000,0.000000,17.317229,2.462795,0.045759,4.491853,3.935754,0.000983,25.813815
1403637131838319104.000000,0.000000,0.000000,17.308736,2.427326,0.053409,1.687224,1.574000,0.171528,26.042912
1403637131888318976.000000,0.000000,0.000000,18.514755,5.580782,0.103096,1.704245,1.409344,0.000600,35.291260
1403637131938319104.000000,0.000000,0.000000,16.716454,2.636806,0.049294,1.783813,2.051568,0.000595,26.488602
1403637131988318976.000000,0.000000,0.000000,17.944703,2.543652,0.046920,4.332645,3.604243,0.000883,31.718980
1403637132038319104.000000,0.000000,0.000000,17.021427,5.648973,0.110991,1.773609,2.188239,0.000585,34.837951
1403637132088318976.000000,0.000000,0.000000,18.468338,2.477554,0.059314,1.836085,1.555983,0.153248,27.111254
1403637132138319104.000000,0.000000,0.000000,17.629562,2.403541,0.057919,2.123403,1.987987,0.000719,26.487701
1403637132188318976.000000,0.000000,0.000000,18.319314,2.557036,0.059202,1.931384,2.066503,0.001025,27.568816
1403637132238319104.000000,0.000000,0.000000,17.861142,5.597747,0.126266,4.569364,3.257865,0.000780,35.491747
1403637132288318976.000000,0.000000,0.000000,18.213750,2.501915,0.048248,1.979256,1.767265,0.000516,27.442102
1403637132338319104.000000,0.000000,0.000000,17.710057,2.551509,0.047931,1.899305,1.776166,0.169913,26.570007
1403637132388318976.000000,0.000000,0.000000,18.324186,2.525507,0.058680,2.795450,4.847170,0.000897,27.849455
1403637132438319104.000000,0.000000,0.000000,17.916056,2.495193,0.060426,4.061318,3.443427,0.000789,27.269272
1403637132488318976.000000,0.000000,0.000000,18.773667,6.132418,0.122408,1.626144,1.880642,0.000402,35.954148
1403637132538319104.000000,0.000000,0.000000,18.028642,4.106712,0.050717,1.811522,1.432662,0.000452,28.955871
1403637132588318976.000000,0.000000,0.000000,17.742980,2.360385,0.060466,4.107706,1.738579,0.165035,26.969788
1403637132638319104.000000,0.000000,0.000000,17.746122,5.915478,0.070673,1.931826,1.475983,0.000599,34.581688
1403637132688318976.000000,0.000000,0.000000,18.528844,6.265982,0.105022,1.721287,1.632452,0.000471,35.950862
1403637132738319104.000000,0.000000,0.000000,17.883743,2.576845,0.049075,1.654885,1.813745,0.000711,27.308025
1403637132788318976.000000,0.000000,0.000000,17.052962,4.371594,0.058105,1.689700,1.818551,0.000436,27.939412
1403637132838319104.000000,0.000000,0.000000,17.461105,6.042794,0.115808,1.569866,1.602522,0.184619,32.948816
1403637132888318976.000000,0.000000,0.000000,17.561806,2.331026,0.051391,0.026399,2.785868,0.028586,26.729465
1403637132938319104.000000,0.000000,0.000000,18.043843,2.714100,0.047401,0.040582,6.802842,0.061573,27.638676
1403637132988318976.000000,0.000000,0.000000,18.157719,2.551039,0.050010,0.030004,3.575050,0.025629,26.964624
1403637133038319104.000000,0.000000,0.000000,16.763853,2.241309,0.058556,0.042979,7.499037,0.481655,25.922686
1403637133088318976.000000,0.000000,0.000000,17.964566,2.550086,0.049198,0.047793,6.242720,0.049997,26.737240
1403637133138319104.000000,0.000000,0.000000,17.838888,2.395573,0.054597,0.027322,3.520063,0.238584,26.521040
