#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.672496,0.032563,0.310837,0.008920,0.008920,8.031989
7.983897,0.064664,0.542515,0.002788,0.002788,8.596187
8.452399,0.091115,1.030249,0.155864,0.155864,16.204647
5.864865,0.046844,0.866972,0.131223,0.131223,10.859408
5.454178,0.051623,1.010667,0.148244,0.148244,11.787105
8.321578,0.094485,13.615197,0.484653,0.484653,41.509835
7.555918,0.118691,8.447139,0.360811,0.360811,33.255020
5.612547,0.145106,8.200951,0.509184,0.509184,39.875730
10.408227,0.286814,21.664947,0.345199,0.345199,69.335562
10.225734,0.220792,22.365863,66.806995,66.806995,130.988496
10.006280,0.100999,12.101916,0.861939,0.861939,67.582312
11.107333,0.166714,27.324385,0.760252,0.760252,77.530774
7.011857,0.081992,11.698813,0.597304,0.597304,62.220188
9.534746,0.143071,17.764704,0.891964,0.891964,69.339723
7.156597,0.092417,11.103433,0.882741,0.882741,62.515930
12.283013,0.159017,21.306734,1.018067,1.018067,89.459493
10.139030,0.114813,17.370891,1.223330,1.223330,90.977574
6.713249,0.052254,13.809431,1.058901,1.058901,80.382372
8.053682,0.099053,17.573018,1.512147,1.512147,87.944403
7.843188,0.096786,15.632576,1.621171,1.621171,94.250636
10.468003,0.093554,24.855373,1.710448,1.710448,115.755818
11.216098,0.115566,21.865244,2.508343,2.508343,119.093354
16.984365,0.185916,37.578552,3.704033,3.704033,141.285275
11.349300,0.100428,20.012876,2.242697,2.242697,115.025997
8.674377,0.054494,18.903050,2.362420,2.362420,113.694719
12.356727,0.123114,27.280949,2.463018,2.463018,126.395144
16.857083,0.169897,32.742948,3.463301,3.463301,127.555117
8.106638,0.097792,19.924140,2.407439,2.407439,320.325735
8.681137,0.122367,21.524355,2.618919,2.618919,109.724769
10.986398,0.139129,26.122048,2.052128,2.052128,125.947986
11.547413,0.141612,23.305235,2.363598,2.363598,126.073383
17.417457,0.275051,27.638203,2.348193,2.348193,125.343906
16.210554,0.248682,36.618526,2.340304,2.340304,136.678461
17.618517,0.186481,25.318274,2.075126,2.075126,149.746989
8.372207,0.092981,20.402588,2.304127,2.304127,119.508665
18.426344,0.248691,34.512120,2.151449,2.151449,182.976821
10.965596,0.145463,28.029556,3.295978,3.295978,181.960349
9.372450,0.131361,31.590457,2.967532,2.967532,143.784862
10.687850,0.084542,25.221951,3.802447,3.802447,148.855438
10.656165,0.089407,22.229864,4.646693,4.646693,144.662032
9.369684,0.099563,26.810185,2.972718,2.972718,141.003253
9.673939,0.111181,26.382765,4.653492,4.653492,161.334049
8.346481,0.109713,18.501668,4.297382,4.297382,130.382216
7.870592,0.092438,15.325648,2.477091,2.477091,119.844347
7.352642,0.092850,15.488024,4.240700,4.240700,159.241510
6.721023,0.060712,14.237702,2.942335,2.942335,112.689143
7.042471,0.049152,13.163231,3.319046,3.319046,76.775274
12.872260,0.079652,37.361483,4.469016,4.469016,115.691191
6.943264,0.033556,0.341897,0.003027,0.003027,7.324013
7.995610,0.066082,0.696760,0.002980,0.002980,8.763379
8.046706,0.086091,0.871110,0.334680,0.334680,16.728149
8.187129,0.082369,1.269298,0.402562,0.402562,19.047057
5.135300,0.015218,0.700016,0.286798,0.286798,9.441459
