#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
7.420633,0.014543,0.138094,0.008680,0.008680,7.588616
8.818706,0.074451,0.807101,0.003894,0.003894,9.708123
7.599923,0.075952,0.958058,0.124208,0.124208,13.082711
7.938647,0.123614,6.751283,0.245415,0.245415,22.952793
8.430840,0.237119,10.851552,0.327517,0.327517,38.908608
9.363394,0.441285,14.651370,0.277650,0.277650,51.186099
5.581139,0.245730,8.106821,0.951069,0.951069,40.498211
9.025941,0.521570,11.450862,0.545803,0.545803,47.852625
9.454923,0.504820,24.707918,0.802857,0.802857,73.499881
10.222582,0.514603,25.260391,70.899548,70.899548,148.028036
6.129637,0.239722,14.489992,0.947697,0.947697,53.873738
9.612873,0.334160,15.467956,1.163479,1.163479,66.119452
9.351826,0.290676,18.070597,1.420010,1.420010,66.754537
9.613669,0.267488,19.423352,1.726878,1.726878,72.887394
6.284592,0.190816,15.149486,1.955307,1.955307,70.181752
10.827433,0.356783,32.067396,2.096957,2.096957,112.836182
7.604340,0.236986,17.395708,2.636334,2.636334,85.401839
9.354170,0.201246,20.395916,2.507865,2.507865,94.339443
6.012434,0.178681,19.180655,3.351565,3.351565,94.508564
6.156154,0.156061,15.178185,4.267945,4.267945,93.681384
6.046252,0.142814,15.577831,5.457972,5.457972,99.331901
6.993426,0.181044,17.527331,4.545674,4.545674,112.028256
8.044608,0.204872,17.578677,4.460914,4.460914,106.062680
5.931645,0.134330,15.387650,4.782280,4.782280,101.131537
6.229236,0.124558,16.035228,4.247041,4.247041,101.072155
5.842604,0.122091,14.932687,4.183088,4.183088,97.997692
4.946470,0.119046,15.210826,4.377805,4.377805,98.936319
6.110023,0.125431,13.175085,4.101836,4.101836,92.998713
7.177502,0.131704,1.332053,0.003283,0.003283,8.646556
8.203721,0.471558,4.819371,0.002750,0.002750,13.499550
9.182672,0.628341,7.915067,0.734436,0.734436,47.618736
8.817813,0.705726,12.706615,0.524326,0.524326,53.191368
7.800728,0.379231,6.712829,0.808656,0.808656,37.939954
9.415342,0.314762,7.801543,1.045747,1.045747,44.794404
7.848155,0.417081,8.557923,1.130422,1.130422,58.705877
9.684125,0.735149,16.278528,0.814496,0.814496,75.309363
9.262327,0.611121,14.311560,1.300448,1.300448,69.250374
10.164559,0.708686,11.907805,52.023572,52.023572,110.393635
5.474377,0.090496,0.779764,0.002160,0.002160,6.348703
7.662159,0.328827,2.676803,0.001501,0.001501,10.670811
6.652242,0.486988,3.600729,0.287121,0.287121,31.100915
9.011895,0.667154,10.976260,1.018056,1.018056,58.636823
8.399041,0.357173,6.546952,1.138352,1.138352,47.454119
9.235854,0.580742,13.079248,1.243618,1.243618,68.424297
6.742760,0.401250,9.403811,0.883723,0.883723,60.953250
9.022105,0.660974,19.439279,1.452661,1.452661,79.093728
9.248730,0.612008,21.356471,1.390123,1.390123,82.541860
8.218753,0.353684,24.063528,58.841144,58.841144,146.025317
5.629927,0.214604,10.691300,1.452056,1.452056,58.199697
7.677733,0.333127,15.788861,1.655645,1.655645,63.038217
9.094827,0.176744,17.804865,1.661253,1.661253,73.430972
11.384648,0.517327,31.407618,2.252280,2.252280,99.097018
7.244814,0.211258,19.528077,2.555764,2.555764,76.980513
7.575139,0.243760,18.093577,3.143167,3.143167,80.310014
11.895778,0.575582,24.109845,4.643700,4.643700,109.564954
10.815760,0.527659,26.488516,2.894508,2.894508,130.855040
10.634327,0.710515,24.082688,3.016977,3.016977,108.865987
10.307323,0.698069,29.574533,3.227048,3.227048,125.558271
9.858528,0.364945,16.250343,3.362676,3.362676,224.312945
10.713311,0.492087,24.727108,4.165307,4.165307,117.361026
7.090869,0.237300,13.095232,4.480822,4.480822,99.408100
8.096700,0.276644,15.660356,1.901811,1.901811,104.259850
8.416341,0.345593,22.078372,2.364459,2.364459,119.158014
5.885983,0.276536,12.156102,2.375667,2.375667,101.262260
10.372465,0.509253,30.913759,1.785219,1.785219,130.494687
6.017540,0.333293,17.981912,3.634878,3.634878,119.578250
10.345503,0.566138,30.290683,5.024850,5.024850,142.707675
11.305089,0.590103,30.536168,8.773487,8.773487,140.200690
12.254081,0.553776,33.165437,2.861219,2.861219,133.239256
11.669110,0.432008,31.461418,2.307444,2.307444,121.690597
6.994139,0.198181,13.911299,3.434608,3.434608,104.251492
6.455456,0.222124,13.596776,3.515838,3.515838,109.376621
6.288869,0.243545,14.920359,3.279861,3.279861,116.549211
11.089354,0.555672,30.172556,5.125331,5.125331,143.779007
8.343462,0.367023,20.413246,4.199519,4.199519,127.672304
11.622107,0.610755,35.672616,3.821308,3.821308,147.050537
10.907418,0.487750,24.721626,4.698109,4.698109,141.042119
11.049126,0.370556,23.484601,4.770379,4.770379,138.386528
11.593920,0.419379,34.466170,5.313580,5.313580,161.910920
12.168039,0.479244,30.409071,4.135318,4.135318,152.893227
6.622439,0.257569,19.389525,7.185098,7.185098,133.879666
12.674830,0.452767,27.462828,5.426958,5.426958,151.255842
11.869566,0.363990,26.210773,11.623015,11.623015,155.807331
7.439618,0.192190,18.486347,6.492479,6.492479,130.919795
7.371610,0.314699,22.888626,7.852944,7.852944,147.023398
9.804447,0.434796,25.244093,6.123839,6.123839,157.195809
8.644131,0.327597,21.080607,7.542210,7.542210,139.182859
5.957103,0.211034,15.230168,5.992195,5.992195,131.829276
4.941213,0.246768,13.636317,3.942794,3.942794,129.539530
4.991310,0.317892,13.720945,3.919944,3.919944,132.702193
5.423625,0.311616,12.391931,2.733619,2.733619,125.921894
5.978227,0.358871,13.219660,2.150700,2.150700,127.680060
5.984446,0.299041,12.792928,2.312907,2.312907,127.622030
6.838051,0.369463,15.760272,2.411694,2.411694,131.128286
8.671204,0.455317,18.723991,1.819223,1.819223,135.863493
8.870014,0.290175,19.410124,3.592795,3.592795,189.451593
5.129188,0.312655,14.193847,2.475818,2.475818,131.030923
6.467367,0.321299,15.319974,3.692271,3.692271,130.268468
