#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.007840,3,1,0,2449
0.002637,4,1,0,3071
0.544021,5,1,0,3741
0.962800,6,1,0,4379
0.856234,7,1,0,4876
1.232390,8,1,0,5459
1.631993,9,1,0,5932
1.586462,10,1,0,6436
2.117202,0,0,0,0
93.773558,0,0,0,0
2.687274,0,0,0,0
2.930731,0,0,0,0
3.472156,0,0,0,0
3.840800,0,0,0,0
4.818387,0,0,0,0
5.349629,0,0,0,0
5.858995,0,0,0,0
5.938276,0,0,0,0
6.331024,0,0,0,0
9.101516,0,0,0,0
7.734425,0,0,0,0
8.670975,0,0,0,0
10.019155,0,0,0,0
8.080545,0,0,0,0
8.894972,0,0,0,0
8.537310,0,0,0,0
9.160029,0,0,0,0
9.934226,0,0,0,0
11.494912,0,0,0,0
9.996690,0,0,0,0
7.635123,0,0,0,0
9.816386,0,0,0,0
7.884537,0,0,0,0
11.648626,0,0,0,0
7.166945,0,0,0,0
8.771156,0,0,0,0
7.365389,0,0,0,0
8.060351,0,0,0,0
8.808564,0,0,0,0
8.199465,0,0,0,0
8.427533,0,0,0,0
7.530416,0,0,0,0
8.799361,0,0,0,0
8.685679,0,0,0,0
8.830159,0,0,0,0
5.351585,0,0,0,0
8.939159,0,0,0,0
6.702996,0,0,0,0
8.915586,0,0,0,0
6.438454,0,0,0,0
9.403196,0,0,0,0
5.839282,0,0,0,0
9.313622,0,0,0,0
6.391895,0,0,0,0
5.265401,0,0,0,0
9.014986,0,0,0,0
5.719788,0,0,0,0
4.827157,0,0,0,0
6.969912,0,0,0,0
6.474076,0,0,0,0
5.616541,0,0,0,0
5.884512,0,0,0,0
5.575870,0,0,0,0
6.416652,0,0,0,0
5.673695,0,0,0,0
6.311230,0,0,0,0
5.690856,0,0,0,0
8.499270,0,0,0,0
5.668608,0,0,0,0
6.646521,0,0,0,0
5.621621,0,0,0,0
11.138848,0,0,0,0
4.393614,0,0,0,0
5.985469,0,0,0,0
3.834023,0,0,0,0
3.842539,0,0,0,0
6.169587,0,0,0,0
4.706129,0,0,0,0
6.916942,0,0,0,0
3.696993,0,0,0,0
3.714653,0,0,0,0
5.196613,0,0,0,0
3.667267,0,0,0,0
4.470208,0,0,0,0
5.122642,0,0,0,0
3.421266,0,0,0,0
4.199295,0,0,0,0
3.934893,0,0,0,0
3.826465,0,0,0,0
5.558892,0,0,0,0
4.518699,0,0,0,0
5.811989,0,0,0,0
5.493512,0,0,0,0
8.426536,0,0,0,0
7.362210,0,0,0,0
7.270987,0,0,0,0
8.842265,0,0,0,0
6.253890,0,0,0,0
9.473082,0,0,0,0
12.562865,0,0,0,0
8.213412,0,0,0,0
12.216834,0,0,0,0
11.012867,0,0,0,0
12.413690,0,0,0,0
8.675161,0,0,0,0
11.399625,0,0,0,0
10.499601,0,0,0,0
8.770852,0,0,0,0
9.716544,0,0,0,0
8.448204,0,0,0,0
8.961337,0,0,0,0
10.381538,0,0,0,0
10.122690,0,0,0,0
10.915639,0,0,0,0
11.704835,0,0,0,0
8.498826,0,0,0,0
11.753662,0,0,0,0
11.250920,0,0,0,0
11.256027,0,0,0,0
8.842219,0,0,0,0
10.353769,0,0,0,0
9.530104,0,0,0,0
9.098769,0,0,0,0
9.842441,0,0,0,0
7.841828,0,0,0,0
7.453317,0,0,0,0
8.953580,0,0,0,0
9.331250,0,0,0,0
7.850463,0,0,0,0
8.496473,0,0,0,0
7.539978,0,0,0,0
6.555943,0,0,0,0
7.401738,0,0,0,0
5.891234,0,0,0,0
6.193291,0,0,0,0
8.327053,0,0,0,0
13.869640,0,0,0,0
7.981591,0,0,0,0
7.407245,0,0,0,0
9.352971,0,0,0,0
8.083422,0,0,0,0
9.831165,0,0,0,0
8.691923,0,0,0,0
10.883257,0,0,0,0
11.222890,0,0,0,0
6.158068,0,0,0,0
6.843859,0,0,0,0
8.171284,0,0,0,0
5.917404,0,0,0,0
5.581031,0,0,0,0
6.952841,0,0,0,0
6.897439,0,0,0,0
8.984939,0,0,0,0
6.555075,0,0,0,0
7.884042,0,0,0,0
7.003543,0,0,0,0
6.337612,0,0,0,0
8.132486,0,0,0,0
7.979835,0,0,0,0
6.698649,0,0,0,0
9.076905,0,0,0,0
7.920879,0,0,0,0
7.799172,0,0,0,0
7.971128,0,0,0,0
8.365913,0,0,0,0
8.914134,0,0,0,0
9.434374,0,0,0,0
10.289602,0,0,0,0
10.653927,0,0,0,0
10.510025,0,0,0,0
10.620099,0,0,0,0
11.501216,0,0,0,0
9.062908,0,0,0,0
9.850909,0,0,0,0
9.580965,0,0,0,0
11.637264,0,0,0,0
10.234422,0,0,0,0
9.849955,0,0,0,0
9.089767,0,0,0,0
10.139031,0,0,0,0
10.814568,0,0,0,0
12.621050,0,0,0,0
11.213592,0,0,0,0
9.683042,0,0,0,0
12.169419,0,0,0,0
10.069408,0,0,0,0
10.157090,0,0,0,0
11.454332,0,0,0,0
11.825935,0,0,0,0
11.076206,0,0,0,0
13.050533,0,0,0,0
8.778231,0,0,0,0
13.122792,0,0,0,0
10.166821,0,0,0,0
15.123728,0,0,0,0
10.688724,0,0,0,0
