#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1413394881605760512.000000,0.000000,0.000000,14.817297,4.200587,0.002341,5.887750,3.169525,0.001272,21.747268
1413394881655760384.000000,0.000000,0.000000,14.158791,4.282799,0.059574,3.492821,3.526397,0.000585,21.136395
1413394881705760512.000000,0.000000,0.000000,14.269171,4.617569,0.042803,2.697808,2.840250,0.000431,21.743909
1413394881755760384.000000,0.000000,0.000000,13.640406,6.949053,0.052469,2.578618,2.616260,0.000418,23.329855
1413394881805760512.000000,0.000000,0.000000,12.988757,4.063565,0.049498,2.418781,2.521638,0.339860,20.067496
1413394881855760384.000000,0.000000,0.000000,13.757054,4.764578,0.043371,3.104551,2.841325,0.000455,22.002272
1413394881905760512.000000,0.000000,0.000000,14.886197,4.946412,0.039819,3.003687,3.739936,0.000368,22.520541
1413394881955760384.000000,0.000000,0.000000,13.713713,4.537254,0.044022,3.030642,6.210372,0.000775,21.563617
1413394882005760512.000000,0.000000,0.000000,13.844526,4.194878,0.053666,4.086710,5.032460,0.000560,20.750316
1413394882055760384.000000,0.000000,0.000000,15.991739,4.605717,0.045374,4.292264,3.391910,0.000530,24.149857
1413394882105760512.000000,0.000000,0.000000,15.572639,4.196088,0.065702,2.408480,3.276951,0.359623,22.329002
1413394882155760384.000000,0.000000,0.000000,15.245828,4.666739,0.045525,5.664672,5.256730,0.000570,22.593543
1413394882205760512.000000,0.000000,0.000000,13.543126,4.318157,0.053512,2.512954,3.405035,0.000412,21.229034
1413394882255760384.000000,0.000000,0.000000,15.467172,4.333963,0.053457,2.594561,3.308874,0.000406,22.921861
1413394882305760512.000000,0.000000,0.000000,15.255549,4.408299,0.053564,2.450239,3.546310,0.000509,22.663468
1413394882355760384.000000,0.000000,0.000000,14.858214,11.948688,0.097651,3.586360,5.325790,0.000456,30.410532
1413394882405760512.000000,0.000000,0.000000,14.449684,11.909680,0.100541,2.163195,4.522120,0.386726,29.497205
1413394882455760384.000000,0.000000,0.000000,14.224074,11.372560,0.076269,3.208602,6.616626,0.000533,28.627493
1413394882505760512.000000,0.000000,0.000000,14.263523,11.232823,0.095944,2.806710,6.354030,0.000550,28.549856
1413394882555760384.000000,0.000000,0.000000,14.200220,11.578802,0.075177,2.984300,5.471070,0.000573,29.283678
1413394882605760512.000000,0.000000,0.000000,14.906227,4.771798,0.049348,2.613800,5.112305,0.000571,23.003494
1413394882655760384.000000,0.000000,0.000000,14.743589,9.503590,0.075399,3.637161,6.668706,0.000690,27.489518
1413394882705760512.000000,0.000000,0.000000,14.519499,11.323956,0.088143,3.325059,4.711089,0.388863,29.308099
1413394882755760384.000000,0.000000,0.000000,14.267419,11.537319,0.052577,5.150322,5.922070,0.000629,28.534902
1413394882805760512.000000,0.000000,0.000000,14.209703,5.955687,0.099105,3.687006,5.553402,0.000649,23.309399
1413394882855760384.000000,0.000000,0.000000,16.230448,11.383753,0.097762,3.007193,5.064136,0.000560,31.178302
1413394882905760512.000000,0.000000,0.000000,13.789114,11.130024,0.104288,2.722209,5.486552,0.000600,28.536393
1413394882955760384.000000,0.000000,0.000000,13.220731,11.758874,0.099101,5.115382,7.466757,0.460454,28.446145
1413394883005760512.000000,0.000000,0.000000,14.519351,11.625222,0.092001,4.662982,7.314791,0.000640,29.914073
1413394883055760384.000000,0.000000,0.000000,16.022188,4.789800,0.044156,3.547772,8.430718,0.000701,23.484540
1413394883105760512.000000,0.000000,0.000000,14.162808,4.625450,0.044438,3.866916,7.097201,0.000397,21.436910
1413394883155760384.000000,0.000000,0.000000,13.373901,10.778444,0.052000,2.628163,5.239776,0.000452,27.060020
1413394883205760512.000000,0.000000,0.000000,15.093666,4.591943,0.053550,3.993745,7.922888,0.515535,22.834814
1413394883255760384.000000,0.000000,0.000000,14.755249,8.075794,0.044803,5.614946,7.729432,0.000640,25.451915
1413394883305760512.000000,0.000000,0.000000,14.942157,4.472397,0.043833,3.097929,6.209178,0.000568,22.624967
1413394883355760384.000000,0.000000,0.000000,14.709449,4.403787,0.055713,2.500010,5.481147,0.000550,21.891201
1413394883405760512.000000,0.000000,0.000000,12.887923,4.367877,0.084577,3.576104,7.989533,0.000589,20.171863
1413394883455760384.000000,0.000000,0.000000,15.173897,7.322905,0.045944,2.336651,5.292663,0.309705,25.680762
1413394883505760512.000000,0.000000,0.000000,15.078684,4.635101,0.046575,2.793512,5.567983,0.000554,23.323037
1413394883555760384.000000,0.000000,0.000000,13.571228,14.207901,0.147936,3.579784,5.136813,0.000497,31.464070
1413394883605760512.000000,0.000000,0.000000,15.099240,4.380745,0.055259,2.434412,4.983837,0.000391,22.687796
1413394883655760384.000000,0.000000,0.000000,14.463614,9.090097,0.054833,3.977166,7.149984,0.000605,27.000258
1413394883705760512.000000,0.000000,0.000000,14.403794,5.065435,0.084654,2.104022,4.653972,0.373700,22.990259
1413394883755760384.000000,0.000000,0.000000,14.284683,4.593253,0.045059,4.408712,6.386479,0.000526,22.116432
1413394883805760512.000000,0.000000,0.000000,13.869912,9.376611,0.083887,3.527715,6.264486,0.000595,26.164314
1413394883855760384.000000,0.000000,0.000000,13.964479,11.090706,0.096955,2.371805,6.067190,0.000565,28.649693
1413394883905760512.000000,0.000000,0.000000,15.505853,9.400398,0.044301,1.194095,3.590125,0.000439,27.987737
1413394883955760384.000000,0.000000,0.000000,18.351171,11.262585,0.097858,0.843001,3.425981,0.362496,33.117420
1413394884005760512.000000,0.000000,0.000000,13.640743,11.404682,0.113454,2.307816,3.874341,0.000523,28.560819
1413394884055760384.000000,0.000000,0.000000,14.073616,11.251472,0.095455,0.034650,4.083819,0.038964,28.403909
1413394884105760512.000000,0.000000,0.000000,14.421936,10.968578,0.089399,0.016755,4.411466,0.357415,28.695704
1413394884155760384.000000,0.000000,0.000000,15.507583,4.678893,0.055676,0.026581,5.173894,0.351308,22.952885
1413394884205760512.000000,0.000000,0.000000,14.133480,4.600328,0.061462,0.048499,9.326980,0.585229,21.574265
1413394884255760384.000000,0.000000,0.000000,15.214671,7.097874,0.055109,0.043651,5.985824,0.048508,25.489130
1413394884305760512.000000,0.000000,0.000000,14.225015,8.828533,0.038026,0.023597,5.123853,0.336645,26.142925
1413394884355760384.000000,0.000000,0.000000,15.279992,9.131989,0.097241,0.045085,7.538692,0.079038,27.439020
1413394884405760512.000000,0.000000,0.000000,14.391152,11.031905,0.074527,0.039025,10.684943,0.054412,28.755028
1413394884455760384.000000,0.000000,0.000000,14.317019,10.185951,0.050719,0.036134,7.451208,0.373488,27.716007
1413394884505760512.000000,0.000000,0.000000,14.390597,11.714475,0.082392,0.043737,11.564570,0.099649,29.660309
1413394884555760384.000000,0.000000,0.000000,15.098062,5.435586,0.053034,0.031661,9.524865,0.411529,23.201071
1413394884605760512.000000,0.000000,0.000000,14.603613,12.895120,0.072433,0.055855,12.099908,0.090315,31.221620
1413394884655760384.000000,0.000000,0.000000,19.377552,11.842096,0.090714,0.050408,7.563849,0.334150,35.006336
1413394884705760512.000000,0.000000,0.000000,14.511487,4.331518,0.056267,0.059576,11.621356,0.105842,21.754387
1413394884755760384.000000,0.000000,0.000000,18.996348,7.598628,0.117455,0.040947,9.963344,0.448021,30.273621
1413394884805760512.000000,0.000000,0.000000,15.079285,11.145701,0.062053,0.045361,10.745901,0.082108,29.418569
1413394884855760384.000000,0.000000,0.000000,14.541062,4.830031,0.048257,0.035422,8.753340,0.557570,22.526544
1413394884905760512.000000,0.000000,0.000000,15.521279,11.303077,0.097838,0.057149,10.410366,0.081565,30.077562
1413394884955760384.000000,0.000000,0.000000,15.118001,11.084456,0.097671,0.051460,6.501770,0.367974,30.156274
