#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
5.540843,0.073489,0.740582,0.006040,0.006040,6.366950
8.718800,0.284870,5.016360,0.002640,0.002640,14.025473
8.078627,0.415258,4.207463,0.173327,0.173327,24.380333
10.082948,0.283203,5.565491,0.400136,0.400136,31.929856
5.898250,0.146663,5.787027,0.618641,0.618641,28.584645
9.079069,0.372568,18.047053,0.750388,0.750388,60.264678
9.278791,0.451434,18.836618,0.789861,0.789861,61.196131
8.350109,0.249819,9.436964,0.841741,0.841741,42.669972
9.957770,0.359472,20.525596,1.075164,1.075164,58.826883
10.101713,0.312923,20.066370,47.611468,47.611468,117.580550
6.124210,0.097514,9.601967,0.984182,0.984182,46.046463
11.202796,0.333196,30.913981,1.154865,1.154865,79.826896
7.540102,0.195344,14.761903,1.435708,1.435708,61.891238
10.806648,0.293534,27.474527,1.222441,1.222441,74.875639
12.752846,0.369692,24.248576,1.621071,1.621071,78.242155
9.006497,0.198166,21.000777,1.791847,1.791847,76.143846
7.100384,0.131462,17.208882,2.098245,2.098245,76.156681
7.345109,0.153875,16.771108,2.391199,2.391199,76.661418
7.665034,0.117296,16.173808,3.796427,3.796427,80.420425
7.025827,0.102715,14.941531,4.363446,4.363446,86.513466
6.768451,0.096392,12.082867,3.970648,3.970648,81.243761
12.747807,0.186459,28.618838,3.701363,3.701363,104.180605
13.718063,0.277184,42.512760,3.719948,3.719948,124.396055
9.417061,0.127905,25.736964,3.973301,3.973301,221.794921
8.565172,0.150003,19.497922,4.237803,4.237803,90.938115
15.783851,0.337410,40.989581,3.716982,3.716982,125.802027
9.218844,0.094710,19.008276,3.787009,3.787009,91.227185
13.731347,0.181762,30.659807,3.693343,3.693343,121.490614
9.862660,0.164329,19.188409,4.151839,4.151839,94.173795
9.989005,0.128999,16.344950,5.940109,5.940109,93.592323
7.277752,0.137842,13.834098,4.209702,4.209702,89.693565
10.825971,0.169100,25.886062,3.862124,3.862124,109.644057
6.854249,0.173336,13.985509,3.442907,3.442907,86.123298
12.097851,0.285054,29.654346,5.375896,5.375896,131.117413
7.013568,0.172191,20.724782,4.300474,4.300474,99.080209
11.501577,0.376435,33.863817,3.088467,3.088467,120.118432
7.631287,0.276317,20.115863,3.648800,3.648800,105.317027
9.448734,0.291572,19.976297,4.974828,4.974828,119.246508
11.726878,0.392149,34.937343,4.926008,4.926008,123.869408
11.327911,0.441400,32.183425,3.300457,3.300457,123.772638
9.994113,0.178756,24.083755,4.127734,4.127734,108.669243
6.077776,0.158537,14.927961,6.785070,6.785070,92.857613
5.820528,0.140034,13.535135,4.154560,4.154560,83.807875
5.300901,0.118195,16.172193,4.946198,4.946198,100.854903
5.849578,0.112579,15.219859,5.004345,5.004345,95.208986
5.561795,0.131724,13.976366,3.297956,3.297956,79.703864
5.838495,0.152940,15.926811,3.051688,3.051688,82.586950
6.034663,0.140635,14.381769,3.944277,3.944277,88.229105
9.321873,0.270863,30.942440,4.366713,4.366713,125.054580
6.458918,0.172471,17.624494,3.040860,3.040860,86.792449
11.638364,0.339646,41.729911,3.094326,3.094326,140.414862
11.730402,0.331080,35.583820,3.417426,3.417426,120.872408
12.294007,0.328429,41.156867,5.018184,5.018184,135.360096
11.871173,0.317250,37.329864,3.877636,3.877636,128.961300
