#Frame Timestamp[ns],Image Rect[ms],Image Resize[ms],ORB ext[ms],Stereo match[ms],IMU preint[ms],Pose pred[ms],LM track[ms],KF dec[ms],Total[ms]
1403636858651666432.000000,0.000000,0.000000,13.971732,1.865952,0.002050,5.969004,1.114742,0.001971,18.366873
1403636858701666560.000000,0.000000,0.000000,12.407015,1.908908,0.057401,1.552029,2.665397,0.000973,17.377115
1403636858751666432.000000,0.000000,0.000000,14.055412,2.323095,0.042090,0.672314,1.058114,0.000433,19.182090
1403636858801666560.000000,0.000000,0.000000,15.751740,3.244405,0.055597,1.532659,2.816575,0.000842,22.557409
1403636858851666432.000000,0.000000,0.000000,12.772537,3.171201,0.079855,0.765063,1.211889,2.319203,18.876053
1403636858901666560.000000,0.000000,0.000000,13.828256,4.045928,0.090866,3.614420,3.743281,0.000656,20.840827
1403636858951666432.000000,0.000000,0.000000,13.004878,1.875641,0.053060,1.781385,2.024764,0.000619,17.494491
1403636859001666560.000000,0.000000,0.000000,14.534120,5.039866,0.101678,3.104902,4.553301,0.000637,23.167495
1403636859051666432.000000,0.000000,0.000000,14.169465,2.224884,0.044559,1.241548,2.227733,0.000392,21.527798
1403636859101666560.000000,0.000000,0.000000,12.914022,2.125851,0.057523,1.156966,1.928515,3.307900,25.560529
1403636859151666432.000000,0.000000,0.000000,13.756802,4.533775,0.135032,2.729515,2.588913,0.000456,26.552909
1403636859201666560.000000,0.000000,0.000000,14.547710,2.172228,0.065335,1.857899,2.842580,0.000451,21.650381
1403636859251666432.000000,0.000000,0.000000,13.146944,5.820896,0.078325,2.427841,4.301030,0.000690,26.425406
1403636859301666560.000000,0.000000,0.000000,13.679211,3.117577,0.052795,2.130768,4.533727,0.000768,23.806045
1403636859351666432.000000,0.000000,0.000000,12.897038,7.226819,0.104028,1.118761,2.731599,4.093763,30.510171
1403636859401666560.000000,0.000000,0.000000,13.359047,6.556352,0.096400,4.394074,4.944418,0.000906,26.805600
1403636859451666432.000000,0.000000,0.000000,13.559065,7.189208,0.113181,2.496382,3.888674,0.000538,32.028462
1403636859501666560.000000,0.000000,0.000000,14.447872,3.287750,0.057445,2.179854,4.143147,0.000564,23.986800
1403636859551666432.000000,0.000000,0.000000,14.371071,3.690963,0.061752,2.051234,3.948237,0.000600,27.242309
1403636859601666560.000000,0.000000,0.000000,13.571603,3.655774,0.039862,2.479181,6.114663,4.503267,25.857445
1403636859651666432.000000,0.000000,0.000000,12.683182,3.166362,0.066295,3.730619,4.898491,0.000621,23.998860
1403636859701666560.000000,0.000000,0.000000,14.828312,7.687957,0.098038,2.640829,4.148259,0.000511,32.631401
1403636859751666432.000000,0.000000,0.000000,12.940857,7.981134,0.093365,2.751139,4.195532,0.000565,31.225717
1403636859801666560.000000,0.000000,0.000000,12.978123,4.586958,0.069289,3.803314,8.055565,0.000799,28.288368
1403636859851666432.000000,0.000000,0.000000,15.603259,8.036405,0.074431,2.331210,4.625444,2.414460,36.931411
1403636859901666560.000000,0.000000,0.000000,13.831392,8.265669,0.071891,3.698904,4.711585,0.000529,31.471597
1403636859951666432.000000,0.000000,0.000000,12.711586,4.768646,0.061360,2.216530,4.251421,0.000623,27.241926
1403636860001666560.000000,0.000000,0.000000,14.278162,4.891400,0.063828,1.811338,4.278978,0.000741,27.816562
1403636860051666432.000000,0.000000,0.000000,14.864357,8.510790,0.110262,1.741980,4.872967,0.000652,39.327775
1403636860101666560.000000,0.000000,0.000000,13.142563,5.057749,0.051477,1.192179,4.113006,2.836275,30.442152
1403636860151666432.000000,0.000000,0.000000,13.231685,4.193556,0.075934,2.104896,4.023357,0.000503,27.724823
1403636860201666560.000000,0.000000,0.000000,13.076004,4.338879,0.053142,2.295262,4.012003,0.000470,27.796177
1403636860251666432.000000,0.000000,0.000000,12.550629,8.315193,0.073936,1.085656,3.942851,0.000599,35.987363
1403636860301666560.000000,0.000000,0.000000,13.129550,4.108708,0.073412,1.822656,6.805866,0.000782,30.196392
1403636860351666432.000000,0.000000,0.000000,12.111809,4.553343,0.069992,1.609079,7.184620,2.192240,27.965689
1403636860401666560.000000,0.000000,0.000000,12.910559,4.233766,0.071134,2.853442,6.196677,0.000696,26.439546
1403636860451666432.000000,0.000000,0.000000,12.361853,4.050711,0.069040,1.518031,3.918267,0.000594,25.972375
1403636860501666560.000000,0.000000,0.000000,15.486213,4.484995,0.079757,1.437724,3.689600,0.000708,29.879541
1403636860551666432.000000,0.000000,0.000000,12.472218,3.585049,0.071041,2.527100,3.762610,0.000509,27.007255
