#LBA time[ms],KF opt[#],KF fixed[#],MP[#],Edges[#]
0.008929,3,1,0,346
0.002930,4,1,0,489
0.161316,5,1,0,628
0.225715,6,1,0,1180
0.220602,7,1,0,1865
0.281432,8,1,0,2441
0.577608,9,1,0,2799
0.519366,10,1,0,3235
0.618345,0,0,0,0
47.715908,0,0,0,0
0.658695,0,0,0,0
0.938078,0,0,0,0
0.890701,0,0,0,0
1.438188,0,0,0,0
1.132738,0,0,0,0
1.125240,0,0,0,0
1.540484,0,0,0,0
1.636855,0,0,0,0
1.735885,0,0,0,0
1.908902,0,0,0,0
1.744021,0,0,0,0
2.722979,0,0,0,0
2.711688,0,0,0,0
2.432945,0,0,0,0
2.667400,0,0,0,0
2.954410,0,0,0,0
2.833499,0,0,0,0
2.293695,0,0,0,0
2.971043,0,0,0,0
2.789754,0,0,0,0
2.770379,0,0,0,0
2.122569,0,0,0,0
1.863848,0,0,0,0
3.454704,0,0,0,0
6.305906,0,0,0,0
5.092935,0,0,0,0
2.846025,0,0,0,0
3.771431,0,0,0,0
4.031640,0,0,0,0
2.953794,0,0,0,0
4.467694,0,0,0,0
4.125032,0,0,0,0
4.249995,0,0,0,0
3.381557,0,0,0,0
4.463767,3,1,0,423
4.908477,4,1,0,527
0.002494,5,1,0,653
0.003180,6,1,0,754
0.193877,7,1,0,869
0.265500,8,1,0,998
0.386821,9,1,0,1104
0.482770,10,1,0,1211
0.614047,0,0,0,0
1.114134,3,1,0,405
0.636263,4,1,0,526
63.308734,5,1,0,635
0.819285,6,1,0,768
0.003223,7,1,0,890
0.003260,8,1,0,974
0.290377,9,1,0,1068
0.223684,10,1,0,1188
0.305018,0,0,0,0
0.548698,0,0,0,0
0.359660,0,0,0,0
0.697192,0,0,0,0
0.800373,3,1,0,606
24.811726,4,1,0,1057
1.010247,5,1,0,1413
1.105546,6,1,0,2244
0.863970,7,1,0,2889
0.697499,8,1,0,3434
0.003157,9,1,0,4061
0.002817,10,1,0,4773
0.399255,0,0,0,0
0.409613,0,0,0,0
0.794104,0,0,0,0
0.689851,0,0,0,0
0.834328,0,0,0,0
0.856644,0,0,0,0
1.459934,0,0,0,0
73.668117,0,0,0,0
0.923148,0,0,0,0
